date_obj,Cavalier%20mask price
2015-03-26,496742
2015-03-27,496742
2015-03-28,496742
2015-03-29,496742
2015-03-30,496742
2015-03-31,496742
2015-04-01,496742
2015-04-02,496742
2015-04-03,496742
2015-04-04,496742
2015-04-05,496742
2015-04-06,496742
2015-04-07,496742
2015-04-08,496742
2015-04-09,496742
2015-04-10,496742
2015-04-11,496742
2015-04-12,472562
2015-04-13,472562
2015-04-14,472562
2015-04-15,472562
2015-04-16,472562
2015-04-17,472562
2015-04-18,472562
2015-04-19,472562
2015-04-20,472562
2015-04-21,472562
2015-04-22,472562
2015-04-23,472562
2015-04-24,472562
2015-04-25,472562
2015-04-26,472562
2015-04-27,472562
2015-04-28,472562
2015-04-29,472562
2015-04-30,472562
2015-05-01,472562
2015-05-02,472562
2015-05-03,472562
2015-05-04,449353
2015-05-05,449353
2015-05-06,449353
2015-05-07,449353
2015-05-08,449353
2015-05-09,449353
2015-05-10,449353
2015-05-11,449353
2015-05-12,449353
2015-05-13,449353
2015-05-14,449353
2015-05-15,449353
2015-05-16,449353
2015-05-17,449353
2015-05-18,449353
2015-05-19,449353
2015-05-20,449353
2015-05-21,449353
2015-05-22,449353
2015-05-23,449353
2015-05-24,449353
2015-05-25,449353
2015-05-26,449353
2015-05-27,449353
2015-05-28,426885
2015-05-29,426885
2015-05-30,426885
2015-05-31,426885
2015-06-01,426885
2015-06-02,426885
2015-06-03,426885
2015-06-04,426885
2015-06-05,426885
2015-06-06,426885
2015-06-07,426885
2015-06-08,426885
2015-06-09,426885
2015-06-10,426885
2015-06-11,426885
2015-06-12,406277
2015-06-13,406277
2015-06-14,406277
2015-06-15,406277
2015-06-16,406277
2015-06-17,406277
2015-06-18,406277
2015-06-19,406277
2015-06-20,406277
2015-06-21,406277
2015-06-22,406277
2015-06-23,406277
2015-06-24,406277
2015-06-25,406277
2015-06-26,406277
2015-06-27,386953
2015-06-28,386953
2015-06-29,386953
2015-06-30,386953
2015-07-01,386953
2015-07-02,386953
2015-07-03,386953
2015-07-04,386953
2015-07-05,386953
2015-07-06,386953
2015-07-07,386953
2015-07-08,386953
2015-07-09,386953
2015-07-10,386953
2015-07-11,368358
2015-07-12,368358
2015-07-13,368358
2015-07-14,368358
2015-07-15,368358
2015-07-16,368358
2015-07-17,368358
2015-07-18,368358
2015-07-19,368358
2015-07-20,368358
2015-07-21,368358
2015-07-22,368358
2015-07-23,368358
2015-07-24,350478
2015-07-25,350478
2015-07-26,350478
2015-07-27,350478
2015-07-28,350478
2015-07-29,350478
2015-07-30,350478
2015-07-31,350478
2015-08-01,350478
2015-08-02,350478
2015-08-03,350478
2015-08-04,350478
2015-08-05,333490
2015-08-06,333490
2015-08-07,333490
2015-08-08,333490
2015-08-09,333490
2015-08-10,333490
2015-08-11,333490
2015-08-12,333490
2015-08-13,333490
2015-08-14,333490
2015-08-15,317290
2015-08-16,317290
2015-08-17,317290
2015-08-18,317290
2015-08-19,317290
2015-08-20,317290
2015-08-21,317290
2015-08-22,317290
2015-08-23,317290
2015-08-24,317290
2015-08-25,317290
2015-08-26,301973
2015-08-27,301973
2015-08-28,301973
2015-08-29,301973
2015-08-30,301973
2015-08-31,301973
2015-09-01,301973
2015-09-02,301973
2015-09-03,301973
2015-09-04,301973
2015-09-05,301973
2015-09-06,287439
2015-09-07,287439
2015-09-08,287439
2015-09-09,287439
2015-09-10,287439
2015-09-11,287439
2015-09-12,287439
2015-09-13,287439
2015-09-14,287439
2015-09-15,273394
2015-09-16,273394
2015-09-17,273394
2015-09-18,273394
2015-09-19,273394
2015-09-20,273394
2015-09-21,273394
2015-09-22,273394
2015-09-23,273394
2015-09-24,273394
2015-09-25,273394
2015-09-27,260605
2015-09-28,260605
2015-09-29,260605
2015-09-30,260605
2015-10-05,260605
2015-10-06,260605
2015-10-07,260605
2015-10-08,260605
2015-10-09,260605
2015-10-10,248772
2015-10-11,248772
2015-10-12,248772
2015-10-13,248772
2015-10-14,248772
2015-10-15,248772
2015-10-16,248772
2015-10-17,248772
2015-10-18,248772
2015-10-19,248772
2015-10-20,248772
2015-10-22,248772
2015-10-23,240421
2015-10-24,240421
2015-10-25,240421
2015-10-26,240421
2015-10-27,240421
2015-10-29,240421
2015-10-30,240421
2015-10-31,240421
2015-11-01,240421
2015-11-02,240421
2015-11-03,240421
2015-11-04,240421
2015-11-05,228767
2015-11-06,228767
2015-11-07,228767
2015-11-08,228767
2015-11-09,228767
2015-11-10,228767
2015-11-11,228767
2015-11-12,228767
2015-11-13,228767
2015-11-14,228767
2015-11-15,228767
2015-11-16,228767
2015-11-17,228767
2015-11-18,228767
2015-11-19,217643
2015-11-20,217643
2015-11-21,217643
2015-11-22,217643
2015-11-23,217643
2015-11-24,217643
2015-11-25,217643
2015-11-26,217643
2015-11-27,217643
2015-11-28,217643
2015-11-29,217643
2015-11-30,207086
2015-12-01,207086
2015-12-02,207086
2015-12-03,207086
2015-12-04,207086
2015-12-05,207086
2015-12-06,207086
2015-12-07,207086
2015-12-08,207086
2015-12-09,207086
2015-12-10,207086
2015-12-11,197019
2015-12-12,197019
2015-12-13,197019
2015-12-14,197019
2015-12-15,197019
2015-12-16,197019
2015-12-17,197019
2015-12-18,197019
2015-12-19,197019
2015-12-20,197019
2015-12-21,197019
2015-12-22,187644
2015-12-23,187644
2015-12-24,187644
2015-12-25,187644
2015-12-26,187644
2015-12-27,187644
2015-12-28,187644
2015-12-29,187644
2015-12-30,187644
2015-12-31,187644
2016-01-01,187644
2016-01-02,187644
2016-01-03,178695
2016-01-04,178695
2016-01-05,178695
2016-01-06,178695
2016-01-07,178695
2016-01-08,178695
2016-01-09,178695
2016-01-10,178695
2016-01-11,178695
2016-01-12,178695
2016-01-13,178695
2016-01-14,170802
2016-01-15,170802
2016-01-16,170802
2016-01-17,170802
2016-01-18,170802
2016-01-19,170802
2016-01-20,170802
2016-01-21,170802
2016-01-22,170802
2016-01-23,170802
2016-01-24,170802
2016-01-25,162466
2016-01-26,162466
2016-01-27,162466
2016-01-28,162466
2016-01-29,162466
2016-01-30,162466
2016-01-31,162466
2016-02-01,162466
2016-02-02,162466
2016-02-03,154557
2016-02-04,154557
2016-02-05,154557
2016-02-06,154557
2016-02-07,154557
2016-02-08,154557
2016-02-09,154557
2016-02-10,154557
2016-02-11,154557
2016-02-12,154557
2016-02-13,147261
2016-02-14,147261
2016-02-15,147261
2016-02-16,147261
2016-02-17,147261
2016-02-18,147261
2016-02-19,147261
2016-02-20,147261
2016-02-21,147261
2016-02-22,147261
2016-02-23,142269
2016-02-24,142269
2016-02-25,142269
2016-02-26,142269
2016-02-27,142269
2016-02-28,142269
2016-02-29,142269
2016-03-01,142269
2016-03-02,142269
2016-03-03,138726
2016-03-04,138726
2016-03-05,138726
2016-03-06,138726
2016-03-07,138726
2016-03-08,138726
2016-03-09,138726
2016-03-10,138726
2016-03-11,138726
2016-03-12,138726
2016-03-13,136612
2016-03-14,136612
2016-03-15,136612
2016-03-16,136612
2016-03-17,136612
2016-03-18,136612
2016-03-19,136612
2016-03-20,136612
2016-03-21,136612
2016-03-22,136612
2016-03-23,134985
2016-03-24,134985
2016-03-25,134985
2016-03-26,134985
2016-03-27,134985
2016-03-28,134985
2016-03-29,134985
2016-03-30,134985
2016-03-31,134985
2016-04-01,134985
2016-04-02,137383
2016-04-03,137383
2016-04-04,137383
2016-04-05,137383
2016-04-06,137383
2016-04-07,137383
2016-04-08,137383
2016-04-09,137383
2016-04-10,137383
2016-04-11,137383
2016-04-12,139366
2016-04-13,139366
2016-04-14,139366
2016-04-15,139366
2016-04-16,139366
2016-04-17,139366
2016-04-18,139366
2016-04-19,139366
2016-04-20,139366
2016-04-21,139366
2016-04-22,139366
2016-04-23,133766
2016-04-24,133766
2016-04-25,133766
2016-04-26,133766
2016-04-27,133766
2016-04-28,133766
2016-04-29,133766
2016-04-30,133766
2016-05-01,133766
2016-05-02,133766
2016-05-03,129630
2016-05-04,129630
2016-05-05,129630
2016-05-06,129630
2016-05-07,129630
