date_obj,Cemetery%20teleport%20(tablet) price
2016-05-12,1600
2016-05-13,1600
2016-05-14,1600
2016-05-15,1600
2016-05-16,1600
2016-05-17,1600
2016-05-18,1600
2016-05-19,1600
2016-05-22,1663
2016-05-23,1663
2016-05-24,1663
2016-05-25,1663
2016-05-26,1663
2016-05-27,1663
2016-05-28,1663
2016-05-29,1663
2016-05-30,1663
2016-05-31,1663
2016-06-01,1663
2016-06-02,1663
2016-06-03,1663
2016-06-04,1663
2016-06-05,1663
2016-06-06,1663
2016-06-07,1663
2016-06-08,1745
2016-06-09,1745
2016-06-10,1745
2016-06-11,1745
2016-06-12,1745
2016-06-13,1745
2016-06-14,1745
2016-06-15,1745
2016-06-16,1745
2016-06-17,1745
2016-06-18,1745
2016-06-19,1745
2016-06-20,1745
2016-06-21,1745
2016-06-22,1745
2016-06-23,1745
2016-06-24,1745
2016-06-25,1745
2016-06-26,1745
2016-06-27,1745
2016-06-28,1832
2016-06-29,1832
2016-06-30,1832
2016-07-01,1832
2016-07-02,1832
2016-07-03,1832
2016-07-04,1832
2016-07-05,1832
2016-07-06,1832
2016-07-07,1832
2016-07-08,1832
2016-07-09,1832
2016-07-10,1832
2016-07-11,1832
2016-07-12,1832
2016-07-13,1832
2016-07-14,1832
2016-07-15,1832
2016-07-16,1922
2016-07-17,1922
2016-07-18,1922
2016-07-23,1922
2016-07-24,1922
2016-07-25,1922
2016-07-26,1922
2016-07-27,1922
2016-07-28,1922
2016-07-29,1922
2016-07-30,1922
2016-07-31,1922
2016-08-01,1922
2016-08-02,1922
2016-08-03,1922
2016-08-04,1922
2016-08-05,1922
2016-08-06,2017
2016-08-07,2017
2016-08-08,2017
2016-08-09,2017
2016-08-10,2017
2016-08-11,2017
2016-08-12,2017
2016-08-13,2017
2016-08-14,2017
2016-08-15,2017
2016-08-16,2017
2016-08-17,2017
2016-08-18,2017
2016-08-19,2017
2016-08-20,2017
2016-08-21,2017
2016-08-22,2017
2016-08-23,2017
2016-08-24,2017
2016-08-25,2115
2016-08-26,2115
2016-08-28,2115
2016-08-31,2115
2016-09-01,2115
2016-09-02,2115
2016-09-03,2115
2016-09-04,2115
2016-09-05,2115
2016-09-06,2115
2016-09-07,2115
2016-09-08,2115
2016-09-09,2115
2016-09-10,2115
2016-09-11,2115
2016-09-12,2115
2016-09-13,2115
2016-09-14,2215
2016-09-15,2215
2016-09-16,2215
2016-09-17,2215
2016-09-18,2215
2016-09-19,2215
2016-09-20,2215
2016-09-21,2215
2016-09-22,2215
2016-09-23,2215
2016-09-24,2215
2016-09-25,2215
2016-09-26,2215
2016-09-27,2215
2016-09-28,2215
2016-09-29,2215
2016-09-30,2215
2016-10-01,2215
2016-10-02,2215
2016-10-03,2215
2016-10-04,2298
2016-10-05,2298
2016-10-06,2298
2016-10-07,2298
2016-10-08,2298
2016-10-09,2298
2016-10-10,2298
2016-10-11,2298
2016-10-12,2298
2016-10-13,2298
2016-10-14,2298
2016-10-15,2298
2016-10-16,2298
2016-10-17,2298
2016-10-18,2298
2016-10-19,2298
2016-10-20,2298
2016-10-21,2298
2016-10-22,2400
2016-10-23,2400
2016-10-24,2400
2016-10-25,2400
2016-10-26,2400
2016-10-27,2400
2016-10-28,2400
2016-10-29,2400
2016-10-30,2400
2016-10-31,2400
2016-11-01,2400
2016-11-02,2400
2016-11-03,2400
2016-11-04,2400
2016-11-05,2400
2016-11-06,2400
2016-11-07,2491
2016-11-08,2491
2016-11-09,2491
2016-11-10,2491
2016-11-11,2491
2016-11-12,2491
2016-11-13,2491
2016-11-14,2491
2016-11-15,2491
2016-12-07,2528
2016-12-08,2641
2016-12-09,2641
2016-12-10,2641
2016-12-11,2641
2016-12-12,2641
2016-12-13,2641
2016-12-14,2641
2016-12-15,2641
2016-12-16,2641
2016-12-17,2641
2016-12-18,2641
2016-12-19,2641
2016-12-20,2641
2016-12-21,2756
2016-12-22,2756
2016-12-23,2756
2016-12-24,2756
2016-12-25,2756
2016-12-26,2756
2016-12-27,2756
2016-12-28,2756
2016-12-29,2756
2016-12-30,2756
2016-12-31,2756
2017-01-01,2735
2017-01-02,2735
2017-01-03,2735
2017-01-04,2735
2017-01-05,2735
2017-01-06,2735
2017-01-07,2829
2017-01-08,2829
2017-01-09,2829
2017-01-10,2829
2017-01-11,2829
2017-01-12,2829
2017-01-13,2829
2017-01-14,2829
2017-01-15,2761
2017-01-16,2761
2017-01-17,2761
2017-01-18,2761
2017-01-19,2761
2017-01-20,2761
2017-01-21,2761
2017-01-22,2761
2017-01-23,2681
2017-01-27,2681
2017-01-28,2681
2017-01-29,2681
2017-01-30,2681
2017-01-31,2705
2017-02-01,2705
2017-02-02,2705
2017-02-03,2705
2017-02-04,2705
2017-02-05,2705
2017-02-06,2705
2017-02-07,2705
2017-02-08,2788
2017-02-09,2788
2017-02-10,2788
2017-02-11,2788
2017-02-12,2788
2017-02-13,2788
2017-02-14,2788
2017-02-15,2788
2017-02-16,2802
2017-02-18,2802
2017-02-19,2802
2017-02-20,2802
2017-02-21,2802
2017-02-22,2802
2017-02-23,2802
2017-02-24,2802
2017-02-25,2802
2017-02-26,2811
2017-02-27,2811
2017-02-28,2811
2017-03-01,2811
2017-03-02,2811
2017-03-03,2811
2017-03-04,2811
2017-03-05,2811
2017-03-06,2925
2017-03-07,2925
2017-03-08,2925
2017-03-09,2925
2017-03-10,2925
2017-03-11,2925
2017-03-12,2925
2017-03-13,2925
2017-03-14,2925
2017-03-15,2934
2017-03-16,2934
2017-03-17,2934
2017-03-18,2934
2017-03-19,2934
2017-03-20,2934
2017-03-21,2934
2017-03-22,2934
2017-03-23,2934
2017-03-24,2864
2017-03-25,2864
2017-03-26,2864
2017-03-27,2864
2017-03-28,2864
2017-03-29,2864
2017-03-30,2864
2017-03-31,2864
2017-04-01,2864
2017-04-02,2738
2017-04-03,2738
2017-04-04,2738
2017-04-12,2601
2017-04-13,2601
2017-04-14,2601
2017-04-15,2601
2017-04-16,2475
2017-04-17,2475
2017-04-18,2475
2017-04-19,2475
2017-04-20,2475
2017-04-21,2475
2017-04-22,2475
2017-04-23,2472
2017-04-24,2472
2017-04-25,2472
2017-04-26,2472
2017-04-27,2472
2017-04-28,2472
2017-04-29,2502
2017-04-30,2502
2017-05-01,2502
2017-05-02,2502
2017-05-03,2502
2017-05-04,2502
2017-05-05,2439
2017-05-06,2439
2017-05-07,2439
2017-05-08,2439
2017-05-09,2439
2017-05-10,2439
2017-05-11,2439
2017-05-12,2317
2017-05-13,2317
2017-05-14,2317
2017-05-15,2317
2017-05-16,2317
2017-05-17,2317
2017-05-18,2317
2017-05-19,2317
2017-05-20,2250
2017-05-21,2250
2017-05-22,2250
2017-05-23,2250
2017-05-24,2250
2017-05-25,2250
2017-05-26,2250
2017-05-27,2250
2017-05-28,2250
2017-05-29,2175
2017-05-30,2175
2017-05-31,2175
2017-06-01,2175
2017-06-02,2175
2017-06-03,2175
2017-06-04,2175
2017-06-05,2175
2017-06-06,2124
2017-06-07,2124
2017-06-08,2124
2017-06-09,2124
2017-06-10,2124
2017-06-11,2124
2017-06-12,2124
2017-06-13,2124
2017-06-14,2077
2017-06-15,2077
2017-06-16,2077
2017-06-17,2077
2017-06-18,2077
2017-06-19,2077
2017-06-20,2077
2017-06-21,2077
2017-06-22,2077
2017-06-23,2077
2017-06-24,2060
2017-06-25,2060
2017-06-26,2060
2017-06-27,2060
2017-06-28,2060
2017-06-29,2060
2017-06-30,2060
2017-07-01,2060
2017-07-02,2060
2017-07-03,2119
2017-07-04,2119
2017-07-05,2119
2017-07-06,2119
2017-07-07,2119
2017-07-08,2119
2017-07-13,2050
2017-07-14,2050
2017-07-15,2050
2017-07-16,2050
2017-07-17,2050
2017-07-18,2050
2017-07-19,2050
2017-07-20,2050
2017-07-21,1967
2017-07-22,1967
2017-07-23,1967
2017-07-24,1967
2017-07-25,1967
2017-07-26,1967
2017-07-27,1967
2017-07-28,1967
2017-07-29,1967
2017-07-30,1961
2017-07-31,1961
2017-08-01,1961
2017-08-02,1961
2017-08-03,1961
2017-08-04,1961
2017-08-05,1961
2017-08-06,1961
2017-08-09,2026
2017-08-10,2026
2017-08-11,2026
2017-08-12,2026
2017-08-13,2026
2017-08-14,2026
2017-08-15,1983
2017-08-16,1983
2017-08-17,1983
2017-08-18,1983
2017-08-19,1983
2017-08-20,1983
2017-08-21,1983
2017-08-22,1983
2017-08-23,1960
2017-08-24,1960
2017-08-25,1960
2017-08-26,1960
2017-08-27,1960
2017-08-28,1960
2017-08-29,1960
2017-08-30,1960
2017-08-31,1998
2017-09-01,1998
2017-09-02,1998
2017-09-03,1998
2017-09-04,1998
2017-09-05,1998
2017-09-06,1998
2017-09-07,1956
2017-09-08,1956
2017-09-09,1956
2017-09-10,1956
2017-09-11,1956
2017-09-12,1956
2017-09-13,1956
2017-09-14,1956
2017-09-15,1858
2017-09-16,1858
2017-09-17,1858
2017-09-18,1858
2017-09-19,1858
2017-09-20,1858
2017-09-21,1858
2017-09-22,1858
2017-09-23,1836
2017-09-24,1836
2017-09-25,1836
2017-09-26,1836
2017-09-27,1836
2017-09-28,1836
2017-09-29,1836
2017-09-30,1836
2017-10-01,1836
2017-10-02,1807
2017-10-03,1807
2017-10-04,1807
2017-10-05,1807
2017-10-06,1807
2017-10-07,1807
2017-10-08,1807
2017-10-09,1807
2017-10-10,1807
2017-10-11,1761
2017-10-12,1761
2017-10-13,1761
2017-10-14,1761
2017-10-15,1761
2017-10-16,1761
2017-10-17,1761
2017-10-18,1761
2017-10-19,1838
2017-10-20,1838
2017-10-21,1838
2017-10-22,1838
2017-10-23,1838
2017-10-24,1838
2017-10-25,1838
2017-10-26,1838
2017-10-27,1824
2017-10-28,1824
2017-10-29,1824
2017-10-30,1824
2017-10-31,1824
2017-11-01,1824
2017-11-02,1824
2017-11-03,1824
2017-11-04,1786
2017-11-05,1786
2017-11-06,1786
2017-11-07,1786
2017-11-08,1786
2017-11-09,1786
2017-11-10,1786
2017-11-11,1786
2017-11-12,1786
2017-11-13,1706
2017-11-14,1706
2017-11-15,1706
2017-11-16,1706
2017-11-17,1706
2017-11-18,1706
2017-11-19,1706
2017-11-20,1706
2017-11-21,1620
2017-11-22,1620
2017-11-23,1620
2017-11-24,1620
2017-11-25,1620
2017-11-26,1620
2017-11-27,1620
2017-11-28,1620
2017-11-29,1539
2017-11-30,1539
2017-12-01,1539
2017-12-02,1539
2017-12-03,1539
2017-12-04,1539
2017-12-05,1539
2017-12-06,1552
2017-12-07,1552
2017-12-08,1552
2017-12-09,1552
2017-12-10,1552
2017-12-11,1552
2017-12-12,1552
2017-12-13,1552
2017-12-14,1501
2017-12-15,1501
2017-12-16,1501
2017-12-17,1501
2017-12-18,1501
2017-12-19,1501
2017-12-20,1501
2017-12-21,1501
2017-12-22,1468
2017-12-23,1468
2017-12-24,1468
2017-12-25,1468
2017-12-26,1468
2017-12-27,1468
2017-12-28,1468
2017-12-29,1495
2017-12-30,1495
2017-12-31,1495
2018-01-01,1495
2018-01-02,1495
2018-01-03,1495
2018-01-04,1542
2018-01-05,1542
2018-01-06,1542
2018-01-07,1542
2018-01-08,1542
2018-01-09,1572
2018-01-10,1572
2018-01-11,1572
2018-01-12,1572
2018-01-13,1572
2018-01-14,1572
2018-01-15,1646
2018-01-16,1646
2018-01-17,1646
2018-01-18,1646
2018-01-19,1646
2018-01-20,1646
2018-01-21,1660
2018-01-22,1660
2018-01-23,1660
2018-01-24,1660
2018-01-25,1660
2018-01-26,1600
2018-01-27,1600
2018-01-28,1600
2018-01-29,1600
2018-01-30,1562
2018-01-31,1562
2018-02-01,1562
2018-02-02,1562
2018-02-03,1562
2018-02-04,1608
2018-02-05,1608
2018-02-06,1608
2018-02-07,1608
2018-02-08,1608
2018-02-09,1633
2018-02-10,1633
2018-02-11,1633
2018-02-12,1633
2018-02-13,1633
2018-02-14,1633
2018-02-15,1580
2018-02-16,1580
2018-02-17,1580
2018-02-18,1580
2018-02-19,1580
2018-02-20,1544
2018-02-21,1544
2018-02-22,1544
2018-02-23,1544
2018-02-24,1544
2018-02-25,1561
2018-02-26,1561
2018-02-27,1561
2018-02-28,1561
2018-03-01,1561
2018-03-02,1540
2018-03-03,1540
