date_obj,Chilli%20potato price
2015-03-26,228
2015-03-27,228
2015-03-28,228
2015-03-29,228
2015-03-30,228
2015-03-31,228
2015-04-01,228
2015-04-02,228
2015-04-03,228
2015-04-04,228
2015-04-05,228
2015-04-06,228
2015-04-07,228
2015-04-08,228
2015-04-09,228
2015-04-10,239
2015-04-11,239
2015-04-12,239
2015-04-13,239
2015-04-14,239
2015-04-15,239
2015-04-16,239
2015-04-17,239
2015-04-18,239
2015-04-19,239
2015-04-20,239
2015-04-21,239
2015-04-22,239
2015-04-23,239
2015-04-24,239
2015-04-25,239
2015-04-26,239
2015-04-27,239
2015-04-28,239
2015-04-29,239
2015-04-30,239
2015-05-01,250
2015-05-02,250
2015-05-03,250
2015-05-04,250
2015-05-05,250
2015-05-06,250
2015-05-07,250
2015-05-08,250
2015-05-09,250
2015-05-10,250
2015-05-11,250
2015-05-12,250
2015-05-13,250
2015-05-14,250
2015-05-15,250
2015-05-16,250
2015-05-17,250
2015-05-18,250
2015-05-19,250
2015-05-20,250
2015-05-21,250
2015-05-22,250
2015-05-23,250
2015-05-24,262
2015-05-25,262
2015-05-26,262
2015-05-27,262
2015-05-28,262
2015-05-29,262
2015-05-30,262
2015-05-31,262
2015-06-01,262
2015-06-02,262
2015-06-03,262
2015-06-04,262
2015-06-05,262
2015-06-06,274
2015-06-07,274
2015-06-08,274
2015-06-09,274
2015-06-10,274
2015-06-11,274
2015-06-12,274
2015-06-13,274
2015-06-14,274
2015-06-15,274
2015-06-16,274
2015-06-17,274
2015-06-18,274
2015-06-19,286
2015-06-20,286
2015-06-21,286
2015-06-22,286
2015-06-23,286
2015-06-24,286
2015-06-25,286
2015-06-26,286
2015-06-27,286
2015-06-28,286
2015-06-29,286
2015-06-30,299
2015-07-01,299
2015-07-02,299
2015-07-03,299
2015-07-04,299
2015-07-05,299
2015-07-06,299
2015-07-07,299
2015-07-08,299
2015-07-09,299
2015-07-10,299
2015-07-11,299
2015-07-12,299
2015-07-13,313
2015-07-14,313
2015-07-15,313
2015-07-16,313
2015-07-17,313
2015-07-18,313
2015-07-19,313
2015-07-20,313
2015-07-21,313
2015-07-22,313
2015-07-23,313
2015-07-24,313
2015-07-25,313
2015-07-26,313
2015-07-27,313
2015-07-28,327
2015-07-29,327
2015-07-30,327
2015-07-31,327
2015-08-01,327
2015-08-02,327
2015-08-03,327
2015-08-04,327
2015-08-05,327
2015-08-06,327
2015-08-07,327
2015-08-08,327
2015-08-09,343
2015-08-10,343
2015-08-11,343
2015-08-12,343
2015-08-13,343
2015-08-14,343
2015-08-15,343
2015-08-16,343
2015-08-17,343
2015-08-18,343
2015-08-19,343
2015-08-20,343
2015-08-21,343
2015-08-22,359
2015-08-23,359
2015-08-24,359
2015-08-25,359
2015-08-26,359
2015-08-27,359
2015-08-28,359
2015-08-29,359
2015-08-30,359
2015-08-31,359
2015-09-01,359
2015-09-02,359
2015-09-03,359
2015-09-04,371
2015-09-05,371
2015-09-06,371
2015-09-07,371
2015-09-08,371
2015-09-09,371
2015-09-10,371
2015-09-11,371
2015-09-12,371
2015-09-13,371
2015-09-14,371
2015-09-15,371
2015-09-16,371
2015-09-17,382
2015-09-18,382
2015-09-19,382
2015-09-20,382
2015-09-21,382
2015-09-22,382
2015-09-23,382
2015-09-24,382
2015-09-25,382
2015-09-27,382
2015-09-28,382
2015-09-29,382
2015-09-30,382
2015-10-05,387
2015-10-06,387
2015-10-07,387
2015-10-08,387
2015-10-09,392
2015-10-10,392
2015-10-11,392
2015-10-12,392
2015-10-13,392
2015-10-14,392
2015-10-15,392
2015-10-16,392
2015-10-17,392
2015-10-18,403
2015-10-19,403
2015-10-20,403
2015-10-22,403
2015-10-23,403
2015-10-24,403
2015-10-25,403
2015-10-26,403
2015-10-27,403
2015-10-29,411
2015-10-30,411
2015-10-31,411
2015-11-01,411
2015-11-02,411
2015-11-03,411
2015-11-04,411
2015-11-05,411
2015-11-06,411
2015-11-07,411
2015-11-08,411
2015-11-09,411
2015-11-10,411
2015-11-11,411
2015-11-12,411
2015-11-13,415
2015-11-14,415
2015-11-15,415
2015-11-16,415
2015-11-17,415
2015-11-18,415
2015-11-19,415
2015-11-20,415
2015-11-21,415
2015-11-22,415
2015-11-23,415
2015-11-24,415
2015-11-25,415
2015-11-26,415
2015-11-27,415
2015-11-28,415
2015-11-29,415
2015-11-30,415
2015-12-01,415
2015-12-02,415
2015-12-03,415
2015-12-04,415
2015-12-05,415
