date_obj,Chinchompa price
2015-03-26,750
2015-03-27,750
2015-03-28,750
2015-03-29,743
2015-03-30,743
2015-03-31,743
2015-04-01,761
2015-04-02,761
2015-04-03,761
2015-04-04,765
2015-04-05,765
2015-04-06,765
2015-04-07,759
2015-04-08,759
2015-04-09,759
2015-04-10,767
2015-04-11,767
2015-04-12,767
2015-04-13,773
2015-04-14,773
2015-04-15,773
2015-04-16,790
2015-04-17,790
2015-04-18,790
2015-04-19,789
2015-04-20,789
2015-04-21,789
2015-04-22,789
2015-04-23,777
2015-04-24,777
2015-04-25,777
2015-04-26,777
2015-04-27,756
2015-04-28,756
2015-04-29,756
2015-04-30,756
2015-05-01,758
2015-05-02,758
2015-05-03,758
2015-05-04,737
2015-05-05,737
2015-05-06,737
2015-05-07,701
2015-05-08,701
2015-05-09,701
2015-05-10,671
2015-05-11,671
2015-05-12,671
2015-05-13,676
2015-05-14,676
2015-05-15,676
2015-05-16,697
2015-05-17,697
2015-05-18,688
2015-05-19,688
2015-05-20,688
2015-05-21,688
2015-05-22,672
2015-05-23,672
2015-05-24,672
2015-05-25,671
2015-05-26,671
2015-05-27,671
2015-05-28,669
2015-05-29,669
2015-05-30,669
2015-05-31,694
2015-06-01,694
2015-06-02,694
2015-06-03,695
2015-06-04,695
2015-06-05,695
2015-06-06,722
2015-06-07,722
2015-06-08,722
2015-06-09,759
2015-06-10,759
2015-06-11,759
2015-06-12,788
2015-06-13,788
2015-06-14,784
2015-06-15,784
2015-06-16,784
2015-06-17,753
2015-06-18,753
2015-06-19,720
2015-06-20,720
2015-06-21,720
2015-06-22,708
2015-06-23,708
2015-06-24,708
2015-06-25,699
2015-06-26,699
2015-06-27,715
2015-06-28,715
2015-06-29,715
2015-06-30,734
2015-07-01,734
2015-07-02,734
2015-07-03,745
2015-07-04,745
2015-07-05,745
2015-07-06,713
2015-07-07,713
2015-07-08,713
2015-07-09,697
2015-07-10,697
2015-07-11,697
2015-07-12,665
2015-07-13,665
2015-07-14,636
2015-07-15,636
2015-07-16,636
2015-07-17,639
2015-07-18,639
2015-07-19,639
2015-07-20,628
2015-07-21,628
2015-07-22,632
2015-07-23,632
2015-07-24,632
2015-07-25,615
2015-07-26,615
2015-07-27,615
2015-07-28,601
2015-07-29,601
2015-07-30,608
2015-07-31,608
2015-08-01,608
2015-08-02,635
2015-08-03,635
2015-08-04,635
2015-08-05,616
2015-08-06,616
2015-08-07,616
2015-08-08,611
2015-08-09,611
2015-08-10,604
2015-08-11,604
2015-08-12,604
2015-08-13,604
2015-08-14,597
2015-08-15,597
2015-08-16,597
2015-08-17,597
2015-08-18,571
2015-08-19,571
2015-08-20,571
2015-08-21,547
2015-08-22,547
2015-08-23,547
2015-08-24,547
2015-08-25,534
2015-08-26,534
2015-08-27,534
2015-08-28,555
2015-08-29,555
2015-08-30,555
2015-08-31,555
2015-09-01,579
2015-09-02,579
2015-09-03,579
2015-09-04,579
2015-09-05,606
2015-09-06,606
2015-09-07,606
2015-09-08,606
2015-09-09,606
2015-09-10,635
2015-09-11,635
2015-09-12,635
2015-09-13,663
2015-09-14,663
2015-09-15,663
2015-09-16,663
2015-09-17,694
2015-09-18,694
2015-09-19,694
2015-09-20,694
2015-09-21,694
2015-09-22,728
2015-09-23,728
2015-09-24,728
2015-09-25,728
2015-09-27,763
2015-09-28,763
2015-09-29,763
2015-09-30,763
2015-10-05,800
2015-10-06,800
2015-10-07,838
2015-10-08,838
2015-10-09,838
2015-10-10,838
2015-10-11,873
2015-10-12,873
2015-10-13,873
2015-10-14,873
2015-10-15,873
2015-10-16,911
2015-10-17,911
2015-10-18,911
2015-10-19,911
2015-10-20,911
2015-10-22,931
2015-10-23,931
2015-10-24,931
2015-10-25,964
2015-10-26,964
2015-10-27,964
2015-10-29,964
2015-10-30,964
2015-10-31,1002
2015-11-01,1002
2015-11-02,1002
2015-11-03,1002
2015-11-04,1002
