date_obj,Chocchip%20crunchies price
2015-03-26,400
2015-03-27,400
2015-03-28,400
2015-03-29,400
2015-03-30,400
2015-03-31,400
2015-04-01,415
2015-04-02,415
2015-04-03,415
2015-04-04,415
2015-04-05,415
2015-04-06,415
2015-04-07,415
2015-04-08,415
2015-04-09,415
2015-04-10,415
2015-04-11,415
2015-04-12,415
2015-04-13,415
2015-04-14,415
2015-04-15,415
2015-04-16,415
2015-04-17,415
2015-04-18,415
2015-04-19,415
2015-04-20,415
2015-04-21,415
2015-04-22,415
2015-04-23,415
2015-04-24,415
2015-04-25,415
2015-04-26,415
2015-04-27,415
2015-04-28,415
2015-04-29,415
2015-04-30,415
2015-05-01,415
2015-05-02,415
2015-05-03,415
2015-05-04,428
2015-05-05,428
2015-05-06,428
2015-05-07,428
2015-05-08,428
2015-05-09,428
2015-05-10,428
2015-05-11,428
2015-05-12,428
2015-05-13,428
2015-05-14,428
2015-05-15,428
2015-05-16,428
2015-05-17,428
2015-05-18,428
2015-05-19,428
2015-05-20,428
2015-05-21,428
2015-05-22,428
2015-05-23,428
2015-05-24,428
2015-05-25,428
2015-05-26,428
2015-05-27,428
2015-05-28,428
2015-05-29,428
2015-05-30,428
2015-05-31,428
2015-06-01,428
2015-06-02,439
2015-06-03,439
2015-06-04,439
2015-06-05,439
2015-06-06,439
2015-06-07,439
2015-06-08,439
2015-06-09,439
2015-06-10,439
2015-06-11,439
2015-06-12,439
2015-06-13,439
2015-06-14,439
2015-06-15,439
2015-06-16,439
2015-06-17,439
2015-06-18,439
2015-06-19,439
2015-06-20,439
2015-06-21,439
2015-06-22,439
2015-06-23,439
2015-06-24,439
2015-06-25,439
2015-06-26,439
2015-06-27,439
2015-06-28,439
2015-06-29,439
2015-06-30,439
2015-07-01,439
2015-07-02,439
2015-07-03,439
2015-07-04,439
2015-07-05,439
2015-07-06,439
2015-07-07,439
2015-07-08,439
2015-07-09,439
2015-07-10,455
2015-07-11,455
2015-07-12,455
2015-07-13,455
2015-07-14,455
2015-07-15,455
2015-07-16,455
2015-07-17,455
2015-07-18,455
2015-07-19,455
2015-07-20,455
2015-07-21,455
2015-07-22,455
2015-07-23,455
2015-07-24,455
2015-07-25,455
2015-07-26,455
2015-07-27,455
2015-07-28,455
2015-07-29,455
2015-07-30,455
2015-07-31,455
2015-08-01,455
2015-08-02,455
2015-08-03,455
2015-08-04,455
2015-08-05,455
2015-08-06,455
2015-08-07,455
2015-08-08,455
2015-08-09,455
2015-08-10,455
2015-08-11,455
2015-08-12,455
2015-08-13,455
2015-08-14,455
2015-08-15,455
2015-08-16,455
2015-08-17,457
2015-08-18,457
2015-08-19,457
2015-08-20,457
2015-08-21,457
2015-08-22,457
2015-08-23,457
2015-08-24,457
2015-08-25,457
2015-08-26,457
2015-08-27,457
2015-08-28,457
2015-08-29,457
2015-08-30,457
2015-08-31,457
2015-09-01,457
2015-09-02,457
2015-09-03,457
2015-09-04,457
2015-09-05,457
2015-09-06,457
2015-09-07,457
2015-09-08,457
2015-09-09,457
2015-09-10,457
2015-09-11,457
2015-09-12,457
2015-09-13,457
2015-09-14,457
2015-09-15,457
2015-09-16,457
2015-09-17,457
2015-09-18,457
2015-09-19,457
2015-09-20,457
2015-09-21,474
2015-09-22,474
2015-09-23,474
2015-09-24,474
2015-09-25,474
2015-09-27,474
2015-09-28,474
2015-09-29,474
2015-09-30,474
2015-10-05,474
2015-10-06,474
2015-10-07,474
2015-10-08,474
2015-10-09,474
2015-10-10,474
2015-10-11,474
2015-10-12,474
2015-10-13,474
2015-10-14,474
2015-10-15,474
2015-10-16,474
2015-10-17,474
2015-10-18,474
2015-10-19,474
2015-10-20,474
2015-10-22,474
2015-10-23,474
2015-10-24,474
2015-10-25,474
2015-10-26,474
2015-10-27,474
2015-10-29,474
2015-10-30,474
2015-10-31,474
2015-11-01,474
2015-11-02,474
2015-11-03,474
2015-11-04,474
2015-11-05,474
2015-11-06,493
2015-11-07,493
2015-11-08,493
2015-11-09,493
2015-11-10,493
2015-11-11,493
2015-11-12,493
2015-11-13,493
2015-11-14,493
2015-11-15,493
2015-11-16,493
2015-11-17,493
2015-11-18,493
2015-11-19,493
2015-11-20,493
2015-11-21,493
2015-11-22,493
2015-11-23,493
2015-11-24,493
2015-11-25,493
2015-11-26,493
2015-11-27,493
2015-11-28,493
2015-11-29,493
2015-11-30,493
2015-12-01,493
2015-12-02,493
2015-12-03,493
2015-12-04,493
2015-12-05,493
2015-12-06,493
2015-12-07,493
2015-12-08,493
2015-12-09,493
2015-12-10,493
2015-12-11,493
2015-12-12,493
2015-12-13,493
2015-12-14,493
2015-12-15,493
2015-12-16,493
2015-12-17,493
2015-12-18,493
2015-12-19,493
2015-12-20,515
2015-12-21,515
2015-12-22,515
2015-12-23,515
2015-12-24,515
2015-12-25,515
2015-12-26,515
2015-12-27,515
2015-12-28,515
2015-12-29,515
2015-12-30,515
2015-12-31,515
2016-01-01,515
2016-01-02,515
2016-01-03,515
2016-01-04,515
2016-01-05,515
2016-01-06,515
2016-01-07,515
2016-01-08,515
2016-01-09,515
2016-01-10,515
2016-01-11,515
2016-01-12,515
2016-01-13,515
2016-01-14,515
2016-01-15,515
2016-01-16,515
2016-01-17,515
2016-01-18,531
2016-01-19,531
2016-01-20,531
2016-01-21,531
2016-01-22,531
2016-01-23,531
2016-01-24,531
2016-01-25,531
2016-01-26,531
2016-01-27,531
2016-01-28,531
2016-01-29,531
2016-01-30,531
2016-01-31,531
2016-02-01,531
2016-02-02,531
2016-02-03,531
2016-02-04,531
2016-02-05,531
2016-02-06,531
2016-02-07,531
2016-02-08,531
2016-02-09,531
2016-02-10,531
2016-02-11,531
2016-02-12,531
2016-02-13,531
2016-02-14,535
2016-02-15,535
2016-02-16,535
2016-02-17,535
2016-02-18,535
2016-02-19,535
2016-02-20,535
2016-02-21,535
2016-02-22,535
2016-02-23,535
2016-02-24,535
2016-02-25,535
2016-02-26,535
2016-02-27,535
2016-02-28,535
2016-02-29,535
2016-03-01,535
2016-03-02,535
2016-03-03,535
2016-03-04,535
2016-03-05,535
2016-03-06,535
2016-03-07,535
2016-03-08,535
2016-03-09,535
2016-03-10,535
2016-03-11,535
2016-03-12,535
2016-03-13,535
2016-03-14,535
2016-03-15,535
2016-03-16,533
2016-03-17,533
2016-03-18,533
2016-03-19,533
2016-03-20,533
2016-03-21,533
2016-03-22,533
2016-03-23,533
2016-03-24,533
2016-03-25,533
2016-03-26,533
2016-03-27,533
2016-03-28,533
2016-03-29,533
2016-03-30,533
2016-03-31,533
2016-04-01,533
2016-04-02,533
2016-04-03,533
2016-04-04,533
2016-04-05,533
2016-04-06,533
2016-04-07,533
2016-04-08,533
2016-04-09,559
2016-04-10,559
2016-04-11,559
2016-04-12,559
2016-04-13,559
2016-04-14,559
2016-04-15,559
2016-04-16,559
2016-04-17,559
2016-04-18,559
2016-04-19,559
2016-04-20,559
2016-04-21,559
2016-04-22,559
2016-04-23,559
2016-04-24,559
2016-04-25,559
2016-04-26,559
2016-04-27,559
2016-04-28,559
2016-04-29,559
2016-04-30,559
2016-05-01,559
2016-05-02,571
2016-05-03,571
2016-05-04,571
2016-05-05,571
2016-05-06,571
2016-05-07,571
2016-05-08,571
2016-05-09,571
2016-05-10,571
2016-05-11,571
2016-05-12,571
2016-05-13,571
2016-05-14,571
2016-05-15,571
2016-05-16,571
2016-05-17,571
2016-05-18,571
2016-05-19,571
2016-05-22,571
2016-05-23,571
2016-05-24,571
2016-05-25,571
2016-05-26,571
2016-05-27,571
2016-05-28,599
2016-05-29,599
2016-05-30,599
2016-05-31,599
2016-06-01,599
2016-06-02,599
2016-06-03,599
2016-06-04,599
2016-06-05,599
2016-06-06,599
2016-06-07,599
2016-06-08,599
2016-06-09,599
2016-06-10,599
2016-06-11,599
2016-06-12,599
2016-06-13,599
2016-06-14,611
2016-06-15,611
2016-06-16,611
2016-06-17,611
2016-06-18,611
2016-06-19,611
2016-06-20,611
2016-06-21,611
2016-06-22,611
2016-06-23,611
2016-06-24,611
2016-06-25,611
2016-06-26,611
2016-06-27,611
2016-06-28,611
2016-06-29,611
2016-06-30,611
2016-07-01,611
2016-07-02,611
2016-07-03,611
2016-07-04,611
2016-07-05,611
2016-07-06,611
2016-07-07,611
2016-07-08,611
2016-07-09,611
2016-07-10,611
2016-07-11,611
2016-07-12,611
2016-07-13,611
2016-07-14,611
2016-07-15,638
2016-07-16,638
2016-07-17,638
2016-07-18,638
2016-07-23,638
2016-07-24,638
2016-07-25,638
2016-07-26,638
2016-07-27,638
2016-07-28,638
2016-07-29,638
2016-07-30,638
2016-07-31,638
2016-08-01,638
2016-08-02,638
2016-08-03,638
2016-08-04,638
2016-08-05,638
2016-08-06,638
2016-08-07,638
2016-08-08,638
2016-08-09,638
2016-08-10,638
2016-08-11,638
2016-08-12,638
2016-08-13,638
2016-08-14,638
2016-08-15,638
2016-08-16,638
2016-08-17,638
2016-08-18,638
2016-08-19,646
2016-08-20,646
2016-08-21,646
2016-08-22,646
2016-08-23,646
