date_obj,Clockwork price
2015-03-26,29657
2015-03-27,29657
2015-03-28,29657
2015-03-29,29657
2015-03-30,29657
2015-03-31,29657
2015-04-01,29657
2015-04-02,29657
2015-04-03,29657
2015-04-04,29657
2015-04-05,29657
2015-04-06,29657
2015-04-07,29657
2015-04-08,29657
2015-04-09,29657
2015-04-10,29657
2015-04-11,29657
2015-04-12,29657
2015-04-13,29657
2015-04-14,29657
2015-04-15,29657
2015-04-16,29657
2015-04-17,29657
2015-04-18,29657
2015-04-19,28206
2015-04-20,28206
2015-04-21,28206
2015-04-22,28206
2015-04-23,28206
2015-04-24,28206
2015-04-25,28206
2015-04-26,28206
2015-04-27,28206
2015-04-28,28206
2015-04-29,28206
2015-04-30,28206
2015-05-01,28206
2015-05-02,28206
2015-05-03,28206
2015-05-04,28206
2015-05-05,28206
2015-05-06,28206
2015-05-07,28206
2015-05-08,28206
2015-05-09,28206
2015-05-10,28206
2015-05-11,28206
2015-05-12,28206
2015-05-13,28206
2015-05-14,26810
2015-05-15,26810
2015-05-16,26810
2015-05-17,26810
2015-05-18,26810
2015-05-19,26810
2015-05-20,26810
2015-05-21,26810
2015-05-22,26810
2015-05-23,26810
2015-05-24,26810
2015-05-25,26810
2015-05-26,26810
2015-05-27,26810
2015-05-28,25482
2015-05-29,25482
2015-05-30,25482
2015-05-31,25482
2015-06-01,25482
2015-06-02,25482
2015-06-03,25482
2015-06-04,25482
2015-06-05,25482
2015-06-06,25482
2015-06-07,25482
2015-06-08,25482
2015-06-09,24222
2015-06-10,24222
2015-06-11,24222
2015-06-12,24222
2015-06-13,24222
2015-06-14,24222
2015-06-15,24222
2015-06-16,24222
2015-06-17,24222
2015-06-18,24222
2015-06-19,24222
2015-06-20,24222
2015-06-21,24222
2015-06-22,24222
2015-06-23,24222
2015-06-24,24222
2015-06-25,24222
2015-06-26,23079
2015-06-27,23079
2015-06-28,23079
2015-06-29,23079
2015-06-30,23079
2015-07-01,23079
2015-07-02,23079
2015-07-03,23079
2015-07-04,23079
2015-07-05,23079
2015-07-06,23079
2015-07-07,23079
2015-07-08,23079
2015-07-09,23079
2015-07-10,23079
2015-07-11,23079
2015-07-12,23079
2015-07-13,23079
2015-07-14,23079
2015-07-15,22032
2015-07-16,22032
2015-07-17,22032
2015-07-18,22032
2015-07-19,22032
2015-07-20,22032
2015-07-21,22032
2015-07-22,22032
2015-07-23,22032
2015-07-24,22032
2015-07-25,22032
2015-07-26,22032
2015-07-27,22032
2015-07-28,22032
2015-07-29,22032
2015-07-30,22032
2015-07-31,22032
2015-08-01,20946
2015-08-02,20946
2015-08-03,20946
2015-08-04,20946
2015-08-05,20946
2015-08-06,20946
2015-08-07,20946
2015-08-08,20946
2015-08-09,20946
2015-08-10,20946
2015-08-11,20946
2015-08-12,20946
2015-08-13,20946
2015-08-14,20946
2015-08-15,20946
2015-08-16,20946
2015-08-17,20946
2015-08-18,20946
2015-08-19,20946
2015-08-20,20946
2015-08-21,20946
2015-08-22,20946
2015-08-23,20946
2015-08-24,20946
2015-08-25,20946
2015-08-26,20946
2015-08-27,19913
2015-08-28,19913
2015-08-29,19913
2015-08-30,19913
2015-08-31,19913
2015-09-01,19913
2015-09-02,19913
2015-09-03,19913
2015-09-04,19913
2015-09-05,19913
2015-09-06,19913
2015-09-07,19913
2015-09-08,19913
2015-09-09,19913
2015-09-10,19913
2015-09-11,19913
2015-09-12,19913
2015-09-13,19913
2015-09-14,19913
2015-09-15,19913
2015-09-16,19913
2015-09-17,19913
2015-09-18,19913
2015-09-19,19913
2015-09-20,19913
2015-09-21,19913
2015-09-22,19913
2015-09-23,19913
2015-09-24,19913
2015-09-25,19913
2015-09-27,19913
2015-09-28,18927
2015-09-29,18927
2015-09-30,18927
2015-10-05,18927
2015-10-06,18927
2015-10-07,18927
2015-10-08,18927
2015-10-09,18927
2015-10-10,18927
2015-10-11,18927
2015-10-12,18927
2015-10-13,18927
2015-10-14,18927
2015-10-15,18927
2015-10-16,18927
2015-10-17,18927
2015-10-18,18927
2015-10-19,18927
2015-10-20,18927
2015-10-22,18927
2015-10-23,18927
2015-10-24,18927
2015-10-25,18927
2015-10-26,18927
2015-10-27,18927
2015-10-29,17989
2015-10-30,17989
2015-10-31,17989
2015-11-01,17989
2015-11-02,17989
2015-11-03,17989
2015-11-04,17989
2015-11-05,17989
2015-11-06,17989
2015-11-07,17989
2015-11-08,17989
2015-11-09,17989
2015-11-10,17989
2015-11-11,17989
2015-11-12,17989
2015-11-13,17989
2015-11-14,17989
2015-11-15,17989
2015-11-16,17989
2015-11-17,17989
2015-11-18,17989
2015-11-19,17989
2015-11-20,17989
2015-11-21,17989
2015-11-22,17989
2015-11-23,17989
2015-11-24,17989
2015-11-25,17989
2015-11-26,17989
2015-11-27,17103
2015-11-28,17103
2015-11-29,17103
2015-11-30,17103
2015-12-01,17103
2015-12-02,17103
2015-12-03,17103
2015-12-04,17103
2015-12-05,17103
2015-12-06,17103
2015-12-07,17103
2015-12-08,17103
2015-12-09,17103
2015-12-10,17103
2015-12-11,17103
2015-12-12,17103
2015-12-13,17103
2015-12-14,17103
2015-12-15,17103
2015-12-16,17103
