date_obj,Cocktail%20glass price
2015-03-26,35
2015-03-27,35
2015-03-28,37
2015-03-29,39
2015-03-30,41
2015-03-31,44
2015-04-01,47
2015-04-02,50
2015-04-03,52
2015-04-04,55
2015-04-05,58
2015-04-06,61
2015-04-07,65
2015-04-08,68
2015-04-09,72
2015-04-10,73
2015-04-11,74
2015-04-12,77
2015-04-13,78
2015-04-14,81
2015-04-15,86
2015-04-16,91
2015-04-17,96
2015-04-18,101
2015-04-19,107
2015-04-20,111
2015-04-21,116
2015-04-22,120
2015-04-23,124
2015-04-24,126
2015-04-25,130
2015-04-26,137
2015-04-27,138
2015-04-28,144
2015-04-29,137
2015-04-30,132
2015-05-01,133
2015-05-02,135
2015-05-03,138
2015-05-04,140
2015-05-05,146
2015-05-06,151
2015-05-07,154
2015-05-08,156
2015-05-09,159
2015-05-10,161
2015-05-11,168
2015-05-12,177
2015-05-13,179
2015-05-14,177
2015-05-15,177
2015-05-16,186
2015-05-17,196
2015-05-18,202
2015-05-19,207
2015-05-20,203
2015-05-21,204
2015-05-22,202
2015-05-23,209
2015-05-24,215
2015-05-25,224
2015-05-26,231
2015-05-27,237
2015-05-28,246
2015-05-29,252
2015-05-30,256
2015-05-31,249
2015-06-01,253
2015-06-02,253
2015-06-03,253
2015-06-04,241
2015-06-05,239
2015-06-06,240
2015-06-07,238
2015-06-08,233
2015-06-09,241
2015-06-10,249
2015-06-11,250
2015-06-12,252
2015-06-13,256
2015-06-14,258
2015-06-15,254
2015-06-16,261
2015-06-17,265
2015-06-18,272
2015-06-19,267
2015-06-20,272
2015-06-21,283
2015-06-22,291
2015-06-23,295
2015-06-24,307
2015-06-25,307
2015-06-26,321
2015-06-27,338
2015-06-28,338
2015-06-29,321
2015-06-30,316
2015-07-01,327
2015-07-02,327
2015-07-03,332
2015-07-04,328
2015-07-05,332
2015-07-06,342
2015-07-07,348
2015-07-08,354
2015-07-09,354
2015-07-10,365
2015-07-11,366
2015-07-12,378
2015-07-13,391
2015-07-14,382
2015-07-15,381
2015-07-16,387
2015-07-17,390
2015-07-18,382
2015-07-19,379
2015-07-20,385
2015-07-21,393
2015-07-22,398
2015-07-23,398
2015-07-24,394
2015-07-25,408
2015-07-26,420
2015-07-27,416
2015-07-28,424
2015-07-29,426
2015-07-30,441
2015-07-31,451
2015-08-01,459
2015-08-02,447
