date_obj,Coconut%20milk price
2015-03-26,1900
2015-03-27,1900
2015-03-28,1812
2015-03-29,1812
2015-03-30,1812
2015-03-31,1812
2015-04-01,1812
2015-04-02,1812
2015-04-03,1812
2015-04-04,1812
2015-04-05,1812
2015-04-06,1812
2015-04-07,1812
2015-04-08,1812
2015-04-09,1812
2015-04-10,1812
2015-04-11,1812
2015-04-12,1812
2015-04-13,1812
2015-04-14,1812
2015-04-15,1812
2015-04-16,1812
2015-04-17,1812
2015-04-18,1812
2015-04-19,1812
2015-04-20,1812
2015-04-21,1812
2015-04-22,1812
2015-04-23,1812
2015-04-24,1812
2015-04-25,1812
2015-04-26,1812
2015-04-27,1812
2015-04-28,1727
2015-04-29,1727
2015-04-30,1727
2015-05-01,1727
2015-05-02,1727
2015-05-03,1727
2015-05-04,1727
2015-05-05,1727
2015-05-06,1727
2015-05-07,1727
2015-05-08,1727
2015-05-09,1727
2015-05-10,1727
2015-05-11,1727
2015-05-12,1727
2015-05-13,1727
2015-05-14,1727
2015-05-15,1727
2015-05-16,1727
2015-05-17,1727
2015-05-18,1727
2015-05-19,1727
2015-05-20,1727
2015-05-21,1727
2015-05-22,1727
2015-05-23,1727
2015-05-24,1727
2015-05-25,1727
2015-05-26,1727
2015-05-27,1727
2015-05-28,1650
2015-05-29,1650
2015-05-30,1650
2015-05-31,1650
2015-06-01,1650
2015-06-02,1650
2015-06-03,1650
2015-06-04,1650
2015-06-05,1650
2015-06-06,1650
2015-06-07,1650
2015-06-08,1650
2015-06-09,1650
2015-06-10,1650
2015-06-11,1650
2015-06-12,1650
2015-06-13,1650
2015-06-14,1650
2015-06-15,1650
2015-06-16,1650
2015-06-17,1650
2015-06-18,1650
2015-06-19,1650
2015-06-20,1650
2015-06-21,1650
2015-06-22,1650
2015-06-23,1650
2015-06-24,1650
2015-06-25,1650
2015-06-26,1578
2015-06-27,1578
2015-06-28,1578
2015-06-29,1578
2015-06-30,1578
2015-07-01,1578
2015-07-02,1578
2015-07-03,1578
2015-07-04,1578
2015-07-05,1578
2015-07-06,1578
2015-07-07,1578
2015-07-08,1578
2015-07-09,1578
2015-07-10,1578
2015-07-11,1578
2015-07-12,1578
2015-07-13,1578
2015-07-14,1578
2015-07-15,1578
2015-07-16,1578
2015-07-17,1578
2015-07-18,1578
2015-07-19,1578
2015-07-20,1578
2015-07-21,1578
2015-07-22,1578
2015-07-23,1578
2015-07-24,1578
2015-07-25,1578
2015-07-26,1578
2015-07-27,1578
2015-07-28,1578
2015-07-29,1500
2015-07-30,1500
2015-07-31,1500
2015-08-01,1500
2015-08-02,1500
2015-08-03,1500
2015-08-04,1500
2015-08-05,1500
2015-08-06,1500
2015-08-07,1500
2015-08-08,1500
2015-08-09,1500
2015-08-10,1500
2015-08-11,1500
2015-08-12,1500
2015-08-13,1500
2015-08-14,1500
2015-08-15,1500
2015-08-16,1500
2015-08-17,1500
2015-08-18,1500
2015-08-19,1500
2015-08-20,1500
2015-08-21,1500
2015-08-22,1500
2015-08-23,1500
2015-08-24,1425
2015-08-25,1425
2015-08-26,1425
2015-08-27,1425
2015-08-28,1425
2015-08-29,1425
2015-08-30,1425
2015-08-31,1425
2015-09-01,1425
2015-09-02,1425
2015-09-03,1425
2015-09-04,1425
2015-09-05,1425
2015-09-06,1425
2015-09-07,1425
2015-09-08,1425
2015-09-09,1425
2015-09-10,1425
2015-09-11,1425
2015-09-12,1425
2015-09-13,1425
2015-09-14,1425
2015-09-15,1425
2015-09-16,1425
2015-09-17,1425
2015-09-18,1425
2015-09-19,1378
2015-09-20,1378
2015-09-21,1378
2015-09-22,1378
2015-09-23,1378
2015-09-24,1378
2015-09-25,1378
2015-09-27,1378
2015-09-28,1378
2015-09-29,1378
2015-09-30,1378
2015-10-05,1378
2015-10-06,1378
2015-10-07,1378
2015-10-08,1378
2015-10-09,1378
2015-10-10,1378
2015-10-11,1378
2015-10-12,1378
2015-10-13,1378
2015-10-14,1378
2015-10-15,1378
2015-10-16,1378
2015-10-17,1378
2015-10-18,1378
2015-10-19,1378
2015-10-20,1347
2015-10-22,1347
2015-10-23,1347
2015-10-24,1347
2015-10-25,1347
2015-10-26,1347
2015-10-27,1347
2015-10-29,1347
2015-10-30,1347
2015-10-31,1347
2015-11-01,1347
2015-11-02,1347
2015-11-03,1347
2015-11-04,1347
2015-11-05,1347
2015-11-06,1347
2015-11-07,1347
2015-11-08,1347
2015-11-09,1347
2015-11-10,1347
2015-11-11,1347
2015-11-12,1347
2015-11-13,1347
2015-11-14,1347
2015-11-15,1347
2015-11-16,1347
2015-11-17,1347
2015-11-18,1347
2015-11-19,1347
2015-11-20,1347
2015-11-21,1347
2015-11-22,1347
2015-11-23,1315
2015-11-24,1315
2015-11-25,1315
2015-11-26,1315
2015-11-27,1315
2015-11-28,1315
2015-11-29,1315
2015-11-30,1315
2015-12-01,1315
2015-12-02,1315
2015-12-03,1315
2015-12-04,1315
2015-12-05,1315
2015-12-06,1315
2015-12-07,1315
2015-12-08,1315
2015-12-09,1315
2015-12-10,1315
2015-12-11,1315
2015-12-12,1315
2015-12-13,1315
2015-12-14,1315
2015-12-15,1315
2015-12-16,1315
2015-12-17,1315
2015-12-18,1315
2015-12-19,1315
2015-12-20,1315
2015-12-21,1315
2015-12-22,1315
2015-12-23,1315
2015-12-24,1315
2015-12-25,1315
2015-12-26,1315
2015-12-27,1315
2015-12-28,1315
2015-12-29,1315
2015-12-30,1315
2015-12-31,1315
2016-01-01,1315
2016-01-02,1315
2016-01-03,1315
2016-01-04,1315
2016-01-05,1315
2016-01-06,1315
2016-01-07,1315
2016-01-08,1315
2016-01-09,1315
2016-01-10,1315
2016-01-11,1315
2016-01-12,1315
2016-01-13,1315
2016-01-14,1315
2016-01-15,1315
2016-01-16,1315
2016-01-17,1318
2016-01-18,1318
2016-01-19,1318
2016-01-20,1318
2016-01-21,1318
2016-01-22,1318
2016-01-23,1318
2016-01-24,1318
2016-01-25,1318
2016-01-26,1318
2016-01-27,1318
2016-01-28,1318
2016-01-29,1318
2016-01-30,1318
2016-01-31,1318
2016-02-01,1318
2016-02-02,1318
2016-02-03,1318
2016-02-04,1318
2016-02-05,1318
2016-02-06,1318
2016-02-07,1318
2016-02-08,1318
2016-02-09,1318
2016-02-10,1318
2016-02-11,1318
2016-02-12,1327
2016-02-13,1327
2016-02-14,1327
2016-02-15,1327
2016-02-16,1327
2016-02-17,1327
2016-02-18,1327
2016-02-19,1327
2016-02-20,1327
2016-02-21,1327
2016-02-22,1327
2016-02-23,1327
2016-02-24,1327
2016-02-25,1327
2016-02-26,1327
2016-02-27,1327
2016-02-28,1327
2016-02-29,1327
2016-03-01,1327
2016-03-02,1327
2016-03-03,1327
2016-03-04,1327
2016-03-05,1327
2016-03-06,1327
2016-03-07,1327
2016-03-08,1327
2016-03-09,1327
2016-03-10,1327
2016-03-11,1327
2016-03-12,1324
2016-03-13,1324
2016-03-14,1324
2016-03-15,1324
2016-03-16,1324
2016-03-17,1324
2016-03-18,1324
2016-03-19,1324
2016-03-20,1324
2016-03-21,1324
2016-03-22,1324
2016-03-23,1324
2016-03-24,1324
2016-03-25,1324
2016-03-26,1324
2016-03-27,1324
2016-03-28,1324
2016-03-29,1324
2016-03-30,1324
2016-03-31,1324
2016-04-01,1324
2016-04-02,1324
2016-04-03,1324
2016-04-04,1273
2016-04-05,1273
2016-04-06,1273
2016-04-07,1273
2016-04-08,1273
2016-04-09,1273
2016-04-10,1273
2016-04-11,1273
2016-04-12,1273
2016-04-13,1273
2016-04-14,1273
2016-04-15,1273
2016-04-16,1273
2016-04-17,1273
2016-04-18,1273
2016-04-19,1273
2016-04-20,1273
2016-04-21,1273
2016-04-22,1273
2016-04-23,1273
2016-04-24,1273
2016-04-25,1273
2016-04-26,1245
2016-04-27,1245
2016-04-28,1245
2016-04-29,1245
2016-04-30,1245
2016-05-01,1245
2016-05-02,1245
2016-05-03,1245
2016-05-04,1245
2016-05-05,1245
2016-05-06,1245
2016-05-07,1245
2016-05-08,1245
2016-05-09,1245
2016-05-10,1245
2016-05-11,1245
2016-05-12,1245
2016-05-13,1245
2016-05-14,1245
2016-05-15,1245
2016-05-16,1226
2016-05-17,1226
2016-05-18,1226
2016-05-19,1226
2016-05-22,1226
2016-05-23,1226
2016-05-24,1226
2016-05-25,1226
2016-05-26,1226
2016-05-27,1226
2016-05-28,1226
2016-05-29,1226
2016-05-30,1226
2016-05-31,1226
2016-06-01,1226
2016-06-02,1226
2016-06-03,1226
2016-06-04,1226
2016-06-05,1226
2016-06-06,1164
2016-06-07,1164
2016-06-08,1164
2016-06-09,1164
2016-06-10,1164
2016-06-11,1164
2016-06-12,1164
2016-06-13,1164
2016-06-14,1164
2016-06-15,1164
2016-06-16,1164
2016-06-17,1164
2016-06-18,1164
2016-06-19,1164
2016-06-20,1164
2016-06-21,1164
2016-06-22,1164
2016-06-23,1164
2016-06-24,1164
2016-06-25,1164
2016-06-26,1164
2016-06-27,1124
2016-06-28,1124
2016-06-29,1124
2016-06-30,1124
2016-07-01,1124
2016-07-02,1124
2016-07-03,1124
2016-07-04,1124
2016-07-05,1124
2016-07-06,1124
2016-07-07,1124
2016-07-08,1124
2016-07-09,1124
2016-07-10,1124
2016-07-11,1124
2016-07-12,1124
2016-07-13,1124
2016-07-14,1124
2016-07-15,1124
2016-07-16,1101
2016-07-17,1101
2016-07-18,1101
2016-07-23,1101
2016-07-24,1101
2016-07-25,1101
2016-07-26,1101
2016-07-27,1101
2016-07-28,1101
2016-07-29,1101
2016-07-30,1101
2016-07-31,1101
2016-08-01,1101
2016-08-02,1101
2016-08-03,1101
2016-08-04,1101
2016-08-05,1101
2016-08-06,1101
2016-08-07,1122
2016-08-08,1122
2016-08-09,1122
2016-08-10,1122
2016-08-11,1122
2016-08-12,1122
2016-08-13,1122
2016-08-14,1122
2016-08-15,1122
2016-08-16,1122
2016-08-17,1122
2016-08-18,1122
2016-08-19,1122
2016-08-20,1122
2016-08-21,1122
2016-08-22,1122
2016-08-23,1122
2016-08-24,1122
2016-08-25,1122
2016-08-26,1122
2016-08-28,1122
2016-08-31,1118
2016-09-01,1118
2016-09-02,1118
2016-09-03,1118
2016-09-04,1118
2016-09-05,1118
2016-09-06,1118
2016-09-07,1118
2016-09-08,1118
2016-09-09,1118
2016-09-10,1118
2016-09-11,1118
2016-09-12,1118
2016-09-13,1118
2016-09-14,1118
2016-09-15,1118
