date_obj,Combat%20bracelet price
2015-03-26,21599
2015-03-27,20934
2015-03-28,21428
2015-03-29,21717
2015-03-30,21040
2015-03-31,20678
2015-04-01,20779
2015-04-02,21460
2015-04-03,22172
2015-04-04,22134
2015-04-05,22272
2015-04-06,21262
2015-04-07,21336
2015-04-08,22014
2015-04-09,21446
2015-04-10,20373
2015-04-11,19453
2015-04-12,18760
2015-04-13,17934
2015-04-14,18202
2015-04-15,18320
2015-04-16,18801
2015-04-17,18393
2015-04-18,17915
2015-04-19,18121
2015-04-20,17805
2015-04-21,17129
2015-04-22,17239
2015-04-23,17712
2015-04-24,18153
2015-04-25,18497
2015-04-26,18533
2015-04-27,17854
2015-04-28,18313
2015-04-29,18985
2015-04-30,19437
2015-05-01,20409
2015-05-02,21430
2015-05-03,22231
2015-05-04,23269
2015-05-05,22794
2015-05-06,23846
2015-05-07,24409
2015-05-08,24425
2015-05-09,23550
2015-05-10,22839
2015-05-11,22309
2015-05-12,22344
2015-05-13,23009
2015-05-14,23149
2015-05-15,23522
2015-05-16,22985
2015-05-17,22673
2015-05-18,21704
2015-05-19,20958
2015-05-20,20356
2015-05-21,20118
2015-05-22,20766
2015-05-23,21384
2015-05-24,22350
2015-05-25,23169
2015-05-26,22832
2015-05-27,23434
2015-05-28,22726
2015-05-29,22024
2015-05-30,22149
2015-05-31,22519
2015-06-01,22865
2015-06-02,23031
2015-06-03,22882
2015-06-04,22709
2015-06-05,22558
2015-06-06,22014
2015-06-07,21986
2015-06-08,22415
2015-06-09,21646
2015-06-10,20858
2015-06-11,20970
2015-06-12,21189
2015-06-13,21045
2015-06-14,21148
2015-06-15,21184
2015-06-16,21481
2015-06-17,21668
2015-06-18,22073
2015-06-19,22256
2015-06-20,22698
2015-06-21,23413
2015-06-22,23670
2015-06-23,23482
2015-06-24,22804
2015-06-25,21766
2015-06-26,20681
2015-06-27,20030
2015-06-28,20194
2015-06-29,20594
2015-06-30,21073
2015-07-01,20995
2015-07-02,20742
2015-07-03,21594
2015-07-04,22227
2015-07-05,23142
2015-07-06,23577
2015-07-07,23459
2015-07-08,23820
2015-07-09,23431
2015-07-10,23226
2015-07-11,23083
2015-07-12,23606
2015-07-13,24586
2015-07-14,23798
2015-07-15,23646
2015-07-16,24498
2015-07-17,25108
2015-07-18,24853
2015-07-19,24368
2015-07-20,23829
2015-07-21,23886
2015-07-22,23968
2015-07-23,23524
2015-07-24,23734
2015-07-25,24132
2015-07-26,24903
2015-07-27,24940
2015-07-28,25710
2015-07-29,25560
2015-07-30,25147
2015-07-31,25575
2015-08-01,26088
2015-08-02,26027
2015-08-03,26342
2015-08-04,26818
2015-08-05,27009
2015-08-06,27750
2015-08-07,27646
2015-08-08,26651
2015-08-09,25486
2015-08-10,24671
2015-08-11,24554
2015-08-12,24041
2015-08-13,24623
2015-08-14,25178
2015-08-15,25963
2015-08-16,26536
2015-08-17,26794
2015-08-18,26285
2015-08-19,26452
2015-08-20,26687
2015-08-21,26694
2015-08-22,27315
2015-08-23,28158
2015-08-24,28690
2015-08-25,28095
2015-08-26,27614
2015-08-27,27948
2015-08-28,28215
2015-08-29,28479
2015-08-30,28778
2015-08-31,28748
2015-09-01,28220
2015-09-02,28010
2015-09-03,28039
2015-09-04,28445
2015-09-05,28821
2015-09-06,29815
2015-09-07,29263
2015-09-08,29190
2015-09-09,29709
2015-09-10,29712
2015-09-11,28870
2015-09-12,28720
2015-09-13,28742
2015-09-14,28795
2015-09-15,27889
2015-09-16,28510
2015-09-17,28783
2015-09-18,29352
2015-09-19,28649
2015-09-20,28203
2015-09-21,27757
2015-09-22,27481
2015-09-23,27821
2015-09-24,27783
2015-09-25,27093
2015-09-27,27243
2015-09-28,27601
2015-09-29,27451
2015-09-30,27759
2015-10-05,28702
2015-10-06,28495
2015-10-07,28630
2015-10-08,27727
2015-10-09,27092
2015-10-10,26893
2015-10-11,25807
2015-10-12,25288
2015-10-13,25930
2015-10-14,25958
2015-10-15,26218
2015-10-16,27342
2015-10-17,27714
2015-10-18,27482
2015-10-19,27141
2015-10-20,27820
2015-10-22,28865
2015-10-23,29517
2015-10-24,29355
2015-10-25,28649
2015-10-26,28934
2015-10-27,28946
2015-10-29,29714
2015-10-30,29288
2015-10-31,29034
2015-11-01,29012
2015-11-02,28699
2015-11-03,28403
2015-11-04,28611
2015-11-05,29323
2015-11-06,30027
2015-11-07,30095
2015-11-08,29417
2015-11-09,28412
2015-11-10,27881
2015-11-11,28604
2015-11-12,29773
2015-11-13,30373
2015-11-14,29663
2015-11-15,29102
2015-11-16,29067
2015-11-17,28886
2015-11-18,28033
2015-11-19,27331
2015-11-20,27004
2015-11-21,27320
2015-11-22,27854
2015-11-23,27232
2015-11-24,28137
2015-11-25,28617
2015-11-26,28997
2015-11-27,29045
2015-11-28,29110
2015-11-29,29501
2015-11-30,29832
2015-12-01,29096
2015-12-02,29415
2015-12-03,29181
2015-12-04,29247
2015-12-05,28924
2015-12-06,28951
2015-12-07,29313
2015-12-08,29012
2015-12-09,28642
2015-12-10,28906
2015-12-11,29046
2015-12-12,28786
2015-12-13,29385
2015-12-14,29896
2015-12-15,30374
2015-12-16,29748
2015-12-17,29409
2015-12-18,29103
2015-12-19,29018
2015-12-20,29286
2015-12-21,28550
2015-12-22,29173
2015-12-23,29419
2015-12-24,29567
2015-12-25,28914
2015-12-26,29529
2015-12-27,29617
2015-12-28,29844
2015-12-29,30285
2015-12-30,29359
2015-12-31,28655
2016-01-01,28985
2016-01-02,29088
2016-01-03,29531
2016-01-04,29585
2016-01-05,30678
2016-01-06,31332
2016-01-07,31087
2016-01-08,30342
2016-01-09,30994
2016-01-10,31538
2016-01-11,32719
2016-01-12,33769
2016-01-13,34776
2016-01-14,33565
2016-01-15,32259
2016-01-16,31511
2016-01-17,31361
2016-01-18,31641
2016-01-19,30933
2016-01-20,31425
2016-01-21,31125
2016-01-22,31592
2016-01-23,31477
2016-01-24,31147
2016-01-25,31834
2016-01-26,32609
2016-01-27,31865
2016-01-28,31063
2016-01-29,30718
2016-01-30,31218
2016-01-31,31154
2016-02-01,31407
2016-02-02,31337
2016-02-03,30866
2016-02-04,30295
2016-02-05,30606
2016-02-06,30102
2016-02-07,29643
2016-02-08,29869
2016-02-09,30664
2016-02-10,30487
2016-02-11,30005
2016-02-12,29879
2016-02-13,29041
2016-02-14,28881
2016-02-15,28988
2016-02-16,29405
2016-02-17,30028
2016-02-18,30364
2016-02-19,29237
2016-02-20,28777
2016-02-21,28674
2016-02-22,28922
2016-02-23,29045
2016-02-24,29697
2016-02-25,30204
2016-02-26,30909
2016-02-27,30315
2016-02-28,30681
2016-02-29,30265
2016-03-01,29882
2016-03-02,29709
2016-03-03,29789
2016-03-04,30886
2016-03-05,31219
2016-03-06,31020
2016-03-07,30947
2016-03-08,31211
2016-03-09,30928
2016-03-10,30173
2016-03-11,30031
2016-03-12,30324
2016-03-13,30134
2016-03-14,30218
2016-03-15,31027
2016-03-16,30960
2016-03-17,31033
2016-03-18,31041
2016-03-19,30884
2016-03-20,30950
2016-03-21,31249
2016-03-22,31249
2016-03-23,31252
2016-03-24,30532
2016-03-25,30145
2016-03-26,31162
2016-03-27,32404
2016-03-28,32036
2016-03-29,31384
2016-03-30,31088
2016-03-31,30529
2016-04-01,30746
2016-04-02,30383
2016-04-03,31452
2016-04-04,32110
2016-04-05,31937
2016-04-06,30722
2016-04-07,30531
2016-04-08,30316
2016-04-09,30891
2016-04-10,31503
2016-04-11,31366
2016-04-12,31544
2016-04-13,32681
2016-04-14,33762
2016-04-15,35234
2016-04-16,35915
2016-04-17,36452
2016-04-18,36094
2016-04-19,34646
2016-04-20,33932
2016-04-21,32916
2016-04-22,32866
2016-04-23,32172
2016-04-24,32383
2016-04-25,32052
2016-04-26,32331
2016-04-27,33038
2016-04-28,33229
2016-04-29,33152
2016-04-30,32890
2016-05-01,33545
2016-05-02,34037
2016-05-03,34119
2016-05-04,33427
2016-05-05,32669
2016-05-06,31756
2016-05-07,30708
2016-05-08,31111
2016-05-09,30743
2016-05-10,29578
2016-05-11,29442
2016-05-12,29495
2016-05-13,29805
2016-05-14,29102
2016-05-15,29346
2016-05-16,29163
2016-05-17,29825
2016-05-18,30793
2016-05-19,31492
2016-05-22,30262
2016-05-23,30489
2016-05-24,29609
2016-05-25,29475
2016-05-26,28907
2016-05-27,28145
2016-05-28,27823
2016-05-29,27194
2016-05-30,27177
2016-05-31,28402
2016-06-01,28479
2016-06-02,29793
2016-06-03,30394
2016-06-04,29961
2016-06-05,28462
2016-06-06,28538
2016-06-07,28898
2016-06-08,28524
2016-06-09,28532
2016-06-10,28325
2016-06-11,28267
2016-06-12,28014
2016-06-13,28378
2016-06-14,28247
2016-06-15,29172
2016-06-16,29185
2016-06-17,28576
2016-06-18,28129
2016-06-19,28301
2016-06-20,27917
2016-06-21,28048
2016-06-22,28771
2016-06-23,28669
2016-06-24,29154
2016-06-25,30493
2016-06-26,32013
2016-06-27,33223
2016-06-28,32475
2016-06-29,31877
2016-06-30,31083
2016-07-01,30758
2016-07-02,30775
2016-07-03,31079
2016-07-04,31285
2016-07-05,31435
2016-07-06,30895
2016-07-07,29928
2016-07-08,30465
2016-07-09,31106
2016-07-10,30947
2016-07-11,29697
2016-07-12,29079
2016-07-13,28864
2016-07-14,28074
2016-07-15,27776
2016-07-16,27777
2016-07-17,28217
2016-07-18,29061
2016-07-23,27911
2016-07-24,27946
2016-07-25,28695
2016-07-26,29468
2016-07-27,29136
2016-07-28,28400
2016-07-29,28788
2016-07-30,29483
2016-07-31,30522
2016-08-01,30659
2016-08-02,31169
2016-08-03,31235
2016-08-04,30914
2016-08-05,31114
2016-08-06,29847
2016-08-07,29147
2016-08-08,28717
2016-08-09,28955
2016-08-10,30074
2016-08-11,30576
2016-08-12,29205
2016-08-13,28901
2016-08-14,30057
2016-08-15,29129
2016-08-16,28820
2016-08-17,28658
2016-08-18,28656
2016-08-19,29128
2016-08-20,29235
2016-08-21,28305
2016-08-22,27576
2016-08-23,26886
2016-08-24,27745
2016-08-25,28230
2016-08-26,27178
2016-08-28,28381
2016-08-31,26386
2016-09-01,25471
2016-09-02,25069
2016-09-03,25402
2016-09-04,25764
2016-09-05,26154
2016-09-06,26615
2016-09-07,26695
2016-09-08,26821
2016-09-09,27343
2016-09-10,27264
2016-09-11,26102
2016-09-12,25926
2016-09-13,26094
2016-09-14,25496
2016-09-15,26092
2016-09-16,25939
2016-09-17,26172
2016-09-18,26346
2016-09-19,27564
2016-09-20,26972
2016-09-21,26174
2016-09-22,25645
2016-09-23,25006
2016-09-24,25108
2016-09-25,25153
2016-09-26,24440
2016-09-27,24494
2016-09-28,24593
2016-09-29,23671
2016-09-30,23144
2016-10-01,22906
2016-10-02,23201
2016-10-03,22624
2016-10-04,22719
2016-10-05,22034
2016-10-06,21568
2016-10-07,21259
2016-10-08,21016
2016-10-09,21161
2016-10-10,21664
2016-10-11,22344
2016-10-12,22002
2016-10-13,22519
2016-10-14,23519
2016-10-15,23713
