date_obj,Cooked%20slimy%20eel price
2015-03-26,72500
2015-03-27,72500
2015-03-28,72500
2015-03-29,72500
2015-03-30,72500
2015-03-31,72500
2015-04-01,72500
2015-04-02,68968
2015-04-03,68968
2015-04-04,68968
2015-04-05,68968
2015-04-06,68968
2015-04-07,68968
2015-04-08,68968
2015-04-09,68968
2015-04-10,68968
2015-04-11,68968
2015-04-12,68968
2015-04-13,68968
2015-04-14,68968
2015-04-15,68968
2015-04-16,68968
2015-04-17,68968
2015-04-18,68968
2015-04-19,68968
2015-04-20,68968
2015-04-21,68968
2015-04-22,68968
2015-04-23,68968
2015-04-24,68968
2015-04-25,68968
2015-04-26,68968
2015-04-27,68968
2015-04-28,68968
2015-04-29,68968
2015-04-30,68968
2015-05-01,68968
2015-05-02,68968
2015-05-03,68968
2015-05-04,68968
2015-05-05,65539
2015-05-06,65539
2015-05-07,950
2015-05-08,950
2015-05-09,950
2015-05-10,950
2015-05-11,950
2015-05-12,950
2015-05-13,950
2015-05-14,950
2015-05-15,950
2015-05-16,950
2015-05-17,950
2015-05-18,950
2015-05-19,950
2015-05-20,950
2015-05-21,950
2015-05-22,950
2015-05-23,950
2015-05-24,950
2015-05-25,950
2015-05-26,950
2015-05-27,950
2015-05-28,946
2015-05-29,946
2015-05-30,946
2015-05-31,946
2015-06-01,946
2015-06-02,946
2015-06-03,946
2015-06-04,946
2015-06-05,946
2015-06-06,946
2015-06-07,946
2015-06-08,946
2015-06-09,946
2015-06-10,946
2015-06-11,946
2015-06-12,946
2015-06-13,946
2015-06-14,946
2015-06-15,946
2015-06-16,946
2015-06-17,946
2015-06-18,946
2015-06-19,942
2015-06-20,942
2015-06-21,942
2015-06-22,942
2015-06-23,942
2015-06-24,942
2015-06-25,942
2015-06-26,942
2015-06-27,942
2015-06-28,942
2015-06-29,942
2015-06-30,942
2015-07-01,942
2015-07-02,942
2015-07-03,942
2015-07-04,942
2015-07-05,942
2015-07-06,942
2015-07-07,942
2015-07-08,942
2015-07-09,942
2015-07-10,942
2015-07-11,942
2015-07-12,942
2015-07-13,940
2015-07-14,940
2015-07-15,940
2015-07-16,940
2015-07-17,940
2015-07-18,940
2015-07-19,940
