date_obj,Cowhide price
2015-03-26,195
2015-03-27,201
2015-03-28,206
2015-03-29,201
2015-03-30,192
2015-03-31,193
2015-04-01,191
2015-04-02,193
2015-04-03,194
2015-04-04,193
2015-04-05,191
2015-04-06,192
2015-04-07,190
2015-04-08,187
2015-04-09,187
2015-04-10,189
2015-04-11,191
2015-04-12,191
2015-04-13,191
2015-04-14,193
2015-04-15,193
2015-04-16,192
2015-04-17,193
2015-04-18,193
2015-04-19,192
2015-04-20,189
2015-04-21,182
2015-04-22,173
2015-04-23,164
2015-04-24,160
2015-04-25,154
2015-04-26,152
2015-04-27,147
2015-04-28,144
2015-04-29,143
2015-04-30,140
2015-05-01,145
2015-05-02,152
2015-05-03,160
2015-05-04,163
2015-05-05,166
2015-05-06,164
2015-05-07,168
2015-05-08,170
2015-05-09,170
2015-05-10,166
2015-05-11,168
2015-05-12,165
2015-05-13,160
2015-05-14,154
2015-05-15,159
2015-05-16,164
2015-05-17,167
2015-05-18,169
2015-05-19,170
2015-05-20,169
2015-05-21,166
2015-05-22,167
2015-05-23,168
2015-05-24,167
2015-05-25,166
2015-05-26,165
2015-05-27,164
2015-05-28,160
2015-05-29,155
2015-05-30,150
2015-05-31,147
2015-06-01,142
2015-06-02,143
2015-06-03,138
2015-06-04,135
2015-06-05,137
2015-06-06,139
2015-06-07,140
2015-06-08,146
2015-06-09,151
2015-06-10,154
2015-06-11,158
2015-06-12,164
2015-06-13,163
2015-06-14,160
2015-06-15,161
2015-06-16,159
2015-06-17,154
2015-06-18,151
2015-06-19,156
2015-06-20,153
2015-06-21,153
2015-06-22,158
2015-06-23,163
2015-06-24,158
2015-06-25,152
2015-06-26,147
2015-06-27,143
2015-06-28,143
2015-06-29,145
2015-06-30,142
2015-07-01,142
2015-07-02,142
2015-07-03,143
2015-07-04,147
2015-07-05,147
2015-07-06,145
2015-07-07,144
2015-07-08,142
2015-07-09,140
2015-07-10,139
2015-07-11,135
2015-07-12,134
2015-07-13,129
2015-07-14,124
2015-07-15,118
2015-07-16,113
2015-07-17,113
2015-07-18,117
2015-07-19,115
2015-07-20,119
2015-07-21,120
2015-07-22,120
2015-07-23,119
2015-07-24,122
2015-07-25,123
2015-07-26,125
2015-07-27,130
2015-07-28,134
2015-07-29,134
2015-07-30,128
2015-07-31,127
2015-08-01,126
2015-08-02,129
2015-08-03,128
2015-08-04,128
2015-08-05,127
2015-08-06,125
2015-08-07,121
2015-08-08,114
2015-08-09,109
2015-08-10,106
2015-08-11,109
2015-08-12,112
2015-08-13,111
2015-08-14,107
2015-08-15,104
2015-08-16,101
2015-08-17,100
2015-08-18,105
2015-08-19,104
2015-08-20,101
2015-08-21,101
2015-08-22,100
2015-08-23,100
2015-08-24,100
2015-08-25,101
2015-08-26,104
2015-08-27,104
2015-08-28,101
2015-08-29,99
2015-08-30,96
2015-08-31,99
2015-09-01,97
2015-09-02,97
2015-09-03,94
2015-09-04,95
2015-09-05,96
2015-09-06,95
2015-09-07,98
2015-09-08,99
2015-09-09,102
2015-09-10,100
2015-09-11,100
2015-09-12,102
2015-09-13,104
2015-09-14,107
2015-09-15,107
2015-09-16,108
2015-09-17,111
2015-09-18,109
2015-09-19,109
2015-09-20,108
2015-09-21,107
2015-09-22,105
2015-09-23,103
2015-09-24,104
2015-09-25,108
2015-09-27,107
2015-09-28,109
2015-09-29,107
2015-09-30,111
2015-10-05,133
2015-10-06,137
2015-10-07,144
2015-10-08,151
2015-10-09,154
2015-10-10,157
2015-10-11,153
2015-10-12,152
2015-10-13,151
2015-10-14,153
2015-10-15,150
2015-10-16,146
2015-10-17,141
2015-10-18,133
2015-10-19,126
2015-10-20,120
2015-10-22,116
2015-10-23,116
2015-10-24,114
2015-10-25,113
2015-10-26,113
2015-10-27,118
2015-10-29,114
2015-10-30,113
2015-10-31,112
2015-11-01,111
2015-11-02,113
2015-11-03,116
2015-11-04,122
2015-11-05,128
2015-11-06,133
2015-11-07,135
2015-11-08,134
2015-11-09,132
2015-11-10,127
2015-11-11,124
2015-11-12,120
2015-11-13,117
2015-11-14,118
2015-11-15,119
2015-11-16,118
2015-11-17,122
2015-11-18,125
2015-11-19,127
2015-11-20,128
2015-11-21,130
2015-11-22,128
2015-11-23,129
2015-11-24,128
2015-11-25,126
2015-11-26,130
2015-11-27,133
2015-11-28,137
2015-11-29,142
2015-11-30,145
2015-12-01,149
2015-12-02,152
2015-12-03,152
2015-12-04,150
2015-12-05,148
2015-12-06,146
2015-12-07,138
2015-12-08,133
2015-12-09,130
2015-12-10,128
2015-12-11,122
2015-12-12,118
2015-12-13,118
2015-12-14,121
2015-12-15,117
2015-12-16,116
2015-12-17,114
2015-12-18,111
2015-12-19,112
2015-12-20,112
2015-12-21,107
2015-12-22,110
2015-12-23,114
2015-12-24,115
2015-12-25,112
2015-12-26,109
2015-12-27,109
2015-12-28,110
2015-12-29,107
2015-12-30,104
2015-12-31,101
2016-01-01,100
2016-01-02,98
2016-01-03,101
2016-01-04,106
2016-01-05,106
2016-01-06,108
2016-01-07,108
2016-01-08,107
2016-01-09,105
2016-01-10,108
2016-01-11,107
2016-01-12,108
2016-01-13,113
2016-01-14,114
2016-01-15,116
2016-01-16,114
2016-01-17,115
2016-01-18,112
2016-01-19,113
2016-01-20,110
2016-01-21,112
2016-01-22,110
2016-01-23,114
2016-01-24,116
2016-01-25,114
2016-01-26,115
2016-01-27,114
2016-01-28,114
2016-01-29,112
2016-01-30,112
2016-01-31,111
2016-02-01,113
2016-02-02,117
2016-02-03,118
2016-02-04,121
2016-02-05,120
2016-02-06,125
2016-02-07,130
2016-02-08,135
2016-02-09,135
2016-02-10,136
2016-02-11,136
2016-02-12,139
2016-02-13,141
2016-02-14,140
2016-02-15,140
2016-02-16,138
2016-02-17,135
2016-02-18,136
2016-02-19,134
2016-02-20,137
2016-02-21,139
2016-02-22,141
2016-02-23,137
2016-02-24,131
2016-02-25,126
2016-02-26,126
2016-02-27,124
2016-02-28,121
2016-03-01,123
2016-03-02,129
2016-03-03,127
2016-03-04,124
2016-03-05,121
2016-03-06,116
2016-03-07,116
2016-03-08,113
2016-03-09,110
2016-03-10,109
2016-03-11,113
2016-03-12,111
2016-03-13,110
2016-03-14,110
2016-03-15,110
2016-03-16,111
2016-03-17,114
2016-03-18,112
2016-03-19,112
2016-03-20,111
2016-03-21,110
2016-03-22,114
2016-03-23,113
2016-03-24,113
2016-03-25,113
2016-03-26,110
2016-03-27,107
2016-03-28,104
2016-03-29,105
2016-03-30,106
2016-03-31,102
2016-04-01,103
2016-04-02,103
2016-04-03,102
2016-04-04,103
2016-04-05,102
2016-04-06,102
2016-04-07,102
2016-04-08,103
2016-04-09,104
2016-04-10,104
2016-04-11,105
2016-04-12,103
2016-04-13,102
2016-04-14,102
2016-04-15,102
2016-04-16,102
2016-04-17,102
2016-04-18,103
2016-04-19,105
2016-04-20,107
2016-04-21,111
2016-04-22,114
2016-04-23,111
2016-04-24,110
2016-04-25,108
2016-04-26,106
2016-04-27,106
2016-04-28,108
2016-04-29,108
2016-04-30,108
2016-05-01,109
2016-05-02,110
2016-05-03,110
2016-05-04,112
2016-05-05,109
2016-05-06,108
2016-05-07,108
2016-05-08,105
2016-05-09,105
2016-05-10,105
2016-05-11,106
2016-05-12,107
2016-05-13,106
2016-05-14,107
2016-05-15,109
2016-05-16,109
2016-05-17,109
2016-05-18,109
2016-05-19,108
2016-05-22,107
2016-05-23,106
2016-05-24,104
2016-05-25,102
2016-05-26,101
2016-05-27,101
2016-05-28,102
2016-05-29,101
2016-05-30,101
2016-05-31,100
2016-06-01,100
2016-06-02,103
2016-06-03,100
2016-06-04,101
2016-06-05,99
2016-06-06,99
2016-06-07,101
2016-06-08,101
2016-06-09,99
2016-06-10,98
2016-06-11,98
2016-06-12,96
2016-06-13,98
2016-06-14,98
2016-06-15,98
2016-06-16,99
2016-06-17,100
2016-06-18,100
2016-06-19,98
2016-06-20,100
2016-06-21,99
2016-06-22,97
2016-06-23,97
2016-06-24,96
2016-06-25,96
2016-06-26,98
2016-06-27,99
2016-06-28,97
2016-06-29,97
2016-06-30,96
2016-07-01,92
2016-07-02,91
2016-07-03,91
2016-07-04,90
2016-07-05,90
2016-07-06,91
2016-07-07,92
2016-07-08,91
2016-07-09,91
2016-07-10,91
2016-07-11,94
2016-07-12,96
2016-07-13,98
2016-07-14,100
2016-07-15,102
2016-07-16,105
2016-07-17,105
2016-07-18,105
2016-07-23,104
2016-07-24,104
2016-07-25,106
2016-07-26,108
2016-07-27,106
2016-07-28,106
2016-07-29,102
2016-07-30,103
2016-07-31,103
2016-08-01,103
2016-08-02,102
2016-08-03,102
2016-08-04,99
2016-08-05,99
2016-08-06,99
2016-08-07,99
2016-08-08,103
2016-08-09,105
2016-08-10,106
2016-08-11,106
2016-08-12,107
2016-08-13,104
2016-08-14,104
2016-08-15,107
2016-08-16,107
2016-08-17,106
2016-08-18,106
2016-08-19,106
2016-08-20,108
2016-08-21,107
2016-08-22,109
2016-08-23,107
2016-08-24,102
2016-08-25,103
2016-08-26,103
2016-08-28,109
2016-08-31,113
2016-09-01,111
2016-09-02,111
2016-09-03,108
2016-09-04,108
2016-09-05,107
2016-09-06,108
2016-09-07,108
2016-09-08,106
2016-09-09,106
2016-09-10,106
2016-09-11,105
2016-09-12,108
2016-09-13,109
2016-09-14,110
2016-09-15,109
2016-09-16,107
2016-09-17,105
2016-09-18,104
2016-09-19,104
2016-09-20,107
2016-09-21,104
2016-09-22,102
2016-09-23,96
2016-09-24,96
2016-09-25,96
2016-09-26,94
2016-09-27,96
2016-09-28,98
2016-09-29,101
2016-09-30,99
2016-10-01,100
2016-10-02,99
2016-10-03,100
2016-10-04,98
2016-10-05,96
2016-10-06,95
2016-10-07,91
2016-10-08,92
2016-10-09,94
2016-10-10,94
2016-10-11,93
2016-10-12,93
2016-10-13,92
2016-10-14,92
2016-10-15,96
2016-10-16,99
2016-10-17,100
2016-10-18,100
2016-10-19,100
2016-10-20,100
2016-10-21,102
2016-10-22,98
2016-10-23,100
2016-10-24,99
2016-10-25,96
2016-10-26,97
2016-10-27,99
2016-10-28,100
2016-10-29,99
2016-10-30,98
2016-10-31,98
2016-11-01,100
2016-11-02,101
