date_obj,Cream%20boots price
2015-03-04,5500
2015-03-05,5500
2015-03-06,5229
2015-03-07,5229
2015-03-08,5229
2015-03-09,5229
2015-03-10,5229
2015-03-11,5229
2015-03-12,5229
2015-03-13,5229
2015-03-14,5229
2015-03-15,5229
2015-03-16,5229
2015-03-17,5018
2015-03-18,5018
2015-03-19,5018
2015-03-20,5018
2015-03-21,5018
2015-03-22,5018
2015-03-23,5018
2015-03-24,5018
2015-03-25,5018
2015-03-26,5018
2015-03-27,5018
2015-03-28,4774
2015-03-29,4774
2015-03-30,4774
2015-03-31,4774
2015-04-01,4774
2015-04-02,4774
2015-04-03,4774
2015-04-04,4774
2015-04-05,4774
2015-04-06,4536
2015-04-07,4536
2015-04-08,4536
2015-04-09,4536
2015-04-10,4536
2015-04-11,4536
2015-04-12,4536
2015-04-13,4536
2015-04-14,4536
2015-04-15,4536
2015-04-16,4310
2015-04-17,4310
2015-04-18,4310
2015-04-19,4310
2015-04-20,4310
2015-04-21,4310
2015-04-22,4310
2015-04-23,4310
2015-04-24,4310
2015-04-25,4310
2015-04-26,4310
2015-04-27,4095
2015-04-28,4095
2015-04-29,4095
2015-04-30,4095
2015-05-01,4095
2015-05-02,4095
2015-05-03,4095
2015-05-04,4095
2015-05-05,4095
2015-05-06,4095
2015-05-07,3900
2015-05-08,3900
2015-05-09,3900
2015-05-10,3900
2015-05-11,3900
2015-05-12,3900
2015-05-13,3900
2015-05-14,3900
2015-05-15,3900
2015-05-16,3900
2015-05-17,3708
2015-05-18,3708
2015-05-19,3708
2015-05-20,3708
2015-05-21,3708
2015-05-22,3708
2015-05-23,3708
2015-05-24,3708
2015-05-25,3708
2015-05-26,3708
2015-05-27,3708
2015-05-28,3522
2015-05-29,3522
2015-05-30,3522
2015-05-31,3522
2015-06-01,3522
2015-06-02,3522
2015-06-03,3522
2015-06-04,3522
2015-06-05,3432
2015-06-06,3432
2015-06-07,3432
2015-06-08,3432
2015-06-09,3432
2015-06-10,3432
2015-06-11,3432
2015-06-12,3432
2015-06-13,3262
2015-06-14,3262
2015-06-15,3262
2015-06-16,3262
2015-06-17,3262
2015-06-18,3262
2015-06-19,3262
2015-06-20,3262
2015-06-21,3120
2015-06-22,3120
2015-06-23,3120
2015-06-24,3120
2015-06-25,3120
2015-06-26,3120
2015-06-27,3120
2015-06-28,3120
2015-06-29,2967
2015-06-30,2967
2015-07-01,2967
2015-07-02,2967
2015-07-03,2967
2015-07-04,2967
2015-07-05,2967
2015-07-06,2967
2015-07-07,2967
2015-07-08,2820
2015-07-09,2820
2015-07-10,2820
2015-07-11,2820
2015-07-12,2820
2015-07-13,2820
2015-07-14,2820
2015-07-15,2820
2015-07-16,2733
2015-07-17,2733
2015-07-18,2733
2015-07-19,2733
2015-07-20,2733
2015-07-21,2733
2015-07-22,2733
2015-07-23,2733
2015-07-24,2642
2015-07-25,2642
2015-07-26,2642
2015-07-27,2642
2015-07-28,2642
2015-07-29,2642
2015-07-30,2642
2015-07-31,2642
2015-08-01,2540
2015-08-02,2540
2015-08-03,2540
2015-08-04,2540
2015-08-05,2540
2015-08-06,2540
2015-08-07,2540
2015-08-08,2435
2015-08-09,2435
2015-08-10,2435
2015-08-11,2435
2015-08-12,2435
2015-08-13,2435
2015-08-14,2435
2015-08-15,2435
2015-08-16,2344
2015-08-17,2344
2015-08-18,2344
2015-08-19,2344
2015-08-20,2344
2015-08-21,2344
2015-08-22,2344
2015-08-23,2266
2015-08-24,2266
2015-08-25,2266
2015-08-26,2266
2015-08-27,2266
2015-08-28,2266
2015-08-29,2266
2015-08-30,2266
2015-08-31,2155
2015-09-01,465
2015-09-02,2155
2015-09-07,2155
2015-09-08,2082
2015-09-10,2082
2015-09-14,2082
2015-09-16,2024
2015-09-22,2024
2015-09-23,2024
2015-09-24,1966
2015-09-25,1966
2015-09-27,1966
2015-09-28,1966
2015-09-29,1966
2015-09-30,1966
2015-10-05,1874
2015-10-06,1874
2015-10-07,1874
2015-10-08,1874
2015-10-09,1874
2015-10-10,1874
2015-10-11,1819
2015-10-12,1819
2015-10-13,1819
2015-10-14,1819
2015-10-15,1819
2015-10-16,1819
2015-10-17,1819
2015-10-18,1819
2015-10-19,1779
2015-10-20,1779
2015-10-22,1779
2015-10-23,1779
2015-10-24,1779
2015-10-25,1779
2015-10-26,1779
2015-10-27,1779
2015-10-29,1691
2015-10-30,1691
2015-10-31,1691
2015-11-01,1691
2015-11-02,1691
2015-11-03,1691
2015-11-04,1691
2015-11-05,1609
2015-11-06,1609
2015-11-07,1609
2015-11-08,1609
2015-11-09,1609
2015-11-10,1609
2015-11-11,1609
2015-11-12,1609
2015-11-13,1573
2015-11-14,1573
2015-11-15,1573
2015-11-16,1573
2015-11-17,1573
2015-11-18,1573
2015-11-19,1573
2015-11-20,1508
2015-11-21,1508
2015-11-22,1508
2015-11-23,1508
2015-11-24,1508
2015-11-25,1508
2015-11-26,1508
2015-11-27,1508
2015-11-28,1508
2015-11-29,1497
2015-11-30,1497
2015-12-01,1497
2015-12-02,1497
2015-12-03,1497
2015-12-04,1497
2015-12-05,1497
2015-12-06,1497
2015-12-07,1497
2015-12-08,1453
2015-12-09,1453
2015-12-10,1453
2015-12-11,1453
2015-12-12,1453
2015-12-13,1453
2015-12-14,1453
2015-12-15,1453
2015-12-16,1467
2015-12-17,1467
2015-12-18,1467
2015-12-19,1467
2015-12-20,1467
2015-12-21,1467
2015-12-22,1467
2015-12-23,1467
2015-12-24,1443
2015-12-25,1443
2015-12-26,1443
2015-12-27,1443
2015-12-28,1443
2015-12-29,1443
2015-12-30,1443
2015-12-31,1381
2016-01-01,1381
2016-01-02,1381
2016-01-03,1381
2016-01-04,1381
2016-01-05,1381
2016-01-06,1381
2016-01-07,1321
2016-01-08,1321
2016-01-09,1321
2016-01-10,1321
2016-01-11,1321
2016-01-12,1321
2016-01-13,1321
2016-01-14,1326
2016-01-15,1326
2016-01-16,1326
2016-01-17,1326
2016-01-18,1326
2016-01-19,1326
2016-01-20,1326
2016-01-21,1326
2016-01-22,1287
2016-01-23,1287
2016-01-24,1287
2016-01-25,1287
2016-01-26,1287
2016-01-27,1287
2016-01-28,1287
2016-01-29,1229
2016-01-30,1229
2016-01-31,1229
2016-02-01,1229
2016-02-02,1229
2016-02-03,1229
2016-02-04,1229
2016-02-05,1229
2016-02-06,1216
2016-02-07,1216
2016-02-08,1216
2016-02-09,1216
2016-02-10,1216
2016-02-11,1216
2016-02-12,1216
2016-02-13,1190
2016-02-14,1190
2016-02-15,1190
2016-02-16,1190
2016-02-17,1190
2016-02-18,1190
2016-02-19,1190
2016-02-20,1190
2016-02-21,1166
2016-02-22,1166
2016-02-23,1166
2016-02-24,1166
2016-02-25,1166
2016-02-26,1166
2016-02-27,1166
2016-02-28,1165
2016-03-01,1165
2016-03-02,1165
2016-03-03,1165
2016-03-04,1165
2016-03-05,1165
2016-03-06,1147
2016-03-07,1147
2016-03-08,1147
2016-03-09,1147
2016-03-10,1147
2016-03-11,1147
2016-03-12,1147
2016-03-13,1131
2016-03-14,1131
2016-03-15,1131
2016-03-16,1131
2016-03-17,1131
2016-03-18,1131
2016-03-19,1106
2016-03-20,1106
2016-03-21,1106
2016-03-22,1106
2016-03-23,1106
2016-03-24,1106
2016-03-25,1105
2016-03-26,1105
2016-03-27,1105
2016-03-28,1105
2016-03-29,1105
2016-03-30,1105
2016-03-31,1106
2016-04-01,1106
2016-04-02,1106
2016-04-03,1106
2016-04-04,1106
2016-04-05,1106
2016-04-06,1106
2016-04-07,1063
2016-04-08,1063
2016-04-09,1063
2016-04-10,1063
2016-04-11,1063
2016-04-12,1063
