date_obj,Crier%20coat price
2016-07-06,1574127
2016-07-07,1640357
2016-07-08,1700825
2016-07-09,1625053
2016-07-10,1543800
2016-07-11,1466610
2016-07-12,1393279
2016-07-13,1323615
2016-07-14,1257434
2016-07-15,1194562
2016-07-16,1134833
2016-07-17,1078091
2016-07-18,1024186
2016-07-23,792493
2016-07-24,752868
2016-07-25,715224
2016-07-26,679462
2016-07-27,645488
2016-07-28,613213
2016-07-29,582552
2016-07-30,553424
2016-07-31,526625
2016-08-01,500293
2016-08-02,475278
2016-08-03,451514
2016-08-04,428938
2016-08-05,407751
2016-08-06,387363
2016-08-07,367994
2016-08-08,349763
2016-08-09,332274
2016-08-10,315660
2016-08-11,315660
2016-08-12,299877
2016-08-13,284883
2016-08-14,270638
2016-08-15,257106
2016-08-16,244771
2016-08-17,232532
2016-08-18,221561
2016-08-19,212123
2016-08-20,204054
2016-08-21,204602
2016-08-22,199510
2016-08-23,189534
2016-08-24,180247
2016-08-25,171841
2016-08-26,171841
2016-08-28,158994
2016-08-31,147330
2016-09-01,144335
2016-09-02,144335
2016-09-03,139323
2016-09-04,136171
2016-09-05,132246
2016-09-06,131278
2016-09-07,131278
2016-09-08,129024
2016-09-09,129024
2016-09-10,122583
2016-09-11,122583
2016-09-12,116453
2016-09-13,112570
2016-09-14,112570
2016-09-15,115469
2016-09-16,115469
2016-09-17,116372
2016-09-18,121971
2016-09-19,127364
2016-09-20,127364
2016-09-21,127009
2016-09-22,124106
2016-09-23,124106
2016-09-24,120917
2016-09-25,120502
2016-09-26,120502
2016-09-27,122018
2016-09-28,122018
2016-09-29,122481
2016-09-30,124743
2016-10-01,125121
2016-10-02,125121
2016-10-03,118932
2016-10-04,118932
2016-10-05,117768
2016-10-06,117768
2016-10-07,121898
2016-10-08,124658
2016-10-09,124658
2016-10-10,126589
2016-10-11,132151
2016-10-12,132151
2016-10-13,132372
2016-10-14,130808
2016-10-15,127389
2016-10-16,127389
2016-10-17,122448
2016-10-18,122448
2016-10-19,123457
2016-10-20,123457
2016-10-21,120543
2016-10-22,120543
2016-10-23,115396
2016-10-24,109626
2016-10-25,109626
2016-10-26,104144
2016-10-27,104144
2016-10-28,98936
2016-10-29,94331
2016-10-30,92897
2016-10-31,88696
2016-11-01,88696
2016-11-02,88472
2016-11-03,88472
2016-11-04,89318
2016-11-05,89318
2016-11-06,86806
2016-11-07,86806
2016-11-08,86568
2016-11-09,86568
2016-11-10,87088
2016-11-11,87088
2016-11-12,83855
2016-11-13,83855
2016-11-14,80484
2016-11-15,82162
2016-12-07,86723
2016-12-08,85041
2016-12-09,85502
2016-12-10,85502
2016-12-11,85323
2016-12-12,87536
2016-12-13,90568
2016-12-14,91126
2016-12-15,91126
2016-12-16,91295
2016-12-17,89364
2016-12-18,89364
2016-12-19,88490
2016-12-20,88490
2016-12-21,86968
2016-12-22,86968
2016-12-23,84330
2016-12-24,84330
2016-12-25,82842
2016-12-26,82842
2016-12-27,80274
2016-12-28,79738
2016-12-29,78283
2016-12-30,75940
2016-12-31,75940
2017-01-01,73421
2017-01-02,69778
2017-01-03,69778
2017-01-04,66662
2017-01-05,66662
2017-01-06,63451
2017-01-07,60278
2017-01-08,57596
2017-01-09,55352
2017-01-10,53936
2017-01-11,52350
2017-01-12,51705
2017-01-13,51705
2017-01-14,51372
2017-01-15,52142
2017-01-16,53437
2017-01-17,53159
2017-01-18,53062
2017-01-19,53062
2017-01-20,53121
2017-01-21,52963
2017-01-22,52434
