date_obj,Crushed%20nest price
2015-03-26,3236
2015-03-27,3236
2015-03-28,3250
2015-03-29,3098
2015-03-30,2958
2015-03-31,2874
2015-04-01,2749
2015-04-02,2635
2015-04-03,2563
2015-04-04,2578
2015-04-05,2512
2015-04-06,2549
2015-04-07,2664
2015-04-08,2698
2015-04-09,2656
2015-04-10,2538
2015-04-11,2450
2015-04-12,2446
2015-04-13,2424
2015-04-14,2382
2015-04-15,2446
2015-04-16,2426
2015-04-17,2510
2015-04-18,2476
2015-04-19,2391
2015-04-20,2417
2015-04-21,2418
2015-04-22,2394
2015-04-23,2354
2015-04-24,2290
2015-04-25,2320
2015-04-26,2248
2015-04-27,2169
2015-04-28,2196
2015-04-29,2196
2015-04-30,2182
2015-05-01,2233
2015-05-02,2303
2015-05-03,2195
2015-05-04,2102
2015-05-05,2194
2015-05-06,2303
2015-05-07,2419
2015-05-08,2525
2015-05-09,2621
2015-05-10,2731
2015-05-11,2868
2015-05-12,3012
2015-05-13,3055
2015-05-14,2950
2015-05-15,2854
2015-05-16,2746
2015-05-17,2793
2015-05-18,2733
2015-05-19,2652
2015-05-20,2596
2015-05-21,2511
2015-05-22,2565
2015-05-23,2670
2015-05-24,2700
2015-05-25,2760
2015-05-26,2898
2015-05-27,3043
2015-05-28,3054
2015-05-29,3116
2015-05-30,3186
2015-05-31,3190
2015-06-01,3116
2015-06-02,3054
2015-06-03,3037
2015-06-04,2950
2015-06-05,2832
2015-06-06,2771
2015-06-07,2746
2015-06-08,2879
2015-06-09,3021
2015-06-10,3143
2015-06-11,3147
2015-06-12,3190
2015-06-13,3256
2015-06-14,3419
2015-06-15,3537
2015-06-16,3374
2015-06-17,3330
2015-06-18,3215
2015-06-19,3122
2015-06-20,3088
2015-06-21,3240
2015-06-22,3300
2015-06-23,3135
2015-06-24,3194
2015-06-25,3119
2015-06-26,3079
2015-06-27,3171
2015-06-28,3086
2015-06-29,3027
2015-06-30,2971
2015-07-01,2986
2015-07-02,2955
2015-07-03,2930
2015-07-04,2902
2015-07-05,2960
2015-07-06,2912
2015-07-07,2949
2015-07-08,3064
2015-07-09,3115
2015-07-10,3145
2015-07-11,3243
2015-07-12,3237
2015-07-13,3104
2015-07-14,2973
2015-07-15,3015
2015-07-16,3026
2015-07-17,2974
2015-07-18,3020
2015-07-19,3091
2015-07-20,3123
2015-07-21,3128
2015-07-22,3108
2015-07-23,3063
2015-07-24,3160
2015-07-25,3231
2015-07-26,3130
2015-07-27,3041
2015-07-28,3013
2015-07-29,3053
2015-07-30,3044
2015-07-31,3064
2015-08-01,3069
2015-08-02,3068
2015-08-03,3071
2015-08-04,3020
2015-08-05,3116
2015-08-06,3210
2015-08-07,3132
2015-08-08,3202
2015-08-09,3056
2015-08-10,2971
2015-08-11,3036
2015-08-12,3066
2015-08-13,3132
2015-08-14,3172
2015-08-15,3331
2015-08-16,3395
2015-08-17,3270
2015-08-18,3203
2015-08-19,3184
2015-08-20,3200
2015-08-21,3250
2015-08-22,3304
2015-08-23,3282
2015-08-24,3166
2015-08-25,3130
2015-08-26,3049
2015-08-27,3061
2015-08-28,3108
2015-08-29,3092
2015-08-30,3150
2015-08-31,3171
2015-09-01,3188
2015-09-02,3138
2015-09-03,3157
2015-09-04,3159
2015-09-05,3176
2015-09-06,3154
2015-09-07,3136
2015-09-08,3201
2015-09-09,3184
2015-09-10,3139
2015-09-11,3179
2015-09-12,3197
2015-09-13,3175
2015-09-14,3166
2015-09-15,3134
2015-09-16,3135
2015-09-17,3019
2015-09-18,3085
2015-09-19,3154
2015-09-20,3180
2015-09-21,3134
2015-09-22,3130
2015-09-23,3102
2015-09-24,3079
2015-09-25,3047
2015-09-27,2925
2015-09-28,3052
2015-09-29,3044
2015-09-30,3078
2015-10-05,3144
2015-10-06,3120
2015-10-07,3091
2015-10-08,3047
2015-10-09,3133
2015-10-10,3135
2015-10-11,3164
2015-10-12,3154
2015-10-13,3150
2015-10-14,3160
2015-10-15,3142
2015-10-16,3147
2015-10-17,3159
2015-10-18,3115
2015-10-19,3106
2015-10-20,3056
2015-10-22,3111
2015-10-23,3119
2015-10-24,3155
2015-10-25,3133
2015-10-26,3101
2015-10-27,3101
2015-10-29,3124
2015-10-30,3108
2015-10-31,3105
2015-11-01,3034
2015-11-02,3037
2015-11-03,3083
2015-11-04,3045
2015-11-05,3077
2015-11-06,3008
2015-11-07,2946
2015-11-08,2918
2015-11-09,2970
2015-11-10,3007
2015-11-11,3007
2015-11-12,2984
2015-11-13,2919
2015-11-14,2897
2015-11-15,2794
2015-11-16,2816
2015-11-17,2929
2015-11-18,3015
2015-11-19,3003
2015-11-20,2931
2015-11-21,2857
2015-11-22,2877
2015-11-23,2877
2015-11-24,2883
2015-11-25,2920
2015-11-26,2936
2015-11-27,2870
2015-11-28,2928
2015-11-29,2854
2015-11-30,2785
2015-12-01,2829
2015-12-02,2791
2015-12-03,2803
2015-12-04,2757
2015-12-05,2763
2015-12-06,2844
2015-12-07,2891
2015-12-08,2808
2015-12-09,2791
2015-12-10,2762
2015-12-11,2818
2015-12-12,2774
2015-12-13,2762
2015-12-14,2709
2015-12-15,2700
2015-12-16,2753
2015-12-17,2741
2015-12-18,2703
2015-12-19,2677
2015-12-20,2679
2015-12-21,2656
2015-12-22,2617
2015-12-23,2651
2015-12-24,2637
2015-12-25,2603
2015-12-26,2550
2015-12-27,2521
2015-12-28,2541
2015-12-29,2448
2015-12-30,2415
2015-12-31,2394
2016-01-01,2399
2016-01-02,2393
2016-01-03,2397
2016-01-04,2436
2016-01-05,2452
2016-01-06,2473
2016-01-07,2500
2016-01-08,2503
2016-01-09,2443
2016-01-10,2430
2016-01-11,2494
2016-01-12,2512
2016-01-13,2576
2016-01-14,2673
2016-01-15,2749
2016-01-16,2871
2016-01-17,2870
2016-01-18,2896
2016-01-19,2908
2016-01-20,2945
2016-01-21,2895
2016-01-22,2883
2016-01-23,2880
2016-01-24,2860
2016-01-25,2813
2016-01-26,2747
2016-01-27,2669
2016-01-28,2660
2016-01-29,2558
2016-01-30,2581
2016-01-31,2489
2016-02-01,2391
2016-02-02,2432
2016-02-03,2474
2016-02-04,2587
2016-02-05,2503
2016-02-06,2465
2016-02-07,2350
2016-02-08,2297
2016-02-09,2280
2016-02-10,2366
2016-02-11,2453
2016-02-12,2566
2016-02-13,2463
2016-02-14,2367
2016-02-15,2393
2016-02-16,2459
2016-02-17,2520
2016-02-18,2432
2016-02-19,2505
2016-02-20,2396
2016-02-21,2352
2016-02-22,2356
2016-02-23,2435
2016-02-24,2453
2016-02-25,2565
2016-02-26,2533
2016-02-27,2538
2016-02-28,2536
2016-03-01,2645
2016-03-02,2683
2016-03-03,2697
2016-03-04,2810
2016-03-05,2850
2016-03-06,2767
2016-03-07,2643
2016-03-08,2599
2016-03-09,2515
2016-03-10,2474
2016-03-11,2567
2016-03-12,2545
2016-03-13,2533
2016-03-14,2515
2016-03-15,2498
2016-03-16,2466
2016-03-17,2441
2016-03-18,2465
2016-03-19,2550
2016-03-20,2539
2016-03-21,2490
2016-03-22,2553
2016-03-23,2481
2016-03-24,2477
2016-03-25,2494
2016-03-26,2467
2016-03-27,2434
2016-03-28,2413
2016-03-29,2397
2016-03-30,2394
2016-03-31,2379
2016-04-01,2366
2016-04-02,2332
2016-04-03,2314
2016-04-04,2340
2016-04-05,2331
2016-04-06,2335
2016-04-07,2385
2016-04-08,2417
2016-04-09,2440
2016-04-10,2328
2016-04-11,2278
