date_obj,Dareeyak%20teleport%20(tablet) price
2015-03-26,3876
2015-03-27,3876
2015-03-28,3876
2015-03-29,3876
2015-03-30,3876
2015-03-31,3876
2015-04-01,3876
2015-04-02,3876
2015-04-03,3831
2015-04-04,3831
2015-04-05,3831
2015-04-06,3831
2015-04-07,3831
2015-04-08,3831
2015-04-09,3831
2015-04-10,3831
2015-04-11,3831
2015-04-12,3845
2015-04-13,3845
2015-04-14,3845
2015-04-15,3845
2015-04-16,3845
2015-04-17,3845
2015-04-18,3845
2015-04-19,3845
2015-04-20,3845
2015-04-21,3690
2015-04-22,3690
2015-04-23,3690
2015-04-24,3690
2015-04-25,3690
2015-04-26,3690
2015-04-27,3690
2015-04-28,3690
2015-04-29,3690
2015-04-30,3619
2015-05-01,3619
2015-05-02,3619
2015-05-03,3619
2015-05-04,3619
2015-05-05,3619
2015-05-06,3438
2015-05-07,3438
2015-05-08,3438
2015-05-09,3438
2015-05-10,3438
2015-05-11,3438
2015-05-12,3418
2015-05-13,3418
2015-05-14,3418
2015-05-15,3418
2015-05-16,3418
2015-05-17,3418
2015-05-18,3375
2015-05-19,3375
2015-05-20,3375
2015-05-21,3375
2015-05-22,3375
2015-05-23,3375
2015-05-24,3375
2015-05-25,3374
2015-05-26,3374
2015-05-27,3374
2015-05-28,3374
2015-05-29,3347
2015-05-30,3347
2015-05-31,3347
2015-06-01,3306
2015-06-02,3306
2015-06-03,3306
2015-06-04,3306
2015-06-05,3306
2015-06-06,3190
2015-06-07,3190
2015-06-08,3190
2015-06-09,3190
2015-06-10,3051
2015-06-11,3051
2015-06-12,3051
2015-06-13,3051
2015-06-14,3013
2015-06-15,3013
2015-06-16,3013
2015-06-17,3013
2015-06-18,2974
2015-06-19,2974
2015-06-20,2974
2015-06-21,2974
2015-06-22,2825
2015-06-23,2825
2015-06-24,2825
2015-06-25,2825
2015-06-26,2816
2015-06-27,2816
2015-06-28,2816
2015-06-29,2816
2015-06-30,2816
2015-07-01,2842
2015-07-02,2842
2015-07-03,2842
2015-07-04,2842
2015-07-05,2842
2015-07-06,2911
2015-07-07,2911
2015-07-08,2911
2015-07-09,2911
2015-07-10,2985
2015-07-11,2985
2015-07-12,2985
2015-07-13,2985
2015-07-14,2985
2015-07-15,3038
2015-07-16,3038
2015-07-17,3038
2015-07-18,3038
2015-07-19,3038
2015-07-20,3110
2015-07-21,3110
2015-07-22,3110
2015-07-23,3110
2015-07-24,3153
2015-07-25,3153
2015-07-26,3153
2015-07-27,3153
2015-07-28,3153
2015-07-29,3135
2015-07-30,3135
2015-07-31,3135
2015-08-01,3135
2015-08-02,3135
2015-08-03,3007
2015-08-04,3007
2015-08-05,3007
2015-08-06,3007
2015-08-07,3007
2015-08-08,2959
2015-08-09,2959
2015-08-10,2959
2015-08-11,2959
2015-08-12,2959
2015-08-13,2892
2015-08-14,2892
2015-08-15,2892
2015-08-16,2892
2015-08-17,2830
2015-08-18,2830
2015-08-19,2830
2015-08-20,2830
2015-08-21,2875
2015-08-22,2875
2015-08-23,2875
2015-08-24,2875
2015-08-25,2930
2015-08-26,2930
2015-08-27,2930
2015-08-28,2930
2015-08-29,2943
2015-08-30,2943
2015-08-31,2943
2015-09-01,2943
2015-09-02,2943
2015-09-03,2901
2015-09-04,2901
2015-09-05,2901
2015-09-06,2901
2015-09-07,2868
2015-09-08,2868
2015-09-09,2868
2015-09-10,2868
2015-09-11,2746
2015-09-12,2746
2015-09-13,2746
2015-09-14,2746
2015-09-15,2608
2015-09-16,2608
2015-09-17,2608
2015-09-18,2608
2015-09-19,2550
2015-09-20,2550
2015-09-21,2550
2015-09-22,2550
2015-09-23,2599
2015-09-24,2599
2015-09-25,2599
2015-09-27,2599
2015-09-28,2719
2015-09-29,2719
2015-09-30,2719
2015-10-05,2836
2015-10-06,2836
2015-10-07,2919
2015-10-08,2919
2015-10-09,2919
2015-10-10,2919
2015-10-11,2941
2015-10-12,2941
2015-10-13,2941
2015-10-14,2941
2015-10-15,2941
2015-10-16,2975
2015-10-17,2975
2015-10-18,2975
2015-10-19,2975
2015-10-20,2930
2015-10-22,2930
2015-10-23,2930
2015-10-24,2898
2015-10-25,2898
2015-10-26,2898
2015-10-27,2898
2015-10-29,2755
2015-10-30,2755
2015-10-31,2755
2015-11-01,2755
2015-11-02,2755
2015-11-03,2637
2015-11-04,2637
2015-11-05,2637
2015-11-06,2637
2015-11-07,2637
2015-11-08,2637
2015-11-09,2628
2015-11-10,2628
2015-11-11,2628
2015-11-12,2628
2015-11-13,2628
2015-11-14,2628
2015-11-15,2693
2015-11-16,2693
2015-11-17,2693
2015-11-18,2693
2015-11-19,2693
2015-11-20,2693
2015-11-21,2766
2015-11-22,2766
2015-11-23,2766
2015-11-24,2766
2015-11-25,2766
2015-11-26,2821
2015-11-27,2821
2015-11-28,2821
2015-11-29,2821
2015-11-30,2925
2015-12-01,2925
2015-12-02,2925
2015-12-03,2925
2015-12-04,2925
2015-12-05,3012
2015-12-06,3012
2015-12-07,3012
2015-12-08,3012
2015-12-09,3148
2015-12-10,3148
2015-12-11,3148
2015-12-12,3148
2015-12-13,3288
2015-12-14,3288
2015-12-15,3288
2015-12-16,3288
2015-12-17,3288
2015-12-18,3137
2015-12-19,3137
2015-12-20,3137
2015-12-21,3137
2015-12-22,3083
2015-12-23,3083
2015-12-24,3083
2015-12-25,3083
2015-12-26,3083
2015-12-27,3212
2015-12-28,3212
2015-12-29,3212
2015-12-30,3163
2015-12-31,3163
2016-01-01,3163
2016-01-02,3163
2016-01-03,3088
2016-01-04,3088
2016-01-05,3088
2016-01-06,3117
2016-01-07,3117
2016-01-08,3117
2016-01-09,3113
2016-01-10,3113
2016-01-11,3113
2016-01-12,3097
2016-01-13,3097
2016-01-14,3097
2016-01-15,3153
2016-01-16,3153
2016-01-17,3153
2016-01-18,3044
2016-01-19,3044
2016-01-20,3044
2016-01-21,3044
2016-01-22,2953
2016-01-23,2953
2016-01-24,2953
2016-01-25,2981
2016-01-26,2981
2016-01-27,2981
2016-01-28,2981
