date_obj,Dark%20tuxedo%20jacket price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5156067
2016-07-11,5156067
2016-07-12,5156067
2016-07-13,5156067
2016-07-14,5156067
2016-07-15,5156067
2016-07-16,5156067
2016-07-17,5156067
2016-07-18,5156067
2016-07-23,5156067
2016-07-24,5156067
2016-07-25,5156067
2016-07-26,5156067
2016-07-27,5156067
2016-07-28,5352670
2016-07-29,5352670
2016-07-30,5352670
2016-07-31,5352670
2016-08-01,5352670
2016-08-02,5352670
2016-08-03,5352670
2016-08-04,5352670
2016-08-05,5352670
2016-08-06,5352670
2016-08-07,5352670
2016-08-08,5352670
2016-08-09,5352670
2016-08-10,5352670
2016-08-11,5352670
2016-08-12,5352670
2016-08-13,5352670
2016-08-14,5352670
2016-08-15,5352670
2016-08-16,5352670
2016-08-17,5352670
2016-08-18,5352670
2016-08-19,5352670
2016-08-20,5352670
2016-08-21,5352670
2016-08-22,5352670
2016-08-23,5352670
2016-08-24,5563000
2016-08-25,5563000
2016-08-26,5563000
2016-08-28,5563000
2016-08-31,5563000
2016-09-01,5563000
2016-09-02,5563000
2016-09-03,5563000
2016-09-04,5563000
2016-09-05,5563000
2016-09-06,5563000
2016-09-07,5563000
2016-09-08,5563000
2016-09-09,5563000
2016-09-10,5563000
2016-09-11,5563000
2016-09-12,5563000
2016-09-13,5563000
2016-09-14,5563000
2016-09-15,5563000
2016-09-16,5563000
2016-09-17,5563000
2016-09-18,5563000
2016-09-19,5563000
2016-09-20,5563000
2016-09-21,5563000
2016-09-22,5563000
2016-09-23,5563000
2016-09-24,5563000
2016-09-25,5563000
2016-09-26,5563000
2016-09-27,5563000
2016-09-28,5563000
2016-09-29,5674480
2016-09-30,5674480
2016-10-01,5674480
2016-10-02,5674480
2016-10-03,5674480
2016-10-04,5674480
2016-10-05,5674480
2016-10-06,5674480
2016-10-07,5674480
2016-10-08,5674480
2016-10-09,5674480
2016-10-10,5674480
2016-10-11,5674480
2016-10-12,5674480
2016-10-13,5674480
2016-10-14,5674480
2016-10-15,5674480
2016-10-16,5674480
2016-10-17,5674480
2016-10-18,5674480
2016-10-19,5674480
2016-10-20,5674480
2016-10-21,5674480
2016-10-22,5674480
2016-10-23,5674480
2016-10-24,5674480
2016-10-25,5674480
2016-10-26,5674480
2016-10-27,5674480
2016-10-28,5674480
2016-10-29,5674480
2016-10-30,5674480
2016-10-31,5674480
2016-11-01,5674480
2016-11-02,5674480
2016-11-03,5674480
2016-11-04,5870344
2016-11-05,5870344
2016-11-06,5870344
2016-11-07,5870344
2016-11-08,5870344
2016-11-09,5870344
2016-11-10,5870344
2016-11-11,5870344
2016-11-12,5870344
2016-11-13,5870344
2016-11-14,5870344
2016-11-15,5870344
2016-12-07,5870344
2016-12-08,5870344
2016-12-09,5870344
2016-12-10,5870344
2016-12-11,5870344
2016-12-12,5870344
2016-12-13,5798452
2016-12-14,5798452
2016-12-15,5798452
2016-12-16,5798452
2016-12-17,5798452
2016-12-18,5798452
2016-12-19,5798452
2016-12-20,5798452
2016-12-21,5798452
2016-12-22,5798452
2016-12-23,5798452
2016-12-24,5798452
2016-12-25,5798452
2016-12-26,5798452
2016-12-27,5798452
2016-12-28,5798452
2016-12-29,5798452
2016-12-30,5798452
2016-12-31,5798452
2017-01-01,5798452
2017-01-02,5798452
2017-01-03,5798452
2017-01-04,5798452
2017-01-05,5798452
2017-01-06,5798452
2017-01-07,5798452
2017-01-08,5798452
2017-01-09,5798452
2017-01-10,5798452
2017-01-11,5798452
2017-01-12,5798452
2017-01-13,5798452
2017-01-14,5798452
2017-01-15,5798452
2017-01-16,5511510
2017-01-17,5511510
2017-01-18,5511510
2017-01-19,5511510
2017-01-20,5511510
2017-01-21,5511510
2017-01-22,5511510
2017-01-23,5511510
2017-01-27,5511510
2017-01-28,5511510
2017-01-29,5511510
2017-01-30,5511510
2017-01-31,5511510
2017-02-01,5511510
2017-02-02,5511510
2017-02-03,5511510
2017-02-04,5511510
2017-02-05,5511510
2017-02-06,5511510
2017-02-07,5511510
2017-02-08,5511510
2017-02-09,5511510
2017-02-10,5511510
2017-02-11,5511510
2017-02-12,5511510
2017-02-13,5511510
2017-02-14,5511510
2017-02-15,5511510
2017-02-16,5511510
2017-02-18,5511510
2017-02-19,5236644
2017-02-20,5236644
2017-02-21,5236644
2017-02-22,5236644
2017-02-23,5236644
2017-02-24,5236644
2017-02-25,5236644
2017-02-26,5236644
2017-02-27,5236644
2017-02-28,5236644
2017-03-01,5236644
2017-03-02,5236644
2017-03-03,5236644
2017-03-04,5236644
2017-03-05,5236644
2017-03-06,5236644
2017-03-07,5236644
2017-03-08,5236644
2017-03-09,5236644
2017-03-10,5236644
2017-03-11,5236644
2017-03-12,5236644
2017-03-13,5236644
2017-03-14,5236644
2017-03-15,5236644
2017-03-16,5236644
2017-03-17,5236644
2017-03-18,5236644
2017-03-19,5236644
2017-03-20,5236644
2017-03-21,5236644
2017-03-22,5236644
2017-03-23,5236644
2017-03-24,5236644
2017-03-25,5236644
2017-03-26,5236644
2017-03-27,4982832
2017-03-28,4982832
2017-03-29,4982832
2017-03-30,4982832
2017-03-31,4982832
2017-04-01,4982832
2017-04-02,4982832
2017-04-03,4982832
2017-04-04,4982832
2017-04-12,4982832
2017-04-13,4982832
2017-04-14,4982832
2017-04-15,4982832
2017-04-16,4982832
2017-04-17,4982832
2017-04-18,4982832
2017-04-19,4982832
2017-04-20,4982832
2017-04-21,4982832
2017-04-22,4982832
2017-04-23,4982832
2017-04-24,4982832
2017-04-25,4982832
2017-04-26,4982832
2017-04-27,4982832
2017-04-28,4982832
2017-04-29,4982832
2017-04-30,4982832
2017-05-01,4982832
2017-05-02,4746353
2017-05-03,4746353
2017-05-04,4746353
2017-05-05,4746353
2017-05-06,4746353
2017-05-07,4746353
2017-05-08,4746353
2017-05-09,4746353
2017-05-10,4746353
2017-05-11,4746353
2017-05-12,4746353
2017-05-13,4746353
2017-05-14,4746353
2017-05-15,4746353
2017-05-16,4746353
2017-05-17,4746353
2017-05-18,4746353
2017-05-19,4746353
2017-05-20,4746353
2017-05-21,4746353
2017-05-22,4746353
2017-05-23,4746353
2017-05-24,4746353
2017-05-25,4746353
2017-05-26,4746353
2017-05-27,4746353
2017-05-28,4746353
2017-05-29,4746353
2017-05-30,4746353
2017-05-31,4746353
2017-06-01,4746353
2017-06-02,4746353
2017-06-03,4510136
2017-06-04,4510136
2017-06-05,4510136
2017-06-06,4510136
2017-06-07,4510136
2017-06-08,4510136
2017-06-09,4510136
2017-06-10,4510136
2017-06-11,4510136
2017-06-12,4510136
