date_obj,Death%20rune price
2015-03-26,250
2015-03-27,247
2015-03-28,241
2015-03-29,237
2015-03-30,231
2015-03-31,230
2015-04-01,225
2015-04-02,225
2015-04-03,228
2015-04-04,233
2015-04-05,238
2015-04-06,237
2015-04-07,236
2015-04-08,233
2015-04-09,230
2015-04-10,229
2015-04-11,229
2015-04-12,228
2015-04-13,231
2015-04-14,230
2015-04-15,233
2015-04-16,231
2015-04-17,230
2015-04-18,229
2015-04-19,229
2015-04-20,229
2015-04-21,228
2015-04-22,221
2015-04-23,216
2015-04-24,218
2015-04-25,219
2015-04-26,221
2015-04-27,219
2015-04-28,217
2015-04-29,221
2015-04-30,225
2015-05-01,232
2015-05-02,236
2015-05-03,239
2015-05-04,246
2015-05-05,251
2015-05-06,248
2015-05-07,243
2015-05-08,237
2015-05-09,230
2015-05-10,221
2015-05-11,211
2015-05-12,210
2015-05-13,212
2015-05-14,215
2015-05-15,221
2015-05-16,223
2015-05-17,223
2015-05-18,220
2015-05-19,219
2015-05-20,219
2015-05-21,221
2015-05-22,226
2015-05-23,231
2015-05-24,226
2015-05-25,225
2015-05-26,229
2015-05-27,228
2015-05-28,233
2015-05-29,238
2015-05-30,233
2015-05-31,233
2015-06-01,233
2015-06-02,231
2015-06-03,231
2015-06-04,232
2015-06-05,233
2015-06-06,233
2015-06-07,231
2015-06-08,231
2015-06-09,231
2015-06-10,232
2015-06-11,231
2015-06-12,231
2015-06-13,230
2015-06-14,230
2015-06-15,230
2015-06-16,231
2015-06-17,231
2015-06-18,231
2015-06-19,231
2015-06-20,232
2015-06-21,231
2015-06-22,231
2015-06-23,231
2015-06-24,228
2015-06-25,226
2015-06-26,226
2015-06-27,226
2015-06-28,224
2015-06-29,223
2015-06-30,222
2015-07-01,221
2015-07-02,221
2015-07-03,220
2015-07-04,219
2015-07-05,220
2015-07-06,221
2015-07-07,220
2015-07-08,222
2015-07-09,223
2015-07-10,225
2015-07-11,223
2015-07-12,225
2015-07-13,225
2015-07-14,225
2015-07-15,224
2015-07-16,226
2015-07-17,225
2015-07-18,224
2015-07-19,224
2015-07-20,226
2015-07-21,226
2015-07-22,225
2015-07-23,226
2015-07-24,226
2015-07-25,226
2015-07-26,226
2015-07-27,226
2015-07-28,227
2015-07-29,227
2015-07-30,231
2015-07-31,232
2015-08-01,231
2015-08-02,229
2015-08-03,230
2015-08-04,229
2015-08-05,230
2015-08-06,230
2015-08-07,231
2015-08-08,237
2015-08-09,238
2015-08-10,239
2015-08-11,245
2015-08-12,249
2015-08-13,253
2015-08-14,252
2015-08-15,246
2015-08-16,245
2015-08-17,242
2015-08-18,240
2015-08-19,239
2015-08-20,237
2015-08-21,235
2015-08-22,233
2015-08-23,234
2015-08-24,234
2015-08-25,235
2015-08-26,234
2015-08-27,232
2015-08-28,230
2015-08-29,226
2015-08-30,223
2015-08-31,221
2015-09-01,221
2015-09-02,219
2015-09-03,220
2015-09-04,219
2015-09-05,217
2015-09-06,214
2015-09-07,212
2015-09-08,212
2015-09-09,212
2015-09-10,211
2015-09-11,211
2015-09-12,210
2015-09-13,211
2015-09-14,212
2015-09-15,212
2015-09-16,211
2015-09-17,211
2015-09-18,212
2015-09-19,212
2015-09-20,212
2015-09-21,212
2015-09-22,216
2015-09-23,220
2015-09-24,215
2015-09-25,215
2015-09-27,211
2015-09-28,209
2015-09-29,209
2015-09-30,209
2015-10-05,264
2015-10-06,278
2015-10-07,292
2015-10-08,304
2015-10-09,295
2015-10-10,297
2015-10-11,298
2015-10-12,292
2015-10-13,296
2015-10-14,293
2015-10-15,284
2015-10-16,271
2015-10-17,257
2015-10-18,244
2015-10-19,232
2015-10-20,235
2015-10-22,239
2015-10-23,242
2015-10-24,240
2015-10-25,241
2015-10-26,241
2015-10-27,241
2015-10-29,247
2015-10-30,241
2015-10-31,236
2015-11-01,237
2015-11-02,234
2015-11-03,231
2015-11-04,230
2015-11-05,232
2015-11-06,232
2015-11-07,235
2015-11-08,237
2015-11-09,237
2015-11-10,236
2015-11-11,237
2015-11-12,236
2015-11-13,236
2015-11-14,235
2015-11-15,234
2015-11-16,233
2015-11-17,233
2015-11-18,232
2015-11-19,242
2015-11-20,254
2015-11-21,257
2015-11-22,267
2015-11-23,270
2015-11-24,270
2015-11-25,273
2015-11-26,271
2015-11-27,270
2015-11-28,268
2015-11-29,264
2015-11-30,262
2015-12-01,260
2015-12-02,257
2015-12-03,251
2015-12-04,245
2015-12-05,238
2015-12-06,232
2015-12-07,230
2015-12-08,230
2015-12-09,232
2015-12-10,232
2015-12-11,230
2015-12-12,227
2015-12-13,222
2015-12-14,218
2015-12-15,217
2015-12-16,216
2015-12-17,216
2015-12-18,216
2015-12-19,215
2015-12-20,213
2015-12-21,212
2015-12-22,213
2015-12-23,215
2015-12-24,218
2015-12-25,219
2015-12-26,213
2015-12-27,213
2015-12-28,214
2015-12-29,214
2015-12-30,212
2015-12-31,207
2016-01-01,206
2016-01-02,208
2016-01-03,212
2016-01-04,217
2016-01-05,216
2016-01-06,216
2016-01-07,209
2016-01-08,207
2016-01-09,207
2016-01-10,206
2016-01-11,207
2016-01-12,207
2016-01-13,207
2016-01-14,209
2016-01-15,214
2016-01-16,215
2016-01-17,216
2016-01-18,224
2016-01-19,236
2016-01-20,247
2016-01-21,258
2016-01-22,265
2016-01-23,262
2016-01-24,256
2016-01-25,256
2016-01-26,257
2016-01-27,252
2016-01-28,247
2016-01-29,238
2016-01-30,233
2016-01-31,229
2016-02-01,236
2016-02-02,238
2016-02-03,242
2016-02-04,238
2016-02-05,238
2016-02-06,236
2016-02-07,240
2016-02-08,242
2016-02-09,254
2016-02-10,266
2016-02-11,277
2016-02-12,285
2016-02-13,288
2016-02-14,284
2016-02-15,278
2016-02-16,276
2016-02-17,276
2016-02-18,272
2016-02-19,270
2016-02-20,275
2016-02-21,288
2016-02-22,302
2016-02-23,315
2016-02-24,318
2016-02-25,326
2016-02-26,330
2016-02-27,337
2016-02-28,332
2016-03-01,322
2016-03-02,317
2016-03-03,312
2016-03-04,319
2016-03-05,325
2016-03-06,330
2016-03-07,329
2016-03-08,328
2016-03-09,326
2016-03-10,322
2016-03-11,318
2016-03-12,325
2016-03-13,330
2016-03-14,324
2016-03-15,320
2016-03-16,317
2016-03-17,314
2016-03-18,314
2016-03-19,316
2016-03-20,320
2016-03-21,326
2016-03-22,331
2016-03-23,331
2016-03-24,332
2016-03-25,342
2016-03-26,345
2016-03-27,338
2016-03-28,336
2016-03-29,332
2016-03-30,329
2016-03-31,326
2016-04-01,323
2016-04-02,318
2016-04-03,322
2016-04-04,330
2016-04-05,342
2016-04-06,351
2016-04-07,356
2016-04-08,364
2016-04-09,377
2016-04-10,377
2016-04-11,369
2016-04-12,361
2016-04-13,359
2016-04-14,354
2016-04-15,355
2016-04-16,357
2016-04-17,364
2016-04-18,355
2016-04-19,349
2016-04-20,336
2016-04-21,328
2016-04-22,329
2016-04-23,325
2016-04-24,323
2016-04-25,320
2016-04-26,318
2016-04-27,315
2016-04-28,313
2016-04-29,313
2016-04-30,318
2016-05-01,329
2016-05-02,328
2016-05-03,324
2016-05-04,320
2016-05-05,309
2016-05-06,301
2016-05-07,287
2016-05-08,281
2016-05-09,292
2016-05-10,307
2016-05-11,323
2016-05-12,336
2016-05-13,341
2016-05-14,336
2016-05-15,331
2016-05-16,326
2016-05-17,320
2016-05-18,309
2016-05-19,303
2016-05-22,291
2016-05-23,295
2016-05-24,292
2016-05-25,289
2016-05-26,284
2016-05-27,277
2016-05-28,272
2016-05-29,265
2016-05-30,265
2016-05-31,267
2016-06-01,271
2016-06-02,273
2016-06-03,275
2016-06-04,270
2016-06-05,269
2016-06-06,266
2016-06-07,269
2016-06-08,272
2016-06-09,285
2016-06-10,295
2016-06-11,298
2016-06-12,303
2016-06-13,294
2016-06-14,293
2016-06-15,296
2016-06-16,293
2016-06-17,293
2016-06-18,294
2016-06-19,294
2016-06-20,296
2016-06-21,294
2016-06-22,290
2016-06-23,291
2016-06-24,293
2016-06-25,298
2016-06-26,302
2016-06-27,298
2016-06-28,301
2016-06-29,299
2016-06-30,300
2016-07-01,304
2016-07-02,311
2016-07-03,319
2016-07-04,330
2016-07-05,343
2016-07-06,348
2016-07-07,345
2016-07-08,342
2016-07-09,338
2016-07-10,340
2016-07-11,341
2016-07-12,338
2016-07-13,328
2016-07-14,317
2016-07-15,304
2016-07-16,298
2016-07-17,303
2016-07-18,305
2016-07-23,301
2016-07-24,298
2016-07-25,295
2016-07-26,297
2016-07-27,298
2016-07-28,297
