date_obj,Desert%20goat%20horn price
2015-03-26,263
2015-03-27,250
2015-03-28,250
2015-03-29,250
2015-03-30,238
2015-03-31,238
2015-04-01,238
2015-04-02,238
2015-04-03,226
2015-04-04,226
2015-04-05,226
2015-04-06,226
2015-04-07,214
2015-04-08,214
2015-04-09,214
2015-04-10,214
2015-04-11,203
2015-04-12,203
2015-04-13,203
2015-04-14,203
2015-04-15,193
2015-04-16,193
2015-04-17,193
2015-04-18,193
2015-04-19,184
2015-04-20,184
2015-04-21,184
2015-04-22,184
2015-04-23,175
2015-04-24,175
2015-04-25,175
2015-04-26,175
2015-04-27,167
2015-04-28,167
2015-04-29,167
2015-04-30,167
2015-05-01,158
2015-05-02,158
2015-05-03,158
2015-05-04,158
2015-05-05,150
2015-05-06,150
2015-05-07,150
2015-05-08,150
2015-05-09,142
2015-05-10,142
2015-05-11,142
2015-05-12,142
2015-05-13,142
2015-05-14,134
2015-05-15,134
2015-05-16,134
2015-05-17,134
2015-05-18,127
2015-05-19,127
2015-05-20,127
2015-05-21,127
2015-05-22,127
2015-05-23,127
2015-05-24,120
2015-05-25,120
2015-05-26,120
2015-05-27,120
2015-05-28,114
2015-05-29,114
2015-05-30,108
2015-05-31,108
2015-06-01,108
2015-06-02,108
2015-06-03,102
2015-06-04,102
2015-06-05,102
2015-06-06,102
2015-06-07,96
2015-06-08,96
2015-06-09,96
2015-06-10,96
2015-06-11,91
2015-06-12,91
2015-06-13,91
2015-06-14,91
2015-06-15,86
2015-06-16,86
2015-06-17,86
2015-06-18,81
2015-06-19,81
2015-06-20,81
2015-06-21,81
2015-06-22,76
2015-06-23,76
2015-06-24,76
2015-06-25,76
2015-06-26,72
2015-06-27,72
2015-06-28,72
2015-06-29,72
2015-06-30,68
2015-07-01,68
2015-07-02,68
2015-07-03,68
2015-07-04,64
2015-07-05,64
2015-07-06,64
2015-07-07,64
2015-07-08,60
2015-07-09,60
2015-07-10,60
2015-07-11,60
2015-07-12,58
2015-07-13,58
2015-07-14,58
2015-07-15,58
2015-07-16,58
2015-07-17,58
2015-07-18,58
2015-07-19,57
2015-07-20,57
2015-07-21,57
2015-07-22,57
2015-07-23,60
2015-07-24,60
2015-07-25,60
2015-07-26,60
2015-07-27,61
2015-07-28,61
2015-07-29,61
2015-07-30,61
2015-07-31,60
2015-08-01,60
2015-08-02,60
2015-08-03,61
2015-08-04,61
2015-08-05,61
2015-08-06,61
2015-08-07,65
2015-08-08,65
2015-08-09,65
2015-08-10,68
2015-08-11,68
2015-08-12,68
2015-08-13,68
2015-08-14,68
2015-08-15,68
2015-08-16,66
2015-08-17,66
2015-08-18,66
2015-08-19,66
2015-08-20,66
2015-08-21,68
2015-08-22,68
2015-08-23,68
2015-08-24,68
2015-08-25,68
2015-08-26,72
2015-08-27,72
2015-08-28,72
2015-08-29,72
2015-08-30,76
2015-08-31,76
2015-09-01,76
2015-09-02,76
2015-09-03,76
2015-09-04,80
2015-09-05,80
2015-09-06,80
2015-09-07,80
2015-09-08,80
2015-09-09,80
2015-09-10,84
2015-09-11,84
2015-09-12,84
2015-09-13,84
2015-09-14,84
2015-09-15,89
2015-09-16,89
2015-09-17,89
2015-09-18,89
2015-09-19,89
2015-09-20,89
2015-09-21,89
2015-09-22,90
2015-09-23,90
2015-09-24,90
2015-09-25,90
