date_obj,Desert%20legs price
2015-03-26,314
2015-03-27,314
2015-03-28,323
2015-03-29,323
2015-03-30,323
2015-03-31,323
2015-04-01,323
2015-04-02,323
2015-04-03,323
2015-04-04,323
2015-04-05,328
2015-04-06,328
2015-04-07,328
2015-04-08,328
2015-04-09,328
2015-04-10,328
2015-04-11,328
2015-04-12,328
2015-04-13,342
2015-04-14,342
2015-04-15,342
2015-04-16,342
2015-04-17,342
2015-04-18,342
2015-04-19,342
2015-04-20,342
2015-04-21,342
2015-04-22,352
2015-04-23,352
2015-04-24,352
2015-04-25,352
2015-04-26,352
2015-04-27,352
2015-04-28,352
2015-04-29,352
2015-04-30,352
2015-05-01,364
2015-05-02,364
2015-05-03,364
2015-05-04,364
2015-05-05,364
2015-05-06,364
2015-05-07,364
2015-05-08,364
2015-05-09,364
2015-05-10,374
2015-05-11,374
2015-05-12,374
2015-05-13,374
2015-05-14,374
2015-05-15,374
2015-05-16,374
2015-05-17,374
2015-05-18,374
2015-05-19,374
2015-05-20,374
2015-05-21,374
2015-05-22,390
2015-05-23,390
2015-05-24,390
2015-05-25,390
2015-05-26,390
2015-05-27,390
2015-05-28,390
2015-05-29,407
2015-05-30,407
2015-05-31,407
2015-06-01,407
2015-06-02,407
2015-06-03,407
2015-06-04,407
2015-06-05,414
2015-06-06,414
2015-06-07,414
2015-06-08,414
2015-06-09,414
2015-06-10,414
2015-06-11,414
2015-06-12,417
2015-06-13,417
2015-06-14,417
2015-06-15,417
2015-06-16,417
2015-06-17,417
2015-06-18,417
2015-06-19,414
2015-06-20,414
2015-06-21,414
2015-06-22,414
2015-06-23,414
2015-06-24,414
2015-06-25,414
2015-06-26,399
2015-06-27,399
2015-06-28,399
2015-06-29,399
2015-06-30,399
2015-07-01,399
2015-07-02,399
2015-07-03,400
2015-07-04,400
2015-07-05,400
2015-07-06,400
2015-07-07,400
2015-07-08,400
2015-07-09,400
2015-07-10,415
2015-07-11,415
2015-07-12,415
2015-07-13,415
2015-07-14,415
2015-07-15,415
2015-07-16,415
2015-07-17,436
2015-07-18,436
2015-07-19,436
2015-07-20,436
2015-07-21,436
2015-07-22,436
2015-07-23,436
2015-07-24,445
2015-07-25,445
2015-07-26,445
2015-07-27,445
2015-07-28,445
2015-07-29,445
2015-07-30,451
2015-07-31,451
2015-08-01,451
2015-08-02,451
2015-08-03,451
2015-08-04,469
2015-08-05,469
2015-08-06,469
2015-08-07,469
2015-08-08,469
2015-08-09,469
2015-08-10,469
2015-08-11,486
2015-08-12,486
2015-08-13,486
2015-08-14,486
2015-08-15,486
2015-08-16,486
2015-08-17,507
2015-08-18,507
2015-08-19,507
2015-08-20,507
2015-08-21,507
2015-08-22,507
2015-08-23,507
2015-08-24,529
2015-08-25,529
2015-08-26,529
2015-08-27,529
2015-08-28,529
2015-08-29,529
2015-08-30,529
2015-08-31,544
2015-09-01,544
2015-09-02,544
2015-09-03,544
2015-09-04,544
2015-09-05,544
2015-09-06,544
2015-09-07,544
2015-09-08,554
2015-09-09,554
2015-09-10,554
2015-09-11,554
2015-09-12,554
2015-09-13,554
2015-09-14,554
2015-09-15,554
2015-09-16,551
2015-09-17,551
2015-09-18,551
2015-09-19,551
2015-09-20,551
2015-09-21,551
2015-09-22,551
2015-09-23,523
2015-09-24,523
2015-09-25,523
2015-09-27,523
2015-09-28,523
2015-09-29,523
2015-09-30,523
2015-10-05,511
2015-10-06,511
2015-10-07,511
2015-10-08,511
2015-10-09,511
2015-10-10,505
2015-10-11,505
2015-10-12,505
2015-10-13,505
2015-10-14,505
2015-10-15,505
2015-10-16,505
2015-10-17,499
2015-10-18,499
2015-10-19,499
2015-10-20,499
2015-10-22,499
2015-10-23,492
2015-10-24,492
2015-10-25,492
2015-10-26,492
2015-10-27,492
2015-10-29,492
2015-10-30,500
2015-10-31,500
2015-11-01,500
2015-11-02,500
2015-11-03,500
2015-11-04,500
2015-11-05,500
2015-11-06,500
2015-11-07,522
2015-11-08,522
2015-11-09,522
2015-11-10,522
2015-11-11,522
2015-11-12,522
2015-11-13,522
2015-11-14,522
2015-11-15,522
2015-11-16,522
2015-11-17,522
2015-11-18,534
2015-11-19,534
2015-11-20,534
2015-11-21,534
2015-11-22,534
2015-11-23,534
2015-11-24,534
2015-11-25,534
2015-11-26,534
2015-11-27,557
2015-11-28,557
2015-11-29,557
2015-11-30,557
2015-12-01,557
2015-12-02,557
2015-12-03,557
2015-12-04,557
2015-12-05,576
2015-12-06,576
2015-12-07,576
2015-12-08,576
2015-12-09,576
2015-12-10,576
2015-12-11,576
2015-12-12,591
2015-12-13,591
2015-12-14,591
