date_obj,Diamond%20amulet%20(u) price
2015-03-26,3000
2015-03-27,3000
2015-03-28,3000
2015-03-29,3000
2015-03-30,3000
2015-03-31,3000
2015-04-01,3000
2015-04-02,3000
2015-04-03,3000
2015-04-04,3000
2015-04-05,3000
2015-04-06,3000
2015-04-07,3000
2015-04-08,3000
2015-04-09,3000
2015-04-10,3000
2015-04-11,3000
2015-04-12,3000
2015-04-13,3000
2015-04-14,3000
2015-04-15,3000
2015-04-16,3000
2015-04-17,3000
2015-04-18,3000
2015-04-19,3000
2015-04-20,3000
2015-04-21,3000
2015-04-22,2946
2015-04-23,2946
2015-04-24,2946
2015-04-25,2946
2015-04-26,2946
2015-04-27,2946
2015-04-28,2946
2015-04-29,2946
2015-04-30,2946
2015-05-01,2946
2015-05-02,2946
2015-05-03,2946
2015-05-04,2946
2015-05-05,2946
2015-05-06,2946
2015-05-07,2946
2015-05-08,2946
2015-05-09,2946
2015-05-10,2946
2015-05-11,2946
2015-05-12,2946
2015-05-13,2946
2015-05-14,2946
2015-05-15,2946
2015-05-16,2946
2015-05-17,2946
2015-05-18,2946
2015-05-19,2946
2015-05-20,2946
2015-05-21,2946
2015-05-22,2946
2015-05-23,2946
2015-05-24,2946
2015-05-25,2946
2015-05-26,2946
2015-05-27,2946
2015-05-28,2946
2015-05-29,2946
2015-05-30,2946
2015-05-31,2946
2015-06-01,2946
2015-06-02,2946
2015-06-03,2946
2015-06-04,2946
2015-06-05,2946
2015-06-06,2946
2015-06-07,2946
2015-06-08,2946
2015-06-09,2946
2015-06-10,2946
2015-06-11,2946
2015-06-12,2946
2015-06-13,2813
2015-06-14,2813
2015-06-15,2813
2015-06-16,2813
2015-06-17,2813
2015-06-18,2813
2015-06-19,2813
2015-06-20,2813
2015-06-21,2813
2015-06-22,2813
2015-06-23,2813
2015-06-24,2813
2015-06-25,2813
2015-06-26,2813
2015-06-27,2813
2015-06-28,2813
2015-06-29,2813
2015-06-30,2813
2015-07-01,2813
2015-07-02,2813
2015-07-03,2813
2015-07-04,2813
2015-07-05,2813
2015-07-06,2813
2015-07-07,2813
2015-07-08,2813
2015-07-09,2813
2015-07-10,2813
2015-07-11,2813
2015-07-12,2813
2015-07-13,2813
2015-07-14,2813
2015-07-15,2813
2015-07-16,2813
2015-07-17,2813
2015-07-18,2813
2015-07-19,2813
2015-07-20,2813
2015-07-21,2813
2015-07-22,2813
2015-07-23,2813
2015-07-24,2813
2015-07-25,2813
2015-07-26,2813
2015-07-27,2813
2015-07-28,2813
2015-07-29,2813
2015-07-30,2813
2015-07-31,2813
2015-08-01,2813
2015-08-02,2813
2015-08-03,2813
2015-08-04,2813
2015-08-05,2813
2015-08-06,2813
2015-08-07,2685
2015-08-08,2685
2015-08-09,2685
2015-08-10,2685
2015-08-11,2685
2015-08-12,2685
2015-08-13,2685
2015-08-14,2685
2015-08-15,2685
2015-08-16,2685
2015-08-17,2685
2015-08-18,2685
2015-08-19,2685
2015-08-20,2685
2015-08-21,2685
2015-08-22,2685
2015-08-23,2685
2015-08-24,2685
2015-08-25,2685
2015-08-26,2685
2015-08-27,2685
2015-08-28,2685
2015-08-29,2685
2015-08-30,2685
2015-08-31,2685
2015-09-01,2685
2015-09-02,2685
2015-09-03,2685
2015-09-04,2685
2015-09-05,2685
2015-09-06,2685
