date_obj,Diamond%20necklace price
2015-03-26,2725
2015-03-27,2725
2015-03-28,2725
2015-03-29,2725
2015-03-30,2725
2015-03-31,2725
2015-04-01,2725
2015-04-02,2725
2015-04-03,2725
2015-04-04,2725
2015-04-05,2725
2015-04-06,2725
2015-04-07,2725
2015-04-08,2594
2015-04-09,2594
2015-04-10,2594
2015-04-11,2594
2015-04-12,2594
2015-04-13,2594
2015-04-14,2594
2015-04-15,2594
2015-04-16,2594
2015-04-17,2594
2015-04-18,2594
2015-04-19,2594
2015-04-20,2594
2015-04-21,2594
2015-04-22,2594
2015-04-23,2594
2015-04-24,2594
2015-04-25,2594
2015-04-26,2594
2015-04-27,2594
2015-04-28,2594
2015-04-29,2594
2015-04-30,2594
2015-05-01,2478
2015-05-02,2478
2015-05-03,2478
2015-05-04,2478
2015-05-05,2478
2015-05-06,2478
2015-05-07,2478
2015-05-08,2478
2015-05-09,2478
2015-05-10,2478
2015-05-11,2478
2015-05-12,2478
2015-05-13,2478
2015-05-14,2478
2015-05-15,2478
2015-05-16,2478
2015-05-17,2478
2015-05-18,2478
2015-05-19,2478
2015-05-20,2478
2015-05-21,2478
2015-05-22,2478
2015-05-23,2478
2015-05-24,2478
2015-05-25,2404
2015-05-26,2404
2015-05-27,2404
2015-05-28,2404
2015-05-29,2404
2015-05-30,2404
2015-05-31,2404
2015-06-01,2404
2015-06-02,2404
2015-06-03,2404
2015-06-04,2404
2015-06-05,2404
2015-06-06,2404
2015-06-07,2404
2015-06-08,2404
2015-06-09,2404
2015-06-10,2404
2015-06-11,2404
2015-06-12,2404
2015-06-13,2404
2015-06-14,2339
2015-06-15,2339
2015-06-16,2339
2015-06-17,2339
2015-06-18,2339
2015-06-19,2339
2015-06-20,2339
2015-06-21,2339
2015-06-22,2339
2015-06-23,2339
2015-06-24,2339
2015-06-25,2339
2015-06-26,2339
2015-06-27,2339
2015-06-28,2339
2015-06-29,2339
2015-06-30,2339
2015-07-01,2339
2015-07-02,2339
2015-07-03,2339
2015-07-04,2282
2015-07-05,2282
2015-07-06,2282
2015-07-07,2282
2015-07-08,2282
2015-07-09,2282
2015-07-10,2282
2015-07-11,2282
2015-07-12,2282
2015-07-13,2282
2015-07-14,2282
2015-07-15,2282
2015-07-16,2282
2015-07-17,2282
2015-07-18,2282
2015-07-19,2282
2015-07-20,2282
2015-07-21,2282
2015-07-22,2282
2015-07-23,2282
2015-07-24,2282
2015-07-25,2229
2015-07-26,2229
2015-07-27,2229
2015-07-28,2229
2015-07-29,2229
2015-07-30,2229
2015-07-31,2229
2015-08-01,2229
2015-08-02,2229
2015-08-03,2229
2015-08-04,2229
2015-08-05,2229
2015-08-06,2229
2015-08-07,2229
2015-08-08,2229
2015-08-09,2229
2015-08-10,2229
2015-08-11,2229
2015-08-12,2229
2015-08-13,2229
2015-08-14,2229
2015-08-15,2229
2015-08-16,2229
2015-08-17,2229
2015-08-18,2229
2015-08-19,2229
2015-08-20,2229
2015-08-21,2229
2015-08-22,2229
2015-08-23,2229
2015-08-24,2270
2015-08-25,2270
2015-08-26,2270
2015-08-27,2270
2015-08-28,2270
2015-08-29,2270
2015-08-30,2270
2015-08-31,2270
2015-09-01,2270
2015-09-02,2270
2015-09-03,2270
2015-09-04,2270
2015-09-05,2270
2015-09-06,2270
2015-09-07,2270
2015-09-08,2270
2015-09-09,2270
2015-09-10,2270
2015-09-11,2270
2015-09-12,2270
2015-09-13,2270
2015-09-14,2270
2015-09-15,2270
2015-09-16,2270
2015-09-17,2270
2015-09-18,2270
2015-09-19,2270
2015-09-20,2270
2015-09-21,2270
2015-09-22,2270
2015-09-23,2270
2015-09-24,2270
2015-09-25,2270
2015-09-27,2270
2015-09-28,2270
2015-09-29,2261
2015-09-30,2261
2015-10-05,2261
2015-10-06,2261
2015-10-07,2261
2015-10-08,2261
2015-10-09,2261
2015-10-10,2261
2015-10-11,2261
2015-10-12,2261
2015-10-13,2261
2015-10-14,2261
2015-10-15,2261
2015-10-16,2261
2015-10-17,2261
2015-10-18,2261
2015-10-19,2261
2015-10-20,2261
