date_obj,Dinh's%20bulwark price
2017-01-04,25923813
2017-01-05,27049198
2017-01-06,28250449
2017-01-07,29662972
2017-01-08,31005907
2017-01-09,32556203
2017-01-10,34150196
2017-01-11,35857706
2017-01-12,37587314
2017-01-13,39326446
2017-01-14,41292769
2017-01-15,43357408
2017-01-16,45525279
2017-01-17,46539141
2017-01-18,47219871
2017-01-19,49580865
2017-01-20,51478625
2017-01-21,48905075
2017-01-22,46459821
2017-01-23,44185763
2017-01-27,37388010
2017-01-28,35519814
2017-01-29,33756355
2017-01-30,32370021
2017-01-31,32089728
2017-02-01,33566019
2017-02-02,35099491
2017-02-03,36854466
2017-02-04,35976245
2017-02-05,34263818
2017-02-06,32834680
2017-02-07,31365319
2017-02-08,32585973
2017-02-09,32585973
2017-02-10,33633478
2017-02-11,32272380
2017-02-12,30691145
2017-02-13,29156587
2017-02-14,27772774
2017-02-15,26384135
2017-02-16,25064928
2017-02-18,22653786
2017-02-19,21625008
2017-02-20,21119501
2017-02-21,20438981
2017-02-22,19430373
2017-02-23,18462321
2017-02-24,17613582
2017-02-25,16896695
2017-02-26,16740305
2017-02-27,17021568
2017-02-28,17666905
2017-03-01,18526943
2017-03-02,17842835
2017-03-03,17384654
2017-03-04,16609998
2017-03-05,15779498
2017-03-06,14990523
2017-03-07,15265717
2017-03-08,15742800
2017-03-09,15540511
2017-03-10,14871719
2017-03-11,14353648
2017-03-12,13971213
2017-03-13,13625080
2017-03-14,13031894
2017-03-15,12737219
2017-03-16,13064604
2017-03-17,13496830
2017-03-18,12883014
2017-03-19,12487399
2017-03-20,12370035
2017-03-21,12501564
2017-03-22,12341281
2017-03-23,12919242
2017-03-24,13564938
2017-03-25,14211879
2017-03-26,14648400
2017-03-27,14769675
2017-03-28,15393627
2017-03-29,16163309
2017-03-30,16824111
2017-03-31,16288802
2017-04-01,15479359
2017-04-02,14882958
2017-04-03,14420909
2017-04-04,14405733
2017-04-12,14219318
2017-04-13,14655164
2017-04-14,14129063
2017-04-15,13893240
2017-04-16,13831246
2017-04-17,13920227
2017-04-18,14408060
2017-04-19,14368297
2017-04-20,14543424
2017-04-21,14388789
2017-04-22,14085458
2017-04-23,13869765
2017-04-24,13880818
2017-04-25,13967303
2017-04-26,13926678
2017-04-27,14127734
2017-04-28,14084232
2017-04-29,14455575
2017-04-30,14981780
2017-05-01,15180286
2017-05-02,15120965
2017-05-03,14942475
2017-05-04,14887079
2017-05-05,15400067
2017-05-06,16157900
2017-05-07,16965795
2017-05-08,17814085
2017-05-09,18362598
2017-05-10,18830956
2017-05-11,19186353
2017-05-12,20145361
2017-05-13,21152630
2017-05-14,22210262
2017-05-15,23320776
2017-05-16,24237895
2017-05-17,24486538
2017-05-18,25499124
2017-05-19,25722227
2017-05-20,24857664
2017-05-21,23614780
2017-05-22,22434041
2017-05-23,21312338
2017-05-24,20246721
2017-05-25,19308346
2017-05-26,18452619
2017-05-27,18286071
2017-05-28,18340219
2017-05-29,18997934
2017-05-30,19947831
2017-05-31,20835711
2017-06-01,20120391
2017-06-02,19114371
2017-06-03,18158652
2017-06-04,17250719
2017-06-05,16388183
2017-06-06,15568773
