date_obj,Dodgy%20necklace price
2017-02-01,2053
2017-02-02,1956
2017-02-03,1858
2017-02-04,1765
2017-02-05,1765
2017-02-06,1676
2017-02-07,1676
2017-02-08,1595
2017-02-09,1595
2017-02-10,1525
2017-02-11,1469
2017-02-12,1469
2017-02-13,1482
2017-02-14,1429
2017-02-15,1429
2017-02-16,1399
2017-02-18,1411
2017-02-19,1382
2017-02-20,1382
2017-02-21,1410
2017-02-22,1410
2017-02-23,1359
2017-02-24,1359
2017-02-25,1291
2017-02-26,1291
2017-02-27,1227
2017-02-28,1259
2017-03-01,1322
2017-03-02,1377
2017-03-03,1377
2017-03-04,1325
2017-03-05,1325
2017-03-06,1261
2017-03-07,1208
2017-03-08,1208
2017-03-09,1193
2017-03-10,1133
2017-03-11,1162
2017-03-12,1162
2017-03-13,1113
2017-03-14,1057
2017-03-15,1005
2017-03-16,1005
2017-03-17,1029
2017-03-18,1029
2017-03-19,1073
2017-03-20,1081
2017-03-21,1134
2017-03-22,1134
2017-03-23,1167
2017-03-24,1223
2017-03-25,1223
2017-03-26,1258
2017-03-27,1258
2017-03-28,1272
2017-03-29,1253
2017-03-30,1253
2017-03-31,1216
2017-04-01,1216
2017-04-02,1155
2017-04-03,1100
2017-04-04,1100
2017-04-12,1046
2017-04-13,1061
2017-04-14,1061
2017-04-15,1062
2017-04-16,1008
2017-04-17,962
2017-04-18,962
2017-04-19,922
2017-04-20,922
2017-04-21,889
2017-04-22,889
2017-04-23,859
2017-04-24,859
2017-04-25,865
2017-04-26,865
2017-04-27,891
2017-04-28,891
2017-04-29,929
2017-04-30,929
2017-05-01,976
2017-05-02,976
2017-05-03,1025
2017-05-04,1025
2017-05-05,1058
2017-05-06,1058
2017-05-07,1043
2017-05-08,1043
2017-05-09,1065
2017-05-10,1065
2017-05-11,1103
2017-05-12,1103
2017-05-13,1103
2017-05-14,1103
2017-05-15,1103
2017-05-16,1079
2017-05-17,1079
2017-05-18,1026
2017-05-19,1026
2017-05-20,975
2017-05-21,975
2017-05-22,926
2017-05-23,926
2017-05-24,879
2017-05-25,879
2017-05-26,835
2017-05-27,835
2017-05-28,810
2017-05-29,810
2017-05-30,845
2017-05-31,845
2017-06-01,883
2017-06-02,864
2017-06-03,864
2017-06-04,823
2017-06-05,823
2017-06-06,781
2017-06-07,781
2017-06-08,753
2017-06-09,753
2017-06-10,748
2017-06-11,748
2017-06-12,762
2017-06-13,780
2017-06-14,767
2017-06-15,767
2017-06-16,778
2017-06-17,778
2017-06-18,797
2017-06-19,797
2017-06-20,789
2017-06-21,798
2017-06-22,798
2017-06-23,770
2017-06-24,753
2017-06-25,753
2017-06-26,729
2017-06-27,702
2017-06-28,702
2017-06-29,671
2017-06-30,671
2017-07-01,699
2017-07-02,699
2017-07-03,731
2017-07-04,767
2017-07-05,767
2017-07-06,794
2017-07-07,794
2017-07-08,830
2017-07-13,811
2017-07-14,831
2017-07-15,831
2017-07-16,850
2017-07-17,878
2017-07-18,878
2017-07-19,904
2017-07-20,873
2017-07-21,873
2017-07-22,869
2017-07-23,885
2017-07-24,885
2017-07-25,885
2017-07-26,877
2017-07-27,852
2017-07-28,852
2017-07-29,841
2017-07-30,833
2017-07-31,833
2017-08-01,823
2017-08-02,805
2017-08-03,805
2017-08-04,813
2017-08-05,786
2017-08-06,786
2017-08-09,836
2017-08-10,859
2017-08-11,859
2017-08-12,893
2017-08-13,893
2017-08-14,921
2017-08-15,917
2017-08-16,917
2017-08-17,888
2017-08-18,888
2017-08-19,850
2017-08-20,867
2017-08-21,911
2017-08-22,956
2017-08-23,998
2017-08-24,998
2017-08-25,1039
2017-08-26,988
2017-08-27,1001
2017-08-28,1006
2017-08-29,1006
2017-08-30,1008
2017-08-31,1008
2017-09-01,968
2017-09-03,959
2017-09-04,978
2017-09-05,964
2017-09-06,922
2017-09-07,893
2017-09-08,893
2017-09-09,874
2017-09-10,855
2017-09-11,855
2017-09-12,877
2017-09-13,900
2017-09-14,921
2017-09-15,921
2017-09-16,949
2017-09-17,993
2017-09-18,1040
2017-09-19,1040
2017-09-20,1088
2017-09-21,1083
2017-09-22,1087
2017-09-23,1087
2017-09-24,1093
2017-09-25,1038
2017-09-26,1007
2017-09-27,1007
2017-09-28,1010
2017-09-29,978
2017-09-30,978
2017-10-01,950
2017-10-02,949
2017-10-03,949
2017-10-04,958
2017-10-05,972
2017-10-06,960
2017-10-07,945
2017-10-08,945
2017-10-09,950
2017-10-10,970
2017-10-11,970
2017-10-12,1011
2017-10-13,1059
2017-10-14,1112
2017-10-15,1112
2017-10-16,1119
2017-10-17,1119
2017-10-18,1068
2017-10-19,1068
2017-10-20,1047
2017-10-21,1038
2017-10-22,1054
2017-10-23,1054
2017-10-24,1061
2017-10-25,1049
2017-10-26,1049
2017-10-27,1064
2017-10-28,1064
2017-10-29,1086
2017-10-30,1106
2017-10-31,1112
2017-11-01,1112
2017-11-02,1128
2017-11-03,1128
2017-11-04,1144
2017-11-05,1125
2017-11-06,1096
2017-11-07,1096
2017-11-08,1059
2017-11-09,1039
2017-11-10,1039
2017-11-11,1002
2017-11-12,1013
2017-11-13,988
2017-11-14,988
2017-11-15,998
2017-11-16,1007
2017-11-17,982
2017-11-18,982
2017-11-19,979
2017-11-20,979
2017-11-21,971
2017-11-22,971
2017-11-23,934
2017-11-24,934
2017-11-25,903
2017-11-26,890
2017-11-27,890
2017-11-28,890
2017-11-29,890
2017-11-30,872
2017-12-01,883
2017-12-02,883
2017-12-03,866
2017-12-04,866
2017-12-05,877
2017-12-06,848
2017-12-07,817
2017-12-08,817
2017-12-09,826
2017-12-10,800
2017-12-11,817
2017-12-12,817
2017-12-13,848
2017-12-14,848
2017-12-15,855
2017-12-16,855
2017-12-17,848
2017-12-18,854
2017-12-19,854
2017-12-20,841
2017-12-21,818
2017-12-22,839
2017-12-23,849
2017-12-24,849
2017-12-25,855
2017-12-26,828
2017-12-27,823
2017-12-28,823
2017-12-29,823
2017-12-30,834
2017-12-31,834
2018-01-01,863
2018-01-02,907
2018-01-03,945
2018-01-04,935
2018-01-05,913
2018-01-06,888
2018-01-07,878
2018-01-08,869
2018-01-09,835
2018-01-10,835
2018-01-11,814
2018-01-12,832
2018-01-13,862
2018-01-14,862
2018-01-15,877
2018-01-16,913
2018-01-17,881
2018-01-18,840
2018-01-19,840
2018-01-20,828
2018-01-21,853
2018-01-22,884
2018-01-23,886
2018-01-25,879
2018-01-26,899
2018-01-27,913
2018-01-28,921
2018-01-29,920
2018-01-30,913
2018-01-31,923
2018-02-01,919
2018-02-02,937
2018-02-03,912
2018-02-04,894
2018-02-05,907
2018-02-06,905
2018-02-07,900
2018-02-08,886
2018-02-09,886
2018-02-10,901
2018-02-11,887
2018-02-12,866
2018-02-13,871
2018-02-14,865
2018-02-15,847
2018-02-16,816
2018-02-17,807
2018-02-18,787
2018-02-19,784
2018-02-20,778
2018-02-21,761
2018-02-22,786
2018-02-23,770
2018-02-24,762
2018-02-25,755
2018-02-26,768
2018-02-27,750
2018-02-28,740
2018-03-01,733
2018-03-02,727
2018-03-03,735
2018-03-04,712
2018-03-05,721
2018-03-06,757
2018-03-07,785
2018-03-08,817
2018-03-09,836
2018-03-10,845
2018-03-11,886
2018-03-12,906
2018-03-13,910
2018-03-14,920
2018-03-15,918
2018-03-16,962
2018-03-17,1004
2018-03-18,1000
2018-03-19,1020
2018-03-20,1005
2018-03-21,989
2018-03-23,1036
2018-03-24,1055
2018-03-25,1005
2018-03-26,962
2018-03-27,917
2018-03-28,916
2018-03-29,917
2018-03-30,885
2018-03-31,840
2018-04-01,800
2018-04-02,760
2018-04-03,777
2018-04-04,803
2018-04-05,842
2018-04-06,885
2018-04-07,928
2018-04-08,970
2018-04-09,1017
2018-04-10,1003
2018-04-11,985
2018-04-12,1009
2018-04-13,982
2018-04-14,964
2018-04-15,951
2018-04-16,911
2018-04-17,921
2018-04-18,915
2018-04-19,888
2018-04-20,874
2018-04-21,871
2018-04-22,887
2018-04-23,882
2018-04-24,876
2018-04-25,849
2018-04-26,814
2018-04-27,777
2018-04-28,743
2018-04-29,728
2018-04-30,754
2018-05-01,784
2018-05-03,842
2018-05-04,869
2018-05-05,894
2018-05-07,917
2018-05-08,905
2018-05-09,917
2018-05-10,921
2018-05-11,902
