date_obj,Dragon%20chainbody%20ornament%20kit price
2015-03-05,346700
2015-03-06,346700
2015-03-07,333013
2015-03-08,333013
2015-03-09,329310
2015-03-10,329310
2015-03-11,319106
2015-03-12,319106
2015-03-13,315400
2015-03-14,315400
2015-03-15,303593
2015-03-16,303593
2015-03-17,291036
2015-03-18,291036
2015-03-19,290289
2015-03-20,290289
2015-03-21,293809
2015-03-22,303441
2015-03-23,303441
2015-03-24,312124
2015-03-25,312124
2015-03-26,323915
2015-03-27,323915
2015-03-28,334463
2015-03-29,333763
2015-03-30,331534
2015-03-31,329854
2015-04-01,329854
2015-04-02,324099
2015-04-03,310509
2015-04-04,298552
2015-04-05,298552
2015-04-06,286633
2015-04-07,281912
2015-04-08,281912
2015-04-09,285352
2015-04-10,279675
2015-04-11,276775
2015-04-12,276775
2015-04-13,274708
2015-04-14,274708
2015-04-15,271339
2015-04-16,271339
2015-04-17,266344
2015-04-18,266209
2015-04-19,269701
2015-04-20,269701
2015-04-21,267768
2015-04-22,267768
2015-04-23,268039
2015-04-24,268039
2015-04-25,273539
2015-04-26,273539
2015-04-27,278709
2015-04-28,285311
2015-04-29,285311
2015-04-30,288090
2015-05-01,294856
2015-05-02,300721
2015-05-03,300721
2015-05-04,302041
2015-05-05,295145
2015-05-06,286808
2015-05-07,274170
2015-05-08,263323
2015-05-09,256538
2015-05-10,248647
2015-05-11,248647
2015-05-12,239128
2015-05-13,239128
2015-05-14,227465
2015-05-15,217827
2015-05-16,208142
2015-05-17,197734
2015-05-18,187894
2015-05-19,178499
2015-05-20,178499
2015-05-21,169574
2015-05-22,161095
2015-05-23,153040
2015-05-24,149412
2015-05-25,143907
2015-05-26,140139
2015-05-27,138592
2015-05-28,136272
2015-05-29,134107
2015-05-30,128547
2015-05-31,122877
2015-06-01,116955
2015-06-02,116955
2015-06-03,111625
2015-06-04,109553
2015-06-05,106055
2015-06-06,104038
2015-06-07,104331
2015-06-08,105925
2015-06-09,105073
2015-06-10,105310
2015-06-11,105310
2015-06-12,103774
2015-06-13,101357
2015-06-14,99946
2015-06-15,99154
2015-06-16,98153
2015-06-17,98153
2015-06-18,98207
2015-06-19,97723
2015-06-20,97925
2015-06-21,97925
2015-06-22,96819
2015-06-23,94714
2015-06-24,92609
2015-06-25,92609
2015-06-26,94360
2015-06-27,94360
2015-06-28,98240
2015-06-29,98240
2015-06-30,102880
2015-07-01,108024
2015-07-02,108024
2015-07-03,113203
2015-07-04,116449
2015-07-05,116449
2015-07-06,119989
2015-07-07,124581
2015-07-08,130522
2015-07-09,130522
2015-07-10,133341
2015-07-11,133341
2015-07-12,130455
2015-07-13,127854
2015-07-14,123349
2015-07-15,118516
2015-07-16,114793
2015-07-17,113266
2015-07-18,113266
2015-07-19,115405
2015-07-20,115334
2015-07-21,115334
2015-07-22,118235
2015-07-23,118235
2015-07-24,120274
2015-07-25,120274
2015-07-26,119669
2015-07-27,119535
2015-07-28,119875
2015-07-29,124085
2015-07-30,125677
2015-07-31,125677
2015-08-01,129107
2015-08-02,135563
2015-08-03,141806
2015-08-04,141806
2015-08-05,148897
2015-08-06,156215
2015-08-07,162120
2015-08-08,167654
2015-08-09,172609
2015-08-10,179635
2015-08-11,186845
2015-08-12,186845
2015-08-13,195698
2015-08-14,205256
2015-08-15,205256
2015-08-16,207551
2015-08-17,213160
2015-08-18,222966
2015-08-19,229858
2015-08-20,229858
2015-08-21,233442
2015-08-22,230399
2015-08-23,230399
2015-08-24,229553
2015-08-25,229553
2015-08-26,228883
2015-08-27,229585
2015-08-28,219328
2015-08-29,210802
2015-08-30,210802
2015-08-31,210802
2015-09-01,204219
2015-09-02,204219
2015-09-07,194358
2015-09-08,192588
2015-09-10,185672
2015-09-14,178885
2015-09-16,178004
2015-09-22,190461
2015-09-23,195837
2015-09-24,195837
2015-09-25,201701
2015-09-27,205371
2015-09-28,211793
2015-09-29,216285
2015-09-30,225535
2015-10-05,205950
2015-10-06,203507
2015-10-07,203507
2015-10-08,199447
2015-10-09,200532
2015-10-10,200532
2015-10-11,200083
2015-10-12,201068
2015-10-13,201068
2015-10-14,193664
2015-10-15,184814
2015-10-16,176165
2015-10-17,176165
2015-10-18,172919
2015-10-19,169166
2015-10-20,165060
2015-10-22,162575
2015-10-23,155438
2015-10-24,151148
2015-10-25,148079
2015-10-26,143937
2015-10-27,143937
2015-10-29,141418
2015-10-30,141244
2015-10-31,142822
2015-11-01,142822
2015-11-02,147842
2015-11-03,147842
2015-11-04,154987
2015-11-05,161581
2015-11-06,161581
2015-11-07,169563
2015-11-08,169563
2015-11-09,178042
2015-11-10,178042
2015-11-11,186945
2015-11-12,186945
2015-11-13,196020
2015-11-14,200670
2015-11-15,199667
2015-11-16,199667
2015-11-17,206143
2015-11-18,206143
2015-11-19,207153
2015-11-20,206581
2015-11-21,206581
2015-11-22,207295
2015-11-23,207295
2015-11-24,212613
2015-11-25,220037
2015-11-26,220037
2015-11-27,226473
2015-11-28,226473
2015-11-29,226945
2015-11-30,226945
2015-12-01,225754
2015-12-02,225754
2015-12-03,222555
2015-12-04,222555
2015-12-05,216908
2015-12-06,211840
2015-12-07,211840
