date_obj,Dragon%20crossbow price
2018-01-03,364770
2018-01-04,382034
2018-01-05,401136
2018-01-06,421193
2018-01-07,442253
2018-01-08,464366
2018-01-09,487585
2018-01-10,511965
2018-01-11,537564
2018-01-12,564443
2018-01-13,592666
2018-01-14,622300
2018-01-15,653415
2018-01-16,686086
2018-01-17,720391
2018-01-18,756411
2018-01-19,793953
2018-01-20,833651
2018-01-21,875334
2018-01-22,919101
2018-01-23,965057
2018-01-25,1063976
2018-01-26,1117175
2018-01-27,1173034
2018-01-28,1231686
2018-01-29,1293271
2018-01-30,1357935
2018-01-31,1425832
2018-02-01,1497124
2018-02-02,1571981
2018-02-03,1650581
2018-02-04,1733111
2018-02-05,1819767
2018-02-06,1910756
2018-02-07,2006294
2018-02-08,2106609
2018-02-09,2211940
2018-02-10,2322537
2018-02-11,2438664
2018-02-12,2560598
2018-02-13,2688628
2018-02-14,2823060
2018-02-15,2964213
2018-02-16,3112424
2018-02-17,3268046
2018-02-18,3431449
2018-02-19,3603022
2018-02-20,3783174
2018-02-21,3972333
2018-02-22,4170950
2018-02-23,4379498
2018-02-24,4598473
2018-02-25,4828397
2018-02-26,5069817
2018-02-27,5323308
2018-02-28,5589474
2018-03-01,5868948
2018-03-02,6162396
2018-03-03,6470516
2018-03-04,6794042
2018-03-05,7133745
2018-03-06,7490433
2018-03-07,7864955
2018-03-08,8258203
2018-03-09,8671114
2018-03-10,9104670
2018-03-11,9559904
2018-03-12,10037900
2018-03-13,10539795
2018-03-14,11050681
2018-03-15,10727198
2018-03-16,10281237
2018-03-17,9798743
2018-03-18,9308805
2018-03-20,8501677
2018-03-21,8612639
2018-03-23,9135083
2018-03-24,9483519
2018-03-25,9797675
2018-03-26,9383206
2018-03-27,9024872
2018-03-28,8960639
2018-03-29,8683964
2018-03-30,8718802
2018-03-31,8822841
2018-04-01,8927036
2018-04-02,9111841
2018-04-03,8966469
2018-04-04,9016091
2018-04-05,8963487
2018-04-06,8879251
2018-04-07,8881518
2018-04-08,8899943
2018-04-09,8840545
2018-04-10,8697512
2018-04-11,8660806
2018-04-12,8805317
2018-04-13,8650956
2018-04-14,8772643
2018-04-15,9015367
2018-04-16,9029329
2018-04-17,8857518
2018-04-18,8828571
2018-04-19,8889374
2018-04-20,9171906
2018-04-21,9590047
2018-04-22,10034280
2018-04-23,10029841
2018-04-24,9789711
2018-04-25,9588961
2018-04-26,9626574
2018-04-27,9712279
2018-04-28,9775432
2018-04-29,9795969
2018-04-30,9783009
2018-05-01,9793578
2018-05-03,9890337
2018-05-04,10378336
2018-05-05,10534925
2018-05-07,11391388
2018-05-08,11093677
2018-05-09,10628452
2018-05-10,10164072
2018-05-11,9710819
2018-05-12,10007430
2018-05-13,10113899
2018-05-14,10004217
2018-05-15,9966245
2018-05-16,9949196
2018-05-17,9857683
2018-05-18,9865364
2018-05-19,9933171
2018-05-20,9937017
2018-05-21,9990436
2018-05-22,9953370
2018-05-23,10210711
2018-05-24,10712505
2018-05-25,11095996
2018-05-26,11163572
2018-05-27,11218428
2018-05-28,11279102
2018-05-29,11125168
2018-05-30,10973066
2018-05-31,10596722
2018-06-01,10434989
2018-06-02,10372687
2018-06-03,10602383
2018-06-04,10693604
2018-06-05,11013995
2018-06-06,10884776
2018-06-07,10387556
2018-06-08,10182733
2018-06-09,10168375
2018-06-10,10048815
2018-06-11,9861492
2018-06-12,9619599
2018-06-13,9315630
2018-06-14,9012537
2018-06-15,9047221
2018-06-16,9114452
2018-06-17,9356565
2018-06-18,9223783
2018-06-19,9169552
2018-06-20,9131202
2018-06-21,9064000
2018-06-22,8978331
2018-06-23,8934906
2018-06-24,8878395
2018-06-25,8809415
2018-06-26,8724308
2018-06-27,8659183
2018-06-28,8407449
2018-06-29,8264656
2018-06-30,8469993
2018-07-01,8482688
2018-07-02,8449463
2018-07-03,8451455
2018-07-04,8402200
2018-07-05,8366416
2018-07-06,8417354
2018-07-07,8555812
2018-07-08,8638031
2018-07-09,8938999
2018-07-10,9015626
2018-07-11,8960802
2018-07-12,8940162
2018-07-13,8894257
2018-07-14,8896604
2018-07-15,8905154
2018-07-16,8889981
2018-07-17,8882546
2018-07-18,8858557
2018-07-19,8850004
2018-07-20,8845709
2018-07-21,8944090
2018-07-22,8965397
2018-07-23,8972973
2018-07-24,8925590
2018-07-25,8908487
2018-07-26,8831646
2018-07-27,8494012
2018-07-28,8451376
2018-07-29,8280782
2018-07-30,8351901
2018-07-31,8136352
2018-08-01,8101144
2018-08-02,8042114
2018-08-03,8010897
2018-08-04,7973068
2018-08-05,7980318
2018-08-06,7952763
2018-08-07,8003911
2018-08-08,8026142
2018-08-09,7973816
2018-08-10,8059789
2018-08-11,8218732
2018-08-12,8348303
2018-08-14,8570329
2018-08-16,8466903
2018-08-17,8340039
2018-08-18,8283099
2018-08-19,8217481
2018-08-20,8206242
2018-08-21,8157369
2018-08-22,8268970
2018-08-23,8420245
2018-08-24,8567816
2018-08-25,8580987
2018-08-26,8560064
2018-08-27,8549115
2018-08-28,8520746
2018-08-29,8502968
2018-08-30,8474821
2018-08-31,8501806
2018-09-01,8710056
2018-09-02,8836870
2018-09-03,8841011
2018-09-04,8840887
2018-09-05,8769030
2018-09-06,8742096
2018-09-07,8690162
2018-09-08,8663006
2018-09-09,8698794
2018-09-10,8642478
2018-09-11,8609998
2018-09-12,8522358
2018-09-13,8356029
2018-09-14,8280545
2018-09-15,8286279
2018-09-16,8240986
2018-09-17,8229871
2018-09-18,8204792
2018-09-19,8239506
2018-09-20,8180135
2018-09-21,8134703
