date_obj,Dragon%20crossbow%20(u) price
2018-01-03,320000
2018-01-04,332800
2018-01-05,346363
2018-01-06,346363
2018-01-07,359880
2018-01-08,359880
2018-01-09,359880
2018-01-10,374923
2018-01-11,374923
2018-01-12,374923
2018-01-13,392062
2018-01-14,392062
2018-01-15,392062
2018-01-16,408792
2018-01-17,408792
2018-01-18,408792
2018-01-19,408792
2018-01-20,426703
2018-01-21,426703
2018-01-22,426703
2018-01-23,426703
2018-01-25,445301
2018-01-26,445301
2018-01-27,465347
2018-01-28,465347
2018-01-29,465347
2018-01-30,485120
2018-01-31,485120
2018-02-01,485120
2018-02-02,485120
2018-02-03,506598
2018-02-04,506598
2018-02-05,506598
2018-02-06,528112
2018-02-07,528112
2018-02-08,528112
2018-02-09,551101
2018-02-10,551101
2018-02-11,551101
2018-02-12,551101
2018-02-13,575701
2018-02-14,575701
2018-02-15,575701
2018-02-16,575701
2018-02-17,600534
2018-02-18,600534
2018-02-19,600534
2018-02-20,627728
2018-02-21,627728
2018-02-22,627728
2018-02-23,649081
2018-02-24,649081
2018-02-25,649081
2018-02-26,679897
2018-02-27,679897
2018-02-28,679897
2018-03-01,710145
2018-03-02,710145
2018-03-03,710145
2018-03-04,710145
2018-03-05,743102
2018-03-06,743102
2018-03-07,743102
2018-03-08,743102
2018-03-09,778067
2018-03-10,778067
2018-03-11,778067
2018-03-12,778067
2018-03-13,805392
2018-03-14,805392
2018-03-15,805392
2018-03-16,805392
2018-03-17,805392
2018-03-18,843226
2018-03-20,843226
2018-03-21,843226
2018-03-23,843226
2018-03-24,881862
2018-03-25,881862
2018-03-26,881862
2018-03-27,881862
2018-03-28,881862
2018-03-29,921846
2018-03-30,921846
2018-03-31,921846
2018-04-01,921846
2018-04-02,921846
2018-04-03,921846
2018-04-04,962961
2018-04-05,962961
2018-04-06,962961
2018-04-07,962961
2018-04-08,962961
2018-04-09,962961
2018-04-10,1001471
2018-04-11,1001471
2018-04-12,1001471
2018-04-13,1001471
2018-04-14,1001471
2018-04-15,1001471
2018-04-16,1046021
2018-04-17,1046021
2018-04-18,1046021
2018-04-19,1046021
2018-04-20,1046021
2018-04-21,1046021
2018-04-22,1093225
2018-04-23,1093225
2018-04-24,1093225
2018-04-25,1093225
2018-04-26,1093225
2018-04-27,1093225
2018-04-28,1139939
2018-04-29,1139939
2018-04-30,1139939
2018-05-01,1139939
2018-05-03,1139939
2018-05-04,1139939
2018-05-05,1186106
2018-05-07,1186106
2018-05-08,1186106
2018-05-09,1186106
2018-05-10,1186106
2018-05-11,1238162
