date_obj,Dragon%20platebody%20ornament%20kit price
2018-01-25,519074
2018-01-26,543790
2018-01-27,569720
2018-01-28,597100
2018-01-29,597100
2018-01-30,625315
2018-01-31,625315
2018-02-01,654047
2018-02-02,654047
2018-02-03,683291
2018-02-04,683291
2018-02-05,715142
2018-02-06,715142
2018-02-07,747503
2018-02-08,747503
2018-02-09,784146
2018-02-10,784146
2018-02-11,821970
2018-02-12,821970
2018-02-13,859256
2018-02-14,859256
2018-02-15,899494
2018-02-16,899494
2018-02-17,939731
2018-02-18,939731
2018-02-19,985460
2018-02-20,985460
2018-02-21,985460
2018-02-22,1030685
2018-02-23,1030685
2018-02-24,1030685
2018-02-25,1077441
2018-02-26,1077441
2018-02-27,1077441
2018-02-28,1129262
2018-03-01,1129262
2018-03-02,1182951
2018-03-03,1182951
2018-03-04,1182951
2018-03-05,1239018
2018-03-06,1239018
2018-03-07,1239018
2018-03-08,1296450
2018-03-09,1296450
2018-03-10,1296450
2018-03-11,1354727
2018-03-12,1354727
2018-03-13,1354727
2018-03-14,1420477
2018-03-15,1420477
2018-03-16,1420477
2018-03-17,1486177
2018-03-18,1486177
2018-03-20,1556785
2018-03-21,1556785
2018-03-23,1556785
2018-03-24,1632336
2018-03-25,1632336
2018-03-26,1706329
2018-03-27,1706329
2018-03-28,1706329
2018-03-29,1787600
2018-03-30,1787600
2018-03-31,1787600
2018-04-01,1787600
2018-04-02,1874797
2018-04-03,1874797
2018-04-04,1963709
2018-04-05,1963709
2018-04-06,2048409
2018-04-07,2048409
2018-04-08,2048409
2018-04-09,2141685
2018-04-10,2141685
2018-04-11,2244825
2018-04-12,2244825
2018-04-13,2342329
2018-04-14,2342329
2018-04-15,2442937
2018-04-16,2442937
2018-04-17,2556805
2018-04-18,2556805
2018-04-19,2556805
2018-04-20,2556805
2018-04-21,2682312
2018-04-22,2682312
2018-04-23,2682312
2018-04-24,2802806
2018-04-25,2802806
2018-04-26,2802806
2018-04-27,2940422
2018-04-28,2940422
2018-04-29,3077849
2018-04-30,3077849
2018-05-01,3077849
2018-05-03,3215415
2018-05-04,3215415
2018-05-05,3356874
2018-05-07,3356874
2018-05-08,3356874
2018-05-09,3513165
2018-05-10,3513165
2018-05-11,3513165
