date_obj,Dragon%20spear price
2015-03-26,124211
2015-03-27,124211
2015-03-28,126326
2015-03-29,126326
2015-03-30,122330
2015-03-31,122330
2015-04-01,124936
2015-04-02,124936
2015-04-03,125358
2015-04-04,125358
2015-04-05,126774
2015-04-06,126774
2015-04-07,127773
2015-04-08,127773
2015-04-09,122398
2015-04-10,122398
2015-04-11,119874
2015-04-12,119874
2015-04-13,120682
2015-04-14,120682
2015-04-15,116732
2015-04-16,116732
2015-04-17,113261
2015-04-18,113261
2015-04-19,112852
2015-04-20,112852
2015-04-21,111517
2015-04-22,111517
2015-04-23,115367
2015-04-24,115367
2015-04-25,115442
2015-04-26,115442
2015-04-27,116956
2015-04-28,116956
2015-04-29,115805
2015-04-30,113386
2015-05-01,116655
2015-05-02,121124
2015-05-03,121124
2015-05-04,127138
2015-05-05,132759
2015-05-06,139397
2015-05-07,146367
2015-05-08,153371
2015-05-09,161040
2015-05-10,169092
2015-05-11,169092
2015-05-12,177547
2015-05-13,177547
2015-05-14,186425
2015-05-15,195394
2015-05-16,195394
2015-05-17,205164
2015-05-18,211500
2015-05-19,211500
2015-05-20,211263
2015-05-21,211263
2015-05-22,210425
2015-05-23,210425
2015-05-24,213347
2015-05-25,222613
2015-05-26,222613
2015-05-27,225353
2015-05-28,221122
2015-05-29,220878
2015-05-30,227778
2015-05-31,232800
2015-06-01,229639
2015-06-02,229639
2015-06-03,218558
2015-06-04,208199
2015-06-05,197789
2015-06-06,187899
2015-06-07,179254
2015-06-08,171658
2015-06-09,163075
2015-06-10,154921
2015-06-11,154921
2015-06-12,147174
2015-06-13,139815
2015-06-14,132865
2015-06-15,126605
2015-06-16,122201
2015-06-17,122848
2015-06-18,124823
2015-06-19,125409
2015-06-20,120666
2015-06-21,117463
2015-06-22,119633
2015-06-23,118986
2015-06-24,116199
2015-06-25,116199
2015-06-26,111659
2015-06-27,111659
2015-06-28,108289
2015-06-29,108289
2015-06-30,106494
2015-07-01,103964
2015-07-02,103964
2015-07-03,104904
2015-07-04,104567
2015-07-05,104567
2015-07-06,100799
2015-07-07,96964
2015-07-08,92870
2015-07-09,92870
2015-07-10,89803
2015-07-11,85515
2015-07-12,81413
2015-07-13,77741
2015-07-14,74712
2015-07-15,74124
2015-07-16,73463
2015-07-17,74743
2015-07-18,74743
2015-07-19,77553
2015-07-20,80541
2015-07-21,84540
2015-07-22,88767
2015-07-23,88767
2015-07-24,92738
2015-07-25,96256
2015-07-26,95621
2015-07-27,91660
2015-07-28,88268
2015-07-29,87249
2015-07-30,85023
2015-07-31,81885
2015-08-01,79195
2015-08-02,78879
2015-08-03,81098
2015-08-04,81488
2015-08-05,82809
2015-08-06,81633
2015-08-07,80761
2015-08-08,82459
2015-08-09,82070
2015-08-10,81883
2015-08-11,82203
2015-08-12,82203
2015-08-13,82956
2015-08-14,84661
2015-08-15,86132
2015-08-16,85907
2015-08-17,85944
2015-08-18,86047
2015-08-19,86289
2015-08-20,88001
2015-08-21,88999
2015-08-22,90738
2015-08-23,93238
2015-08-24,95985
2015-08-25,95985
2015-08-26,99674
2015-08-27,97519
2015-08-28,96435
2015-08-29,98417
2015-08-30,101209
2015-08-31,104073
2015-09-01,103941
2015-09-02,103941
2015-09-03,102122
2015-09-04,97535
2015-09-05,93902
2015-09-06,91657
2015-09-07,91151
2015-09-08,92083
2015-09-09,93469
2015-09-10,93683
2015-09-11,94713
2015-09-12,97937
2015-09-13,102297
2015-09-14,101959
2015-09-15,98685
2015-09-16,98685
2015-09-17,99008
2015-09-18,102540
2015-09-19,101518
2015-09-20,98679
2015-09-21,96608
2015-09-22,93796
2015-09-23,94315
2015-09-24,94315
2015-09-25,97053
2015-09-27,97099
2015-09-28,96501
2015-09-29,99439
2015-09-30,101727
2015-10-05,113365
2015-10-06,115255
2015-10-07,118661
2015-10-08,116824
2015-10-09,116771
2015-10-10,116771
2015-10-11,113359
2015-10-12,117486
2015-10-13,122174
2015-10-14,127758
2015-10-15,134142
2015-10-16,140850
2015-10-17,140850
2015-10-18,147893
2015-10-19,150053
2015-10-20,157535
2015-10-22,159977
2015-10-23,160949
2015-10-24,154578
2015-10-25,156913
2015-10-26,157849
2015-10-27,157849
2015-10-29,145130
2015-10-30,138059
2015-10-31,131564
2015-11-01,131564
2015-11-02,124985
2015-11-03,118823
2015-11-04,118823
2015-11-05,112881
2015-11-06,112881
2015-11-07,107980
2015-11-08,107980
2015-11-09,102581
2015-11-10,98526
2015-11-11,95351
2015-11-12,95351
2015-11-13,91821
2015-11-14,89386
2015-11-15,87093
2015-11-16,89764
2015-11-17,94182
2015-11-18,98702
2015-11-19,97967
2015-11-20,95523
2015-11-21,95523
2015-11-22,94740
2015-11-23,94740
2015-11-24,93132
2015-11-25,93027
2015-11-26,93027
2015-11-27,93621
2015-11-28,95076
2015-11-29,94937
2015-11-30,92455
2015-12-01,92455
2015-12-02,92679
2015-12-03,90490
2015-12-04,90490
2015-12-05,90188
2015-12-06,86432
2015-12-07,84607
2015-12-08,87321
2015-12-09,87769
2015-12-10,88631
2015-12-11,84816
2015-12-12,81433
2015-12-13,78275
2015-12-14,78275
2015-12-15,81048
2015-12-16,83767
2015-12-17,83767
2015-12-18,84963
2015-12-19,86360
2015-12-20,87363
2015-12-21,88995
2015-12-22,86943
2015-12-23,84934
2015-12-24,82330
2015-12-25,81725
2015-12-26,83969
2015-12-27,86226
2015-12-28,87217
2015-12-29,88619
2015-12-30,91096
2015-12-31,89329
2016-01-01,86906
2016-01-02,84450
2016-01-03,84826
2016-01-04,85514
2016-01-05,87533
2016-01-06,86770
2016-01-07,87414
2016-01-08,88874
2016-01-09,89304
2016-01-10,91611
2016-01-11,93538
2016-01-12,96860
2016-01-13,99716
2016-01-14,102964
2016-01-15,105589
2016-01-16,107407
2016-01-17,108671
2016-01-18,112305
2016-01-19,115866
2016-01-20,112791
2016-01-21,107617
2016-01-22,102346
2016-01-23,97261
2016-01-24,92508
2016-01-25,92025
2016-01-26,95823
2016-01-27,95976
2016-01-28,95976
2016-01-29,91677
2016-01-30,88239
2016-01-31,90505
2016-02-01,92776
2016-02-02,93955
2016-02-03,93543
2016-02-04,92079
2016-02-05,89402
2016-02-06,87636
2016-02-07,85473
2016-02-08,86367
2016-02-09,88504
2016-02-10,88625
2016-02-11,88539
2016-02-12,88288
2016-02-13,88689
2016-02-14,90651
2016-02-15,88642
2016-02-16,86304
2016-02-17,87260
2016-02-18,85224
2016-02-19,83288
2016-02-20,84576
2016-02-21,87283
2016-02-22,87283
2016-02-23,84824
2016-02-24,83510
2016-02-25,84770
2016-02-26,84770
2016-02-27,83593
2016-02-28,83643
2016-02-29,83687
2016-03-01,83573
2016-03-02,83943
2016-03-03,83659
2016-03-04,82584
2016-03-05,82424
2016-03-06,82083
2016-03-07,82927
2016-03-08,81903
2016-03-09,81040
2016-03-10,79857
2016-03-11,77960
2016-03-12,79292
2016-03-13,79545
2016-03-14,79914
2016-03-15,80524
2016-03-16,80678
2016-03-17,80932
2016-03-18,81185
2016-03-19,81283
2016-03-20,80932
2016-03-21,81592
2016-03-22,82263
2016-03-23,81587
2016-03-24,81938
2016-03-25,82099
2016-03-26,83640
2016-03-27,82508
2016-03-28,81618
2016-03-29,80261
2016-03-30,80261
2016-03-31,80923
2016-04-01,80474
2016-04-02,80608
2016-04-03,80419
2016-04-04,83466
2016-04-05,85745
2016-04-06,86138
2016-04-07,87589
2016-04-08,88562
2016-04-09,88501
2016-04-10,89188
2016-04-11,89188
2016-04-12,87112
2016-04-13,85845
2016-04-14,85893
2016-04-15,86575
2016-04-16,87848
2016-04-17,88462
2016-04-18,88469
2016-04-19,87685
2016-04-20,89206
2016-04-21,89566
2016-04-22,89625
2016-04-23,87511
2016-04-24,87286
2016-04-25,85096
2016-04-26,85042
2016-04-27,82443
2016-04-28,80871
2016-04-29,81510
2016-04-30,80889
2016-05-01,80028
2016-05-02,78970
2016-05-03,77849
2016-05-04,75803
2016-05-05,76122
2016-05-06,76122
2016-05-07,75504
2016-05-08,74565
2016-05-09,72396
2016-05-10,70674
2016-05-11,68637
2016-05-12,67544
2016-05-13,67638
2016-05-14,68837
2016-05-15,71611
2016-05-16,72602
2016-05-17,75530
2016-05-18,79307
2016-05-19,82133
2016-05-22,83299
2016-05-23,83182
2016-05-24,86650
2016-05-25,89120
2016-05-26,87166
2016-05-27,82859
2016-05-28,79371
2016-05-29,75436
2016-05-30,71944
2016-05-31,70463
2016-06-01,72543
2016-06-02,71106
2016-06-03,72663
2016-06-04,74504
2016-06-05,76309
2016-06-06,78439
2016-06-07,81485
2016-06-08,83866
2016-06-09,85538
2016-06-10,84691
2016-06-11,82043
2016-06-12,81876
2016-06-13,78822
2016-06-14,75639
2016-06-15,71899
2016-06-16,68459
2016-06-17,65183
2016-06-18,61923
2016-06-19,58826
2016-06-20,56149
2016-06-21,54759
2016-06-22,52893
2016-06-23,51055
2016-06-24,52350
2016-06-25,52973
2016-06-26,52330
2016-06-27,52141
2016-06-28,52039
2016-06-29,51766
2016-06-30,51905
2016-07-01,50272
2016-07-02,48064
2016-07-03,47839
2016-07-04,49226
2016-07-05,47603
2016-07-06,45356
2016-07-07,43088
2016-07-08,41628
2016-07-09,41043
2016-07-10,42777
2016-07-11,43940
2016-07-12,44406
2016-07-13,45276
2016-07-14,45187
2016-07-15,44779
2016-07-16,44172
2016-07-17,44441
2016-07-18,43863
2016-07-23,42453
2016-07-24,43777
2016-07-25,45798
2016-07-26,46289
2016-07-27,46416
2016-07-28,44230
2016-07-29,42046
2016-07-30,40696
2016-07-31,41145
