date_obj,Dragonfruit%20sapling price
2019-01-10,45200
2019-01-10,47460
2019-01-11,49833
2019-01-12,52325
2019-01-13,54942
2019-01-14,57690
2019-01-15,60575
2019-01-16,63604
2019-01-17,66785
2019-01-18,70125
2019-01-19,73632
2019-01-20,77314
2019-01-21,81180
2019-01-22,85239
2019-01-23,89501
2019-01-24,93977
2019-01-25,98676
2019-01-26,103610
2019-01-27,108791
2019-01-28,114231
2019-01-29,119943
2019-01-30,125941
2019-01-31,132239
2019-02-01,138091
2019-02-02,136851
2019-02-03,142801
2019-02-04,144863
2019-02-05,146191
2019-02-06,146193
2019-02-07,152444
2019-02-08,158296
2019-02-09,155723
2019-02-10,153391
2019-02-11,152765
2019-02-12,156402
2019-02-13,162560
2019-02-14,160084
2019-02-15,163767
2019-02-16,166381
2019-02-17,163722
2019-02-18,162952
2019-02-19,163162
2019-02-20,163359
2019-02-21,162955
2019-02-22,166221
2019-02-23,165622
2019-02-24,164545
2019-02-25,163539
2019-02-26,160686
2019-02-27,160273
2019-02-28,156783
2019-03-01,155921
2019-03-02,153650
2019-03-03,152131
2019-03-04,145252
2019-03-05,147239
2019-03-06,144286
2019-03-07,144407
2019-03-08,146284
2019-03-09,148517
2019-03-10,151391
2019-03-11,156785
2019-03-12,156444
2019-03-13,157806
2019-03-14,158854
2019-03-15,161262
2019-03-16,164348
2019-03-17,160577
2019-03-18,161711
2019-03-19,161189
2019-03-20,161325
2019-03-21,161952
2019-03-22,158720
2019-03-23,158909
2019-03-24,158147
2019-03-25,158366
2019-03-26,156585
2019-03-27,155756
2019-03-28,161395
2019-03-29,165716
2019-03-30,165716
2019-03-31,170406
2019-04-01,174482
2019-04-02,182798
2019-04-03,186811
2019-04-04,184125
2019-04-05,181406
2019-04-06,177528
2019-04-07,169017
2019-04-08,167210
2019-04-09,164354
2019-04-10,163214
2019-04-11,161032
2019-04-12,158459
2019-04-13,156986
2019-04-14,153874
2019-04-15,152705
2019-04-16,151464
2019-04-17,152358
2019-04-18,152599
2019-04-19,152178
2019-04-20,150727
2019-04-21,147825
2019-04-22,146513
2019-04-23,148797
2019-04-24,146111
2019-04-25,147468
2019-04-26,149844
2019-04-27,152106
2019-04-28,157500
2019-04-29,163709
2019-04-30,171205
2019-05-01,174502
2019-05-02,176373
2019-05-03,178674
2019-05-04,187036
2019-05-05,185952
2019-05-06,185077
2019-05-07,185863
2019-05-08,188505
2019-05-09,188440
2019-05-10,193580
2019-05-11,190368
2019-05-12,189499
2019-05-13,188305
2019-05-14,187270
2019-05-15,186091
2019-05-16,185205
2019-05-17,185940
2019-05-18,187464
2019-05-19,190269
2019-05-20,193007
2019-05-21,193465
2019-05-22,196532
2019-05-23,195476
2019-05-24,191740
2019-05-25,187972
2019-05-26,186209
2019-05-27,184021
2019-05-28,183416
2019-05-29,182396
2019-05-30,181481
2019-05-31,180194
2019-06-01,177650
2019-06-02,175559
2019-06-03,173806
2019-06-04,173573
2019-06-05,168954
2019-06-06,167340
2019-06-07,167838
2019-06-08,173572
2019-06-09,177799
2019-06-10,177799
2019-06-11,179893
2019-06-12,178120
2019-06-13,176433
2019-06-14,174663
2019-06-15,174582
2019-06-16,172341
2019-06-17,171158
2019-06-18,168062
2019-06-19,164832
2019-06-20,163573
2019-06-21,161270
2019-06-22,159198
2019-06-23,156543
2019-06-24,153426
2019-06-25,148373
2019-06-26,146024
2019-06-27,147750
2019-06-28,154100
2019-06-29,161655
2019-06-30,169651
2019-07-01,177971
2019-07-02,186054
2019-07-03,194038
2019-07-04,194191
2019-07-05,189755
2019-07-06,188913
2019-07-07,190985
2019-07-08,187829
2019-07-09,185841
2019-07-10,184295
2019-07-11,183821
2019-07-12,186316
2019-07-13,186316
2019-07-14,184444
2019-07-15,184444
2019-07-16,185946
2019-07-17,185296
2019-07-18,183865
2019-07-19,184653
2019-07-20,184191
2019-07-21,183256
2019-07-22,185775
2019-07-23,186021
2019-07-24,189016
2019-07-25,190824
2019-07-26,188286
2019-07-27,190970
2019-07-28,185520
2019-07-29,185898
2019-07-30,188933
2019-07-31,192123
2019-08-01,193560
2019-08-02,192025
2019-08-03,190727
2019-08-04,191233
2019-08-05,191227
2019-08-06,196473
2019-08-07,199891
2019-08-08,203848
2019-08-09,212110
2019-08-10,208281
2019-08-11,207929
2019-08-12,203725
2019-08-13,201444
2019-08-14,198197
2019-08-15,196346
2019-08-16,192275
2019-08-17,192275
2019-08-18,185194
2019-08-19,179135
2019-08-20,177224
2019-08-21,179263
2019-08-22,181415
2019-08-23,180896
2019-08-24,181122
2019-08-24,181122
2019-08-25,181122
2019-08-25,181122
2019-08-26,183962
2019-08-27,185680
2019-08-27,185680
2019-08-28,186299
2019-08-29,183427
2019-08-30,182905
2019-08-31,182905
2019-09-01,181731
2019-09-02,181731
2019-09-03,179025
2019-09-04,181637
2019-09-05,182596
2019-09-06,182596
2019-09-07,188116
2019-09-08,183143
2019-09-09,184819
2019-09-10,186393
2019-09-11,192191
2019-09-12,200031
2019-09-13,201923
2019-09-14,198007
2019-09-15,195783
2019-09-16,191948
2019-09-17,191725
2019-09-18,188656
2019-09-19,186999
2019-09-20,184739
2019-09-21,181240
2019-09-22,177018
2019-09-23,178485
2019-09-24,178485
2019-09-25,176163
2019-09-26,176454
2019-09-27,180882
2019-09-28,186256
2019-09-29,186256
2019-09-30,184109
2019-10-01,182357
2019-10-02,182357
2019-10-03,181252
2019-10-04,180374
2019-10-05,180293
2019-10-06,183454
2019-10-07,182568
2019-10-08,179167
2019-10-09,179167
2019-10-10,178207
2019-10-11,177505
2019-10-12,176617
2019-10-13,169294
2019-10-14,169242
2019-10-15,169063
2019-10-16,171005
2019-10-17,171005
2019-10-18,172070
2019-10-19,178290
2019-10-20,180125
2019-10-21,179342
2019-10-22,179527
2019-10-23,183588
2019-10-24,184992
2019-10-25,185639
2019-10-26,188466
2019-10-27,185561
2019-10-28,183386
2019-10-29,180277
2019-10-30,181390
2019-10-31,180620
2019-11-01,184906
2019-11-02,187296
2019-11-03,187102
2019-11-04,189178
2019-11-05,189178
2019-11-06,191866
2019-11-07,192432
2019-11-08,190046
2019-11-09,188368
2019-11-10,186295
2019-11-11,183897
2019-11-12,183124
2019-11-13,182023
2019-11-14,186332
2019-11-15,188785
2019-11-16,191933
2019-11-17,191933
2019-11-18,187539
2019-11-19,185458
2019-11-20,188183
2019-11-21,188183
2019-11-22,191476
2019-11-23,189472
2019-11-24,185943
2019-11-25,184264
2019-11-26,184122
2019-11-27,184122
2019-11-28,185969
2019-11-29,185969
2019-11-30,189433
2019-12-01,187992
2019-12-02,189858
2019-12-03,197107
2019-12-04,203571
2019-12-05,203571
2019-12-06,212587
2019-12-07,222606
2019-12-08,224816
2019-12-09,222073
2019-12-10,220310
2019-12-11,220046
2019-12-12,217870
2019-12-13,215635
2019-12-14,212316
2019-12-15,208952
2019-12-16,210004
2019-12-17,206844
2019-12-18,205845
2019-12-19,204823
2019-12-20,204974
2019-12-21,204078
2019-12-22,202273
2019-12-23,202273
2019-12-24,200572
2019-12-25,202076
2019-12-26,202076
2019-12-27,200576
2019-12-28,199309
2019-12-29,197537
2019-12-30,196563
2019-12-31,197774
