date_obj,Dragonstone%20gauntlets price
2019-07-24,1000000
2019-07-25,1000000
2019-07-26,1000000
2019-07-27,1000000
2019-07-28,1038821
2019-07-29,1038821
2019-07-30,1038821
2019-07-31,1085294
2019-08-01,1085294
2019-08-02,1085294
2019-08-03,1135012
2019-08-04,1135012
2019-08-05,1135012
2019-08-06,1135012
2019-08-07,1186271
2019-08-08,1186271
2019-08-09,1186271
2019-08-10,1186271
2019-08-11,1186271
2019-08-12,1186271
2019-08-13,1186271
2019-08-14,1239882
2019-08-15,1239882
2019-08-16,1239882
2019-08-17,1239882
2019-08-18,1239882
2019-08-19,1239882
2019-08-20,1239882
2019-08-21,1295325
2019-08-22,1295325
2019-08-23,1295325
2019-08-24,1295325
2019-08-24,1295325
2019-08-25,1295325
2019-08-25,1295325
2019-08-26,1295325
2019-08-26,1295325
2019-08-27,1295325
2019-08-27,1295325
2019-08-28,1295325
2019-08-29,1295325
2019-08-30,1354712
2019-08-31,1354712
2019-09-01,1354712
2019-09-02,1354712
2019-09-03,1354712
2019-09-04,1354712
2019-09-05,1354712
2019-09-06,1354712
2019-09-07,1354712
2019-09-08,1354712
2019-09-09,1354712
2019-09-10,1417545
2019-09-11,1417545
2019-09-12,1417545
2019-09-13,1417545
2019-09-14,1417545
2019-09-15,1417545
2019-09-16,1417545
2019-09-17,1417545
2019-09-18,1417545
2019-09-19,1417545
2019-09-20,1417545
2019-09-21,1417545
2019-09-22,1482166
2019-09-23,1482166
2019-09-24,1482166
2019-09-25,1482166
2019-09-26,1482166
2019-09-27,1482166
2019-09-28,1482166
2019-09-29,1482166
2019-09-30,1482166
2019-10-01,1482166
2019-10-02,1482166
2019-10-03,1482166
2019-10-04,1482166
2019-10-05,1482166
2019-10-06,1482166
2019-10-07,1550274
2019-10-08,1550274
2019-10-09,1550274
2019-10-10,1550274
2019-10-11,1550274
2019-10-12,1550274
2019-10-13,1550274
2019-10-14,1550274
2019-10-15,1550274
2019-10-16,1550274
2019-10-17,1550274
2019-10-18,1550274
2019-10-19,1550274
2019-10-20,1620569
2019-10-21,1620569
2019-10-22,1620569
2019-10-23,1620569
2019-10-24,1620569
2019-10-25,1620569
2019-10-26,1620569
2019-10-27,1620569
2019-10-28,1620569
2019-10-29,1620569
2019-10-30,1620569
2019-10-31,1620569
2019-11-01,1620569
2019-11-02,1620569
2019-11-03,1696457
2019-11-04,1696457
2019-11-05,1696457
2019-11-06,1696457
2019-11-07,1696457
2019-11-08,1696457
2019-11-09,1696457
2019-11-10,1696457
2019-11-11,1696457
2019-11-12,1696457
2019-11-13,1696457
2019-11-14,1696457
2019-11-15,1696457
2019-11-16,1766933
2019-11-17,1766933
2019-11-18,1766933
2019-11-19,1766933
2019-11-20,1766933
2019-11-21,1766933
2019-11-22,1766933
2019-11-23,1766933
2019-11-24,1766933
2019-11-25,1766933
2019-11-26,1766933
2019-11-27,1766933
2019-11-28,1766933
2019-11-29,1766933
2019-11-30,1835655
2019-12-01,1835655
2019-12-02,1835655
2019-12-03,1835655
2019-12-04,1835655
2019-12-05,1835655
2019-12-06,1835655
2019-12-07,1835655
2019-12-08,1835655
2019-12-09,1835655
2019-12-10,1881784
2019-12-11,1881784
2019-12-12,1881784
2019-12-13,1881784
2019-12-14,1881784
2019-12-15,1881784
2019-12-16,1881784
2019-12-17,1881784
2019-12-18,1881784
2019-12-19,1881784
2019-12-20,1881784
2019-12-21,1881784
2019-12-22,1881784
2019-12-23,1881784
2019-12-24,1799879
2019-12-25,1799879
2019-12-26,1799879
2019-12-27,1799879
2019-12-28,1799879
2019-12-29,1799879
2019-12-30,1799879
2019-12-31,1799879
2020-01-01,1799879
2020-01-02,1799879
2020-01-03,1799879
2020-01-04,1799879
2020-01-05,1712541
2020-01-06,1712541
2020-01-07,1712541
2020-01-08,1712541
2020-01-09,1712541
2020-01-10,1712541
2020-01-11,1712541
2020-01-12,1712541
2020-01-13,1712541
2020-01-14,1712541
2020-01-15,1712541
2020-01-16,1629178
2020-01-17,1629178
2020-01-18,1629178
2020-01-19,1629178
2020-01-20,1629178
2020-01-21,1629178
2020-01-22,1629178
2020-01-23,1629178
2020-01-24,1629178
2020-01-25,1552397
2020-01-26,1552397
2020-01-27,1552397
2020-01-28,1552397
2020-01-29,1552397
2020-01-30,1552397
2020-01-31,1552397
2020-02-01,1552397
2020-02-02,1552397
2020-02-03,1481694
2020-02-04,1481694
2020-02-05,1481694
2020-02-06,1481694
2020-02-07,1481694
2020-02-08,1481694
2020-02-09,1481694
2020-02-10,1481694
2020-02-11,1414421
2020-02-12,1414421
2020-02-13,1414421
2020-02-14,1414421
2020-02-15,1414421
2020-02-16,1414421
2020-02-17,1414421
2020-02-18,1414421
2020-02-19,1414421
2020-02-20,1343699
2020-02-21,1343699
2020-02-22,1343699
2020-02-23,1343699
2020-02-24,1343699
2020-02-25,1343699
2020-02-26,1343699
2020-02-27,1343699
2020-02-28,1343699
2020-02-29,1278147
2020-03-01,1278147
2020-03-02,1278147
2020-03-03,1278147
2020-03-04,1278147
2020-03-05,1278147
2020-03-06,1278147
2020-03-07,1278147
2020-03-08,1278147
2020-03-09,1220249
2020-03-10,1220249
2020-03-11,1220249
2020-03-12,1220249
2020-03-13,1220249
2020-03-14,1220249
2020-03-15,1220249
2020-03-16,1220249
2020-03-17,1220249
2020-03-18,1220249
2020-03-19,1212750
2020-03-20,1212750
2020-03-21,1212750
2020-03-22,1212750
2020-03-23,1212750
2020-03-24,1212750
2020-03-25,1212750
2020-03-26,1253717
2020-03-27,1253717
2020-03-28,1253717
2020-03-29,1253717
2020-03-30,1253717
2020-03-31,1253717
2020-04-01,1253717
2020-04-02,1253717
2020-04-03,1296049
2020-04-04,1296049
2020-04-05,1296049
2020-04-06,1296049
2020-04-07,1296049
2020-04-08,1296049
2020-04-09,1296049
2020-04-10,1296049
2020-04-11,1296049
