date_obj,Dragonstone%20platelegs price
2019-07-24,2500000
2019-07-25,2500000
2019-07-26,2582861
2019-07-27,2692095
2019-07-28,2692095
2019-07-29,2801580
2019-07-30,2917366
2019-07-31,3037634
2019-08-01,3037634
2019-08-02,3160997
2019-08-03,3298397
2019-08-04,3298397
2019-08-05,3439145
2019-08-06,3439145
2019-08-07,3586364
2019-08-08,3586364
2019-08-09,3738966
2019-08-10,3738966
2019-08-11,3894600
2019-08-12,3894600
2019-08-13,3894600
2019-08-14,4068588
2019-08-15,4068588
2019-08-16,4235302
2019-08-17,4235302
2019-08-18,4407644
2019-08-19,4407644
2019-08-20,4610091
2019-08-21,4610091
2019-08-22,4808387
2019-08-23,4808387
2019-08-24,4808387
2019-08-24,4808387
2019-08-25,5010060
2019-08-25,5010060
2019-08-26,5010060
2019-08-26,5010060
2019-08-27,5010060
2019-08-27,5010060
2019-08-28,5233438
2019-08-29,5233438
2019-08-30,5233438
2019-08-31,5457826
2019-09-01,5457826
2019-09-02,5457826
2019-09-03,5698619
2019-09-04,5698619
2019-09-05,5698619
2019-09-06,5959528
2019-09-07,5959528
2019-09-08,5959528
2019-09-09,6221035
2019-09-10,6221035
2019-09-11,6221035
2019-09-12,6221035
2019-09-13,6481287
2019-09-14,6481287
2019-09-15,6481287
2019-09-16,6481287
2019-09-17,6739332
2019-09-18,6739332
2019-09-19,6739332
2019-09-20,6739332
2019-09-21,7028977
2019-09-22,7028977
2019-09-23,7028977
2019-09-24,7028977
2019-09-25,7028977
2019-09-26,7338817
2019-09-27,7338817
2019-09-28,7338817
2019-09-29,7338817
2019-09-30,7338817
2019-10-01,7650589
2019-10-02,7650589
2019-10-03,7650589
2019-10-04,7650589
2019-10-05,7650589
2019-10-06,7977152
2019-10-07,7977152
2019-10-08,7977152
2019-10-09,7977152
2019-10-10,7977152
2019-10-11,7977152
2019-10-12,8315626
2019-10-13,8315626
2019-10-14,8315626
2019-10-15,8315626
2019-10-16,8684929
2019-10-17,8684929
2019-10-18,8684929
2019-10-19,8684929
2019-10-20,8684929
2019-10-21,8684929
2019-10-22,9073446
2019-10-23,9073446
2019-10-24,9073446
2019-10-25,9073446
2019-10-26,9073446
2019-10-27,9501086
2019-10-28,9501086
2019-10-29,9501086
2019-10-30,9501086
2019-10-31,9501086
2019-11-01,9920043
2019-11-02,9920043
2019-11-03,9920043
2019-11-04,9920043
2019-11-05,9956940
2019-11-06,9956940
2019-11-07,9956940
2019-11-08,9956940
2019-11-09,9531177
2019-11-10,9531177
2019-11-11,9531177
2019-11-12,9531177
2019-11-13,9069332
2019-11-14,9069332
2019-11-15,9069332
2019-11-16,9069332
2019-11-17,8653950
2019-11-18,8653950
2019-11-19,8653950
2019-11-20,8653950
2019-11-21,8232760
2019-11-22,8232760
2019-11-23,8232760
2019-11-24,8232760
2019-11-25,8232760
2019-11-26,7821122
2019-11-27,7821122
2019-11-28,7821122
2019-11-29,7821122
2019-11-30,7628968
2019-12-01,7628968
2019-12-02,7628968
2019-12-03,7628968
2019-12-04,7471805
2019-12-05,7471805
2019-12-06,7471805
2019-12-07,7471805
2019-12-08,7117063
2019-12-09,7117063
2019-12-10,7117063
2019-12-11,6768137
2019-12-12,6768137
2019-12-13,6768137
2019-12-14,6446426
2019-12-15,6446426
2019-12-16,6446426
2019-12-17,6137034
2019-12-18,6137034
2019-12-19,6137034
2019-12-20,6137034
2019-12-21,5830182
2019-12-22,5830182
2019-12-23,5830182
2019-12-24,5549252
2019-12-25,5549252
2019-12-26,5549252
2019-12-27,5279770
2019-12-28,5279770
2019-12-29,5279770
2019-12-30,5015781
2019-12-31,5015781
2020-01-01,5015781
2020-01-02,4764991
2020-01-03,4764991
2020-01-04,4764991
2020-01-05,4535159
2020-01-06,4535159
2020-01-07,4535159
2020-01-08,4535159
2020-01-09,4308401
2020-01-10,4308401
2020-01-11,4139649
2020-01-12,4139649
2020-01-13,4139649
2020-01-14,3943735
2020-01-15,3943735
2020-01-16,3777629
2020-01-17,3777629
2020-01-18,3777629
2020-01-19,3608373
2020-01-20,3608373
2020-01-21,3608373
2020-01-22,3429877
2020-01-23,3429877
2020-01-24,3317572
2020-01-25,3317572
2020-01-26,3317572
2020-01-27,3166873
2020-01-28,3166873
2020-01-29,3044811
2020-01-30,3044811
2020-01-31,2935443
2020-02-01,2935443
2020-02-02,2864994
2020-02-03,2864994
2020-02-04,2765944
2020-02-05,2765944
2020-02-06,2712119
2020-02-07,2712119
2020-02-08,2620468
2020-02-09,2620468
2020-02-10,2569892
2020-02-11,2569892
2020-02-12,2535972
2020-02-13,2535972
2020-02-14,2506593
2020-02-15,2506593
2020-02-16,2506593
2020-02-17,2444064
2020-02-18,2444064
2020-02-19,2444064
2020-02-20,2342197
2020-02-21,2342197
2020-02-22,2342197
2020-02-23,2225900
2020-02-24,2225900
2020-02-25,2122941
2020-02-26,2122941
2020-02-27,2092772
2020-02-28,2092772
2020-02-29,2039272
2020-03-01,2039272
2020-03-02,1982929
2020-03-03,1982929
2020-03-04,1919847
2020-03-05,1919847
2020-03-06,1832940
2020-03-07,1832940
2020-03-08,1794413
2020-03-09,1794413
2020-03-10,1795975
2020-03-11,1795975
2020-03-12,1835088
2020-03-13,1835088
2020-03-14,1842113
2020-03-15,1842113
2020-03-16,1842113
2020-03-17,1863320
2020-03-18,1863320
2020-03-19,1923743
2020-03-20,1923743
2020-03-21,2008654
2020-03-22,2008654
2020-03-23,2022190
2020-03-24,2022190
2020-03-25,2059640
2020-03-26,2059640
2020-03-27,2057195
2020-03-28,2057195
2020-03-29,2068084
2020-03-30,2068084
2020-03-31,2113356
2020-04-01,2113356
2020-04-02,2135730
2020-04-03,2135730
2020-04-04,2169321
2020-04-05,2169321
2020-04-06,2183582
2020-04-07,2183582
2020-04-08,2207275
2020-04-09,2207275
2020-04-10,2207275
2020-04-11,2147588
2020-04-12,2147588
2020-04-13,2198203
2020-04-14,2198203
2020-04-15,2222287
2020-04-16,2222287
2020-04-17,2222287
2020-04-18,2211006
2020-04-19,2211006
2020-04-20,2171750
2020-04-21,2171750
2020-04-22,2136080
2020-04-23,2136080
2020-04-24,2136080
2020-04-25,2058453
2020-04-26,2058453
2020-04-27,1966732
2020-04-28,1966732
2020-04-29,1966732
2020-04-30,1944119
2020-05-01,1944119
2020-05-02,1944119
2020-05-03,1886477
2020-05-04,1886477
2020-05-05,1886477
2020-05-06,1813387
2020-05-07,1813387
2020-05-08,1813387
2020-05-09,1777065
2020-05-10,1777065
2020-05-11,1804388
2020-05-12,1804388
2020-05-13,1745724
