date_obj,Dwarf%20cannon%20set price
2015-03-26,754172
2015-03-27,754172
2015-03-28,752190
2015-03-29,755516
2015-03-30,765910
2015-03-31,760445
2015-04-01,756955
2015-04-02,757764
2015-04-03,765290
2015-04-04,763884
2015-04-05,756895
2015-04-06,746863
2015-04-07,745123
2015-04-08,745322
2015-04-09,751820
2015-04-10,755534
2015-04-11,753328
2015-04-12,763778
2015-04-13,759248
2015-04-14,754728
2015-04-15,752384
2015-04-16,754251
2015-04-17,762981
2015-04-18,759064
2015-04-19,759214
2015-04-20,764467
2015-04-21,759310
2015-04-22,753313
2015-04-23,748677
2015-04-24,752642
2015-04-25,756569
2015-04-26,762097
2015-04-27,758516
2015-04-28,753900
2015-04-29,751337
2015-04-30,755718
2015-05-01,760549
2015-05-02,757617
2015-05-03,757117
2015-05-04,763553
2015-05-05,762879
2015-05-06,759622
2015-05-07,756670
2015-05-08,761666
2015-05-09,763399
2015-05-10,762913
2015-05-11,759307
2015-05-12,756307
2015-05-13,753436
2015-05-14,758974
2015-05-15,762209
2015-05-16,760626
2015-05-17,756663
2015-05-18,759443
2015-05-19,761453
2015-05-20,760886
2015-05-21,761495
2015-05-22,766264
2015-05-23,768510
2015-05-24,762761
2015-05-25,759379
2015-05-26,758271
2015-05-27,749918
2015-05-28,742663
2015-05-29,743620
2015-05-30,749854
2015-05-31,758530
2015-06-01,756228
2015-06-02,762630
2015-06-03,759542
2015-06-04,756530
2015-06-05,759770
2015-06-06,760166
2015-06-07,761064
2015-06-08,754576
2015-06-09,751526
2015-06-10,749539
2015-06-11,756021
2015-06-12,756423
2015-06-13,757385
2015-06-14,757010
2015-06-15,756838
2015-06-16,757122
2015-06-17,758250
2015-06-18,758025
2015-06-19,758416
2015-06-20,757302
2015-06-21,755782
2015-06-22,753938
2015-06-23,752816
2015-06-24,754823
2015-06-25,756125
2015-06-26,762824
2015-06-27,766337
2015-06-28,755104
2015-06-29,748438
2015-06-30,750748
2015-07-01,750417
2015-07-02,748223
2015-07-03,749154
2015-07-04,750123
2015-07-05,752865
2015-07-06,756924
2015-07-07,760652
2015-07-08,771468
2015-07-09,762189
2015-07-10,764521
2015-07-11,758872
2015-07-12,762383
2015-07-13,759511
2015-07-14,761474
2015-07-15,763365
2015-07-16,761772
2015-07-17,760756
2015-07-18,760808
2015-07-19,763696
2015-07-20,762756
2015-07-21,763020
2015-07-22,761761
2015-07-23,762022
2015-07-24,761623
2015-07-25,761173
2015-07-26,759585
2015-07-27,758447
2015-07-28,752842
2015-07-29,755378
2015-07-30,759542
2015-07-31,758986
2015-08-01,757985
2015-08-02,758647
2015-08-03,759785
2015-08-04,759160
2015-08-05,765631
2015-08-06,763815
2015-08-07,753568
2015-08-08,760514
2015-08-09,761309
2015-08-10,760103
2015-08-11,760962
2015-08-12,769488
2015-08-13,764309
2015-08-14,767335
2015-08-15,763246
2015-08-16,763254
2015-08-17,764681
2015-08-18,765771
2015-08-19,765154
2015-08-20,768043
2015-08-21,769289
2015-08-22,767543
2015-08-23,767446
2015-08-24,769287
2015-08-25,767650
2015-08-26,767301
2015-08-27,763154
2015-08-28,757534
2015-08-29,746957
2015-08-30,745033
2015-08-31,752704
2015-09-01,753872
2015-09-02,750818
2015-09-03,757989
2015-09-04,757239
2015-09-05,761771
2015-09-06,760217
2015-09-07,759310
2015-09-08,759070
2015-09-09,757071
2015-09-10,750400
2015-09-11,754900
2015-09-12,765280
2015-09-13,766101
2015-09-14,765008
2015-09-15,760453
2015-09-16,762080
2015-09-17,765928
2015-09-18,767462
2015-09-19,768632
2015-09-20,766158
2015-09-21,764714
2015-09-22,761358
2015-09-23,758077
2015-09-24,759634
2015-09-25,756941
2015-09-27,757151
2015-09-28,761415
2015-09-29,765869
2015-09-30,764386
2015-10-05,749311
2015-10-06,754601
2015-10-07,753594
2015-10-08,757442
2015-10-09,756802
2015-10-10,756797
2015-10-11,755413
2015-10-12,758069
2015-10-13,759483
2015-10-14,746746
2015-10-15,739396
2015-10-16,748141
2015-10-17,752210
2015-10-18,759439
2015-10-19,758549
2015-10-20,752476
2015-10-22,756179
2015-10-23,760064
2015-10-24,758242
2015-10-25,754974
2015-10-26,755010
2015-10-27,755059
2015-10-29,759685
2015-10-30,763724
2015-10-31,763657
2015-11-01,764096
2015-11-02,761903
2015-11-03,767728
2015-11-04,765184
2015-11-05,764526
2015-11-06,757557
2015-11-07,750224
2015-11-08,752563
2015-11-09,757533
2015-11-10,761640
2015-11-11,766060
2015-11-12,756245
2015-11-13,758060
2015-11-14,760091
2015-11-15,760782
2015-11-16,766356
2015-11-17,770229
2015-11-18,765132
2015-11-19,754367
2015-11-20,756474
2015-11-21,755920
2015-11-22,761397
2015-11-23,760793
2015-11-24,762922
2015-11-25,768096
2015-11-26,764182
2015-11-27,761403
2015-11-28,756282
2015-11-29,759548
2015-11-30,758462
2015-12-01,758892
2015-12-02,758152
2015-12-03,758530
2015-12-04,759176
2015-12-05,764157
2015-12-06,765143
2015-12-07,763335
2015-12-08,763030
2015-12-09,767848
2015-12-10,764617
