date_obj,Earth%20talisman price
2015-03-26,190
2015-03-27,190
2015-03-28,187
2015-03-29,177
2015-03-30,168
2015-03-31,167
2015-04-01,167
2015-04-02,162
2015-04-03,165
2015-04-04,173
2015-04-05,177
2015-04-06,184
2015-04-07,191
2015-04-08,191
2015-04-09,191
2015-04-10,186
2015-04-11,177
2015-04-12,168
2015-04-13,164
2015-04-14,164
2015-04-15,155
2015-04-16,147
2015-04-17,141
2015-04-18,133
2015-04-19,128
2015-04-20,128
2015-04-21,130
2015-04-22,130
2015-04-23,137
2015-04-24,144
2015-04-25,152
2015-04-26,151
2015-04-27,158
2015-04-28,166
2015-04-29,166
2015-04-30,174
2015-05-01,183
2015-05-02,183
2015-05-03,183
2015-05-04,188
2015-05-05,196
2015-05-06,201
2015-05-07,210
2015-05-08,219
2015-05-09,224
2015-05-10,224
2015-05-11,224
2015-05-12,213
2015-05-13,213
2015-05-14,202
2015-05-15,202
2015-05-16,191
2015-05-17,191
2015-05-18,194
2015-05-19,194
2015-05-20,197
2015-05-21,197
2015-05-22,191
2015-05-23,191
2015-05-24,185
2015-05-25,184
2015-05-26,184
2015-05-27,186
2015-05-28,192
2015-05-29,190
2015-05-30,195
2015-05-31,202
2015-06-01,203
2015-06-02,203
2015-06-03,204
2015-06-04,199
2015-06-05,189
2015-06-06,184
2015-06-07,185
2015-06-08,180
2015-06-09,182
2015-06-10,178
2015-06-11,178
2015-06-12,177
2015-06-13,178
2015-06-14,174
2015-06-15,174
2015-06-16,168
2015-06-17,162
2015-06-18,159
2015-06-19,163
2015-06-20,162
2015-06-21,162
2015-06-22,163
2015-06-23,155
2015-06-24,148
2015-06-25,148
2015-06-26,148
2015-06-27,148
2015-06-28,153
2015-06-29,153
2015-06-30,149
2015-07-01,147
2015-07-02,147
2015-07-03,141
2015-07-04,144
2015-07-05,148
2015-07-06,143
2015-07-07,139
2015-07-08,141
2015-07-09,141
2015-07-10,142
2015-07-11,142
2015-07-12,149
2015-07-13,144
2015-07-14,138
2015-07-15,138
2015-07-16,143
2015-07-17,144
2015-07-18,144
2015-07-19,144
2015-07-20,146
2015-07-21,139
2015-07-22,136
2015-07-23,136
2015-07-24,139
2015-07-25,139
2015-07-26,146
2015-07-27,152
2015-07-28,160
2015-07-29,167
2015-07-30,176
2015-07-31,176
2015-08-01,185
2015-08-02,195
2015-08-03,205
2015-08-04,215
2015-08-05,221
2015-08-06,232
2015-08-07,244
2015-08-08,248
2015-08-09,243
2015-08-10,233
2015-08-11,228
2015-08-12,228
2015-08-13,229
2015-08-14,239
2015-08-15,239
2015-08-16,236
2015-08-17,224
2015-08-18,219
2015-08-19,209
2015-08-20,213
2015-08-21,207
2015-08-22,207
2015-08-23,207
2015-08-24,208
2015-08-25,208
2015-08-26,207
2015-08-27,209
2015-08-28,209
2015-08-29,212
2015-08-30,212
2015-08-31,203
2015-09-01,194
2015-09-02,194
2015-09-03,192
2015-09-04,187
2015-09-05,187
2015-09-06,183
2015-09-07,186
2015-09-08,180
2015-09-09,171
2015-09-10,163
2015-09-11,167
2015-09-12,167
2015-09-13,169
2015-09-14,169
2015-09-15,178
2015-09-16,178
2015-09-17,187
2015-09-18,187
2015-09-19,197
2015-09-20,197
2015-09-21,198
2015-09-22,206
2015-09-23,213
2015-09-24,213
2015-09-25,223
2015-09-27,221
2015-09-28,230
2015-09-29,230
2015-09-30,230
2015-10-05,253
2015-10-06,249
2015-10-07,249
2015-10-08,239
2015-10-09,233
2015-10-10,233
2015-10-11,234
2015-10-12,246
2015-10-13,246
2015-10-14,243
2015-10-15,233
2015-10-16,224
2015-10-17,224
2015-10-18,214
2015-10-19,203
2015-10-20,192
2015-10-22,186
2015-10-23,177
2015-10-24,177
2015-10-25,174
2015-10-26,174
2015-10-27,174
2015-10-29,168
2015-10-30,166
2015-10-31,161
2015-11-01,161
2015-11-02,155
2015-11-03,155
2015-11-04,154
2015-11-05,155
2015-11-06,155
2015-11-07,155
2015-11-08,155
2015-11-09,160
2015-11-10,160
2015-11-11,152
2015-11-12,152
2015-11-13,146
2015-11-14,146
2015-11-15,148
2015-11-16,148
2015-11-17,153
2015-11-18,153
2015-11-19,147
2015-11-20,139
2015-11-21,139
2015-11-22,133
2015-11-23,133
2015-11-24,130
2015-11-25,127
2015-11-26,127
2015-11-27,125
