date_obj,Efh%20salt price
2018-09-05,100
2018-09-06,105
2018-09-07,111
2018-09-08,117
2018-09-09,123
2018-09-10,130
2018-09-11,137
2018-09-12,143
2018-09-13,151
2018-09-14,157
2018-09-15,165
2018-09-16,171
2018-09-17,177
2018-09-18,171
2018-09-19,177
2018-09-20,181
2018-09-21,184
2018-09-22,178
2018-09-23,169
2018-09-24,160
2018-09-25,152
2018-09-26,145
2018-09-27,141
2018-09-28,141
2018-09-29,140
2018-09-30,144
2018-10-02,144
2018-10-03,152
2018-10-04,156
2018-10-05,164
2018-10-06,173
2018-10-07,182
2018-10-08,191
2018-10-09,193
2018-10-10,184
2018-10-11,174
2018-10-12,165
2018-10-13,158
2018-10-14,157
2018-10-15,158
2018-10-16,162
2018-10-17,160
2018-10-18,157
2018-10-19,157
2018-10-20,157
2018-10-21,157
2018-10-22,160
2018-10-23,160
2018-10-24,155
2018-10-25,150
2018-10-26,148
2018-10-27,147
2018-10-28,143
2018-10-29,143
2018-10-30,145
2018-10-31,137
2018-11-01,131
2018-11-03,124
2018-11-04,126
2018-11-05,121
2018-11-06,120
2018-11-07,126
2018-11-08,128
2018-11-09,135
2018-11-10,142
2018-11-11,150
2018-11-12,150
2018-11-13,155
2018-11-14,148
2018-11-15,142
2018-11-16,134
2018-11-17,130
2018-11-18,132
2018-11-19,138
2018-11-20,133
2018-11-21,126
2018-11-22,121
2018-11-23,115
2018-11-24,111
2018-11-25,106
2018-11-26,102
2018-11-27,96
2018-11-28,93
2018-11-29,89
2018-12-01,79
2018-12-02,79
2018-12-03,79
2018-12-04,80
2018-12-05,83
2018-12-07,85
2018-12-09,92
2018-12-10,96
2018-12-11,96
2018-12-12,101
2018-12-13,105
2018-12-14,110
2018-12-15,116
2018-12-16,121
2018-12-17,126
2018-12-18,129
2018-12-19,131
2018-12-20,131
2018-12-21,129
2018-12-22,128
2018-12-23,129
2018-12-24,130
2018-12-25,130
2018-12-26,135
2018-12-27,135
2018-12-28,135
2018-12-29,131
2018-12-30,125
2018-12-31,119
2019-01-01,115
2019-01-02,116
2019-01-03,121
2019-01-04,122
2019-01-05,129
2019-01-06,127
2019-01-08,136
2019-01-10,135
2019-01-11,134
2019-01-12,132
2019-01-13,134
2019-01-14,133
2019-01-15,137
2019-01-16,136
2019-01-17,136
2019-01-18,136
2019-01-19,136
2019-01-20,141
2019-01-21,143
2019-01-22,139
2019-01-23,138
2019-01-24,133
2019-01-25,129
2019-01-26,127
2019-01-27,134
2019-01-28,132
2019-01-29,127
2019-01-30,120
2019-01-31,115
2019-02-01,114
2019-02-02,118
2019-02-03,113
2019-02-04,108
2019-02-05,104
2019-02-06,99
2019-02-07,96
2019-02-08,95
2019-02-09,93
2019-02-10,91
2019-02-11,92
2019-02-12,87
2019-02-13,82
2019-02-14,82
2019-02-15,77
2019-02-16,74
2019-02-17,71
2019-02-18,71
2019-02-19,68
2019-02-20,64
2019-02-21,63
2019-02-22,60
2019-02-23,59
2019-02-24,57
2019-02-25,59
2019-02-26,62
2019-02-27,66
2019-02-28,70
2019-03-01,74
2019-03-02,78
2019-03-03,80
2019-03-04,77
2019-03-05,74
2019-03-06,72
2019-03-07,72
2019-03-08,72
2019-03-09,72
2019-03-10,72
2019-03-11,74
2019-03-12,75
2019-03-13,75
2019-03-14,79
2019-03-15,79
2019-03-16,79
2019-03-17,82
2019-03-18,82
2019-03-19,87
2019-03-20,92
2019-03-21,95
2019-03-22,95
2019-03-23,99
2019-03-24,101
2019-03-25,101
2019-03-26,101
2019-03-27,101
2019-03-28,103
2019-03-29,100
2019-03-30,100
2019-03-31,101
2019-04-01,106
2019-04-02,106
2019-04-03,103
2019-04-04,103
2019-04-05,103
2019-04-06,103
2019-04-07,106
2019-04-08,106
2019-04-09,103
2019-04-10,98
2019-04-11,98
2019-04-12,98
2019-04-13,96
2019-04-14,94
2019-04-15,96
2019-04-16,95
2019-04-17,96
2019-04-18,94
2019-04-19,92
2019-04-20,95
2019-04-21,99
2019-04-22,104
2019-04-23,103
2019-04-24,100
2019-04-25,99
2019-04-26,97
2019-04-27,94
2019-04-28,94
2019-04-29,94
2019-04-30,95
2019-05-01,95
2019-05-02,95
2019-05-03,97
2019-05-04,97
2019-05-05,100
2019-05-06,103
2019-05-07,104
2019-05-08,101
2019-05-09,100
2019-05-10,98
2019-05-11,99
2019-05-12,99
2019-05-13,98
2019-05-14,96
2019-05-15,96
2019-05-16,97
2019-05-17,97
2019-05-18,95
2019-05-19,95
2019-05-20,92
2019-05-21,91
2019-05-22,91
2019-05-23,90
2019-05-24,89
2019-05-25,87
2019-05-26,87
2019-05-27,88
2019-05-28,86
2019-05-29,85
2019-05-30,84
2019-05-31,84
2019-06-01,86
2019-06-02,86
2019-06-03,86
2019-06-04,86
2019-06-05,86
2019-06-06,85
2019-06-07,86
2019-06-08,86
2019-06-09,87
2019-06-10,87
2019-06-11,88
2019-06-12,92
2019-06-13,92
2019-06-14,88
2019-06-15,86
2019-06-16,85
2019-06-17,87
2019-06-18,87
2019-06-19,90
2019-06-20,91
2019-06-21,93
2019-06-22,92
2019-06-23,96
2019-06-24,94
2019-06-25,93
2019-06-26,90
2019-06-27,85
2019-06-28,85
2019-06-29,82
2019-06-30,82
2019-07-01,83
2019-07-02,83
2019-07-03,86
2019-07-04,91
2019-07-05,89
2019-07-06,84
2019-07-07,80
2019-07-08,76
2019-07-09,73
2019-07-10,70
2019-07-11,69
2019-07-12,69
2019-07-13,69
2019-07-14,68
2019-07-15,68
2019-07-16,66
2019-07-17,63
2019-07-18,63
2019-07-19,62
2019-07-20,60
2019-07-21,60
2019-07-22,60
2019-07-23,61
2019-07-24,61
2019-07-25,61
2019-07-26,58
2019-07-27,56
2019-07-28,55
2019-07-29,55
2019-07-30,55
2019-07-31,54
2019-08-01,54
2019-08-02,54
2019-08-03,53
2019-08-04,52
2019-08-05,52
2019-08-06,53
2019-08-07,53
2019-08-08,53
2019-08-09,54
2019-08-10,55
2019-08-11,56
2019-08-12,58
2019-08-13,59
2019-08-14,61
2019-08-15,63
2019-08-16,64
2019-08-17,64
2019-08-18,64
2019-08-19,61
2019-08-20,61
2019-08-21,60
2019-08-22,59
2019-08-23,59
2019-08-24,60
2019-08-24,60
2019-08-25,59
2019-08-25,59
2019-08-26,60
2019-08-27,62
2019-08-27,62
2019-08-28,64
2019-08-29,62
2019-08-30,65
2019-08-31,65
2019-09-01,67
2019-09-02,67
2019-09-03,68
2019-09-04,69
2019-09-05,69
2019-09-06,69
2019-09-07,70
2019-09-08,72
2019-09-09,72
2019-09-10,69
2019-09-11,69
2019-09-12,68
2019-09-13,67
2019-09-14,65
2019-09-15,65
2019-09-16,65
2019-09-17,64
2019-09-18,64
2019-09-19,64
2019-09-20,64
2019-09-21,65
2019-09-22,64
2019-09-23,63
2019-09-24,63
2019-09-25,60
2019-09-26,60
2019-09-27,60
2019-09-28,58
2019-09-29,58
2019-09-30,59
2019-10-01,57
2019-10-02,57
2019-10-03,55
2019-10-04,54
2019-10-05,53
2019-10-06,53
2019-10-07,53
2019-10-08,51
2019-10-09,51
2019-10-10,50
2019-10-11,50
2019-10-12,49
2019-10-13,49
2019-10-14,50
2019-10-15,50
2019-10-16,51
2019-10-17,51
2019-10-18,54
2019-10-19,56
2019-10-20,58
2019-10-21,58
2019-10-22,59
2019-10-23,60
2019-10-24,60
2019-10-25,60
2019-10-26,60
2019-10-27,60
2019-10-28,61
2019-10-29,61
2019-10-30,62
2019-10-31,63
2019-11-01,63
2019-11-02,62
2019-11-03,60
2019-11-04,60
2019-11-05,60
2019-11-06,60
2019-11-07,59
2019-11-08,58
2019-11-09,60
2019-11-10,61
2019-11-11,65
2019-11-12,69
2019-11-13,72
2019-11-14,70
2019-11-15,70
2019-11-16,72
2019-11-17,72
2019-11-18,76
2019-11-19,76
2019-11-20,80
2019-11-21,80
2019-11-22,84
2019-11-23,89
2019-11-24,94
2019-11-25,98
2019-11-26,103
2019-11-27,103
2019-11-28,108
2019-11-29,108
2019-11-30,114
2019-12-01,120
2019-12-02,125
2019-12-03,125
2019-12-04,122
2019-12-05,122
2019-12-06,115
2019-12-07,110
2019-12-08,106
2019-12-09,103
2019-12-10,105
2019-12-11,107
2019-12-12,107
2019-12-13,107
2019-12-14,105
2019-12-15,107
2019-12-16,113
2019-12-17,109
2019-12-18,108
2019-12-19,108
2019-12-20,105
2019-12-21,100
2019-12-22,96
2019-12-23,96
2019-12-24,91
2019-12-25,86
2019-12-26,82
2019-12-27,78
2019-12-28,75
2019-12-29,72
2019-12-30,73
2019-12-31,75
2020-01-01,74
2020-01-02,75
2020-01-03,79
2020-01-04,83
2020-01-05,88
2020-01-06,89
2020-01-07,92
2020-01-08,92
2020-01-09,87
2020-01-10,89
2020-01-11,94
2020-01-12,99
2020-01-13,99
2020-01-14,101
2020-01-15,105
2020-01-16,105
2020-01-17,99
2020-01-18,98
2020-01-19,97
2020-01-20,93
2020-01-21,88
2020-01-22,84
2020-01-23,79
2020-01-24,80
2020-01-25,83
2020-01-26,86
2020-01-27,89
2020-01-28,89
2020-01-29,88
2020-01-30,85
2020-01-31,84
