date_obj,Elven%20boots price
2019-07-24,10000
2019-07-25,9847
2019-07-26,9847
2019-07-27,9933
2019-07-28,9933
2019-07-29,9933
2019-07-30,10081
2019-07-31,10081
2019-08-01,10081
2019-08-02,10180
2019-08-03,10180
2019-08-04,10180
2019-08-05,10167
2019-08-06,10167
2019-08-07,10167
2019-08-08,10167
2019-08-09,10167
2019-08-10,10249
2019-08-11,10249
2019-08-12,10249
2019-08-13,10249
2019-08-14,10249
2019-08-15,10248
2019-08-16,10248
2019-08-17,10248
2019-08-18,10248
2019-08-19,10248
2019-08-20,10319
2019-08-21,10319
2019-08-22,10319
2019-08-23,10319
2019-08-24,10319
2019-08-24,10319
2019-08-25,10421
2019-08-25,10421
2019-08-26,10421
2019-08-26,10421
2019-08-27,10421
2019-08-27,10421
2019-08-28,10421
2019-08-29,10421
2019-08-30,10421
2019-08-31,10570
2019-09-01,10570
2019-09-02,10570
2019-09-03,10570
2019-09-04,10570
2019-09-05,10570
2019-09-06,10661
2019-09-07,10661
2019-09-08,10661
2019-09-09,10661
2019-09-10,10661
2019-09-11,10661
2019-09-12,10661
2019-09-13,10792
2019-09-14,10792
2019-09-15,10792
2019-09-16,10792
2019-09-17,10792
2019-09-18,10792
2019-09-19,10749
2019-09-20,10749
2019-09-21,10749
2019-09-22,10749
2019-09-23,10749
2019-09-24,10749
2019-09-25,10749
2019-09-26,10824
2019-09-27,10824
2019-09-28,10824
2019-09-29,10824
2019-09-30,10824
2019-10-01,10824
2019-10-02,10824
2019-10-03,10824
2019-10-04,10750
2019-10-05,10750
2019-10-06,10750
2019-10-07,10750
2019-10-08,10750
2019-10-09,10750
2019-10-10,10750
2019-10-11,10650
2019-10-12,10650
2019-10-13,10650
2019-10-14,10650
2019-10-15,10650
2019-10-16,10650
2019-10-17,10650
2019-10-18,10471
2019-10-19,10471
2019-10-20,10471
2019-10-21,10471
2019-10-22,10471
2019-10-23,10471
2019-10-24,10471
2019-10-25,10471
2019-10-26,10463
2019-10-27,10463
2019-10-28,10463
2019-10-29,10463
2019-10-30,10463
2019-10-31,10463
2019-11-01,10463
2019-11-02,10463
2019-11-03,10625
2019-11-04,10625
2019-11-05,10625
2019-11-06,10625
2019-11-07,10625
2019-11-08,10625
2019-11-09,10625
2019-11-10,10625
2019-11-11,10625
2019-11-12,10738
2019-11-13,10738
2019-11-14,10738
2019-11-15,10738
2019-11-16,10738
2019-11-17,10738
2019-11-18,10738
2019-11-19,10738
2019-11-20,10738
2019-11-21,11191
2019-11-22,11191
2019-11-23,11191
2019-11-24,11191
2019-11-25,11191
2019-11-26,11191
2019-11-27,11191
2019-11-28,11191
2019-11-29,11321
2019-11-30,11321
2019-12-01,11321
2019-12-02,11321
2019-12-03,11321
2019-12-04,11321
2019-12-05,11321
2019-12-06,11321
2019-12-07,11321
2019-12-08,11321
2019-12-09,11477
2019-12-10,11477
2019-12-11,11477
2019-12-12,11477
2019-12-13,11477
2019-12-14,11477
2019-12-15,11477
2019-12-16,11477
2019-12-17,11477
2019-12-18,11477
2019-12-19,11707
2019-12-20,11707
2019-12-21,11707
