date_obj,Empty%20oil%20lantern price
2015-03-04,20000
2015-03-05,20000
2015-03-06,20000
2015-03-07,20000
2015-03-08,20000
2015-03-09,20000
2015-03-10,20000
2015-03-11,20000
2015-03-12,20000
2015-03-13,20000
2015-03-14,20000
2015-03-15,20000
2015-03-16,20000
2015-03-17,20000
2015-03-18,20000
2015-03-19,20000
2015-03-20,20000
2015-03-21,20000
2015-03-22,20000
2015-03-23,20000
2015-03-24,20000
2015-03-25,20000
2015-03-26,20000
2015-03-27,20000
2015-03-28,20000
2015-03-29,20000
2015-03-30,20000
2015-03-31,20000
2015-04-01,20000
2015-04-02,20000
2015-04-03,20000
2015-04-04,20000
2015-04-05,20000
2015-04-06,20000
2015-04-07,20000
2015-04-08,20000
2015-04-09,20000
2015-04-10,20000
2015-04-11,20000
2015-04-12,20000
2015-04-13,20000
2015-04-14,20000
2015-04-15,20000
2015-04-16,20000
2015-04-17,20000
2015-04-18,20000
2015-04-19,20000
2015-04-20,20000
2015-04-21,20000
2015-04-22,20000
2015-04-23,20000
2015-04-24,20000
2015-04-25,20000
2015-04-26,20000
2015-04-27,20000
2015-04-28,20000
2015-04-29,20000
2015-04-30,19058
2015-05-01,19058
2015-05-02,19058
2015-05-03,19058
2015-05-04,19058
2015-05-05,19058
2015-05-06,19058
2015-05-07,19058
2015-05-08,19058
2015-05-09,19058
2015-05-10,19058
2015-05-11,19058
2015-05-12,19058
2015-05-13,19058
2015-05-14,19058
2015-05-15,19058
2015-05-16,19058
2015-05-17,19058
2015-05-18,19058
2015-05-19,19058
2015-05-20,19058
2015-05-21,19058
2015-05-22,19058
2015-05-23,19058
2015-05-24,19058
2015-05-25,19058
2015-05-26,19058
2015-05-27,19058
2015-05-28,19058
2015-05-29,19058
2015-05-30,19058
2015-05-31,19058
2015-06-01,19058
2015-06-02,19058
2015-06-03,19058
2015-06-04,19058
2015-06-05,19058
2015-06-06,19058
2015-06-07,19058
2015-06-08,19058
2015-06-09,19058
2015-06-10,19058
2015-06-11,19058
2015-06-12,19058
2015-06-13,19058
2015-06-14,19058
2015-06-15,19058
2015-06-16,19058
2015-06-17,19058
2015-06-18,19058
2015-06-19,19058
2015-06-20,19058
2015-06-21,19058
2015-06-22,18140
2015-06-23,18140
2015-06-24,18140
2015-06-25,18140
2015-06-26,18140
2015-06-27,18140
2015-06-28,18140
2015-06-29,18140
2015-06-30,18140
2015-07-01,18140
2015-07-02,18140
2015-07-03,18140
2015-07-04,18140
2015-07-05,18140
2015-07-06,18140
2015-07-07,18140
2015-07-08,18140
2015-07-09,18140
2015-07-10,18140
