date_obj,Enchant%20sapphire%20or%20opal price
2015-03-26,11500
2015-03-27,11500
2015-03-28,11500
2015-03-29,11500
2015-03-30,11500
2015-03-31,11500
2015-04-01,11500
2015-04-02,11500
2015-04-03,11500
2015-04-04,11500
2015-04-05,11500
2015-04-06,11500
2015-04-07,11500
2015-04-08,11500
2015-04-09,11500
2015-04-10,11500
2015-04-11,11500
2015-04-12,11500
2015-04-13,11500
2015-04-14,11500
2015-04-15,11500
2015-04-16,11500
2015-04-17,11500
2015-04-18,11500
2015-04-19,11500
2015-04-20,11500
2015-04-21,11500
2015-04-22,11500
2015-04-23,11500
2015-04-24,11500
2015-04-25,11500
2015-04-26,11500
2015-04-27,11500
2015-04-28,11500
2015-04-29,11500
2015-04-30,11500
2015-05-01,11500
2015-05-02,11500
2015-05-03,11500
2015-05-04,11500
2015-05-05,11500
2015-05-06,11500
2015-05-07,11500
2015-05-08,11500
2015-05-09,11500
2015-05-10,11500
2015-05-11,11500
2015-05-12,11500
2015-05-13,11500
2015-05-14,11500
2015-05-15,11500
2015-05-16,11500
2015-05-17,11500
2015-05-18,11500
2015-05-19,11500
2015-05-20,11500
2015-05-21,11500
2015-05-22,11500
2015-05-23,11500
2015-05-24,11500
2015-05-25,11500
2015-05-26,11500
2015-05-27,11500
2015-05-28,11500
2015-05-29,11500
2015-05-30,11500
2015-05-31,11500
2015-06-01,11500
2015-06-02,11500
2015-06-03,11500
2015-06-04,11500
2015-06-05,11500
2015-06-06,11500
2015-06-07,11500
2015-06-08,11500
2015-06-09,11500
2015-06-10,11500
2015-06-11,11500
2015-06-12,11500
2015-06-13,11500
2015-06-14,10926
2015-06-15,10926
2015-06-16,10926
2015-06-17,10926
2015-06-18,10926
2015-06-19,10926
2015-06-20,10926
2015-06-21,10926
2015-06-22,10926
2015-06-23,10926
2015-06-24,10926
2015-06-25,10926
2015-06-26,10926
2015-06-27,10926
2015-06-28,10926
2015-06-29,10926
2015-06-30,10926
2015-07-01,10926
2015-07-02,10926
2015-07-03,10926
2015-07-04,10926
2015-07-05,10926
2015-07-06,10926
2015-07-07,10926
2015-07-08,10926
2015-07-09,10926
2015-07-10,10926
2015-07-11,10926
2015-07-12,10926
2015-07-13,10926
2015-07-14,10926
2015-07-15,10926
2015-07-16,10926
2015-07-17,10926
2015-07-18,10926
2015-07-19,10926
2015-07-20,10926
2015-07-21,10926
2015-07-22,10926
2015-07-23,10926
2015-07-24,10926
2015-07-25,10926
2015-07-26,10926
2015-07-27,10926
2015-07-28,10926
2015-07-29,10926
2015-07-30,10926
2015-07-31,10926
2015-08-01,10926
2015-08-02,10926
2015-08-03,10926
2015-08-04,10926
2015-08-05,10926
2015-08-06,10926
2015-08-07,10926
2015-08-08,10926
2015-08-09,10926
2015-08-10,10926
2015-08-11,10926
2015-08-12,10926
2015-08-13,10926
2015-08-14,10926
2015-08-15,10926
2015-08-16,10926
2015-08-17,10926
2015-08-18,10926
2015-08-19,10926
2015-08-20,10926
2015-08-21,10926
2015-08-22,10926
2015-08-23,10926
2015-08-24,10926
2015-08-25,10926
2015-08-26,10926
2015-08-27,10926
2015-08-28,10926
2015-08-29,10926
2015-08-30,10926
2015-08-31,10926
2015-09-01,10926
2015-09-02,10926
2015-09-03,10926
2015-09-04,10926
2015-09-05,10926
2015-09-06,10926
2015-09-07,10926
2015-09-08,10926
2015-09-09,10926
2015-09-10,10926
2015-09-11,10926
2015-09-12,10926
2015-09-13,10926
2015-09-14,10926
2015-09-15,10926
2015-09-16,10926
2015-09-17,10926
2015-09-18,10926
2015-09-19,10926
2015-09-20,10926
2015-09-21,10926
2015-09-22,10926
2015-09-23,10926
2015-09-24,10926
2015-09-25,10926
2015-09-27,10926
2015-09-28,10926
2015-09-29,10926
2015-09-30,10926
2015-10-05,10926
2015-10-06,10926
2015-10-07,10926
2015-10-08,10926
2015-10-09,10926
2015-10-10,10926
2015-10-11,10926
2015-10-12,10926
2015-10-13,10926
2015-10-14,10926
2015-10-15,10926
2015-10-16,10926
2015-10-17,10926
2015-10-18,10926
2015-10-19,10926
2015-10-20,10926
2015-10-22,10926
2015-10-23,10926
2015-10-24,10926
2015-10-25,10926
2015-10-26,10926
2015-10-27,10926
2015-10-29,10926
2015-10-30,10926
2015-10-31,10926
2015-11-01,10926
2015-11-02,10926
2015-11-03,10926
2015-11-04,10926
2015-11-05,10926
2015-11-06,10926
2015-11-07,10926
2015-11-08,10926
2015-11-09,10926
2015-11-10,10926
2015-11-11,10926
2015-11-12,10926
2015-11-13,10926
2015-11-14,10926
2015-11-15,10926
2015-11-16,10926
2015-11-17,10926
2015-11-18,10926
2015-11-19,10926
2015-11-20,10926
2015-11-21,10926
2015-11-22,10926
2015-11-23,10926
2015-11-24,10926
2015-11-25,10926
2015-11-26,10926
2015-11-27,10926
2015-11-28,10926
2015-11-29,10926
2015-11-30,10926
2015-12-01,10926
2015-12-02,10926
2015-12-03,10926
2015-12-04,10926
2015-12-05,10926
2015-12-06,10926
2015-12-07,10926
2015-12-08,10926
2015-12-09,10926
2015-12-10,10926
2015-12-11,10926
2015-12-12,10926
2015-12-13,10926
2015-12-14,10926
2015-12-15,10926
2015-12-16,10926
2015-12-17,10926
2015-12-18,10926
2015-12-19,10926
2015-12-20,10926
2015-12-21,10926
2015-12-22,10926
2015-12-23,10926
2015-12-24,10423
2015-12-25,10423
2015-12-26,10423
2015-12-27,10423
2015-12-28,10423
2015-12-29,10423
2015-12-30,10423
2015-12-31,10423
2016-01-01,10423
2016-01-02,10423
2016-01-03,10423
2016-01-04,10423
2016-01-05,10423
2016-01-06,10423
2016-01-07,10423
2016-01-08,10423
2016-01-09,10423
2016-01-10,10423
2016-01-11,10423
2016-01-12,10423
2016-01-13,10423
2016-01-14,10423
2016-01-15,10423
2016-01-16,10423
2016-01-17,10423
2016-01-18,10423
2016-01-19,10423
2016-01-20,10423
2016-01-21,10423
2016-01-22,10423
2016-01-23,10423
2016-01-24,10423
2016-01-25,10423
2016-01-26,10423
2016-01-27,10423
2016-01-28,10423
2016-01-29,10423
2016-01-30,10423
2016-01-31,10423
2016-02-01,10423
2016-02-02,10423
2016-02-03,10423
2016-02-04,10423
2016-02-05,10423
2016-02-06,10423
2016-02-07,10423
2016-02-08,10423
2016-02-09,10423
2016-02-10,10423
2016-02-11,10423
2016-02-12,10423
2016-02-13,9909
2016-02-14,9909
2016-02-15,9909
2016-02-16,9909
2016-02-17,9909
2016-02-18,9909
2016-02-19,9909
2016-02-20,9909
2016-02-21,9909
2016-02-22,9909
2016-02-23,9909
2016-02-24,9909
2016-02-25,9909
2016-02-26,9909
2016-02-27,9909
2016-02-28,9909
2016-02-29,9909
2016-03-01,9909
2016-03-02,9909
2016-03-03,9909
2016-03-04,9909
2016-03-05,9909
2016-03-06,9909
2016-03-07,9909
2016-03-08,9909
2016-03-09,9909
2016-03-10,9421
2016-03-11,9421
2016-03-12,9421
2016-03-13,9421
2016-03-14,9421
2016-03-15,9421
2016-03-16,9421
2016-03-17,8953
2016-03-18,8953
2016-03-19,8953
2016-03-20,8953
2016-03-21,8953
2016-03-22,8507
2016-03-23,8507
2016-03-24,8507
2016-03-25,8507
2016-03-26,8507
2016-03-27,8507
2016-03-28,8085
2016-03-29,8085
2016-03-30,8085
2016-03-31,8085
2016-04-01,8085
2016-04-02,7692
2016-04-03,7692
2016-04-04,7692
2016-04-05,7692
2016-04-06,7692
2016-04-07,7310
2016-04-08,7310
2016-04-09,7310
2016-04-10,7310
2016-04-11,7310
2016-04-12,7310
2016-04-13,6948
2016-04-14,6948
2016-04-15,6948
2016-04-16,6948
2016-04-17,6948
2016-04-18,6948
2016-04-19,6948
2016-04-20,6948
2016-04-21,6948
2016-04-22,6948
2016-04-23,6603
2016-04-24,6603
2016-04-25,6603
2016-04-26,6603
2016-04-27,6603
2016-04-28,6603
2016-04-29,6603
2016-04-30,6603
2016-05-01,6603
2016-05-02,6603
2016-05-03,6603
2016-05-04,6603
2016-05-05,6276
2016-05-06,6276
2016-05-07,6276
2016-05-08,6276
2016-05-09,6276
2016-05-10,6276
2016-05-11,6276
2016-05-12,6276
