date_obj,Ensouled%20dagannoth%20head price
2016-01-07,4869
2016-01-08,4911
2016-01-09,4712
2016-01-10,4476
2016-01-11,4307
2016-01-12,4099
2016-01-13,3987
2016-01-14,4174
2016-01-15,4122
2016-01-16,3994
2016-01-17,3979
2016-01-18,4178
2016-01-19,4387
2016-01-20,4534
2016-01-21,4594
2016-01-22,4467
2016-01-23,4243
2016-01-24,4030
2016-01-25,3828
2016-01-26,3636
2016-01-27,3462
2016-01-28,3340
2016-01-29,3343
2016-01-30,3219
2016-01-31,3070
2016-02-01,3157
2016-02-02,3299
2016-02-03,3464
2016-02-04,3638
2016-02-05,3820
2016-02-06,4011
2016-02-07,4212
2016-02-08,4421
2016-02-09,4558
2016-02-10,4753
2016-02-11,4655
2016-02-12,4423
2016-02-13,4229
2016-02-14,4048
2016-02-15,3938
2016-02-16,4094
2016-02-17,4299
2016-02-18,4386
2016-02-19,4323
2016-02-20,4130
2016-02-21,4201
2016-02-22,4248
2016-02-23,4085
2016-02-24,3954
2016-02-25,3904
2016-02-26,3896
2016-02-27,3977
2016-02-28,4104
2016-02-29,4300
2016-03-01,4479
2016-03-02,4573
2016-03-03,4475
2016-03-04,4396
2016-03-05,4547
2016-03-06,4720
2016-03-07,4894
2016-03-08,4999
2016-03-09,5153
2016-03-10,5399
2016-03-11,5491
2016-03-12,5516
2016-03-13,5376
2016-03-14,5364
2016-03-15,5319
2016-03-16,5434
2016-03-17,5426
2016-03-18,5154
2016-03-19,4905
2016-03-20,4895
2016-03-21,4790
2016-03-22,4673
2016-03-23,4670
2016-03-24,4531
2016-03-25,4443
2016-03-26,4428
2016-03-27,4513
2016-03-28,4444
2016-03-29,4376
2016-03-30,4346
2016-03-31,4390
2016-04-01,4277
2016-04-02,4107
2016-04-03,4010
2016-04-04,4020
2016-04-05,3917
2016-04-06,3740
2016-04-07,3651
2016-04-08,3606
2016-04-09,3776
2016-04-10,3832
2016-04-11,3895
2016-04-12,3901
2016-04-13,4047
2016-04-14,3981
2016-04-15,3990
2016-04-16,3940
2016-04-17,4027
2016-04-18,4063
2016-04-19,4070
2016-04-20,4240
2016-04-21,4352
2016-04-22,4142
2016-04-23,3934
2016-04-24,3898
2016-04-25,3816
2016-04-26,3785
2016-04-27,3814
2016-04-28,3771
2016-04-29,3904
2016-04-30,4076
2016-05-01,4062
2016-05-02,4117
2016-05-03,4152
2016-05-04,4129
2016-05-05,3949
2016-05-06,3872
2016-05-07,3832
2016-05-08,3673
2016-05-09,3735
2016-05-10,3675
2016-05-11,3582
2016-05-12,3402
2016-05-13,3248
2016-05-14,3361
2016-05-15,3465
2016-05-16,3548
2016-05-17,3557
2016-05-18,3463
2016-05-19,3363
2016-05-22,3210
2016-05-23,3234
2016-05-24,3340
2016-05-25,3266
2016-05-26,3155
2016-05-27,3126
2016-05-28,3031
2016-05-29,3101
2016-05-30,3238
2016-05-31,3377
2016-06-01,3534
2016-06-02,3519
2016-06-03,3635
2016-06-04,3471
2016-06-05,3351
2016-06-06,3357
2016-06-07,3455
2016-06-08,3427
2016-06-09,3307
2016-06-10,3142
2016-06-11,3144
2016-06-12,3171
2016-06-13,3115
2016-06-14,2997
2016-06-15,2984
2016-06-16,2841
2016-06-17,2946
2016-06-18,3037
2016-06-19,3064
