date_obj,Fenkenstrain's%20castle%20teleport%20(tablet) price
2016-05-12,1400
2016-05-13,1400
2016-05-14,1400
2016-05-15,1400
2016-05-16,1400
2016-05-17,1468
2016-05-18,1468
2016-05-19,1468
2016-05-22,1468
2016-05-23,1468
2016-05-24,1468
2016-05-25,1538
2016-05-26,1538
2016-05-27,1538
2016-05-28,1538
2016-05-29,1538
2016-05-30,1538
2016-05-31,1538
2016-06-01,1538
2016-06-02,1614
2016-06-03,1614
2016-06-04,1614
2016-06-05,1614
2016-06-06,1614
2016-06-07,1614
2016-06-08,1614
2016-06-09,1614
2016-06-10,1614
2016-06-11,1693
2016-06-12,1693
2016-06-13,1693
2016-06-14,1693
2016-06-15,1693
2016-06-16,1693
2016-06-17,1693
2016-06-18,1693
2016-06-19,1696
2016-06-20,1696
2016-06-21,1696
2016-06-22,1696
2016-06-23,1696
2016-06-24,1696
2016-06-25,1696
2016-06-26,1696
2016-06-27,1696
2016-06-28,1723
2016-06-29,1723
2016-06-30,1723
2016-07-01,1723
2016-07-02,1723
2016-07-03,1723
2016-07-04,1723
2016-07-05,1723
2016-07-06,1808
2016-07-07,1808
2016-07-08,1808
2016-07-09,1808
2016-07-10,1808
2016-07-11,1808
2016-07-12,1891
2016-07-13,1891
2016-07-14,1891
2016-07-15,1891
2016-07-16,1891
2016-07-17,1891
2016-07-18,1891
2016-07-23,1985
2016-07-24,1985
2016-07-25,1985
2016-07-26,1985
2016-07-27,2075
2016-07-28,2075
2016-07-29,2075
2016-07-30,2075
2016-07-31,2075
2016-08-01,2075
2016-08-02,2075
2016-08-03,2075
2016-08-04,2075
2016-08-05,2178
2016-08-06,2178
2016-08-07,2178
2016-08-08,2178
2016-08-09,2178
2016-08-10,2178
2016-08-11,2178
2016-08-12,2178
2016-08-13,2178
2016-08-14,2178
2016-08-15,2286
2016-08-16,2286
2016-08-17,2286
2016-08-18,2286
2016-08-19,2286
2016-08-20,2286
2016-08-21,2286
2016-08-22,2286
2016-08-23,2286
2016-08-24,2286
2016-08-25,2400
2016-08-26,2400
2016-08-28,2400
2016-08-31,2400
2016-09-01,2400
2016-09-02,2400
2016-09-03,2510
2016-09-04,2510
2016-09-05,2510
2016-09-06,2510
2016-09-07,2510
2016-09-08,2510
2016-09-09,2510
2016-09-10,2510
2016-09-11,2510
2016-09-12,2620
2016-09-13,2620
2016-09-14,2620
2016-09-15,2620
2016-09-16,2620
2016-09-17,2620
2016-09-18,2620
2016-09-19,2620
2016-09-20,2620
2016-09-21,2750
2016-09-22,2750
2016-09-23,2750
2016-09-24,2750
2016-09-25,2750
2016-09-26,2750
2016-09-27,2750
2016-09-28,2750
2016-09-29,2750
2016-09-30,2886
2016-10-01,2886
2016-10-02,2886
2016-10-03,2886
2016-10-04,2886
2016-10-05,2886
2016-10-06,2886
2016-10-07,2886
2016-10-08,2886
2016-10-09,3009
2016-10-10,3009
2016-10-11,3009
2016-10-12,3009
2016-10-13,3009
2016-10-14,3009
2016-10-15,3009
2016-10-16,3009
2016-10-17,3125
2016-10-18,3125
2016-10-19,3125
2016-10-20,3125
2016-10-21,3125
2016-10-22,3125
2016-10-23,3125
2016-10-24,3125
2016-10-25,3263
2016-10-26,3263
2016-10-27,3263
2016-10-28,3263
2016-10-29,3263
2016-10-30,3263
2016-10-31,3263
2016-11-01,3263
2016-11-02,3346
2016-11-03,3346
2016-11-04,3346
2016-11-05,3346
2016-11-06,3346
2016-11-07,3346
2016-11-08,3346
2016-11-09,3381
2016-11-10,3381
2016-11-11,3381
2016-11-12,3381
2016-11-13,3381
2016-11-14,3381
2016-11-15,3381
2016-12-07,3189
2016-12-08,3189
2016-12-09,3189
2016-12-10,3189
2016-12-11,3189
2016-12-12,3189
2016-12-13,3189
2016-12-14,3222
2016-12-15,3222
2016-12-16,3222
2016-12-17,3222
2016-12-18,3222
2016-12-19,3222
2016-12-20,3222
2016-12-21,3144
2016-12-22,3144
2016-12-23,3144
2016-12-24,3144
2016-12-25,3144
2016-12-26,3144
2016-12-27,3144
2016-12-28,2989
2016-12-29,2989
2016-12-30,2989
2016-12-31,2989
2017-01-01,2989
2017-01-02,3115
2017-01-03,3115
2017-01-04,3115
2017-01-05,3115
2017-01-06,3115
2017-01-07,2977
2017-01-08,2977
2017-01-09,2977
2017-01-10,2977
2017-01-11,2977
2017-01-12,2838
2017-01-13,2838
2017-01-14,2838
2017-01-15,2838
2017-01-16,2838
2017-01-17,2920
2017-01-18,2920
2017-01-19,2920
2017-01-20,2920
2017-01-21,2920
2017-01-22,3045
2017-01-23,3045
2017-01-27,3107
2017-01-28,3107
2017-01-29,3107
2017-01-30,3107
2017-01-31,3031
2017-02-01,3031
2017-02-02,3031
2017-02-03,3031
2017-02-04,2989
2017-02-05,2989
2017-02-06,2989
2017-02-07,2989
2017-02-08,2989
2017-02-09,3029
2017-02-10,3029
2017-02-11,3029
