date_obj,Fish%20food price
2015-03-04,200
2015-03-05,200
2015-03-06,200
2015-03-07,200
2015-03-08,200
2015-03-09,200
2015-03-10,200
2015-03-11,200
2015-03-12,200
2015-03-13,200
2015-03-14,200
2015-03-15,200
2015-03-16,200
2015-03-17,200
2015-03-18,200
2015-03-19,200
2015-03-20,200
2015-03-21,200
2015-03-22,200
2015-03-23,200
2015-03-24,200
2015-03-25,200
2015-03-26,200
2015-03-27,200
2015-03-28,200
2015-03-29,200
2015-03-30,200
2015-03-31,200
2015-04-01,200
2015-04-02,200
2015-04-03,200
2015-04-04,200
2015-04-05,200
2015-04-06,200
2015-04-07,200
2015-04-08,200
2015-04-09,200
2015-04-10,200
2015-04-11,200
2015-04-12,200
2015-04-13,200
2015-04-14,200
2015-04-15,200
2015-04-16,200
2015-04-17,200
2015-04-18,200
2015-04-19,200
2015-04-20,200
2015-04-21,200
2015-04-22,200
2015-04-23,200
2015-04-24,200
2015-04-25,205
2015-04-26,205
2015-04-27,205
2015-04-28,205
2015-04-29,205
2015-04-30,205
2015-05-01,205
2015-05-02,205
2015-05-03,205
2015-05-04,205
2015-05-05,205
2015-05-06,205
2015-05-07,205
2015-05-08,205
2015-05-09,205
2015-05-10,205
2015-05-11,205
2015-05-12,205
2015-05-13,205
2015-05-14,205
2015-05-15,205
2015-05-16,205
2015-05-17,205
2015-05-18,205
2015-05-19,205
2015-05-20,205
2015-05-21,205
2015-05-22,205
2015-05-23,205
2015-05-24,205
2015-05-25,205
2015-05-26,205
2015-05-27,205
2015-05-28,205
2015-05-29,205
2015-05-30,205
2015-05-31,205
2015-06-01,205
2015-06-02,205
2015-06-03,205
2015-06-04,205
2015-06-05,205
2015-06-06,205
2015-06-07,205
2015-06-08,205
2015-06-09,205
2015-06-10,205
2015-06-11,205
2015-06-12,205
2015-06-13,212
2015-06-14,212
2015-06-15,212
2015-06-16,212
2015-06-17,212
2015-06-18,212
2015-06-19,212
2015-06-20,212
2015-06-21,212
2015-06-22,212
2015-06-23,212
2015-06-24,212
2015-06-25,212
2015-06-26,212
2015-06-27,212
2015-06-28,212
2015-06-29,212
2015-06-30,212
2015-07-01,212
2015-07-02,212
2015-07-03,212
2015-07-04,212
2015-07-05,212
2015-07-06,212
2015-07-07,212
2015-07-08,212
2015-07-09,212
2015-07-10,212
2015-07-11,212
2015-07-12,212
2015-07-13,212
2015-07-14,212
2015-07-15,212
2015-07-16,212
2015-07-17,212
2015-07-18,212
2015-07-19,212
2015-07-20,212
2015-07-21,212
2015-07-22,212
2015-07-23,212
2015-07-24,212
2015-07-25,212
2015-07-26,212
2015-07-27,212
2015-07-28,212
2015-07-29,212
2015-07-30,212
2015-07-31,212
2015-08-01,212
2015-08-02,217
2015-08-03,217
2015-08-04,217
2015-08-05,217
2015-08-06,217
2015-08-07,217
2015-08-08,217
2015-08-09,217
2015-08-10,217
2015-08-11,217
2015-08-12,217
2015-08-13,217
2015-08-14,217
2015-08-15,217
2015-08-16,217
2015-08-17,217
2015-08-18,217
2015-08-19,217
2015-08-20,217
2015-08-21,217
2015-08-22,217
2015-08-23,217
2015-08-24,217
2015-08-25,217
2015-08-26,217
2015-08-27,217
2015-08-28,217
2015-08-29,217
2015-08-30,217
2015-08-31,217
2015-09-02,217
2015-09-07,217
2015-09-08,217
2015-09-10,217
2015-09-14,217
2015-09-16,217
2015-09-22,217
2015-09-23,217
2015-09-24,217
2015-09-25,217
2015-09-27,217
2015-09-28,217
2015-09-29,217
2015-09-30,217
2015-10-05,217
2015-10-06,217
2015-10-07,217
2015-10-08,217
2015-10-09,217
2015-10-10,217
2015-10-11,217
2015-10-12,217
2015-10-13,217
2015-10-14,217
2015-10-15,217
2015-10-16,217
2015-10-17,217
2015-10-18,217
2015-10-19,217
2015-10-20,217
2015-10-22,217
2015-10-23,217
2015-10-24,217
2015-10-25,217
2015-10-26,217
2015-10-27,217
2015-10-29,223
2015-10-30,223
2015-10-31,223
2015-11-01,223
2015-11-02,223
2015-11-03,223
2015-11-04,223
2015-11-05,223
2015-11-06,223
2015-11-07,223
2015-11-08,223
2015-11-09,223
2015-11-10,223
2015-11-11,223
2015-11-12,223
2015-11-13,223
2015-11-14,223
2015-11-15,223
2015-11-16,223
2015-11-17,223
2015-11-18,223
2015-11-19,223
2015-11-20,223
2015-11-21,223
2015-11-22,223
2015-11-23,223
2015-11-24,223
2015-11-25,223
2015-11-26,223
2015-11-27,223
2015-11-28,223
2015-11-29,223
2015-11-30,223
2015-12-01,223
2015-12-02,223
2015-12-03,223
2015-12-04,223
2015-12-05,223
2015-12-06,223
2015-12-07,223
2015-12-08,223
2015-12-09,223
2015-12-10,223
2015-12-11,223
2015-12-12,223
2015-12-13,223
2015-12-14,223
2015-12-15,223
2015-12-16,223
2015-12-17,223
2015-12-18,223
2015-12-19,223
2015-12-20,223
2015-12-21,223
2015-12-22,223
2015-12-23,223
2015-12-24,223
2015-12-25,223
2015-12-26,223
2015-12-27,223
2015-12-28,223
2015-12-29,223
2015-12-30,223
2015-12-31,223
2016-01-01,223
2016-01-02,223
2016-01-03,223
2016-01-04,223
2016-01-05,223
2016-01-06,223
2016-01-07,223
2016-01-08,223
2016-01-09,223
2016-01-10,223
2016-01-11,223
2016-01-12,223
2016-01-13,223
2016-01-14,223
2016-01-15,223
2016-01-16,223
2016-01-17,223
2016-01-18,223
2016-01-19,223
2016-01-20,231
2016-01-21,231
2016-01-22,231
2016-01-23,231
2016-01-24,231
2016-01-25,231
2016-01-26,231
2016-01-27,231
2016-01-28,231
2016-01-29,231
2016-01-30,231
2016-01-31,231
2016-02-01,231
2016-02-02,231
2016-02-03,231
2016-02-04,231
2016-02-05,231
2016-02-06,231
2016-02-07,231
2016-02-08,231
2016-02-09,231
2016-02-10,231
2016-02-11,231
2016-02-12,231
2016-02-13,231
2016-02-14,231
2016-02-15,231
2016-02-16,231
2016-02-17,231
2016-02-18,231
2016-02-19,231
2016-02-20,231
2016-02-21,231
2016-02-22,231
2016-02-23,231
2016-02-24,231
2016-02-25,231
2016-02-26,231
2016-02-27,231
2016-02-28,231
2016-02-29,231
2016-03-01,231
2016-03-02,231
2016-03-03,231
2016-03-04,231
2016-03-05,231
2016-03-06,231
2016-03-07,231
2016-03-08,231
2016-03-09,231
2016-03-10,231
2016-03-11,231
2016-03-12,231
2016-03-13,231
2016-03-14,231
2016-03-15,231
2016-03-16,231
2016-03-17,231
2016-03-18,231
2016-03-19,231
2016-03-20,231
2016-03-21,231
2016-03-22,231
2016-03-23,231
2016-03-24,231
2016-03-25,231
2016-03-26,231
2016-03-27,231
2016-03-28,231
2016-03-29,231
2016-03-30,231
2016-03-31,231
2016-04-01,236
2016-04-02,236
2016-04-03,236
2016-04-04,236
2016-04-05,236
2016-04-06,236
2016-04-07,236
2016-04-08,236
2016-04-09,236
2016-04-10,236
2016-04-11,236
2016-04-12,236
2016-04-13,236
2016-04-14,236
2016-04-15,236
2016-04-16,236
2016-04-17,236
2016-04-18,236
2016-04-19,236
2016-04-20,236
2016-04-21,236
2016-04-22,236
2016-04-23,236
2016-04-24,236
2016-04-25,236
2016-04-26,236
2016-04-27,236
2016-04-28,236
2016-04-29,236
2016-04-30,236
2016-05-01,236
2016-05-02,236
2016-05-03,236
2016-05-04,236
2016-05-05,236
2016-05-06,236
2016-05-07,236
2016-05-08,236
2016-05-09,236
2016-05-10,236
2016-05-11,236
2016-05-12,236
2016-05-13,236
2016-05-14,236
2016-05-15,236
2016-05-16,236
2016-05-17,236
2016-05-18,236
2016-05-19,236
2016-05-22,236
2016-05-23,236
2016-05-24,236
2016-05-25,236
2016-05-26,236
2016-05-27,236
2016-05-28,236
2016-05-29,236
2016-05-30,236
2016-05-31,236
2016-06-01,236
2016-06-02,236
2016-06-03,236
2016-06-04,236
2016-06-05,236
2016-06-06,236
2016-06-07,236
2016-06-08,236
2016-06-09,236
2016-06-10,236
2016-06-11,236
2016-06-12,236
2016-06-13,236
2016-06-14,236
2016-06-15,245
2016-06-16,245
2016-06-17,245
2016-06-18,245
2016-06-19,245
2016-06-20,245
2016-06-21,245
2016-06-22,245
2016-06-23,245
2016-06-24,245
2016-06-25,245
2016-06-26,245
2016-06-27,245
2016-06-28,245
2016-06-29,245
2016-06-30,245
2016-07-01,245
2016-07-02,245
2016-07-03,245
2016-07-04,245
2016-07-05,245
2016-07-06,245
2016-07-07,245
2016-07-08,245
2016-07-09,245
2016-07-10,245
2016-07-11,245
2016-07-12,245
2016-07-13,245
2016-07-14,245
2016-07-15,245
2016-07-16,245
2016-07-17,245
2016-07-18,245
2016-07-23,245
2016-07-24,245
2016-07-25,245
2016-07-26,245
2016-07-27,245
2016-07-28,245
2016-07-29,245
2016-07-30,245
2016-07-31,245
2016-08-01,245
2016-08-02,245
2016-08-03,245
2016-08-04,245
2016-08-05,245
2016-08-06,245
2016-08-07,245
2016-08-08,245
2016-08-09,245
2016-08-10,245
2016-08-11,245
2016-08-12,245
2016-08-13,245
2016-08-14,245
2016-08-15,245
2016-08-16,245
2016-08-17,245
2016-08-18,245
2016-08-19,245
2016-08-20,245
2016-08-21,245
2016-08-22,245
2016-08-23,245
2016-08-24,245
2016-08-25,245
2016-08-26,245
2016-08-28,254
2016-08-31,254
2016-09-01,254
2016-09-02,254
2016-09-03,254
2016-09-04,254
2016-09-05,254
2016-09-06,254
2016-09-07,254
2016-09-08,254
2016-09-09,254
2016-09-10,254
2016-09-11,254
2016-09-12,254
2016-09-13,254
2016-09-14,254
2016-09-15,254
2016-09-16,254
2016-09-17,254
2016-09-18,254
2016-09-19,254
2016-09-20,254
2016-09-21,254
2016-09-22,254
2016-09-23,254
2016-09-24,254
2016-09-25,254
2016-09-26,254
2016-09-27,254
2016-09-28,254
2016-09-29,254
2016-09-30,254
2016-10-01,254
2016-10-02,254
2016-10-03,254
2016-10-04,254
2016-10-05,254
2016-10-06,254
2016-10-07,254
2016-10-08,254
2016-10-09,254
2016-10-10,254
2016-10-11,254
2016-10-12,254
2016-10-13,254
2016-10-14,254
2016-10-15,254
2016-10-16,254
2016-10-17,254
2016-10-18,254
2016-10-19,254
2016-10-20,254
2016-10-21,254
2016-10-22,254
2016-10-23,254
2016-10-24,254
2016-10-25,254
2016-10-26,254
2016-10-27,254
2016-10-28,254
2016-10-29,254
2016-10-30,254
2016-10-31,254
2016-11-01,254
2016-11-02,254
2016-11-03,254
2016-11-04,254
2016-11-05,254
2016-11-06,254
2016-11-07,254
2016-11-08,254
2016-11-09,254
2016-11-10,254
2016-11-11,254
2016-11-12,254
2016-11-13,254
2016-11-14,254
2016-11-15,254
2016-12-07,262
2016-12-08,262
2016-12-09,262
2016-12-10,262
2016-12-11,262
2016-12-12,262
2016-12-13,262
2016-12-14,262
2016-12-15,262
2016-12-16,262
2016-12-17,262
2016-12-18,262
2016-12-19,262
2016-12-20,262
2016-12-21,262
2016-12-22,262
2016-12-23,262
2016-12-24,262
2016-12-25,262
2016-12-26,262
2016-12-27,262
2016-12-28,262
2016-12-29,262
2016-12-30,262
2016-12-31,262
2017-01-01,262
2017-01-02,262
2017-01-03,262
2017-01-04,262
2017-01-05,262
2017-01-06,262
2017-01-07,262
2017-01-08,262
2017-01-09,262
2017-01-10,262
2017-01-11,262
2017-01-12,262
2017-01-13,262
2017-01-14,262
2017-01-15,262
2017-01-16,262
2017-01-17,262
