date_obj,Fremennik%20red%20shirt price
2015-03-04,2000
2015-03-05,2000
2015-03-06,2000
2015-03-07,2000
2015-03-08,2000
2015-03-09,2000
2015-03-10,2000
2015-03-11,2055
2015-03-12,2055
2015-03-13,2055
2015-03-14,2055
2015-03-15,2055
2015-03-16,2055
2015-03-17,2055
2015-03-18,2055
2015-03-19,2055
2015-03-20,2055
2015-03-21,2055
2015-03-22,2055
2015-03-23,2055
2015-03-24,2055
2015-03-25,2055
2015-03-26,2055
2015-03-27,2055
2015-03-28,2055
2015-03-29,2109
2015-03-30,2109
2015-03-31,2109
2015-04-01,2109
2015-04-02,2109
2015-04-03,2109
2015-04-04,2109
2015-04-05,2109
2015-04-06,2109
2015-04-07,2109
2015-04-08,2109
2015-04-09,2109
2015-04-10,2109
2015-04-11,2109
2015-04-12,2109
2015-04-13,2109
2015-04-14,2188
2015-04-15,2188
2015-04-16,2188
2015-04-17,2188
2015-04-18,2188
2015-04-19,2188
2015-04-20,2188
2015-04-21,2188
2015-04-22,2188
2015-04-23,2188
2015-04-24,2188
2015-04-25,2188
2015-04-26,2188
2015-04-27,2188
2015-04-28,2188
2015-04-29,2188
2015-04-30,2188
2015-05-01,2256
2015-05-02,2256
2015-05-03,2256
2015-05-04,2256
2015-05-05,2256
2015-05-06,2256
2015-05-07,2256
2015-05-08,2256
2015-05-09,2256
2015-05-10,2256
2015-05-11,2256
2015-05-12,2256
2015-05-13,2256
2015-05-14,2256
2015-05-15,2256
2015-05-16,2256
2015-05-17,2256
2015-05-18,2256
2015-05-19,2256
2015-05-20,2291
2015-05-21,2291
2015-05-22,2291
2015-05-23,2291
2015-05-24,2291
2015-05-25,2291
2015-05-26,2291
2015-05-27,2291
2015-05-28,2291
2015-05-29,2291
2015-05-30,2291
2015-05-31,2291
2015-06-01,2320
2015-06-02,2320
2015-06-03,2320
2015-06-04,2320
2015-06-05,2320
2015-06-06,2320
2015-06-07,2320
2015-06-08,2320
2015-06-09,2320
2015-06-10,2320
2015-06-11,2320
2015-06-12,2320
2015-06-13,2320
2015-06-14,2320
2015-06-15,2366
2015-06-16,2366
2015-06-17,2366
2015-06-18,2366
2015-06-19,2366
2015-06-20,2366
2015-06-21,2366
2015-06-22,2366
2015-06-23,2366
2015-06-24,2366
2015-06-25,2366
2015-06-26,2366
2015-06-27,2366
2015-06-28,2366
2015-06-29,2420
2015-06-30,2420
2015-07-01,2420
2015-07-02,2420
2015-07-03,2420
2015-07-04,2420
2015-07-05,2420
2015-07-06,2420
2015-07-07,2420
2015-07-08,2420
2015-07-09,2420
2015-07-10,2420
2015-07-11,2420
2015-07-12,2503
2015-07-13,2503
2015-07-14,2503
2015-07-15,2503
2015-07-16,2503
2015-07-17,2503
2015-07-18,2503
2015-07-19,2503
2015-07-20,2503
2015-07-21,2503
2015-07-22,2503
2015-07-23,2547
2015-07-24,2547
2015-07-25,2547
2015-07-26,2547
2015-07-27,2547
2015-07-28,2547
2015-07-29,2547
2015-07-30,2547
2015-07-31,2547
2015-08-01,2547
2015-08-02,2547
2015-08-03,2594
2015-08-04,2594
2015-08-05,2594
2015-08-06,2594
2015-08-07,2594
2015-08-08,2594
2015-08-09,2594
2015-08-10,2594
2015-08-11,2594
2015-08-12,2594
2015-08-13,2594
2015-08-14,2635
2015-08-15,2635
2015-08-16,2635
2015-08-17,2635
2015-08-18,2635
2015-08-19,2635
2015-08-20,2635
2015-08-21,2635
2015-08-22,2635
2015-08-23,2635
2015-08-24,2635
2015-08-25,2635
2015-08-26,2635
2015-08-27,2668
2015-08-28,2668
2015-08-29,2668
2015-08-30,2668
2015-08-31,2668
2015-09-02,2668
2015-09-07,2668
2015-09-08,2711
2015-09-10,2711
2015-09-14,2711
2015-09-16,2711
2015-09-22,2606
2015-09-23,2606
2015-09-24,2606
2015-09-25,2606
2015-09-27,2606
2015-09-28,2606
2015-09-29,2606
2015-09-30,2606
2015-10-05,2634
2015-10-06,2634
2015-10-07,2634
2015-10-08,2634
2015-10-09,2634
2015-10-10,2634
2015-10-11,2634
2015-10-12,2654
2015-10-13,2654
2015-10-14,2654
2015-10-15,2654
2015-10-16,2654
2015-10-17,2654
2015-10-18,2654
2015-10-19,2654
2015-10-20,2654
2015-10-22,2654
2015-10-23,2654
2015-10-24,2587
2015-10-25,2587
2015-10-26,2587
2015-10-27,2587
2015-10-29,2587
2015-10-30,2587
2015-10-31,2587
2015-11-01,2587
2015-11-02,2587
2015-11-03,2587
2015-11-04,2587
2015-11-05,2587
2015-11-06,2587
2015-11-07,2656
2015-11-08,2656
2015-11-09,2656
2015-11-10,2656
2015-11-11,2656
2015-11-12,2656
2015-11-13,2656
2015-11-14,2656
2015-11-15,2656
2015-11-16,2656
2015-11-17,2656
2015-11-18,2656
2015-11-19,2672
2015-11-20,2672
2015-11-21,2672
2015-11-22,2672
2015-11-23,2672
2015-11-24,2672
2015-11-25,2672
2015-11-26,2672
2015-11-27,2672
2015-11-28,2672
2015-11-29,2717
2015-11-30,2717
2015-12-01,2717
2015-12-02,2717
2015-12-03,2717
2015-12-04,2717
2015-12-05,2717
2015-12-06,2717
2015-12-07,2717
2015-12-08,2717
2015-12-09,2717
2015-12-10,2760
2015-12-11,2760
2015-12-12,2760
2015-12-13,2760
2015-12-14,2760
2015-12-15,2760
2015-12-16,2760
2015-12-17,2760
2015-12-18,2789
2015-12-19,2789
2015-12-20,2789
2015-12-21,2789
2015-12-22,2789
2015-12-23,2789
2015-12-24,2789
2015-12-25,2789
2015-12-26,2789
2015-12-27,2789
2015-12-28,2835
2015-12-29,2835
2015-12-30,2835
2015-12-31,2835
2016-01-01,2835
2016-01-02,2835
2016-01-03,2835
2016-01-04,2835
2016-01-05,2880
2016-01-06,2880
2016-01-07,2880
2016-01-08,2880
2016-01-09,2880
2016-01-10,2880
2016-01-11,2880
2016-01-12,2880
2016-01-13,2880
2016-01-14,2863
2016-01-15,2863
2016-01-16,2863
2016-01-17,2863
2016-01-18,2863
2016-01-19,2863
2016-01-20,2863
2016-01-21,2863
2016-01-22,2863
2016-01-23,2890
2016-01-24,2890
2016-01-25,2890
2016-01-26,2890
2016-01-27,2890
2016-01-28,2890
2016-01-29,2890
2016-01-30,2890
2016-01-31,2890
2016-02-01,2830
2016-02-02,2830
2016-02-03,2830
2016-02-04,2830
2016-02-05,2830
2016-02-06,2830
2016-02-07,2830
2016-02-08,2830
2016-02-09,2830
2016-02-10,2757
2016-02-11,2757
2016-02-12,2757
2016-02-13,2757
2016-02-14,2757
2016-02-15,2757
2016-02-16,2757
2016-02-17,2757
2016-02-18,2757
2016-02-19,2757
2016-02-20,2767
2016-02-21,2767
2016-02-22,2767
2016-02-23,2767
2016-02-24,2767
2016-02-25,2767
2016-02-26,2767
2016-02-27,2767
2016-02-28,2832
2016-02-29,2832
2016-03-01,2832
2016-03-02,2832
2016-03-03,2832
2016-03-04,2832
2016-03-05,2832
2016-03-06,2832
2016-03-07,2845
2016-03-08,2845
2016-03-09,2845
2016-03-10,2845
2016-03-11,2845
2016-03-12,2845
2016-03-13,2845
2016-03-14,2845
2016-03-15,2845
2016-03-16,2732
2016-03-17,2732
2016-03-18,2732
2016-03-19,2732
2016-03-20,2732
2016-03-21,2732
2016-03-22,2732
2016-03-23,2732
2016-03-24,2682
2016-03-25,2682
2016-03-26,2682
2016-03-27,2682
2016-03-28,2682
2016-03-29,2682
2016-03-30,2682
2016-03-31,2682
2016-04-01,2682
2016-04-02,2682
2016-04-03,2636
2016-04-04,2636
2016-04-05,2636
2016-04-06,2636
2016-04-07,2636
2016-04-08,2636
2016-04-09,2636
2016-04-10,2636
2016-04-11,2636
2016-04-12,2636
2016-04-13,2707
2016-04-14,2707
2016-04-15,2707
2016-04-16,2707
2016-04-17,2707
2016-04-18,2707
2016-04-19,2707
2016-04-20,2707
2016-04-21,2707
2016-04-22,2707
2016-04-23,2588
2016-04-24,2588
2016-04-25,2588
