date_obj,Garden%20pie price
2015-03-26,10594
2015-03-27,10594
2015-03-28,10082
2015-03-29,10082
2015-03-30,10082
2015-03-31,10082
2015-04-01,10082
2015-04-02,10082
2015-04-03,9577
2015-04-04,9577
2015-04-05,9577
2015-04-06,9577
2015-04-07,9577
2015-04-08,9113
2015-04-09,9113
2015-04-10,9113
2015-04-11,9113
2015-04-12,9113
2015-04-13,8662
2015-04-14,8662
2015-04-15,8662
2015-04-16,8662
2015-04-17,8662
2015-04-18,8243
2015-04-19,8243
2015-04-20,8243
2015-04-21,8243
2015-04-22,8243
2015-04-23,8243
2015-04-24,7842
2015-04-25,7842
2015-04-26,7842
2015-04-27,7842
2015-04-28,7842
2015-04-29,7457
2015-04-30,7457
2015-05-01,7457
2015-05-02,7457
2015-05-03,7457
2015-05-04,7084
2015-05-05,7084
2015-05-06,7084
2015-05-07,7084
2015-05-08,7084
2015-05-09,6733
2015-05-10,6733
2015-05-11,6733
2015-05-12,6733
2015-05-13,6733
2015-05-14,6411
2015-05-15,6411
2015-05-16,6411
2015-05-17,6411
2015-05-18,6411
2015-05-19,6094
2015-05-20,6094
2015-05-21,6094
2015-05-22,6094
2015-05-23,6094
2015-05-24,6094
2015-05-25,5827
2015-05-26,5827
2015-05-27,5827
2015-05-28,5538
2015-05-29,5538
2015-05-30,5538
2015-05-31,5261
2015-06-01,5261
2015-06-02,5261
2015-06-03,5001
2015-06-04,5001
2015-06-05,5001
2015-06-06,4779
2015-06-07,4779
2015-06-08,4779
2015-06-09,4543
2015-06-10,4543
2015-06-11,4543
2015-06-12,4543
2015-06-13,4316
2015-06-14,4316
2015-06-15,4316
2015-06-16,4316
2015-06-17,4110
2015-06-18,4110
2015-06-19,4110
2015-06-20,3926
2015-06-21,3926
2015-06-22,3926
2015-06-23,3926
2015-06-24,3729
2015-06-25,3729
2015-06-26,3729
2015-06-27,3729
2015-06-28,3547
2015-06-29,3547
2015-06-30,3547
2015-07-01,3370
2015-07-02,3370
2015-07-03,3370
2015-07-04,3370
2015-07-05,3203
2015-07-06,3203
2015-07-07,3203
2015-07-08,3050
2015-07-09,3050
2015-07-10,3050
2015-07-11,3050
2015-07-12,2899
2015-07-13,2899
2015-07-14,2899
2015-07-15,2756
2015-07-16,2756
2015-07-17,2756
2015-07-18,2619
2015-07-19,2619
2015-07-20,2619
2015-07-21,2488
2015-07-22,2488
2015-07-23,2488
2015-07-24,2363
2015-07-25,2363
2015-07-26,2363
2015-07-27,2363
2015-07-28,2246
2015-07-29,2246
2015-07-30,2246
2015-07-31,2134
2015-08-01,2134
2015-08-02,2134
2015-08-03,2034
2015-08-04,2034
2015-08-05,2034
2015-08-06,1945
2015-08-07,1945
2015-08-08,1945
2015-08-09,1849
2015-08-10,1849
2015-08-11,1849
2015-08-12,1849
2015-08-13,1770
2015-08-14,1770
2015-08-15,1770
2015-08-16,1684
2015-08-17,1684
2015-08-18,1684
2015-08-19,1602
2015-08-20,1602
2015-08-21,1602
2015-08-22,1534
2015-08-23,1534
2015-08-24,1534
2015-08-25,1534
2015-08-26,1481
2015-08-27,1481
2015-08-28,1481
2015-08-29,1447
2015-08-30,1447
2015-08-31,1447
2015-09-01,1447
2015-09-02,1408
2015-09-03,1408
2015-09-04,1408
2015-09-05,1408
2015-09-06,1368
2015-09-07,1368
2015-09-08,1368
2015-09-09,1368
2015-09-10,1304
2015-09-11,1304
2015-09-12,1304
2015-09-13,1304
2015-09-14,1267
2015-09-15,1267
2015-09-16,1267
2015-09-17,1267
2015-09-18,1256
2015-09-19,1256
2015-09-20,1256
2015-09-21,1256
2015-09-22,1256
2015-09-23,1197
2015-09-24,1197
2015-09-25,1197
2015-09-27,1197
2015-09-28,1137
2015-09-29,1137
2015-09-30,1137
2015-10-05,1080
2015-10-06,1080
2015-10-07,1080
2015-10-08,1026
2015-10-09,1026
2015-10-10,1026
2015-10-11,1026
