date_obj,Gilded%20boots price
2015-03-26,6735936
2015-03-27,6735936
2015-03-28,6735936
2015-03-29,6735936
2015-03-30,6813721
2015-03-31,6813721
2015-04-01,6813721
2015-04-02,6813721
2015-04-03,6813721
2015-04-04,6813721
2015-04-05,6813721
2015-04-06,6813721
2015-04-07,6813721
2015-04-08,7095042
2015-04-09,7095042
2015-04-10,7095042
2015-04-11,7095042
2015-04-12,7095042
2015-04-13,7095042
2015-04-14,7095042
2015-04-15,7095042
2015-04-16,7095042
2015-04-17,7095042
2015-04-18,7370027
2015-04-19,7370027
2015-04-20,7370027
2015-04-21,7370027
2015-04-22,7370027
2015-04-23,7370027
2015-04-24,7370027
2015-04-25,7370027
2015-04-26,7615687
2015-04-27,7615687
2015-04-28,7615687
2015-04-29,7615687
2015-04-30,7615687
2015-05-01,7615687
2015-05-02,7615687
2015-05-03,7835473
2015-05-04,7835473
2015-05-05,7835473
2015-05-06,7835473
2015-05-07,7835473
2015-05-08,7835473
2015-05-09,7835473
2015-05-10,7732766
2015-05-11,7732766
2015-05-12,7732766
2015-05-13,7732766
2015-05-14,7732766
2015-05-15,7732766
2015-05-16,7732766
2015-05-17,7457485
2015-05-18,7457485
2015-05-19,7457485
2015-05-20,7457485
2015-05-21,7457485
2015-05-22,7457485
2015-05-23,7457485
2015-05-24,7094642
2015-05-25,7094642
2015-05-26,7094642
2015-05-27,7094642
2015-05-28,7094642
2015-05-29,7094642
2015-05-30,6755308
2015-05-31,6755308
2015-06-01,6755308
2015-06-02,6755308
2015-06-03,6755308
2015-06-04,6755308
2015-06-05,6427588
2015-06-06,6427588
2015-06-07,6427588
2015-06-08,6427588
2015-06-09,6427588
2015-06-10,6109331
2015-06-11,6109331
2015-06-12,6109331
2015-06-13,6109331
2015-06-14,6109331
2015-06-15,6109331
2015-06-16,5803864
2015-06-17,5803864
2015-06-18,5803864
2015-06-19,5803864
2015-06-20,5803864
2015-06-21,5564611
2015-06-22,5564611
2015-06-23,5564611
2015-06-24,5316831
2015-06-25,5316831
2015-06-26,5316831
2015-06-27,5316831
2015-06-28,5060385
2015-06-29,5060385
2015-06-30,5060385
2015-07-01,5060385
2015-07-02,5060385
2015-07-03,4809666
2015-07-04,4809666
2015-07-05,4809666
2015-07-06,4809666
2015-07-07,4651906
2015-07-08,4651906
2015-07-09,4651906
2015-07-10,4651906
2015-07-11,4842937
2015-07-12,4842937
2015-07-13,4842937
2015-07-14,4842937
2015-07-15,5040443
2015-07-16,5040443
2015-07-17,5040443
2015-07-18,5255027
2015-07-19,5255027
2015-07-20,5255027
2015-07-21,5255027
2015-07-22,5476161
2015-07-23,5476161
2015-07-24,5476161
2015-07-25,5476161
2015-07-26,5711028
2015-07-27,5711028
2015-07-28,5711028
2015-07-29,5956148
2015-07-30,5956148
2015-07-31,5956148
2015-08-01,5956148
2015-08-02,6219852
2015-08-03,6219852
2015-08-04,6219852
2015-08-05,6487602
2015-08-06,6487602
