date_obj,Gilded%20magic%20wardrobe%20(flatpack) price
2015-03-05,650
2015-03-06,650
2015-03-07,650
2015-03-08,650
2015-03-09,650
2015-03-10,650
2015-03-11,650
2015-03-12,650
2015-03-13,650
2015-03-14,650
2015-03-15,650
2015-03-16,650
2015-03-17,650
2015-03-18,650
2015-03-19,650
2015-03-20,650
2015-03-21,650
2015-03-22,650
2015-03-23,650
2015-03-24,650
2015-03-25,650
2015-03-26,650
2015-03-27,650
2015-03-28,650
2015-03-29,650
2015-03-30,650
2015-03-31,650
2015-04-01,650
2015-04-02,650
2015-04-03,650
2015-04-04,650
2015-04-05,650
2015-04-06,650
2015-04-07,650
2015-04-08,650
2015-04-09,650
2015-04-10,650
2015-04-11,650
2015-04-12,650
2015-04-13,650
2015-04-14,650
2015-04-15,650
2015-04-16,650
2015-04-17,650
2015-04-18,650
2015-04-19,650
2015-04-20,650
2015-04-21,650
2015-04-22,650
2015-04-23,650
2015-04-24,650
2015-04-25,650
2015-04-26,650
2015-04-27,650
2015-04-28,650
2015-04-29,650
2015-04-30,650
2015-05-01,650
2015-05-02,650
2015-05-03,650
2015-05-04,650
2015-05-05,650
2015-05-06,650
2015-05-07,650
2015-05-08,650
2015-05-09,650
2015-05-10,650
2015-05-11,650
2015-05-12,650
2015-05-13,650
2015-05-14,650
2015-05-15,650
2015-05-16,650
2015-05-17,650
2015-05-18,650
2015-05-19,650
2015-05-20,650
2015-05-21,650
2015-05-22,650
2015-05-23,650
2015-05-24,650
2015-05-25,650
2015-05-26,650
2015-05-27,650
2015-05-28,650
2015-05-29,650
2015-05-30,650
2015-05-31,650
2015-06-01,650
2015-06-02,650
2015-06-03,650
2015-06-04,650
2015-06-05,650
2015-06-06,650
2015-06-07,650
2015-06-08,650
2015-06-09,650
2015-06-10,650
2015-06-11,650
2015-06-12,650
2015-06-13,650
2015-06-14,650
2015-06-15,650
2015-06-16,650
2015-06-17,650
2015-06-18,650
2015-06-19,650
2015-06-20,650
2015-06-21,650
2015-06-22,650
2015-06-23,650
2015-06-24,650
2015-06-25,650
2015-06-26,650
2015-06-27,650
2015-06-28,650
2015-06-29,650
2015-06-30,650
2015-07-01,650
2015-07-02,650
2015-07-03,650
2015-07-04,650
2015-07-05,650
2015-07-06,650
2015-07-07,650
2015-07-08,650
2015-07-09,650
2015-07-10,650
2015-07-11,650
2015-07-12,650
2015-07-13,650
2015-07-14,650
2015-07-15,650
2015-07-16,650
2015-07-17,650
2015-07-18,650
2015-07-19,650
2015-07-20,650
2015-07-21,650
2015-07-22,650
2015-07-23,650
2015-07-24,650
2015-07-25,650
2015-07-26,650
2015-07-27,650
2015-07-28,650
2015-07-29,650
2015-07-30,650
2015-07-31,680
2015-08-01,680
2015-08-02,680
2015-08-03,680
2015-08-04,680
2015-08-05,680
2015-08-06,680
2015-08-07,680
2015-08-08,680
2015-08-09,680
2015-08-10,680
2015-08-11,680
2015-08-12,680
2015-08-13,680
2015-08-14,680
2015-08-15,680
2015-08-16,680
2015-08-17,680
2015-08-18,680
2015-08-19,680
2015-08-20,680
2015-08-21,680
2015-08-22,680
2015-08-23,680
2015-08-24,680
2015-08-25,680
2015-08-26,680
2015-08-27,680
2015-08-28,680
2015-08-29,680
2015-08-30,680
2015-08-31,680
2015-09-02,680
2015-09-07,680
2015-09-08,680
2015-09-10,680
2015-09-14,680
2015-09-16,680
2015-09-22,680
2015-09-23,680
2015-09-24,680
2015-09-25,680
2015-09-27,680
2015-09-28,680
2015-09-29,680
2015-09-30,680
2015-10-05,680
2015-10-06,680
2015-10-07,680
2015-10-08,680
2015-10-09,680
2015-10-10,680
2015-10-11,680
2015-10-12,680
2015-10-13,680
2015-10-14,680
2015-10-15,680
2015-10-16,680
2015-10-17,680
2015-10-18,680
2015-10-19,680
2015-10-20,680
2015-10-22,680
2015-10-23,680
2015-10-24,680
2015-10-25,680
2015-10-26,680
2015-10-27,680
2015-10-29,680
2015-10-30,680
2015-10-31,680
2015-11-01,680
2015-11-02,680
2015-11-03,680
2015-11-04,680
2015-11-05,680
2015-11-06,680
2015-11-07,680
2015-11-08,680
2015-11-09,680
2015-11-10,680
2015-11-11,680
2015-11-12,680
2015-11-13,680
2015-11-14,680
2015-11-15,680
2015-11-16,680
2015-11-17,680
2015-11-18,680
2015-11-19,680
2015-11-20,680
2015-11-21,680
2015-11-22,680
2015-11-23,680
2015-11-24,680
2015-11-25,680
2015-11-26,680
2015-11-27,680
2015-11-28,680
2015-11-29,680
2015-11-30,680
2015-12-01,680
2015-12-02,680
2015-12-03,680
2015-12-04,680
2015-12-05,680
2015-12-06,680
2015-12-07,680
2015-12-08,680
2015-12-09,680
2015-12-10,680
2015-12-11,680
2015-12-12,680
2015-12-13,680
2015-12-14,680
2015-12-15,680
2015-12-16,680
2015-12-17,680
2015-12-18,680
2015-12-19,680
2015-12-20,680
2015-12-21,680
2015-12-22,680
2015-12-23,680
2015-12-24,680
2015-12-25,680
2015-12-26,680
2015-12-27,680
2015-12-28,680
2015-12-29,680
2015-12-30,713
2015-12-31,713
2016-01-01,713
2016-01-02,713
2016-01-03,713
2016-01-04,713
2016-01-05,713
2016-01-06,713
2016-01-07,713
2016-01-08,713
2016-01-09,713
2016-01-10,713
2016-01-11,713
2016-01-12,713
2016-01-13,713
2016-01-14,713
2016-01-15,713
2016-01-16,713
2016-01-17,713
2016-01-18,713
2016-01-19,713
2016-01-20,713
2016-01-21,713
2016-01-22,713
2016-01-23,713
2016-01-24,713
2016-01-25,713
2016-01-26,713
2016-01-27,713
2016-01-28,713
2016-01-29,713
2016-01-30,713
2016-01-31,713
2016-02-01,713
2016-02-02,713
2016-02-03,713
2016-02-04,713
2016-02-05,713
2016-02-06,713
2016-02-07,713
2016-02-08,713
2016-02-09,713
2016-02-10,713
2016-02-11,713
2016-02-12,713
2016-02-13,713
2016-02-14,713
2016-02-15,713
2016-02-16,713
2016-02-17,713
2016-02-18,713
2016-02-19,713
2016-02-20,713
2016-02-21,713
2016-02-22,713
2016-02-23,713
2016-02-24,713
2016-02-25,713
2016-02-26,713
2016-02-27,713
2016-02-28,713
2016-02-29,713
2016-03-01,713
2016-03-02,713
2016-03-03,713
2016-03-04,713
2016-03-05,713
2016-03-06,713
2016-03-07,713
2016-03-08,713
2016-03-09,713
2016-03-10,713
2016-03-11,713
2016-03-12,713
2016-03-13,713
2016-03-14,713
2016-03-15,713
2016-03-16,713
2016-03-17,713
2016-03-18,713
2016-03-19,713
2016-03-20,713
2016-03-21,713
2016-03-22,713
2016-03-23,713
2016-03-24,713
2016-03-25,713
2016-03-26,713
2016-03-27,713
2016-03-28,713
2016-03-29,713
2016-03-30,713
2016-03-31,713
2016-04-01,713
2016-04-02,713
2016-04-03,713
2016-04-04,713
2016-04-05,713
2016-04-06,713
2016-04-07,713
2016-04-08,713
2016-04-09,713
2016-04-10,713
2016-04-11,713
2016-04-12,713
2016-04-13,713
2016-04-14,713
2016-04-15,713
2016-04-16,713
2016-04-17,713
2016-04-18,713
2016-04-19,713
2016-04-20,713
2016-04-21,713
2016-04-22,713
2016-04-23,713
2016-04-24,713
2016-04-25,713
2016-04-26,713
2016-04-27,713
2016-04-28,713
2016-04-29,713
2016-04-30,713
2016-05-01,713
2016-05-02,713
2016-05-03,713
2016-05-04,713
2016-05-05,713
2016-05-06,713
2016-05-07,713
2016-05-08,713
2016-05-09,746
2016-05-10,746
2016-05-11,746
2016-05-12,746
2016-05-13,746
2016-05-14,746
2016-05-15,746
2016-05-16,746
2016-05-17,746
2016-05-18,746
2016-05-19,746
2016-05-22,746
2016-05-23,746
2016-05-24,746
2016-05-25,746
2016-05-26,746
2016-05-27,746
2016-05-28,746
2016-05-29,746
2016-05-30,746
2016-05-31,746
2016-06-01,746
2016-06-02,746
2016-06-03,746
2016-06-04,746
2016-06-05,746
2016-06-06,746
2016-06-07,746
2016-06-08,746
2016-06-09,746
2016-06-10,746
2016-06-11,746
2016-06-12,746
2016-06-13,746
2016-06-14,746
2016-06-15,746
2016-06-16,746
2016-06-17,746
2016-06-18,746
2016-06-19,746
2016-06-20,746
2016-06-21,746
2016-06-22,746
2016-06-23,746
2016-06-24,746
2016-06-25,746
2016-06-26,746
2016-06-27,746
2016-06-28,746
2016-06-29,746
2016-06-30,746
2016-07-01,746
2016-07-02,746
2016-07-03,746
2016-07-04,746
2016-07-05,746
2016-07-06,746
2016-07-07,746
2016-07-08,746
2016-07-09,746
2016-07-10,746
2016-07-11,746
2016-07-12,746
2016-07-13,746
2016-07-14,746
2016-07-15,746
2016-07-16,746
2016-07-17,746
2016-07-18,746
2016-07-23,746
2016-07-24,746
2016-07-25,746
2016-07-26,746
2016-07-27,746
2016-07-28,746
2016-07-29,746
2016-07-30,746
2016-07-31,746
2016-08-01,746
2016-08-02,746
2016-08-03,746
2016-08-04,746
2016-08-05,746
2016-08-06,746
2016-08-07,746
2016-08-08,746
2016-08-09,746
2016-08-10,746
2016-08-11,746
2016-08-12,746
2016-08-13,746
2016-08-14,746
2016-08-15,746
2016-08-16,746
2016-08-17,746
2016-08-18,746
2016-08-19,746
2016-08-20,746
2016-08-21,746
2016-08-22,746
2016-08-23,746
2016-08-24,746
2016-08-25,746
2016-08-26,746
2016-08-28,746
2016-08-31,782
2016-09-01,782
2016-09-02,782
2016-09-03,782
