date_obj,Gilded%20med%20helm price
2016-07-06,826408
2016-07-07,859489
2016-07-08,896213
2016-07-09,926576
2016-07-10,926576
2016-07-11,964607
2016-07-12,964607
2016-07-13,964607
2016-07-14,1001108
2016-07-15,1001108
2016-07-16,1001108
2016-07-17,1001108
2016-07-18,1036056
2016-07-23,1036056
2016-07-24,1070242
2016-07-25,1070242
2016-07-26,1070242
2016-07-27,1070242
2016-07-28,1070242
2016-07-29,1070242
2016-07-30,1105241
2016-07-31,1105241
2016-08-01,1105241
2016-08-02,1105241
2016-08-03,1105241
2016-08-04,1105241
2016-08-05,1105241
2016-08-06,1105241
2016-08-07,1097617
2016-08-08,1097617
2016-08-09,1097617
2016-08-10,1097617
2016-08-11,1097617
2016-08-12,1097617
2016-08-13,1097617
2016-08-14,1097617
2016-08-15,1052123
2016-08-16,1052123
2016-08-17,1052123
2016-08-18,1052123
2016-08-19,1052123
2016-08-20,1052123
2016-08-21,1006724
2016-08-22,1006724
2016-08-23,1006724
2016-08-24,1006724
2016-08-25,1006724
2016-08-26,1006724
2016-08-28,957684
2016-08-31,957684
2016-09-01,911554
2016-09-02,911554
2016-09-03,911554
2016-09-04,911554
2016-09-05,911554
2016-09-06,911554
2016-09-07,911554
2016-09-08,868187
2016-09-09,868187
2016-09-10,868187
2016-09-11,868187
2016-09-12,826833
2016-09-13,826833
2016-09-14,826833
2016-09-15,826833
2016-09-16,826833
2016-09-17,826833
2016-09-18,826833
2016-09-19,785491
2016-09-20,785491
2016-09-21,785491
2016-09-22,785491
2016-09-23,785491
2016-09-24,785491
2016-09-25,746260
2016-09-26,746260
2016-09-27,746260
2016-09-28,746260
2016-09-29,746260
2016-09-30,746260
2016-10-01,708947
2016-10-02,708947
2016-10-03,708947
2016-10-04,708947
2016-10-05,708947
2016-10-06,708947
2016-10-07,674695
2016-10-08,674695
2016-10-09,674695
2016-10-10,674695
2016-10-11,674695
2016-10-12,642661
2016-10-13,642661
2016-10-14,642661
2016-10-15,642661
2016-10-16,642661
2016-10-17,642661
2016-10-18,612226
2016-10-19,612226
2016-10-20,612226
2016-10-21,612226
2016-10-22,612226
2016-10-23,612226
2016-10-24,582054
2016-10-25,582054
2016-10-26,582054
2016-10-27,582054
2016-10-28,582054
2016-10-29,553109
2016-10-30,553109
2016-10-31,553109
2016-11-01,553109
2016-11-02,553109
2016-11-03,527271
2016-11-04,527271
2016-11-05,527271
2016-11-06,527271
