date_obj,Gilded%20pickaxe price
2019-04-11,500000
2019-04-11,519634
2019-04-12,542512
2019-04-13,563383
2019-04-14,588005
2019-04-15,55000000
2019-04-16,55000000
2019-04-17,55000000
2019-04-18,55000000
2019-04-19,55000000
2019-04-20,55000000
2019-04-21,55000000
2019-04-22,55000000
2019-04-23,53505986
2019-04-24,53505986
2019-04-25,53505986
2019-04-26,53505986
2019-04-27,50852436
2019-04-28,50852436
2019-04-29,50852436
2019-04-30,48309814
2019-05-01,48309814
2019-05-02,48309814
2019-05-03,45894323
2019-05-04,45894323
2019-05-05,43599606
2019-05-06,43599606
2019-05-07,43599606
2019-05-08,41419625
2019-05-09,41419625
2019-05-10,41419625
2019-05-11,39348643
2019-05-12,39348643
2019-05-13,37381210
2019-05-14,35512149
2019-05-15,35512149
2019-05-16,33736541
2019-05-17,33736541
2019-05-18,32049713
2019-05-19,32049713
2019-05-20,30488671
2019-05-21,30488671
2019-05-22,30488671
2019-05-23,28964237
2019-05-24,28964237
2019-05-25,27559810
2019-05-26,27559810
2019-05-27,27559810
2019-05-28,26181819
2019-05-29,26181819
2019-05-30,24902571
2019-05-31,24902571
2019-06-01,24902571
2019-06-02,23680800
2019-06-03,23680800
2019-06-04,22529615
2019-06-05,22529615
2019-06-06,22529615
2019-06-07,21442119
2019-06-08,21442119
2019-06-09,21442119
2019-06-10,21442119
2019-06-11,20370013
2019-06-12,20370013
2019-06-13,20370013
2019-06-14,19351512
2019-06-15,19351512
2019-06-16,19351512
2019-06-17,18409196
2019-06-18,18409196
2019-06-19,18409196
2019-06-20,17525504
2019-06-21,17525504
2019-06-22,17525504
2019-06-23,16675895
2019-06-24,16675895
2019-06-25,16675895
2019-06-26,16675895
2019-06-27,15842100
2019-06-28,15842100
2019-06-29,15842100
2019-06-30,15842100
2019-07-01,15842100
2019-07-02,15049995
2019-07-03,15049995
2019-07-04,15049995
2019-07-05,14297495
2019-07-06,14297495
2019-07-07,14297495
2019-07-08,14297495
2019-07-09,13582620
2019-07-10,13582620
2019-07-11,13582620
2019-07-12,12915122
2019-07-13,12915122
2019-07-14,12915122
2019-07-15,12717352
2019-07-16,12717352
2019-07-17,12717352
2019-07-18,12717352
2019-07-19,12504700
2019-07-20,12504700
2019-07-21,12504700
2019-07-22,12701442
2019-07-23,12701442
2019-07-24,12701442
2019-07-25,12701442
2019-07-26,12701442
2019-07-27,13101829
2019-07-28,13101829
2019-07-29,13101829
2019-07-30,13101829
2019-07-31,13040558
2019-08-01,13040558
2019-08-02,13040558
2019-08-03,13040558
2019-08-04,12956524
2019-08-05,12956524
2019-08-06,12956524
2019-08-07,13118391
2019-08-08,13118391
2019-08-09,13118391
2019-08-10,13118391
2019-08-11,13118391
2019-08-12,13059678
2019-08-13,13059678
2019-08-14,13059678
2019-08-15,13059678
2019-08-16,12833537
2019-08-17,12833537
2019-08-18,12833537
2019-08-19,12833537
2019-08-20,12412916
2019-08-21,12412916
2019-08-22,12412916
2019-08-23,12412916
2019-08-24,12447430
2019-08-24,12447430
2019-08-25,12447430
2019-08-25,12447430
2019-08-26,12447430
2019-08-26,12447430
2019-08-27,12447430
2019-08-27,12447430
2019-08-28,12720279
2019-08-29,12720279
2019-08-30,12720279
2019-08-31,12720279
2019-09-01,12856299
2019-09-02,12856299
2019-09-03,12856299
2019-09-04,12856299
2019-09-05,13322528
2019-09-06,13322528
2019-09-07,13322528
2019-09-08,13322528
2019-09-09,13322528
2019-09-10,13384560
2019-09-11,13384560
2019-09-12,13384560
2019-09-13,13597771
2019-09-14,13597771
2019-09-15,13597771
2019-09-16,13427263
2019-09-17,13427263
2019-09-18,13427263
2019-09-19,13427263
2019-09-20,13427263
2019-09-21,13205128
2019-09-22,13205128
2019-09-23,13205128
2019-09-24,13205128
2019-09-25,12959386
2019-09-26,12959386
2019-09-27,12959386
2019-09-28,12619990
2019-09-29,12619990
2019-09-30,12619990
2019-10-01,12619990
2019-10-02,12595053
2019-10-03,12595053
2019-10-04,12595053
2019-10-05,12595053
2019-10-06,12472586
2019-10-07,12472586
2019-10-08,12472586
2019-10-09,12472586
2019-10-10,12472586
2019-10-11,12472586
2019-10-12,12405364
2019-10-13,12405364
2019-10-14,12405364
2019-10-15,12309394
2019-10-16,12309394
2019-10-17,12309394
2019-10-18,12309394
2019-10-19,12118549
2019-10-20,12118549
2019-10-21,12118549
2019-10-22,11826609
2019-10-23,11826609
2019-10-24,11826609
2019-10-25,11698005
2019-10-26,11698005
2019-10-27,11698005
2019-10-28,11597991
2019-10-29,11597991
2019-10-30,11597991
2019-10-31,11597991
2019-11-01,11562442
2019-11-02,11562442
2019-11-03,11562442
2019-11-04,11598822
2019-11-05,11598822
2019-11-06,11598822
2019-11-07,11598822
2019-11-08,11444934
2019-11-09,11444934
2019-11-10,11444934
2019-11-11,11336163
2019-11-12,11336163
2019-11-13,11336163
2019-11-14,11336163
2019-11-15,11260545
2019-11-16,11260545
2019-11-17,11260545
2019-11-18,10997921
2019-11-19,10997921
2019-11-20,10997921
2019-11-21,10997921
2019-11-22,10536797
2019-11-23,10536797
2019-11-24,10536797
2019-11-25,10529142
2019-11-26,10529142
2019-11-27,10529142
2019-11-28,10455186
2019-11-29,10455186
2019-11-30,10455186
2019-12-01,10455186
2019-12-02,10216243
2019-12-03,10216243
2019-12-04,10216243
2019-12-05,10216243
2019-12-06,10079188
2019-12-07,10079188
2019-12-08,10079188
2019-12-09,10079188
2019-12-10,9919422
