date_obj,Goblin%20mask price
2015-03-26,67383
2015-03-27,67383
2015-03-28,66568
2015-03-29,66568
2015-03-30,64677
2015-03-31,64677
2015-04-01,62964
2015-04-02,62964
2015-04-03,61906
2015-04-04,61906
2015-04-05,58820
2015-04-06,58820
2015-04-07,55879
2015-04-08,55879
2015-04-09,53272
2015-04-10,53272
2015-04-11,50642
2015-04-12,50642
2015-04-13,48870
2015-04-14,48870
2015-04-15,48535
2015-04-16,48535
2015-04-17,47603
2015-04-18,47603
2015-04-19,47579
2015-04-20,47579
2015-04-21,47984
2015-04-22,47984
2015-04-23,48664
2015-04-24,48664
2015-04-25,48664
2015-04-26,48781
2015-04-27,48781
2015-04-28,48523
2015-04-29,48523
2015-04-30,47726
2015-05-01,47726
2015-05-02,45751
2015-05-03,45751
2015-05-04,44024
2015-05-05,44024
2015-05-06,42755
2015-05-07,42755
2015-05-08,42777
2015-05-09,42777
2015-05-10,41537
2015-05-11,41537
2015-05-12,41922
2015-05-13,41922
2015-05-14,41954
2015-05-15,41954
2015-05-16,41954
2015-05-17,39970
2015-05-18,39970
2015-05-19,38350
2015-05-20,38350
2015-05-21,38350
2015-05-22,38058
2015-05-23,38058
2015-05-24,37301
2015-05-25,37301
2015-05-26,36870
2015-05-27,36870
2015-05-28,36870
2015-05-29,35874
2015-05-30,35803
2015-05-31,35803
2015-06-01,35543
2015-06-02,35543
2015-06-03,34631
2015-06-04,34631
2015-06-05,34400
2015-06-06,34400
2015-06-07,34018
2015-06-08,34018
2015-06-09,34018
2015-06-10,33449
2015-06-11,33449
2015-06-12,33449
2015-06-13,33704
2015-06-14,33704
2015-06-15,33852
2015-06-16,33852
2015-06-17,34257
2015-06-18,34257
2015-06-19,34595
2015-06-20,34595
2015-06-21,35385
2015-06-22,35385
2015-06-23,35981
2015-06-24,35981
2015-06-25,36667
2015-06-26,36667
2015-06-27,37504
2015-06-28,37504
2015-06-29,38076
2015-06-30,38076
2015-07-01,38512
2015-07-02,38512
2015-07-03,39430
2015-07-04,39430
2015-07-05,40782
2015-07-06,40782
2015-07-07,42666
2015-07-08,42666
2015-07-09,42666
2015-07-10,44648
2015-07-11,44648
2015-07-12,44648
2015-07-13,45935
2015-07-14,45935
2015-07-15,46405
2015-07-16,46405
2015-07-17,46180
2015-07-18,46180
2015-07-19,46141
2015-07-20,46141
2015-07-21,47835
2015-07-22,47835
2015-07-23,49527
2015-07-24,49527
2015-07-25,50676
2015-07-26,50676
2015-07-27,51998
2015-07-28,51998
2015-07-29,52950
2015-07-30,52950
2015-07-31,52950
2015-08-01,55222
2015-08-02,55222
2015-08-03,55913
2015-08-04,55913
2015-08-05,57013
2015-08-06,57013
2015-08-07,57013
2015-08-08,57760
2015-08-09,57760
2015-08-10,60166
2015-08-11,60166
2015-08-12,60166
2015-08-13,59997
2015-08-14,59997
2015-08-15,61816
2015-08-16,61816
2015-08-17,64253
2015-08-18,64253
2015-08-19,64253
2015-08-20,64906
2015-08-21,64906
2015-08-22,65428
2015-08-23,65428
2015-08-24,65385
2015-08-25,65385
2015-08-26,65385
2015-08-27,64290
2015-08-28,64290
2015-08-29,65017
2015-08-30,65017
2015-08-31,65017
2015-09-01,63967
2015-09-02,63967
2015-09-03,63967
2015-09-04,63371
2015-09-05,63371
2015-09-06,63371
2015-09-07,63866
2015-09-08,63866
2015-09-09,64379
2015-09-10,64379
2015-09-11,63620
2015-09-12,63620
2015-09-13,63295
2015-09-14,63295
2015-09-15,64744
2015-09-16,64744
2015-09-17,64744
2015-09-18,64361
2015-09-19,64361
2015-09-20,64361
2015-09-21,63726
2015-09-22,63726
2015-09-23,65254
2015-09-24,65254
2015-09-25,65254
2015-09-27,67269
2015-09-28,67269
2015-09-29,70170
2015-09-30,70170
2015-10-05,73509
2015-10-06,73509
2015-10-07,72564
2015-10-08,72564
2015-10-09,72564
2015-10-10,71782
2015-10-11,71782
2015-10-12,69529
2015-10-13,69529
2015-10-14,69529
2015-10-15,67610
2015-10-16,67610
2015-10-17,67610
2015-10-18,66588
2015-10-19,66588
2015-10-20,65809
2015-10-22,65809
2015-10-23,63969
2015-10-24,63969
2015-10-25,62242
2015-10-26,62242
2015-10-27,62242
2015-10-29,62125
2015-10-30,62125
2015-10-31,61962
2015-11-01,61962
2015-11-02,61962
2015-11-03,61962
2015-11-04,60853
2015-11-05,60853
2015-11-06,60853
2015-11-07,60480
2015-11-08,60480
2015-11-09,60480
2015-11-10,60480
2015-11-11,61039
2015-11-12,61039
