date_obj,Graahk%20top price
2015-03-26,64835
2015-03-27,64835
2015-03-28,64835
2015-03-29,64835
2015-03-30,64835
2015-03-31,64835
2015-04-01,64835
2015-04-02,64835
2015-04-03,64835
2015-04-04,64835
2015-04-05,64835
2015-04-06,64835
2015-04-07,61672
2015-04-08,61672
2015-04-09,61672
2015-04-10,61672
2015-04-11,61672
2015-04-12,61672
2015-04-13,61672
2015-04-14,61672
2015-04-15,61672
2015-04-16,61672
2015-04-17,61672
2015-04-18,61672
2015-04-19,61672
2015-04-20,61672
2015-04-21,61672
2015-04-22,61672
2015-04-23,61672
2015-04-24,61672
2015-04-25,61672
2015-04-26,61672
2015-04-27,61672
2015-04-28,61672
2015-04-29,61672
2015-04-30,61672
2015-05-01,58615
2015-05-02,58615
2015-05-03,58615
2015-05-04,58615
2015-05-05,58615
2015-05-06,58615
2015-05-07,58615
2015-05-08,58615
2015-05-09,58615
2015-05-10,58615
2015-05-11,58615
2015-05-12,58615
2015-05-13,58615
2015-05-14,58615
2015-05-15,58615
2015-05-16,58615
2015-05-17,58615
2015-05-18,58615
2015-05-19,58615
2015-05-20,58615
2015-05-21,58615
2015-05-22,58615
2015-05-23,58615
2015-05-24,58615
2015-05-25,58615
2015-05-26,58615
2015-05-27,58615
2015-05-28,55684
2015-05-29,55684
2015-05-30,55684
2015-05-31,55684
2015-06-01,55684
2015-06-02,55684
2015-06-03,55684
2015-06-04,55684
2015-06-05,55684
2015-06-06,55684
2015-06-07,55684
2015-06-08,55684
2015-06-09,55684
2015-06-10,55684
2015-06-11,55684
2015-06-12,55684
2015-06-13,55684
2015-06-14,55684
2015-06-15,55684
2015-06-16,55684
2015-06-17,52976
2015-06-18,52976
2015-06-19,52976
2015-06-20,52976
2015-06-21,52976
2015-06-22,52976
2015-06-23,52976
2015-06-24,52976
2015-06-25,52976
2015-06-26,52976
2015-06-27,52976
2015-06-28,52976
2015-06-29,52976
2015-06-30,52976
2015-07-01,52976
2015-07-02,52976
2015-07-03,52976
2015-07-04,52976
2015-07-05,52976
2015-07-06,52976
2015-07-07,50399
2015-07-08,50399
2015-07-09,50399
2015-07-10,50399
2015-07-11,50399
2015-07-12,50399
2015-07-13,50399
2015-07-14,50399
2015-07-15,50399
2015-07-16,50399
2015-07-17,50399
2015-07-18,50399
2015-07-19,50399
2015-07-20,50399
2015-07-21,50399
2015-07-22,50399
2015-07-23,50399
2015-07-24,50399
2015-07-25,50399
2015-07-26,50399
2015-07-27,50399
2015-07-28,47971
2015-07-29,47971
2015-07-30,47971
2015-07-31,47971
2015-08-01,47971
2015-08-02,47971
2015-08-03,47971
2015-08-04,47971
2015-08-05,47971
2015-08-06,47971
2015-08-07,47971
2015-08-08,47971
2015-08-09,47971
2015-08-10,47971
2015-08-11,47971
2015-08-12,47971
2015-08-13,47971
