date_obj,Granite%20hammer price
2017-10-25,312772
2017-10-26,328411
2017-10-27,344832
2017-10-28,360956
2017-10-29,379004
2017-10-30,397955
2017-10-31,417853
2017-11-01,437474
2017-11-02,459348
2017-11-03,481265
2017-11-04,505329
2017-11-05,529080
2017-11-06,554603
2017-11-07,554603
2017-11-08,582334
2017-11-09,611451
2017-11-10,611451
2017-11-11,642024
2017-11-12,674126
2017-11-13,706437
2017-11-14,706437
2017-11-15,741759
2017-11-16,778847
2017-11-17,815663
2017-11-18,815663
2017-11-19,856447
2017-11-20,898206
2017-11-21,943117
2017-11-22,943117
2017-11-23,971198
2017-11-24,971198
2017-11-25,942790
2017-11-26,905413
2017-11-27,905413
2017-11-28,860308
2017-11-29,818948
2017-11-30,818948
2017-12-01,778035
2017-12-02,778035
2017-12-03,739434
2017-12-04,739434
2017-12-05,704392
2017-12-06,692325
2017-12-07,711465
2017-12-08,711465
2017-12-09,721753
2017-12-10,736582
2017-12-11,744596
2017-12-12,744596
2017-12-13,760355
2017-12-14,760355
2017-12-15,785482
2017-12-16,822774
2017-12-17,860609
2017-12-18,883332
2017-12-19,883332
2017-12-20,861682
2017-12-21,843876
2017-12-22,843876
2017-12-23,835646
2017-12-24,835646
2017-12-25,847747
2017-12-26,862776
2017-12-27,862945
2017-12-28,862945
2017-12-29,880052
2017-12-30,903760
2017-12-31,903760
2018-01-01,880462
2018-01-02,868713
2018-01-03,837242
2018-01-04,803395
2018-01-05,769883
2018-01-06,738096
2018-01-07,717794
2018-01-08,717794
2018-01-09,695634
2018-01-10,695634
2018-01-11,662772
2018-01-12,662111
2018-01-13,674177
2018-01-14,679186
2018-01-15,690290
2018-01-16,699338
2018-01-17,687617
2018-01-18,673627
2018-01-19,673627
2018-01-20,696020
2018-01-21,726114
2018-01-22,761748
2018-01-23,793246
2018-01-25,870894
2018-01-26,913944
2018-01-27,959212
2018-01-28,1006790
2018-01-29,1049450
2018-01-30,1077428
2018-01-31,1104755
2018-02-01,1096626
2018-02-02,1113547
2018-02-03,1113677
2018-02-04,1152597
2018-02-05,1160677
2018-02-06,1154332
2018-02-07,1112925
2018-02-08,1112925
2018-02-09,1057572
2018-02-10,1007846
2018-02-11,964397
2018-02-12,916177
2018-02-13,870978
2018-02-14,831474
2018-02-15,791880
2018-02-16,764084
2018-02-17,745142
2018-02-18,754974
2018-02-19,792154
2018-02-20,829081
2018-02-21,870536
2018-02-22,914063
2018-02-23,948767
2018-02-24,964775
2018-02-25,989533
2018-02-26,1017491
2018-02-27,1028437
2018-02-28,1020995
2018-03-01,993374
2018-03-02,1027123
2018-03-03,1055023
2018-03-04,1055023
2018-03-05,1093053
2018-03-06,1085840
2018-03-07,1088484
2018-03-08,1093181
2018-03-09,1100260
2018-03-10,1098232
2018-03-11,1070666
2018-03-12,1065843
2018-03-13,1039520
2018-03-14,994202
2018-03-15,964847
2018-03-16,939525
2018-03-17,914723
2018-03-18,897451
2018-03-19,897451
2018-03-20,888926
2018-03-21,893678
2018-03-23,916518
2018-03-24,912376
2018-03-25,895536
2018-03-26,896625
2018-03-27,898599
2018-03-28,898599
2018-03-29,890011
2018-03-30,904269
2018-03-31,929683
2018-04-01,932880
2018-04-02,916326
2018-04-03,909429
2018-04-04,898191
2018-04-05,898191
2018-04-06,875006
2018-04-07,875006
2018-04-08,856006
2018-04-09,849266
2018-04-10,836506
2018-04-11,820136
2018-04-12,803998
2018-04-13,794978
2018-04-14,793370
2018-04-15,795954
2018-04-16,795954
2018-04-17,808868
2018-04-18,808868
2018-04-19,818291
2018-04-20,820555
2018-04-21,821813
2018-04-22,811687
2018-04-23,815591
2018-04-24,829180
2018-04-25,849733
2018-04-26,849733
2018-04-27,872314
2018-04-28,883509
2018-04-29,895812
2018-04-30,920603
2018-05-01,964370
2018-05-03,963607
2018-05-04,951534
2018-05-05,936246
2018-05-06,936246
2018-05-07,931506
2018-05-08,917997
2018-05-09,901737
2018-05-10,906514
2018-05-11,945335
2018-05-12,966350
2018-05-13,966350
2018-05-14,958710
2018-05-15,977053
2018-05-16,961337
2018-05-17,955326
2018-05-18,977357
2018-05-19,1022566
