date_obj,Grapes price
2015-03-26,28
2015-03-27,28
2015-03-28,30
2015-03-29,31
2015-03-30,30
2015-03-31,29
2015-04-01,29
2015-04-02,29
2015-04-03,28
2015-04-04,27
2015-04-05,26
2015-04-06,25
2015-04-07,25
2015-04-08,25
2015-04-09,25
2015-04-10,25
2015-04-11,25
2015-04-12,25
2015-04-13,25
2015-04-14,24
2015-04-15,24
2015-04-16,24
2015-04-17,24
2015-04-18,24
2015-04-19,24
2015-04-20,24
2015-04-21,23
2015-04-22,21
2015-04-23,20
2015-04-24,21
2015-04-25,22
2015-04-26,22
2015-04-27,22
2015-04-28,23
2015-04-29,23
2015-04-30,24
2015-05-01,25
2015-05-02,26
2015-05-03,26
2015-05-04,27
2015-05-05,26
2015-05-06,24
2015-05-07,24
2015-05-08,24
2015-05-09,23
2015-05-10,21
2015-05-11,21
2015-05-12,20
2015-05-13,20
2015-05-14,20
2015-05-15,20
2015-05-16,20
2015-05-17,21
2015-05-18,22
2015-05-19,23
2015-05-20,23
2015-05-21,24
2015-05-22,26
2015-05-23,27
2015-05-24,27
2015-05-25,27
2015-05-26,28
2015-05-27,29
2015-05-28,29
2015-05-29,29
2015-05-30,29
2015-05-31,29
2015-06-01,30
2015-06-02,30
2015-06-03,31
2015-06-04,31
2015-06-05,31
2015-06-06,32
2015-06-07,32
2015-06-08,32
2015-06-09,32
2015-06-10,32
2015-06-11,31
2015-06-12,31
2015-06-13,30
2015-06-14,31
2015-06-15,31
2015-06-16,31
2015-06-17,31
2015-06-18,31
2015-06-19,31
2015-06-20,32
2015-06-21,32
2015-06-22,32
2015-06-23,32
2015-06-24,32
2015-06-25,32
2015-06-26,32
2015-06-27,32
2015-06-28,32
2015-06-29,33
2015-06-30,33
2015-07-01,34
2015-07-02,34
2015-07-03,35
2015-07-04,36
2015-07-05,37
2015-07-06,38
2015-07-07,39
2015-07-08,39
2015-07-09,39
2015-07-10,40
2015-07-11,41
2015-07-12,42
2015-07-13,44
2015-07-14,46
2015-07-15,49
2015-07-16,51
2015-07-17,51
2015-07-18,52
2015-07-19,54
2015-07-20,57
2015-07-21,60
2015-07-22,63
2015-07-23,63
2015-07-24,67
2015-07-25,71
2015-07-26,75
2015-07-27,79
2015-07-28,82
2015-07-29,86
2015-07-30,83
2015-07-31,82
2015-08-01,84
2015-08-02,86
2015-08-03,86
2015-08-04,88
2015-08-05,89
2015-08-06,88
2015-08-07,88
2015-08-08,90
2015-08-09,86
2015-08-10,89
2015-08-11,90
2015-08-12,91
2015-08-13,94
2015-08-14,92
2015-08-15,90
2015-08-16,86
2015-08-17,83
2015-08-18,81
2015-08-19,83
2015-08-20,86
2015-08-21,84
2015-08-22,84
2015-08-23,85
2015-08-24,83
2015-08-25,83
2015-08-26,86
2015-08-27,87
2015-08-28,88
2015-08-29,90
2015-08-30,90
2015-08-31,94
2015-09-01,98
2015-09-02,98
2015-09-03,102
2015-09-04,108
2015-09-05,108
2015-09-06,113
2015-09-07,117
2015-09-08,121
2015-09-09,128
2015-09-10,134
2015-09-11,131
2015-09-12,131
