date_obj,Green%20boater price
2015-03-26,26509
2015-03-27,26509
2015-03-28,26509
2015-03-29,25271
2015-03-30,25271
2015-03-31,25271
2015-04-01,25271
2015-04-02,25271
2015-04-03,25271
2015-04-04,25271
2015-04-05,24092
2015-04-06,24092
2015-04-07,24092
2015-04-08,24092
2015-04-09,24092
2015-04-10,24092
2015-04-11,24092
2015-04-12,24092
2015-04-13,22975
2015-04-14,22975
2015-04-15,22975
2015-04-16,22975
2015-04-17,22975
2015-04-18,22975
2015-04-19,22975
2015-04-20,22975
2015-04-21,21904
2015-04-22,21904
2015-04-23,21904
2015-04-24,21904
2015-04-25,21904
2015-04-26,21904
2015-04-27,21904
2015-04-28,21904
2015-04-29,21904
2015-04-30,20868
2015-05-01,20868
2015-05-02,20868
2015-05-03,20868
2015-05-04,20868
2015-05-05,20868
2015-05-06,19895
2015-05-07,19895
2015-05-08,19895
2015-05-09,19895
2015-05-10,19895
2015-05-11,19895
2015-05-12,19895
2015-05-13,19895
2015-05-14,18955
2015-05-15,18955
2015-05-16,18955
2015-05-17,18955
2015-05-18,18955
2015-05-19,18955
2015-05-20,18955
2015-05-21,18955
2015-05-22,18043
2015-05-23,18043
2015-05-24,18043
2015-05-25,18043
2015-05-26,18043
2015-05-27,18043
2015-05-28,17211
2015-05-29,17211
2015-05-30,17211
2015-05-31,17211
2015-06-01,16394
2015-06-02,16394
2015-06-03,16394
2015-06-04,16394
2015-06-05,16394
2015-06-06,15629
2015-06-07,15629
2015-06-08,15629
2015-06-09,15629
2015-06-10,15629
2015-06-11,14893
2015-06-12,14893
2015-06-13,14893
2015-06-14,14893
2015-06-15,14893
2015-06-16,14203
2015-06-17,14203
2015-06-18,14203
2015-06-19,14203
2015-06-20,14203
2015-06-21,13549
2015-06-22,13549
2015-06-23,13549
2015-06-24,13549
2015-06-25,12911
2015-06-26,12911
2015-06-27,12911
2015-06-28,12911
2015-06-29,12911
2015-06-30,12911
2015-07-01,12340
2015-07-02,12340
2015-07-03,12340
2015-07-04,12340
2015-07-05,12340
2015-07-06,12340
2015-07-07,11862
2015-07-08,11862
2015-07-09,11862
2015-07-10,11862
2015-07-11,11862
2015-07-12,11862
2015-07-13,11413
2015-07-14,11413
2015-07-15,11413
2015-07-16,11413
2015-07-17,11413
2015-07-18,11413
2015-07-19,10872
2015-07-20,10872
2015-07-21,10872
2015-07-22,10872
2015-07-23,10872
2015-07-24,10424
2015-07-25,10424
2015-07-26,10424
2015-07-27,10424
2015-07-28,10424
2015-07-29,10424
2015-07-30,10085
2015-07-31,10085
2015-08-01,10085
2015-08-02,10085
2015-08-03,10085
2015-08-04,10085
2015-08-05,9785
2015-08-06,9785
2015-08-07,9785
2015-08-08,9785
2015-08-09,9785
2015-08-10,9320
2015-08-11,9320
2015-08-12,9320
2015-08-13,9320
2015-08-14,9320
2015-08-15,9134
2015-08-16,9134
2015-08-17,9134
2015-08-18,9134
2015-08-19,9134
2015-08-20,8874
2015-08-21,8874
