date_obj,Green%20d'hide%20vambraces price
2015-03-26,1270
2015-03-27,1258
2015-03-28,1247
2015-03-29,1258
2015-03-30,1251
2015-03-31,1260
2015-04-01,1250
2015-04-02,1263
2015-04-03,1279
2015-04-04,1269
2015-04-05,1242
2015-04-06,1251
2015-04-07,1253
2015-04-08,1236
2015-04-09,1242
2015-04-10,1253
2015-04-11,1259
2015-04-12,1247
2015-04-13,1264
2015-04-14,1274
2015-04-15,1264
2015-04-16,1264
2015-04-17,1244
2015-04-18,1246
2015-04-19,1248
2015-04-20,1260
2015-04-21,1254
2015-04-22,1259
2015-04-23,1264
2015-04-24,1253
2015-04-25,1269
2015-04-26,1266
2015-04-27,1264
2015-04-28,1267
2015-04-29,1266
2015-04-30,1269
2015-05-01,1263
2015-05-02,1255
2015-05-03,1236
2015-05-04,1249
2015-05-05,1247
2015-05-06,1253
2015-05-07,1243
2015-05-08,1246
2015-05-09,1249
2015-05-10,1243
2015-05-11,1224
2015-05-12,1253
2015-05-13,1256
2015-05-14,1248
2015-05-15,1243
2015-05-16,1254
2015-05-17,1254
2015-05-18,1254
2015-05-19,1253
2015-05-20,1252
2015-05-21,1251
2015-05-22,1261
2015-05-23,1261
2015-05-24,1257
2015-05-25,1265
2015-05-26,1243
2015-05-27,1252
2015-05-28,1257
2015-05-29,1254
2015-05-30,1258
2015-05-31,1256
2015-06-01,1266
2015-06-02,1271
2015-06-03,1272
2015-06-04,1265
2015-06-05,1282
2015-06-06,1279
2015-06-07,1289
2015-06-08,1282
2015-06-09,1288
2015-06-10,1300
2015-06-11,1302
2015-06-12,1305
2015-06-13,1305
2015-06-14,1302
2015-06-15,1302
2015-06-16,1307
2015-06-17,1305
2015-06-18,1295
2015-06-19,1313
2015-06-20,1303
2015-06-21,1300
2015-06-22,1305
2015-06-23,1284
2015-06-24,1290
2015-06-25,1283
2015-06-26,1307
2015-06-27,1293
2015-06-28,1302
2015-06-29,1299
2015-06-30,1299
2015-07-01,1309
2015-07-02,1312
2015-07-03,1312
2015-07-04,1296
2015-07-05,1283
2015-07-06,1293
2015-07-07,1290
2015-07-08,1292
2015-07-09,1290
2015-07-10,1298
2015-07-11,1308
2015-07-12,1300
2015-07-13,1282
2015-07-14,1277
2015-07-15,1284
2015-07-16,1278
2015-07-17,1278
2015-07-18,1279
2015-07-19,1289
2015-07-20,1269
2015-07-21,1269
2015-07-22,1282
2015-07-23,1277
2015-07-24,1276
2015-07-25,1271
2015-07-26,1264
2015-07-27,1270
2015-07-28,1274
2015-07-29,1270
2015-07-30,1286
2015-07-31,1283
2015-08-01,1281
2015-08-02,1288
2015-08-03,1302
2015-08-04,1304
2015-08-05,1295
2015-08-06,1307
2015-08-07,1313
2015-08-08,1302
2015-08-09,1299
2015-08-10,1310
2015-08-11,1311
2015-08-12,1324
2015-08-13,1309
2015-08-14,1286
2015-08-15,1303
2015-08-16,1275
2015-08-17,1276
2015-08-18,1274
2015-08-19,1281
2015-08-20,1288
2015-08-21,1294
2015-08-22,1289
2015-08-23,1281
2015-08-24,1281
2015-08-25,1280
2015-08-26,1291
2015-08-27,1297
2015-08-28,1306
2015-08-29,1281
2015-08-30,1265
2015-08-31,1265
2015-09-01,1273
2015-09-02,1282
2015-09-03,1296
2015-09-04,1289
2015-09-05,1301
2015-09-06,1300
2015-09-07,1294
2015-09-08,1287
2015-09-09,1298
2015-09-10,1291
2015-09-11,1297
2015-09-12,1296
2015-09-13,1294
2015-09-14,1307
2015-09-15,1302
2015-09-16,1285
2015-09-17,1293
2015-09-18,1295
2015-09-19,1297
2015-09-20,1309
2015-09-21,1316
2015-09-22,1318
2015-09-23,1332
2015-09-24,1321
2015-09-25,1337
2015-09-27,1317
2015-09-28,1326
2015-09-29,1328
2015-09-30,1332
2015-10-05,1323
2015-10-06,1302
2015-10-07,1325
2015-10-08,1314
2015-10-09,1324
2015-10-10,1310
2015-10-11,1306
2015-10-12,1315
2015-10-13,1308
2015-10-14,1311
2015-10-15,1314
2015-10-16,1299
2015-10-17,1284
2015-10-18,1280
2015-10-19,1301
2015-10-20,1314
2015-10-22,1294
2015-10-23,1307
2015-10-24,1309
2015-10-25,1306
2015-10-26,1311
2015-10-27,1311
2015-10-29,1309
2015-10-30,1313
2015-10-31,1329
2015-11-01,1337
2015-11-02,1337
2015-11-03,1338
2015-11-04,1329
2015-11-05,1345
2015-11-06,1346
2015-11-07,1357
2015-11-08,1345
2015-11-09,1346
2015-11-10,1364
2015-11-11,1364
2015-11-12,1336
2015-11-13,1355
2015-11-14,1362
