date_obj,Green%20dragonhide price
2015-03-26,1557
2015-03-27,1573
2015-03-28,1586
2015-03-29,1610
2015-03-30,1619
2015-03-31,1618
2015-04-01,1610
2015-04-02,1609
2015-04-03,1590
2015-04-04,1596
2015-04-05,1587
2015-04-06,1601
2015-04-07,1578
2015-04-08,1576
2015-04-09,1579
2015-04-10,1574
2015-04-11,1568
2015-04-12,1566
2015-04-13,1561
2015-04-14,1555
2015-04-15,1538
2015-04-16,1520
2015-04-17,1527
2015-04-18,1515
2015-04-19,1511
2015-04-20,1520
2015-04-21,1521
2015-04-22,1525
2015-04-23,1535
2015-04-24,1557
2015-04-25,1588
2015-04-26,1609
2015-04-27,1607
2015-04-28,1622
2015-04-29,1626
2015-04-30,1611
2015-05-01,1566
2015-05-02,1563
2015-05-03,1565
2015-05-04,1560
2015-05-05,1542
2015-05-06,1523
2015-05-07,1519
2015-05-08,1557
2015-05-09,1576
2015-05-10,1588
2015-05-11,1597
2015-05-12,1608
2015-05-13,1614
2015-05-14,1598
2015-05-15,1562
2015-05-16,1542
2015-05-17,1515
2015-05-18,1524
2015-05-19,1531
2015-05-20,1541
2015-05-21,1559
2015-05-22,1594
2015-05-23,1588
2015-05-24,1548
2015-05-25,1530
2015-05-26,1530
2015-05-27,1546
2015-05-28,1549
2015-05-29,1524
2015-05-30,1508
2015-05-31,1491
2015-06-01,1505
2015-06-02,1501
2015-06-03,1480
2015-06-04,1499
2015-06-05,1510
2015-06-06,1514
2015-06-07,1509
2015-06-08,1510
2015-06-09,1511
2015-06-10,1511
2015-06-11,1522
2015-06-12,1510
2015-06-13,1509
2015-06-14,1513
2015-06-15,1502
2015-06-16,1509
2015-06-17,1494
2015-06-18,1495
2015-06-19,1493
2015-06-20,1496
2015-06-21,1503
2015-06-22,1490
2015-06-23,1487
2015-06-24,1468
2015-06-25,1488
2015-06-26,1502
2015-06-27,1497
2015-06-28,1492
2015-06-29,1475
2015-06-30,1474
2015-07-01,1485
2015-07-02,1510
2015-07-03,1502
2015-07-04,1488
2015-07-05,1480
2015-07-06,1468
2015-07-07,1467
2015-07-08,1475
2015-07-09,1473
2015-07-10,1448
2015-07-11,1428
2015-07-12,1425
2015-07-13,1434
2015-07-14,1445
2015-07-15,1465
2015-07-16,1473
2015-07-17,1460
2015-07-18,1433
2015-07-19,1415
2015-07-20,1401
2015-07-21,1413
2015-07-22,1437
2015-07-23,1446
2015-07-24,1448
2015-07-25,1442
2015-07-26,1450
2015-07-27,1453
2015-07-28,1459
2015-07-29,1459
2015-07-30,1470
2015-07-31,1496
2015-08-01,1492
2015-08-02,1483
2015-08-03,1496
2015-08-04,1538
2015-08-05,1537
2015-08-06,1551
2015-08-07,1568
2015-08-08,1574
2015-08-09,1585
2015-08-10,1566
2015-08-11,1536
2015-08-12,1532
2015-08-13,1513
2015-08-14,1501
2015-08-15,1506
2015-08-16,1484
2015-08-17,1498
2015-08-18,1551
2015-08-19,1580
2015-08-20,1611
2015-08-21,1651
2015-08-22,1627
2015-08-23,1626
2015-08-24,1592
2015-08-25,1595
2015-08-26,1571
2015-08-27,1553
2015-08-28,1506
2015-08-29,1476
2015-08-30,1464
2015-08-31,1495
2015-09-01,1517
2015-09-02,1535
2015-09-03,1562
2015-09-04,1560
2015-09-05,1535
2015-09-06,1545
2015-09-07,1545
2015-09-08,1533
2015-09-09,1525
2015-09-10,1533
2015-09-11,1530
2015-09-12,1544
2015-09-13,1543
2015-09-14,1552
2015-09-15,1541
2015-09-16,1576
2015-09-17,1572
2015-09-18,1573
2015-09-19,1560
2015-09-20,1535
2015-09-21,1541
2015-09-22,1559
2015-09-23,1616
2015-09-24,1674
2015-09-25,1696
2015-09-27,1640
2015-09-28,1612
2015-09-29,1620
2015-09-30,1605
2015-10-05,1578
2015-10-06,1581
2015-10-07,1605
2015-10-08,1614
2015-10-09,1585
2015-10-10,1540
2015-10-11,1505
2015-10-12,1550
2015-10-13,1567
2015-10-14,1580
2015-10-15,1577
2015-10-16,1572
2015-10-17,1589
2015-10-18,1574
2015-10-19,1574
2015-10-20,1583
2015-10-22,1607
2015-10-23,1580
2015-10-24,1562
2015-10-25,1541
2015-10-26,1537
2015-10-27,1533
2015-10-29,1564
2015-10-30,1565
2015-10-31,1521
2015-11-01,1507
2015-11-02,1524
2015-11-03,1534
2015-11-04,1549
2015-11-05,1555
2015-11-06,1567
2015-11-07,1548
2015-11-08,1531
2015-11-09,1553
2015-11-10,1583
2015-11-11,1614
2015-11-12,1629
2015-11-13,1639
2015-11-14,1619
2015-11-15,1583
2015-11-16,1566
2015-11-17,1573
2015-11-18,1594
2015-11-19,1615
2015-11-20,1623
2015-11-21,1650
2015-11-22,1632
2015-11-23,1638
2015-11-24,1680
2015-11-25,1702
2015-11-26,1739
2015-11-27,1705
2015-11-28,1654
2015-11-29,1597
2015-11-30,1630
2015-12-01,1698
2015-12-02,1706
2015-12-03,1702
2015-12-04,1684
2015-12-05,1673
2015-12-06,1666
2015-12-07,1695
2015-12-08,1731
2015-12-09,1755
2015-12-10,1750
2015-12-11,1720
2015-12-12,1660
2015-12-13,1632
2015-12-14,1648
2015-12-15,1677
2015-12-16,1683
2015-12-17,1699
2015-12-18,1653
2015-12-19,1626
2015-12-20,1609
2015-12-21,1629
2015-12-22,1662
2015-12-23,1650
2015-12-24,1639
2015-12-25,1636
2015-12-26,1599
2015-12-27,1547
2015-12-28,1537
2015-12-29,1542
2015-12-30,1589
2015-12-31,1586
2016-01-01,1585
2016-01-02,1602
2016-01-03,1599
2016-01-04,1614
2016-01-05,1675
2016-01-06,1676
2016-01-07,1686
2016-01-08,1690
2016-01-09,1679
2016-01-10,1663
2016-01-11,1640
2016-01-12,1664
