date_obj,Green%20dragonhide%20set price
2015-03-26,8264
2015-03-27,8264
2015-03-28,8158
2015-03-29,8158
2015-03-30,8255
2015-03-31,8255
2015-04-01,8175
2015-04-02,8175
2015-04-03,8319
2015-04-04,8319
2015-04-05,8401
2015-04-06,8401
2015-04-07,8498
2015-04-08,8498
2015-04-09,8523
2015-04-10,8523
2015-04-11,8431
2015-04-12,8431
2015-04-13,8371
2015-04-14,8371
2015-04-15,8249
2015-04-16,8249
2015-04-17,8310
2015-04-18,8310
2015-04-19,8301
2015-04-20,8301
2015-04-21,8270
2015-04-22,8270
2015-04-23,8246
2015-04-24,8246
2015-04-25,8295
2015-04-26,8295
2015-04-27,8208
2015-04-28,8208
2015-04-29,8208
2015-04-30,8089
2015-05-01,8089
2015-05-02,8207
2015-05-03,8207
2015-05-04,8315
2015-05-05,8315
2015-05-06,8355
2015-05-07,8355
2015-05-08,8384
2015-05-09,8384
2015-05-10,8431
2015-05-11,8431
2015-05-12,8432
2015-05-13,8432
2015-05-14,8408
2015-05-15,8408
2015-05-16,8408
2015-05-17,8348
2015-05-18,8348
2015-05-19,8348
2015-05-20,8040
2015-05-21,8040
2015-05-22,8332
2015-05-23,8332
2015-05-24,8419
2015-05-25,8419
2015-05-26,8466
2015-05-27,8466
2015-05-28,8621
2015-05-29,8621
2015-05-30,8603
2015-05-31,8603
2015-06-01,8475
2015-06-02,8475
2015-06-03,8357
2015-06-04,8357
2015-06-05,8158
2015-06-06,8158
2015-06-07,8141
2015-06-08,8141
2015-06-09,8125
2015-06-10,8125
2015-06-11,7879
2015-06-12,7879
2015-06-13,7814
2015-06-14,7814
2015-06-15,8147
2015-06-16,8147
2015-06-17,8347
2015-06-18,8347
2015-06-19,8513
2015-06-20,8513
2015-06-21,8638
2015-06-22,8638
2015-06-23,8901
2015-06-24,8722
2015-06-25,8722
2015-06-26,8780
2015-06-27,8780
2015-06-28,8863
2015-06-29,8863
2015-06-30,8819
2015-07-01,8819
2015-07-02,8818
2015-07-03,8948
2015-07-04,8948
2015-07-05,8921
2015-07-06,8921
2015-07-07,8815
2015-07-08,8815
2015-07-09,8668
2015-07-10,8658
2015-07-11,8658
2015-07-12,8829
2015-07-13,8829
