date_obj,Green%20elegant%20blouse price
2015-03-26,31759
2015-03-27,31759
2015-03-28,31759
2015-03-29,30279
2015-03-30,30279
2015-03-31,28900
2015-04-01,28900
2015-04-02,28900
2015-04-03,27571
2015-04-04,27571
2015-04-05,26312
2015-04-06,26312
2015-04-07,25081
2015-04-08,25081
2015-04-09,25081
2015-04-10,25081
2015-04-11,23888
2015-04-12,23888
2015-04-13,23888
2015-04-14,22795
2015-04-15,22795
2015-04-16,22795
2015-04-17,21700
2015-04-18,21700
2015-04-19,21700
2015-04-20,20707
2015-04-21,20707
2015-04-22,20707
2015-04-23,19794
2015-04-24,19794
2015-04-25,19794
2015-04-26,19794
2015-04-27,18858
2015-04-28,18858
2015-04-29,18858
2015-04-30,18011
2015-05-01,18011
2015-05-02,18011
2015-05-03,18011
2015-05-04,17186
2015-05-05,17186
2015-05-06,17186
2015-05-07,16404
2015-05-08,16404
2015-05-09,16404
2015-05-10,15637
2015-05-11,15637
2015-05-12,15637
2015-05-13,15637
2015-05-14,14863
2015-05-15,14863
2015-05-16,14863
2015-05-17,14863
2015-05-18,14130
2015-05-19,14130
2015-05-20,14130
2015-05-21,14130
2015-05-22,14130
2015-05-23,13511
2015-05-24,13511
2015-05-25,13511
2015-05-26,13511
2015-05-27,13140
2015-05-28,13140
2015-05-29,13140
2015-05-30,13140
2015-05-31,12822
2015-06-01,12822
2015-06-02,12822
2015-06-03,12822
2015-06-04,12822
2015-06-05,12770
2015-06-06,12770
2015-06-07,12770
2015-06-08,12770
2015-06-09,12770
2015-06-10,12696
2015-06-11,12696
2015-06-12,12696
2015-06-13,12696
2015-06-14,12717
2015-06-15,12717
2015-06-16,12717
2015-06-17,12717
2015-06-18,12717
2015-06-19,12717
2015-06-20,12543
2015-06-21,12543
2015-06-22,12543
2015-06-23,12543
2015-06-24,12543
2015-06-25,12543
2015-06-26,12344
2015-06-27,12344
2015-06-28,12344
2015-06-29,12344
2015-06-30,12312
2015-07-01,12312
2015-07-02,12312
2015-07-03,12312
2015-07-04,12518
2015-07-05,12518
2015-07-06,12518
2015-07-07,12518
2015-07-08,12736
2015-07-09,12736
2015-07-10,12736
2015-07-11,12736
2015-07-12,12736
2015-07-13,12257
2015-07-14,12257
2015-07-15,12257
2015-07-16,12257
2015-07-17,11951
2015-07-18,11951
2015-07-19,11951
2015-07-20,11951
2015-07-21,11934
2015-07-22,11934
2015-07-23,11934
2015-07-24,12339
2015-07-25,12339
2015-07-26,12339
2015-07-27,12339
2015-07-28,12863
2015-07-29,12863
2015-07-30,12863
2015-07-31,12863
2015-08-01,12863
2015-08-02,13119
2015-08-03,13119
2015-08-04,13119
2015-08-05,13119
2015-08-06,13103
2015-08-07,13103
2015-08-08,13103
2015-08-09,13103
2015-08-10,13730
2015-08-11,13730
2015-08-12,13730
2015-08-13,13730
2015-08-14,14026
2015-08-15,14026
2015-08-16,14026
2015-08-17,14026
2015-08-18,14161
2015-08-19,14161
2015-08-20,14161
2015-08-21,14161
2015-08-22,13800
2015-08-23,13800
2015-08-24,13800
2015-08-25,13800
2015-08-26,13800
2015-08-27,13564
2015-08-28,13564
2015-08-29,13564
2015-08-30,13564
2015-08-31,13525
2015-09-01,13525
2015-09-02,13525
2015-09-03,13525
2015-09-04,13202
