date_obj,Grey%20toy%20horsey price
2015-03-04,150
2015-03-05,150
2015-03-06,150
2015-03-07,150
2015-03-08,150
2015-03-09,150
2015-03-10,150
2015-03-11,150
2015-03-12,150
2015-03-13,150
2015-03-14,150
2015-03-15,150
2015-03-16,150
2015-03-17,150
2015-03-18,150
2015-03-19,150
2015-03-20,150
2015-03-21,150
2015-03-22,150
2015-03-23,150
2015-03-24,150
2015-03-25,150
2015-03-26,150
2015-03-27,150
2015-03-28,150
2015-03-29,150
2015-03-30,150
2015-03-31,150
2015-04-01,150
2015-04-02,150
2015-04-03,150
2015-04-04,150
2015-04-05,150
2015-04-06,150
2015-04-07,150
2015-04-08,150
2015-04-09,150
2015-04-10,150
2015-04-11,150
2015-04-12,150
2015-04-13,150
2015-04-14,150
2015-04-15,150
2015-04-16,150
2015-04-17,150
2015-04-18,150
2015-04-19,156
2015-04-20,156
2015-04-21,156
2015-04-22,156
2015-04-23,156
2015-04-24,156
2015-04-25,156
2015-04-26,156
2015-04-27,156
2015-04-28,156
2015-04-29,156
2015-04-30,156
2015-05-01,156
2015-05-02,156
2015-05-03,156
2015-05-04,156
2015-05-05,156
2015-05-06,156
2015-05-07,156
2015-05-08,156
2015-05-09,156
2015-05-10,156
2015-05-11,156
2015-05-12,156
2015-05-13,156
2015-05-14,156
2015-05-15,156
2015-05-16,156
2015-05-17,156
2015-05-18,156
2015-05-19,156
2015-05-20,156
2015-05-21,156
2015-05-22,156
2015-05-23,156
2015-05-24,156
2015-05-25,156
2015-05-26,156
2015-05-27,156
2015-05-28,155
2015-05-29,155
2015-05-30,155
2015-05-31,155
2015-06-01,155
2015-06-02,155
2015-06-03,155
2015-06-04,155
2015-06-05,155
2015-06-06,155
2015-06-07,155
2015-06-08,155
2015-06-09,155
2015-06-10,155
2015-06-11,155
2015-06-12,155
2015-06-13,155
2015-06-14,155
2015-06-15,155
2015-06-16,155
2015-06-17,155
2015-06-18,155
2015-06-19,155
2015-06-20,155
2015-06-21,155
2015-06-22,155
2015-06-23,155
2015-06-24,155
2015-06-25,155
2015-06-26,155
2015-06-27,160
2015-06-28,160
2015-06-29,160
2015-06-30,160
2015-07-01,160
2015-07-02,160
2015-07-03,160
2015-07-04,160
2015-07-05,160
2015-07-06,160
2015-07-07,160
2015-07-08,160
2015-07-09,160
2015-07-10,160
2015-07-11,160
2015-07-12,160
2015-07-13,160
2015-07-14,160
2015-07-15,160
2015-07-16,160
2015-07-17,160
2015-07-18,160
2015-07-19,160
2015-07-20,160
2015-07-21,160
2015-07-22,160
2015-07-23,160
2015-07-24,160
2015-07-25,160
2015-07-26,160
2015-07-27,160
2015-07-28,162
2015-07-29,162
2015-07-30,162
2015-07-31,162
2015-08-01,162
2015-08-02,162
2015-08-03,162
2015-08-04,162
2015-08-05,162
2015-08-06,162
2015-08-07,162
2015-08-08,162
2015-08-09,162
2015-08-10,162
2015-08-11,162
2015-08-12,162
2015-08-13,162
2015-08-14,162
2015-08-15,162
2015-08-16,162
2015-08-17,162
2015-08-18,162
2015-08-19,162
2015-08-20,162
2015-08-21,162
2015-08-22,162
2015-08-23,162
2015-08-24,162
2015-08-25,162
2015-08-26,162
2015-08-27,162
2015-08-28,162
2015-08-29,162
2015-08-30,162
2015-08-31,162
2015-09-02,162
2015-09-07,162
2015-09-08,162
2015-09-10,162
2015-09-14,162
2015-09-16,162
2015-09-22,162
2015-09-23,162
2015-09-24,162
2015-09-25,162
2015-09-27,162
2015-09-28,162
2015-09-29,162
2015-09-30,162
2015-10-05,164
2015-10-06,164
2015-10-07,164
2015-10-08,164
2015-10-09,164
2015-10-10,164
2015-10-11,164
2015-10-12,164
2015-10-13,164
2015-10-14,164
2015-10-15,164
2015-10-16,164
2015-10-17,164
2015-10-18,164
2015-10-19,164
2015-10-20,164
2015-10-22,164
2015-10-23,164
2015-10-24,164
2015-10-25,164
2015-10-26,164
2015-10-27,164
2015-10-29,164
2015-10-30,164
2015-10-31,164
2015-11-01,164
2015-11-02,164
2015-11-03,164
2015-11-04,164
2015-11-05,164
2015-11-06,164
2015-11-07,164
2015-11-08,164
2015-11-09,164
2015-11-10,164
2015-11-11,164
2015-11-12,164
2015-11-13,164
2015-11-14,164
2015-11-15,164
2015-11-16,164
2015-11-17,164
2015-11-18,164
2015-11-19,164
2015-11-20,164
2015-11-21,164
2015-11-22,164
2015-11-23,164
2015-11-24,164
2015-11-25,164
2015-11-26,164
2015-11-27,164
2015-11-28,164
2015-11-29,164
2015-11-30,164
2015-12-01,164
2015-12-02,164
2015-12-03,164
2015-12-04,164
2015-12-05,164
2015-12-06,164
2015-12-07,164
2015-12-08,164
2015-12-09,164
2015-12-10,164
2015-12-11,171
2015-12-12,171
2015-12-13,171
2015-12-14,171
2015-12-15,171
2015-12-16,171
2015-12-17,171
2015-12-18,171
2015-12-19,171
2015-12-20,171
2015-12-21,171
2015-12-22,171
2015-12-23,171
2015-12-24,171
2015-12-25,171
2015-12-26,171
2015-12-27,171
2015-12-28,171
2015-12-29,171
2015-12-30,171
2015-12-31,171
2016-01-01,171
2016-01-02,171
2016-01-03,171
2016-01-04,171
2016-01-05,171
2016-01-06,171
2016-01-07,171
2016-01-08,171
2016-01-09,171
2016-01-10,171
2016-01-11,171
2016-01-12,171
2016-01-13,171
2016-01-14,171
2016-01-15,171
2016-01-16,171
2016-01-17,171
2016-01-18,171
2016-01-19,171
2016-01-20,171
2016-01-21,171
2016-01-22,171
2016-01-23,171
2016-01-24,171
2016-01-25,171
2016-01-26,171
2016-01-27,171
2016-01-28,171
2016-01-29,171
2016-01-30,171
2016-01-31,171
2016-02-01,171
2016-02-02,171
2016-02-03,171
2016-02-04,171
2016-02-05,171
2016-02-06,171
2016-02-07,171
2016-02-08,171
2016-02-09,173
2016-02-10,173
2016-02-11,173
2016-02-12,173
2016-02-13,173
2016-02-14,173
2016-02-15,173
2016-02-16,173
2016-02-17,173
2016-02-18,173
2016-02-19,173
2016-02-20,173
2016-02-21,173
2016-02-22,173
2016-02-23,173
2016-02-24,173
2016-02-25,173
2016-02-26,173
2016-02-27,173
2016-02-28,173
2016-02-29,173
2016-03-01,173
2016-03-02,173
2016-03-03,173
2016-03-04,173
2016-03-05,173
2016-03-06,173
2016-03-07,173
2016-03-08,173
2016-03-09,173
2016-03-10,173
2016-03-11,173
2016-03-12,173
2016-03-13,173
2016-03-14,173
2016-03-15,173
2016-03-16,173
2016-03-17,173
2016-03-18,173
2016-03-19,173
2016-03-20,173
2016-03-21,173
2016-03-22,173
2016-03-23,173
2016-03-24,173
2016-03-25,173
2016-03-26,173
2016-03-27,173
2016-03-28,173
2016-03-29,173
2016-03-30,173
2016-03-31,173
2016-04-01,173
2016-04-02,171
2016-04-03,171
2016-04-04,171
2016-04-05,171
2016-04-06,171
2016-04-07,171
2016-04-08,171
2016-04-09,171
2016-04-10,171
2016-04-11,171
2016-04-12,171
2016-04-13,171
2016-04-14,171
2016-04-15,171
2016-04-16,171
2016-04-17,171
2016-04-18,171
2016-04-19,171
2016-04-20,171
2016-04-21,171
2016-04-22,171
2016-04-23,171
2016-04-24,171
2016-04-25,171
2016-04-26,171
2016-04-27,171
2016-04-28,171
2016-04-29,171
2016-04-30,171
2016-05-01,171
2016-05-02,171
2016-05-03,171
2016-05-04,171
2016-05-05,171
2016-05-06,171
2016-05-07,171
2016-05-08,171
2016-05-09,171
2016-05-10,171
2016-05-11,171
2016-05-12,171
2016-05-13,171
2016-05-14,171
2016-05-15,171
2016-05-16,171
2016-05-17,171
2016-05-18,171
2016-05-19,171
2016-05-22,172
2016-05-23,172
2016-05-24,172
2016-05-25,172
2016-05-26,172
2016-05-27,172
2016-05-28,172
2016-05-29,172
2016-05-30,172
2016-05-31,172
2016-06-01,172
2016-06-02,172
2016-06-03,172
2016-06-04,172
2016-06-05,172
2016-06-06,172
2016-06-07,172
2016-06-08,172
2016-06-09,172
2016-06-10,172
2016-06-11,172
2016-06-12,172
2016-06-13,172
2016-06-14,172
2016-06-15,172
2016-06-16,172
2016-06-17,172
2016-06-18,172
2016-06-19,172
2016-06-20,172
2016-06-21,172
2016-06-22,172
2016-06-23,172
2016-06-24,172
2016-06-25,172
2016-06-26,172
2016-06-27,172
2016-06-28,172
2016-06-29,172
2016-06-30,172
2016-07-01,172
2016-07-02,172
2016-07-03,172
2016-07-04,170
2016-07-05,170
2016-07-06,170
2016-07-07,170
2016-07-08,170
2016-07-09,170
2016-07-10,170
2016-07-11,170
2016-07-12,170
2016-07-13,170
2016-07-14,170
2016-07-15,170
2016-07-16,170
2016-07-17,170
2016-07-18,170
2016-07-23,170
2016-07-24,170
2016-07-25,170
2016-07-26,170
2016-07-27,170
2016-07-28,170
2016-07-29,170
2016-07-30,170
2016-07-31,170
2016-08-01,170
2016-08-02,170
2016-08-03,170
2016-08-04,170
2016-08-05,170
2016-08-06,170
2016-08-07,170
2016-08-08,170
2016-08-09,170
2016-08-10,170
2016-08-11,170
2016-08-12,170
2016-08-13,170
2016-08-14,170
2016-08-15,170
2016-08-16,170
2016-08-17,170
2016-08-18,170
2016-08-19,170
2016-08-20,170
2016-08-21,170
