date_obj,Grimy%20toadflax price
2015-03-26,1649
2015-03-27,1649
2015-03-28,1649
2015-03-29,1605
2015-03-30,1605
2015-03-31,1533
2015-04-01,1533
2015-04-02,1483
2015-04-03,1483
2015-04-04,1433
2015-04-05,1433
2015-04-06,1403
2015-04-07,1403
2015-04-08,1403
2015-04-09,1466
2015-04-10,1466
2015-04-11,1515
2015-04-12,1515
2015-04-13,1576
2015-04-14,1576
2015-04-15,1625
2015-04-16,1625
2015-04-17,1694
2015-04-18,1694
2015-04-19,1768
2015-04-20,1768
2015-04-21,1768
2015-04-22,1854
2015-04-23,1854
2015-04-24,1824
2015-04-25,1824
2015-04-26,1824
2015-04-27,1773
2015-04-28,1773
2015-04-29,1773
2015-04-30,1833
2015-05-01,1833
2015-05-02,1879
2015-05-03,1879
2015-05-04,1879
2015-05-05,1898
2015-05-06,1898
2015-05-07,1919
2015-05-08,1919
2015-05-09,1919
2015-05-10,1953
2015-05-11,1953
2015-05-12,1953
2015-05-13,2025
2015-05-14,2025
2015-05-15,2025
2015-05-16,1970
2015-05-17,1970
2015-05-18,1954
2015-05-19,1954
2015-05-20,1954
2015-05-21,1954
2015-05-22,1888
2015-05-23,1888
2015-05-24,1888
2015-05-25,1851
2015-05-26,1851
2015-05-27,1851
2015-05-28,1871
2015-05-29,1871
2015-05-30,1914
2015-05-31,1914
2015-06-01,1895
2015-06-02,1895
2015-06-03,1895
2015-06-04,1891
2015-06-05,1891
2015-06-06,1808
2015-06-07,1808
2015-06-08,1775
2015-06-09,1775
2015-06-10,1814
2015-06-11,1814
2015-06-12,1814
2015-06-13,1851
2015-06-14,1851
2015-06-15,1907
2015-06-16,1907
2015-06-17,1952
2015-06-18,1952
2015-06-19,1900
2015-06-20,1900
2015-06-21,1867
2015-06-22,1867
2015-06-23,1896
2015-06-24,1896
2015-06-25,1876
2015-06-26,1876
2015-06-27,1876
2015-06-28,1876
2015-06-29,1823
2015-06-30,1823
2015-07-01,1750
2015-07-02,1750
2015-07-03,1715
2015-07-04,1715
2015-07-05,1715
2015-07-06,1723
2015-07-07,1723
2015-07-08,1718
2015-07-09,1718
2015-07-10,1718
2015-07-11,1786
2015-07-12,1786
2015-07-13,1782
2015-07-14,1782
2015-07-15,1716
2015-07-16,1716
2015-07-17,1715
2015-07-18,1715
2015-07-19,1715
2015-07-20,1720
2015-07-21,1720
2015-07-22,1768
2015-07-23,1768
2015-07-24,1770
2015-07-25,1770
2015-07-26,1770
2015-07-27,1835
2015-07-28,1835
2015-07-29,1888
2015-07-30,1888
2015-07-31,1888
2015-08-01,1919
2015-08-02,1919
2015-08-03,1889
2015-08-04,1889
2015-08-05,1920
2015-08-06,1920
2015-08-07,1920
2015-08-08,1952
2015-08-09,1952
2015-08-10,1956
2015-08-11,1956
2015-08-12,1956
2015-08-13,1956
2015-08-14,1976
2015-08-15,1976
2015-08-16,1976
2015-08-17,2028
2015-08-18,2028
2015-08-19,2028
2015-08-20,2042
2015-08-21,2042
2015-08-22,2042
2015-08-23,2113
2015-08-24,2113
2015-08-25,2113
2015-08-26,2113
2015-08-27,2199
2015-08-28,2199
2015-08-29,2199
2015-08-30,2199
2015-08-31,2233
2015-09-01,2233
2015-09-02,2233
2015-09-03,2309
2015-09-04,2309
2015-09-05,2309
2015-09-06,2309
2015-09-07,2326
2015-09-08,2326
2015-09-09,2326
2015-09-10,2273
2015-09-11,2273
2015-09-12,2273
2015-09-13,2258
2015-09-14,2258
2015-09-15,2258
2015-09-16,2258
2015-09-17,2166
2015-09-18,2166
2015-09-19,2166
2015-09-20,2166
2015-09-21,2111
2015-09-22,2111
2015-09-23,2111
2015-09-24,2111
2015-09-25,2083
2015-09-27,2083
2015-09-28,2083
2015-09-29,2028
2015-09-30,2028
2015-10-05,2060
2015-10-06,2060
2015-10-07,2132
2015-10-08,2132
2015-10-09,2132
2015-10-10,2132
2015-10-11,2146
2015-10-12,2146
2015-10-13,2146
2015-10-14,2146
2015-10-15,2185
2015-10-16,2185
2015-10-17,2185
2015-10-18,2185
2015-10-19,2227
2015-10-20,2227
2015-10-22,2227
2015-10-23,2247
2015-10-24,2247
2015-10-25,2247
2015-10-26,2273
2015-10-27,2273
2015-10-29,2273
2015-10-30,2273
2015-10-31,2371
2015-11-01,2371
2015-11-02,2371
2015-11-03,2371
2015-11-04,2469
2015-11-05,2469
2015-11-06,2469
2015-11-07,2469
2015-11-08,2540
2015-11-09,2540
2015-11-10,2540
2015-11-11,2540
2015-11-12,2552
2015-11-13,2552
2015-11-14,2552
2015-11-15,2552
2015-11-16,2644
2015-11-17,2644
2015-11-18,2644
2015-11-19,2644
2015-11-20,2748
2015-11-21,2748
2015-11-22,2748
2015-11-23,2748
2015-11-24,2748
2015-11-25,2876
2015-11-26,2876
2015-11-27,2876
2015-11-28,2876
2015-11-29,2846
2015-11-30,2846
2015-12-01,2846
2015-12-02,2846
2015-12-03,2855
2015-12-04,2855
2015-12-05,2855
2015-12-06,2855
2015-12-07,2754
2015-12-08,2754
2015-12-09,2754
2015-12-10,2790
2015-12-11,2790
2015-12-12,2790
2015-12-13,2790
2015-12-14,2762
2015-12-15,2762
2015-12-16,2762
2015-12-17,2643
2015-12-18,2643
2015-12-19,2643
2015-12-20,2593
2015-12-21,2593
2015-12-22,2593
2015-12-23,2621
2015-12-24,2621
2015-12-25,2621
2015-12-26,2621
2015-12-27,2702
2015-12-28,2702
2015-12-29,2803
2015-12-30,2803
2015-12-31,2803
2016-01-01,2899
2016-01-02,2899
2016-01-03,2899
2016-01-04,2935
2016-01-05,2935
2016-01-06,2935
2016-01-07,2870
2016-01-08,2870
2016-01-09,2870
2016-01-10,2844
2016-01-11,2844
2016-01-12,2844
2016-01-13,2879
2016-01-14,2879
2016-01-15,2956
2016-01-16,2956
2016-01-17,2956
2016-01-18,2977
2016-01-19,2977
2016-01-20,2977
2016-01-21,2930
2016-01-22,2930
2016-01-23,2930
2016-01-24,2878
2016-01-25,2878
2016-01-26,2878
2016-01-27,2858
2016-01-28,2858
2016-01-29,2858
2016-01-30,2858
2016-01-31,2912
2016-02-01,2912
2016-02-02,2912
2016-02-03,2850
2016-02-04,2850
2016-02-05,2850
2016-02-06,2851
2016-02-07,2851
2016-02-08,2851
2016-02-09,2743
2016-02-10,2743
2016-02-11,2743
2016-02-12,2663
2016-02-13,2663
2016-02-14,2663
2016-02-15,2658
2016-02-16,2658
2016-02-17,2658
2016-02-18,2658
2016-02-19,2620
2016-02-20,2620
2016-02-21,2572
2016-02-22,2572
2016-02-23,2572
2016-02-24,2539
2016-02-25,2539
2016-02-26,2539
2016-02-27,2595
2016-02-28,2595
2016-02-29,2595
2016-03-01,2666
2016-03-02,2666
2016-03-03,2666
2016-03-04,2670
2016-03-05,2670
2016-03-06,2670
2016-03-07,2724
2016-03-08,2724
2016-03-09,2724
2016-03-10,2681
2016-03-11,2681
2016-03-12,2681
2016-03-13,2639
2016-03-14,2639
2016-03-15,2639
2016-03-16,2593
2016-03-17,2593
2016-03-18,2593
2016-03-19,2482
2016-03-20,2482
2016-03-21,2482
2016-03-22,2558
2016-03-23,2558
2016-03-24,2558
2016-03-25,2624
2016-03-26,2624
2016-03-27,2624
2016-03-28,2549
2016-03-29,2549
2016-03-30,2549
2016-03-31,2549
2016-04-01,2450
2016-04-02,2450
2016-04-03,2450
2016-04-04,2410
2016-04-05,2410
2016-04-06,2410
2016-04-07,2452
2016-04-08,2452
2016-04-09,2452
2016-04-10,2542
2016-04-11,2542
2016-04-12,2542
2016-04-13,2542
2016-04-14,2546
2016-04-15,2546
2016-04-16,2546
2016-04-17,2490
2016-04-18,2490
2016-04-19,2481
2016-04-20,2481
2016-04-21,2481
2016-04-22,2481
2016-04-23,2481
2016-04-24,2481
2016-04-25,2506
2016-04-26,2506
2016-04-27,2506
2016-04-28,2498
2016-04-29,2498
2016-04-30,2498
2016-05-01,2509
2016-05-02,2509
2016-05-03,2535
2016-05-04,2535
2016-05-05,2535
2016-05-06,2523
2016-05-07,2523
2016-05-08,2523
2016-05-09,2479
2016-05-10,2479
2016-05-11,2479
2016-05-12,2456
2016-05-13,2456
2016-05-14,2487
2016-05-15,2487
2016-05-16,2487
2016-05-17,2488
2016-05-18,2488
2016-05-19,2488
2016-05-22,2462
2016-05-23,2538
2016-05-24,2538
2016-05-25,2538
2016-05-26,2508
2016-05-27,2508
