date_obj,Guthix%20dragonhide%20set price
2015-03-26,129565
2015-03-27,129565
2015-03-28,129565
2015-03-29,129565
2015-03-30,133671
2015-03-31,133671
2015-04-01,133671
2015-04-02,133671
2015-04-03,133671
2015-04-04,133671
2015-04-05,133671
2015-04-06,133671
2015-04-07,133671
2015-04-08,133671
2015-04-09,133671
2015-04-10,133671
2015-04-11,133671
2015-04-12,137403
2015-04-13,137403
2015-04-14,137403
2015-04-15,137403
2015-04-16,137403
2015-04-17,137403
2015-04-18,137403
2015-04-19,137403
2015-04-20,137403
2015-04-21,137403
2015-04-22,137403
2015-04-23,137403
2015-04-24,140496
2015-04-25,140496
2015-04-26,140496
2015-04-27,140496
2015-04-28,140496
2015-04-29,140496
2015-04-30,140496
2015-05-01,140496
2015-05-02,140496
2015-05-03,140496
2015-05-04,140496
2015-05-05,141148
2015-05-06,141148
2015-05-07,141148
2015-05-08,141148
2015-05-09,141148
2015-05-10,141148
2015-05-11,141148
2015-05-12,141148
2015-05-13,141148
2015-05-14,141148
2015-05-15,141148
2015-05-16,141148
2015-05-17,137233
2015-05-18,137233
2015-05-19,137233
2015-05-20,137233
2015-05-21,137233
2015-05-22,137233
2015-05-23,137233
2015-05-24,137233
2015-05-25,137233
2015-05-26,137233
2015-05-27,137233
2015-05-28,132559
2015-05-29,132559
2015-05-30,132559
2015-05-31,132559
2015-06-01,132559
2015-06-02,132559
2015-06-03,132559
2015-06-04,127577
2015-06-05,127577
2015-06-06,127577
2015-06-07,127577
2015-06-08,127577
2015-06-09,127577
2015-06-10,121709
2015-06-11,121709
2015-06-12,121709
2015-06-13,121709
2015-06-14,121709
2015-06-15,121709
2015-06-16,124226
2015-06-17,124226
2015-06-18,124226
2015-06-19,124226
2015-06-20,124226
2015-06-21,124226
2015-06-22,125067
2015-06-23,125067
2015-06-24,125067
2015-06-25,125067
2015-06-26,125067
2015-06-27,125067
2015-06-28,125067
2015-06-29,125067
2015-06-30,122778
2015-07-01,122778
2015-07-02,122778
2015-07-03,122778
2015-07-04,122778
2015-07-05,122778
2015-07-06,122778
2015-07-07,126442
2015-07-08,126442
2015-07-09,126442
2015-07-10,126442
2015-07-11,126442
2015-07-12,126442
2015-07-13,126442
2015-07-14,129836
2015-07-15,129836
2015-07-16,129836
2015-07-17,129836
2015-07-18,129836
2015-07-19,129836
2015-07-20,132248
2015-07-21,132248
2015-07-22,132248
2015-07-23,132248
2015-07-24,132248
2015-07-25,132248
2015-07-26,131729
2015-07-27,131729
2015-07-28,131729
2015-07-29,131729
2015-07-30,131729
2015-07-31,131729
2015-08-01,133312
2015-08-02,133312
2015-08-03,133312
2015-08-04,133312
2015-08-05,133312
2015-08-06,133291
2015-08-07,133291
2015-08-08,133291
2015-08-09,133291
2015-08-10,133291
2015-08-11,133642
2015-08-12,133642
2015-08-13,133642
2015-08-14,133642
2015-08-15,133642
2015-08-16,133642
2015-08-17,133642
