date_obj,Ham%20hood price
2015-03-26,4249
2015-03-27,4249
2015-03-28,4042
2015-03-29,4042
2015-03-30,3839
2015-03-31,3839
2015-04-01,3656
2015-04-02,3656
2015-04-03,3473
2015-04-04,3305
2015-04-05,3305
2015-04-06,3143
2015-04-07,3143
2015-04-08,2989
2015-04-09,2989
2015-04-10,2839
2015-04-11,2704
2015-04-12,2704
2015-04-13,2568
2015-04-14,2568
2015-04-15,2444
2015-04-16,2444
2015-04-17,2324
2015-04-18,2324
2015-04-19,2207
2015-04-20,2207
2015-04-21,2100
2015-04-22,2100
2015-04-23,1998
2015-04-24,1998
2015-04-25,1901
2015-04-26,1901
2015-04-27,1805
2015-04-28,1805
2015-04-29,1718
2015-04-30,1635
2015-05-01,1557
2015-05-02,1484
2015-05-03,1484
2015-05-04,1414
2015-05-05,1414
2015-05-06,1343
2015-05-07,1343
2015-05-08,1278
2015-05-09,1278
2015-05-10,1214
2015-05-11,1214
2015-05-12,1155
2015-05-13,1155
2015-05-14,1097
2015-05-15,1097
2015-05-16,1046
2015-05-17,997
2015-05-18,997
2015-05-19,950
2015-05-20,950
2015-05-21,950
2015-05-22,902
2015-05-23,902
2015-05-24,861
2015-05-25,861
2015-05-26,817
2015-05-27,817
2015-05-28,776
2015-05-29,776
2015-05-30,738
2015-05-31,738
2015-06-01,712
2015-06-02,712
2015-06-03,676
2015-06-04,676
2015-06-05,659
2015-06-06,659
2015-06-07,650
2015-06-08,650
2015-06-09,644
2015-06-10,644
2015-06-11,657
2015-06-12,657
2015-06-13,668
2015-06-14,668
2015-06-15,683
2015-06-16,683
2015-06-17,703
2015-06-18,703
2015-06-19,726
2015-06-20,726
2015-06-21,731
2015-06-22,731
2015-06-23,716
2015-06-24,716
2015-06-25,715
2015-06-26,715
2015-06-27,706
2015-06-28,706
2015-06-29,689
2015-06-30,689
2015-07-01,684
2015-07-02,684
2015-07-03,682
2015-07-04,682
2015-07-05,688
2015-07-06,688
2015-07-07,653
2015-07-08,653
2015-07-09,621
2015-07-10,593
2015-07-11,593
2015-07-12,583
2015-07-13,583
2015-07-14,575
2015-07-15,575
2015-07-16,561
2015-07-17,561
2015-07-18,542
2015-07-19,542
2015-07-20,535
2015-07-21,535
2015-07-22,522
2015-07-23,522
2015-07-24,511
2015-07-25,511
2015-07-26,500
2015-07-27,500
2015-07-28,488
2015-07-29,481
2015-07-30,481
2015-07-31,486
2015-08-01,486
2015-08-02,487
2015-08-03,487
2015-08-04,488
2015-08-05,475
2015-08-06,475
2015-08-07,461
2015-08-08,461
2015-08-09,460
2015-08-10,460
2015-08-11,461
2015-08-12,461
2015-08-13,461
2015-08-14,456
2015-08-15,456
2015-08-16,454
2015-08-17,454
2015-08-18,442
2015-08-19,442
2015-08-20,438
2015-08-21,438
2015-08-22,423
2015-08-23,423
2015-08-24,414
2015-08-25,414
2015-08-26,414
2015-08-27,403
2015-08-28,403
2015-08-29,396
2015-08-30,396
2015-08-31,388
2015-09-01,388
2015-09-02,388
2015-09-03,391
2015-09-04,391
2015-09-05,389
2015-09-06,389
2015-09-07,388
2015-09-08,388
2015-09-09,390
2015-09-10,390
2015-09-11,391
2015-09-12,391
2015-09-13,404
2015-09-14,404
2015-09-15,417
2015-09-16,417
2015-09-17,428
2015-09-18,428
2015-09-19,442
2015-09-20,442
2015-09-21,442
2015-09-22,457
2015-09-23,457
2015-09-24,457
2015-09-25,472
2015-09-27,465
2015-09-28,465
2015-09-29,459
2015-09-30,459
2015-10-05,444
2015-10-06,444
2015-10-07,436
2015-10-08,436
2015-10-09,432
2015-10-10,432
2015-10-11,429
2015-10-12,429
2015-10-13,429
2015-10-14,428
2015-10-15,428
2015-10-16,435
2015-10-17,435
2015-10-18,435
2015-10-19,435
2015-10-20,435
2015-10-22,437
2015-10-23,437
2015-10-24,440
2015-10-25,440
2015-10-26,439
2015-10-27,439
2015-10-29,439
2015-10-30,439
2015-10-31,436
2015-11-01,436
2015-11-02,436
2015-11-03,438
2015-11-04,438
2015-11-05,443
2015-11-06,443
2015-11-07,442
2015-11-08,442
2015-11-09,442
