date_obj,Hard%20leather%20shield price
2018-01-31,266
2018-02-01,275
2018-02-02,275
2018-02-03,267
2018-02-04,267
2018-02-05,268
2018-02-06,268
2018-02-07,257
2018-02-08,257
2018-02-09,257
2018-02-10,249
2018-02-11,249
2018-02-12,249
2018-02-13,243
2018-02-14,243
2018-02-15,243
2018-02-16,234
2018-02-17,234
2018-02-18,234
2018-02-19,222
2018-02-20,222
2018-02-21,222
2018-02-22,210
2018-02-23,210
2018-02-24,210
2018-02-25,204
2018-02-26,204
2018-02-27,204
2018-02-28,204
2018-03-01,193
2018-03-02,193
2018-03-03,193
2018-03-04,193
2018-03-05,183
2018-03-06,183
2018-03-07,183
2018-03-08,173
2018-03-09,173
2018-03-10,173
2018-03-11,173
2018-03-12,164
2018-03-13,164
2018-03-14,164
2018-03-15,164
2018-03-16,157
2018-03-17,157
2018-03-18,157
2018-03-19,157
2018-03-20,152
2018-03-21,152
2018-03-23,152
2018-03-24,152
2018-03-25,151
2018-03-26,151
2018-03-27,151
2018-03-28,151
2018-03-29,153
2018-03-30,153
2018-03-31,153
2018-04-01,153
2018-04-02,151
2018-04-03,151
2018-04-04,151
2018-04-05,151
2018-04-06,153
2018-04-07,153
2018-04-08,153
2018-04-09,153
2018-04-10,153
2018-04-11,155
2018-04-12,155
2018-04-13,155
2018-04-14,155
2018-04-15,155
2018-04-16,151
2018-04-17,151
2018-04-18,151
2018-04-19,151
2018-04-20,151
2018-04-21,155
2018-04-22,155
2018-04-23,155
2018-04-24,155
2018-04-25,161
2018-04-26,161
2018-04-27,161
2018-04-28,161
2018-04-29,161
2018-04-30,161
2018-05-01,161
2018-05-03,161
2018-05-04,161
2018-05-05,159
2018-05-06,159
2018-05-07,159
2018-05-08,159
2018-05-09,159
2018-05-10,159
2018-05-11,159
2018-05-12,159
2018-05-13,159
2018-05-14,152
2018-05-15,152
2018-05-16,152
2018-05-17,152
2018-05-18,152
2018-05-19,145
2018-05-20,145
2018-05-21,145
2018-05-22,145
2018-05-23,138
2018-05-24,138
2018-05-25,138
2018-05-26,138
2018-05-27,136
2018-05-28,136
2018-05-29,136
2018-05-30,136
2018-05-31,133
2018-06-01,133
2018-06-02,133
2018-06-03,133
2018-06-04,132
2018-06-05,132
2018-06-06,132
2018-06-07,126
2018-06-08,126
2018-06-09,126
2018-06-10,126
2018-06-11,122
2018-06-12,122
2018-06-13,122
2018-06-14,122
2018-06-15,117
2018-06-16,117
2018-06-17,117
2018-06-18,117
2018-06-19,114
2018-06-20,114
2018-06-21,114
2018-06-22,114
2018-06-23,114
2018-06-24,116
2018-06-25,116
2018-06-26,116
2018-06-27,116
2018-06-28,116
2018-06-29,120
2018-06-30,120
2018-07-01,120
2018-07-02,120
2018-07-03,118
2018-07-04,118
2018-07-05,118
2018-07-06,118
2018-07-07,117
2018-07-08,117
2018-07-09,117
2018-07-10,116
2018-07-11,116
2018-07-12,116
2018-07-13,116
2018-07-14,111
2018-07-15,111
2018-07-16,111
2018-07-17,107
2018-07-18,107
2018-07-19,107
2018-07-20,107
2018-07-21,111
2018-07-22,111
2018-07-23,115
2018-07-24,115
2018-07-25,115
2018-07-26,114
2018-07-27,114
2018-07-28,114
2018-07-29,120
2018-07-30,120
2018-07-31,126
2018-08-01,126
2018-08-02,126
2018-08-03,121
2018-08-04,121
2018-08-05,125
2018-08-06,125
2018-08-07,127
2018-08-08,127
2018-08-09,131
2018-08-10,131
2018-08-11,128
2018-08-12,128
2018-08-14,133
2018-08-16,137
2018-08-17,137
2018-08-18,137
2018-08-19,137
2018-08-20,137
2018-08-21,137
2018-08-22,137
2018-08-23,137
2018-08-24,143
2018-08-25,143
2018-08-26,149
2018-08-27,149
2018-08-28,154
2018-08-29,154
2018-08-30,152
2018-08-31,152
2018-09-01,144
2018-09-02,144
2018-09-03,136
2018-09-04,133
2018-09-05,133
2018-09-06,133
2018-09-07,137
2018-09-08,137
2018-09-09,137
2018-09-10,137
2018-09-11,142
2018-09-12,142
2018-09-13,147
2018-09-14,147
2018-09-15,151
2018-09-16,151
2018-09-17,145
2018-09-18,145
2018-09-19,144
2018-09-20,144
2018-09-21,150
2018-09-22,150
2018-09-23,148
2018-09-24,148
2018-09-25,148
2018-09-26,147
2018-09-27,147
2018-09-28,147
2018-09-29,151
2018-09-30,151
2018-10-02,150
2018-10-03,144
2018-10-04,144
2018-10-05,144
2018-10-06,140
2018-10-07,140
2018-10-08,140
2018-10-09,144
2018-10-10,144
2018-10-11,137
2018-10-12,137
2018-10-13,137
2018-10-14,138
2018-10-15,138
2018-10-16,138
2018-10-17,142
2018-10-18,142
2018-10-19,142
2018-10-20,147
2018-10-21,147
2018-10-22,147
2018-10-23,152
2018-10-24,152
2018-10-25,152
2018-10-26,150
