date_obj,Heavy%20ballista price
2016-05-05,65000000
2016-05-06,65000000
2016-05-07,62825279
2016-05-08,62825279
2016-05-09,59684015
2016-05-10,56699814
2016-05-11,56699814
2016-05-12,53864823
2016-05-13,51171581
2016-05-14,48613001
2016-05-15,46182350
2016-05-16,43873232
2016-05-17,41679570
2016-05-18,29250000
2016-05-19,28798431
2016-05-22,26104161
2016-05-23,24798952
2016-05-24,23559004
2016-05-25,22647304
2016-05-26,21655189
2016-05-27,20572429
2016-05-28,20572429
2016-05-29,19543807
2016-05-30,19543807
2016-05-31,18581912
2016-06-01,18136189
2016-06-02,18032757
2016-06-03,17798050
2016-06-04,17479828
2016-06-05,17225946
2016-06-06,16772448
2016-06-07,16772448
2016-06-08,15957490
2016-06-09,15161277
2016-06-10,14466727
2016-06-11,13808874
2016-06-12,13118774
2016-06-13,12462835
2016-06-14,12197910
2016-06-15,11605847
2016-06-16,11461951
2016-06-17,10933180
2016-06-18,10626069
2016-06-19,10312547
2016-06-20,10375497
2016-06-21,10693293
2016-06-22,11055489
2016-06-23,11525627
2016-06-24,12101909
2016-06-25,12706876
2016-06-26,13271855
2016-06-27,12975478
2016-06-28,12560778
2016-06-29,12492515
2016-06-30,12075974
2016-07-01,11497179
2016-07-02,11844104
2016-07-03,11837868
2016-07-04,11688263
2016-07-05,11696402
2016-07-06,11587934
2016-07-07,11215618
2016-07-08,10672882
2016-07-09,10292392
2016-07-10,9974582
2016-07-11,9480452
2016-07-12,9096173
2016-07-13,9109738
2016-07-14,9351034
2016-07-15,9060200
2016-07-16,8749634
2016-07-17,8471850
2016-07-18,8142812
2016-07-23,8058821
2016-07-24,8206067
2016-07-25,8500303
2016-07-26,8388436
2016-07-27,8493231
2016-07-28,8917893
2016-07-29,9306657
2016-07-30,9733932
2016-07-31,10214195
2016-08-01,10432120
2016-08-02,10407335
2016-08-03,9889549
2016-08-04,9430235
2016-08-05,9006100
2016-08-06,8670285
2016-08-07,8372930
2016-08-08,8519458
2016-08-09,8548916
2016-08-10,8526586
2016-08-11,8208174
2016-08-12,8208763
2016-08-13,8260403
2016-08-14,8317902
2016-08-15,8100861
2016-08-16,8039348
2016-08-17,8164555
2016-08-18,8101595
2016-08-19,7912512
2016-08-20,7860242
2016-08-21,7759036
2016-08-22,7555124
2016-08-23,7177779
2016-08-24,6818890
2016-08-25,6477945
2016-08-26,6217769
2016-08-28,6595795
2016-08-31,7286036
2016-09-01,7450303
2016-09-02,7450303
2016-09-03,7302999
2016-09-04,7004937
2016-09-05,6791157
2016-09-06,6582760
2016-09-07,6689872
2016-09-08,6811370
2016-09-09,6876876
2016-09-10,6884395
2016-09-11,7017045
2016-09-12,7064960
2016-09-13,6957338
2016-09-14,6942015
2016-09-15,6894515
2016-09-16,7085959
2016-09-17,7106012
2016-09-18,7178773
2016-09-19,7266036
2016-09-20,7138332
2016-09-21,7145596
2016-09-22,7226649
2016-09-23,7099016
2016-09-24,7007152
2016-09-25,6958442
2016-09-26,6872064
2016-09-27,6797563
2016-09-28,6601191
2016-09-29,6566876
2016-09-30,6496760
2016-10-01,6423549
2016-10-02,6489753
2016-10-03,6399711
2016-10-04,6304490
2016-10-05,6176835
2016-10-06,5956274
2016-10-07,5737709
2016-10-08,5675378
2016-10-09,5702943
2016-10-10,5763702
2016-10-11,5658670
2016-10-12,5536031
2016-10-13,5387673
2016-10-14,5119677
2016-10-15,5138307
2016-10-16,5193628
2016-10-17,5252679
2016-10-18,5415705
2016-10-19,5516645
2016-10-20,5664505
2016-10-21,5779356
2016-10-22,5656466
2016-10-23,5611805
2016-10-24,5529669
2016-10-25,5432884
2016-10-26,5463477
2016-10-27,5736651
2016-10-28,6023484
2016-10-29,6324417
2016-10-30,6640638
2016-10-31,6417075
2016-11-01,6096221
2016-11-02,5849317
2016-11-03,5642760
2016-11-04,5360622
2016-11-05,5092590
2016-11-06,4838196
2016-11-07,4596286
2016-11-08,4369849
2016-11-09,4480857
2016-11-10,4605851
2016-11-11,4421618
2016-11-12,4200881
2016-11-13,3990836
2016-11-14,3791294
2016-11-15,3601729
2016-12-07,2268050
2016-12-08,2154813
2016-12-09,2052247
2016-12-10,2052247
2016-12-11,1949634
2016-12-12,1854805
2016-12-13,1767255
2016-12-14,1678892
2016-12-15,1678892
2016-12-16,1595122
2016-12-17,1515365
2016-12-18,1515365
2016-12-19,1439596
2016-12-20,1370295
2016-12-21,1372321
2016-12-22,1372321
2016-12-23,1317253
2016-12-24,1317253
2016-12-25,1254288
2016-12-26,1254288
2016-12-27,1271864
2016-12-28,1271864
2016-12-29,1242248
2016-12-30,1242248
2016-12-31,1238329
2017-01-01,1263617
2017-01-02,1270775
2017-01-03,1270775
2017-01-04,1214684
2017-01-05,1214684
2017-01-06,1154602
2017-01-07,1096871
2017-01-08,1042178
2017-01-09,1001761
2017-01-10,983688
2017-01-11,979604
2017-01-12,996135
2017-01-13,996135
2017-01-14,1011384
2017-01-15,1000905
2017-01-16,972485
2017-01-17,978375
2017-01-18,982732
2017-01-19,982732
2017-01-20,967935
2017-01-21,948909
2017-01-22,948909
2017-01-23,905962
2017-01-27,765220
2017-01-28,772336
2017-01-29,758232
2017-01-30,758232
2017-01-31,729209
2017-02-01,717442
2017-02-02,717442
2017-02-03,697762
2017-02-04,672422
2017-02-05,672422
2017-02-06,695857
2017-02-07,695857
2017-02-08,730650
2017-02-09,730650
2017-02-10,767183
2017-02-11,805220
2017-02-12,805220
2017-02-13,838049
2017-02-14,878915
2017-02-15,878915
2017-02-16,922861
2017-02-18,968951
2017-02-19,1017384
2017-02-20,1060165
2017-02-21,1030927
2017-02-22,1030927
2017-02-23,983664
2017-02-24,983664
2017-02-25,960838
2017-02-26,960838
2017-02-27,949168
2017-02-28,980624
2017-03-01,1002358
2017-03-02,999269
2017-03-03,999269
2017-03-04,992978
2017-03-05,1008339
2017-03-06,992010
2017-03-07,994597
2017-03-08,994597
2017-03-09,992238
2017-03-10,1001657
2017-03-11,1027985
2017-03-12,999366
2017-03-13,963524
2017-03-14,935067
2017-03-15,905858
2017-03-16,903539
2017-03-17,890081
2017-03-18,897605
2017-03-19,890481
2017-03-20,858018
2017-03-21,855910
2017-03-22,853047
2017-03-23,862540
2017-03-24,875343
2017-03-25,875343
2017-03-26,848197
2017-03-27,867525
2017-03-28,899680
2017-03-29,906883
2017-03-30,891361
2017-03-31,898802
2017-04-01,877414
2017-04-02,874025
2017-04-03,864623
2017-04-04,856618
2017-04-12,929720
2017-04-13,950742
2017-04-14,971441
2017-04-15,1020014
2017-04-16,1049571
2017-04-17,1081541
2017-04-18,1078979
2017-04-19,1084131
2017-04-20,1077926
2017-04-21,1123273
2017-04-22,1150198
2017-04-23,1194597
2017-04-24,1202452
2017-04-25,1179099
2017-04-26,1179099
2017-04-27,1137720
2017-04-28,1132029
2017-04-29,1167414
2017-04-30,1212004
2017-05-01,1227329
2017-05-02,1174851
2017-05-03,1156426
2017-05-04,1123192
2017-05-05,1101820
2017-05-06,1083005
2017-05-07,1076123
2017-05-08,1069929
2017-05-09,1081383
2017-05-10,1057730
2017-05-11,1052459
2017-05-12,1036348
2017-05-13,1029573
2017-05-14,1023832
2017-05-15,1011027
2017-05-16,1011049
2017-05-17,1003600
2017-05-18,987366
2017-05-19,1019790
2017-05-20,1070062
2017-05-21,1070062
