date_obj,Infinity%20bottoms price
2015-03-26,4480025
2015-03-27,4480025
2015-03-28,4480025
2015-03-29,4480025
2015-03-30,4480025
2015-03-31,4480025
2015-04-01,4480025
2015-04-02,4480025
2015-04-03,4480025
2015-04-04,4676774
2015-04-05,4676774
2015-04-06,4676774
2015-04-07,4676774
2015-04-08,4676774
2015-04-09,4676774
2015-04-10,4676774
2015-04-11,4676774
2015-04-12,4676774
2015-04-13,4676774
2015-04-14,4676774
2015-04-15,4676774
2015-04-16,4676774
2015-04-17,4676774
2015-04-18,4676774
2015-04-19,4676774
2015-04-20,4676774
2015-04-21,4882998
2015-04-22,4882998
2015-04-23,4882998
2015-04-24,4882998
2015-04-25,4882998
2015-04-26,4882998
2015-04-27,4882998
2015-04-28,4882998
2015-04-29,4882998
2015-04-30,4882998
2015-05-01,4882998
2015-05-02,4882998
2015-05-03,4882998
2015-05-04,4882998
2015-05-05,4882998
2015-05-06,4882998
2015-05-07,4882998
2015-05-08,5100801
2015-05-09,5100801
2015-05-10,5100801
2015-05-11,5100801
2015-05-12,5100801
2015-05-13,5100801
2015-05-14,5100801
2015-05-15,5100801
2015-05-16,5100801
2015-05-17,5100801
2015-05-18,5100801
2015-05-19,5100801
2015-05-20,5100801
2015-05-21,5100801
2015-05-22,5100801
2015-05-23,5100801
2015-05-24,5296949
2015-05-25,5296949
2015-05-26,5296949
2015-05-27,5296949
2015-05-28,5296949
2015-05-29,5296949
2015-05-30,5296949
2015-05-31,5296949
2015-06-01,5296949
2015-06-02,5534426
2015-06-03,5534426
2015-06-04,5534426
2015-06-05,5534426
2015-06-06,5534426
2015-06-07,5534426
2015-06-08,5534426
2015-06-09,5534426
2015-06-10,5534426
2015-06-11,5721269
2015-06-12,5721269
2015-06-13,5721269
2015-06-14,5721269
2015-06-15,5721269
2015-06-16,5721269
2015-06-17,5721269
2015-06-18,5721269
2015-06-19,5721269
2015-06-20,5721269
2015-06-21,5721269
2015-06-22,5783930
2015-06-23,5783930
2015-06-24,5783930
2015-06-25,5783930
2015-06-26,5783930
2015-06-27,5783930
2015-06-28,5783930
2015-06-29,5783930
2015-06-30,5783930
2015-07-01,5783930
2015-07-02,5783930
2015-07-03,5523944
2015-07-04,5523944
2015-07-05,5523944
2015-07-06,5523944
2015-07-07,5523944
2015-07-08,5523944
2015-07-09,5523944
2015-07-10,5523944
2015-07-11,5523944
2015-07-12,5523944
2015-07-13,5523944
2015-07-14,5264440
2015-07-15,5264440
2015-07-16,5264440
2015-07-17,5264440
2015-07-18,5264440
2015-07-19,5264440
2015-07-20,5264440
2015-07-21,5264440
2015-07-22,5003830
2015-07-23,5003830
2015-07-24,5003830
2015-07-25,5003830
2015-07-26,5003830
2015-07-27,5003830
2015-07-28,5003830
2015-07-29,4753926
2015-07-30,4753926
2015-07-31,4753926
2015-08-01,4753926
2015-08-02,4753926
2015-08-03,4753926
2015-08-04,4520300
2015-08-05,4520300
2015-08-06,4520300
2015-08-07,4520300
2015-08-08,4520300
2015-08-09,4294341
2015-08-10,4294341
2015-08-11,4294341
2015-08-12,4294341
2015-08-13,4294341
2015-08-14,4294341
2015-08-15,4234708
2015-08-16,4234708
2015-08-17,4234708
2015-08-18,4234708
2015-08-19,4234708
2015-08-20,4234708
2015-08-21,4339429
2015-08-22,4339429
2015-08-23,4339429
2015-08-24,4339429
2015-08-25,4339429
2015-08-26,4339429
2015-08-27,4531893
