date_obj,Inquisitor's%20great%20helm price
2020-02-05,10000000
2020-02-06,10373950
2020-02-07,10863563
2020-02-08,11353256
2020-02-09,100000000
2020-02-10,104421348
2020-02-11,109143705
2020-02-12,114147323
2020-02-13,114147323
2020-02-14,119385261
2020-02-15,119385261
2020-02-16,116331462
2020-02-17,110771875
2020-02-18,107259756
2020-02-19,107259756
2020-02-20,108257275
2020-02-21,108257275
2020-02-22,102844411
2020-02-23,102844411
2020-02-24,97702190
2020-02-25,97702190
2020-02-26,92817080
2020-02-27,92817080
2020-02-28,88196460
2020-02-29,88196460
2020-03-01,87283522
2020-03-02,87283522
2020-03-03,89815929
2020-03-04,89815929
2020-03-05,93634580
2020-03-06,97840806
2020-03-07,102091574
2020-03-08,106409118
2020-03-09,106409118
2020-03-10,111599791
2020-03-11,111599791
2020-03-12,114941927
2020-03-13,119849024
2020-03-14,125039256
2020-03-15,130687566
2020-03-16,136715265
2020-03-17,143236538
2020-03-18,150101704
2020-03-19,150101704
2020-03-20,157606790
2020-03-21,164839903
2020-03-22,173081899
2020-03-23,181603085
2020-03-24,190683240
2020-03-25,200074109
2020-03-26,210077815
2020-03-27,219837877
2020-03-28,219837877
2020-03-29,214973397
2020-03-30,204224727
2020-03-31,204224727
2020-04-01,194217730
2020-04-02,184506843
2020-04-03,184506843
2020-04-04,175281500
2020-04-05,175281500
2020-04-06,167457305
2020-04-07,167457305
2020-04-08,166430427
2020-04-09,166430427
2020-04-10,171086663
2020-04-11,179204640
2020-04-12,179204640
2020-04-13,187058075
2020-04-14,195714867
2020-04-15,205066620
2020-04-16,194868550
2020-04-17,185125122
2020-04-18,175915492
2020-04-19,167119717
2020-04-20,158763731
2020-04-21,151183176
2020-04-22,143656221
2020-04-23,143656221
2020-04-24,138248064
2020-04-25,131335660
2020-04-26,124768877
2020-04-27,118544043
2020-04-28,113381520
2020-04-29,109089589
2020-04-30,107949764
2020-05-01,107949764
2020-05-02,103791441
2020-05-03,99953300
2020-05-04,95662707
2020-05-05,91050094
2020-05-06,89185696
2020-05-07,88515960
2020-05-08,88490711
2020-05-09,89526740
2020-05-10,91900012
2020-05-11,94419618
2020-05-12,98350044
2020-05-13,103204213
