date_obj,Iron%20battleaxe price
2015-03-26,1541
2015-03-27,1541
2015-03-28,1465
2015-03-29,1465
2015-03-30,1465
2015-03-31,1395
2015-04-01,1395
2015-04-02,1395
2015-04-03,1395
2015-04-04,1327
2015-04-05,1327
2015-04-06,1327
2015-04-07,1327
2015-04-08,1261
2015-04-09,1261
2015-04-10,1261
2015-04-11,1199
2015-04-12,1199
2015-04-13,1199
2015-04-14,1199
2015-04-15,1142
2015-04-16,1142
2015-04-17,1142
2015-04-18,1087
2015-04-19,1087
2015-04-20,1087
2015-04-21,1087
2015-04-22,1034
2015-04-23,1034
2015-04-24,1034
2015-04-25,1034
2015-04-26,984
2015-04-27,984
2015-04-28,984
2015-04-29,984
2015-04-30,937
2015-05-01,937
2015-05-02,937
2015-05-03,937
2015-05-04,892
2015-05-05,892
2015-05-06,892
2015-05-07,892
2015-05-08,850
2015-05-09,850
2015-05-10,850
2015-05-11,850
2015-05-12,809
2015-05-13,809
2015-05-14,809
2015-05-15,809
2015-05-16,770
2015-05-17,770
2015-05-18,770
2015-05-19,733
2015-05-20,733
2015-05-21,733
2015-05-22,733
2015-05-23,699
2015-05-24,699
2015-05-25,699
2015-05-26,665
2015-05-27,665
2015-05-28,632
2015-05-29,632
2015-05-30,601
2015-05-31,601
2015-06-01,573
2015-06-02,573
2015-06-03,573
2015-06-04,546
2015-06-05,546
2015-06-06,520
2015-06-07,520
2015-06-08,520
2015-06-09,495
2015-06-10,495
2015-06-11,495
2015-06-12,471
2015-06-13,471
2015-06-14,448
2015-06-15,448
2015-06-16,427
2015-06-17,427
2015-06-18,407
2015-06-19,407
2015-06-20,388
2015-06-21,388
2015-06-22,388
2015-06-23,369
2015-06-24,369
2015-06-25,369
2015-06-26,351
2015-06-27,351
2015-06-28,351
2015-06-29,334
2015-06-30,334
2015-07-01,334
2015-07-02,318
2015-07-03,318
2015-07-04,303
2015-07-05,303
2015-07-06,303
2015-07-07,289
2015-07-08,289
2015-07-09,289
2015-07-10,276
2015-07-11,276
2015-07-12,276
2015-07-13,263
2015-07-14,263
2015-07-15,251
2015-07-16,251
2015-07-17,239
2015-07-18,239
2015-07-19,239
2015-07-20,228
2015-07-21,228
2015-07-22,218
2015-07-23,218
2015-07-24,218
2015-07-25,209
2015-07-26,209
2015-07-27,209
2015-07-28,199
2015-07-29,199
2015-07-30,191
2015-07-31,191
2015-08-01,191
2015-08-02,182
2015-08-03,182
2015-08-04,182
2015-08-05,173
2015-08-06,173
2015-08-07,173
2015-08-08,165
2015-08-09,165
2015-08-10,158
2015-08-11,158
2015-08-12,151
2015-08-13,151
2015-08-14,144
2015-08-15,144
2015-08-16,144
2015-08-17,137
2015-08-18,137
2015-08-19,131
2015-08-20,131
2015-08-21,124
2015-08-22,124
2015-08-23,118
2015-08-24,118
2015-08-25,112
2015-08-26,112
2015-08-27,106
2015-08-28,106
2015-08-29,100
2015-08-30,100
2015-08-31,95
2015-09-01,95
2015-09-02,95
2015-09-03,91
2015-09-04,91
2015-09-05,91
2015-09-06,87
2015-09-07,87
2015-09-08,87
2015-09-09,83
2015-09-10,83
2015-09-11,83
2015-09-12,79
2015-09-13,79
2015-09-14,79
2015-09-15,76
2015-09-16,76
2015-09-17,76
2015-09-18,73
2015-09-19,73
2015-09-20,73
2015-09-21,69
2015-09-22,69
2015-09-23,69
2015-09-24,65
2015-09-25,65
2015-09-27,61
2015-09-28,61
2015-09-29,61
2015-09-30,58
2015-10-05,55
2015-10-06,52
2015-10-07,52
2015-10-08,52
2015-10-09,49
2015-10-10,49
2015-10-11,49
2015-10-12,46
2015-10-13,46
2015-10-14,46
2015-10-15,43
2015-10-16,43
2015-10-17,43
2015-10-18,43
2015-10-19,40
2015-10-20,40
2015-10-22,38
2015-10-23,38
2015-10-24,38
2015-10-25,36
2015-10-26,36
2015-10-27,36
2015-10-29,34
2015-10-30,34
2015-10-31,32
2015-11-01,32
2015-11-02,32
2015-11-03,32
2015-11-04,30
2015-11-05,30
2015-11-06,30
2015-11-07,28
2015-11-08,28
2015-11-09,28
2015-11-10,28
2015-11-11,26
2015-11-12,26
2015-11-13,26
2015-11-14,26
2015-11-15,24
2015-11-16,24
2015-11-17,24
2015-11-18,24
2015-11-19,22
2015-11-20,22
2015-11-21,22
2015-11-22,22
2015-11-23,22
2015-11-24,22
2015-11-25,22
2015-11-26,22
2015-11-27,21
2015-11-28,21
2015-11-29,21
2015-11-30,21
2015-12-01,21
2015-12-02,21
2015-12-03,21
2015-12-04,21
2015-12-05,21
2015-12-06,23
2015-12-07,23
2015-12-08,23
2015-12-10,24
2015-12-11,24
2015-12-12,24
2015-12-13,24
2015-12-14,24
2015-12-15,24
2015-12-16,24
2015-12-17,24
2015-12-18,24
2015-12-19,22
2015-12-20,22
2015-12-21,22
2015-12-22,20
2015-12-23,20
2015-12-24,20
2015-12-25,20
2015-12-26,19
2015-12-27,19
2015-12-28,19
2015-12-29,18
2015-12-30,18
2015-12-31,18
2016-01-01,18
2016-01-02,17
2016-01-03,17
2016-01-04,17
2016-01-05,16
2016-01-06,16
2016-01-07,16
2016-01-08,16
2016-01-09,15
2016-01-10,15
2016-01-11,15
2016-01-12,14
2016-01-13,14
2016-01-14,14
2016-01-15,13
2016-01-16,13
2016-01-17,13
2016-01-18,12
2016-01-19,12
2016-01-20,12
2016-01-21,12
2016-01-22,11
2016-01-23,11
2016-01-24,11
2016-01-25,11
2016-01-26,11
2016-01-27,11
2016-01-28,11
2016-01-29,11
2016-01-30,10
2016-01-31,10
2016-02-01,10
2016-02-02,10
2016-02-03,10
2016-02-04,10
2016-02-05,10
2016-02-06,10
2016-02-07,10
2016-02-08,10
2016-02-09,10
2016-02-10,10
2016-02-11,10
2016-02-12,10
2016-02-13,10
2016-02-14,10
2016-02-15,11
2016-02-16,11
2016-02-17,11
2016-02-18,11
2016-02-19,11
2016-02-20,11
2016-02-21,11
2016-02-22,11
2016-02-23,11
2016-02-24,11
2016-02-25,11
2016-02-26,11
2016-02-27,11
2016-02-28,11
2016-02-29,11
2016-03-01,11
2016-03-02,11
2016-03-03,11
2016-03-04,11
2016-03-05,11
2016-03-06,11
2016-03-07,11
2016-03-08,11
2016-03-09,11
2016-03-10,11
2016-03-11,11
2016-03-12,11
2016-03-13,11
2016-03-14,11
2016-03-15,11
2016-03-16,11
2016-03-17,11
2016-03-18,10
2016-03-19,10
2016-03-20,10
2016-03-22,10
2016-03-23,10
2016-03-24,10
2016-03-25,10
2016-03-26,10
2016-03-27,10
2016-03-28,9
2016-03-29,9
2016-03-30,9
2016-03-31,9
2016-04-01,9
2016-04-02,9
2016-04-03,9
2016-04-04,9
2016-04-05,9
2016-04-06,9
2016-04-07,9
2016-04-08,9
2016-04-09,9
2016-04-10,9
2016-04-11,9
2016-04-12,9
2016-04-13,9
2016-04-14,9
2016-04-15,9
2016-04-16,9
2016-04-17,9
2016-04-18,9
2016-04-19,9
2016-04-20,9
2016-04-21,10
2016-04-22,10
2016-04-23,10
2016-04-24,10
2016-04-25,10
2016-04-26,10
2016-04-27,10
2016-04-28,10
2016-04-29,9
2016-04-30,9
2016-05-01,9
2016-05-02,9
2016-05-03,10
2016-05-04,10
2016-05-05,10
2016-05-06,10
2016-05-07,11
2016-05-08,11
2016-05-09,11
2016-05-10,11
2016-05-11,10
2016-05-12,10
2016-05-13,10
2016-05-14,10
2016-05-15,9
2016-05-16,9
2016-05-17,9
2016-05-18,9
2016-05-19,9
2016-05-22,9
2016-05-23,9
2016-05-24,9
2016-05-25,9
2016-05-26,9
2016-05-27,9
2016-05-28,9
2016-05-29,9
2016-05-30,9
2016-05-31,9
2016-06-01,9
2016-06-02,9
2016-06-03,9
2016-06-04,9
2016-06-05,9
2016-06-06,9
2016-06-07,9
2016-06-08,9
2016-06-09,9
2016-06-10,9
2016-06-11,9
2016-06-12,9
2016-06-13,9
2016-06-14,8
2016-06-15,8
2016-06-16,8
2016-06-17,8
2016-06-18,8
2016-06-19,8
2016-06-20,8
2016-06-21,9
2016-06-22,9
2016-06-23,9
2016-06-24,9
2016-06-25,10
2016-06-26,10
2016-06-27,10
2016-06-28,10
2016-06-29,10
2016-06-30,11
2016-07-01,11
2016-07-02,11
2016-07-03,11
2016-07-04,11
2016-07-05,11
2016-07-06,11
2016-07-07,11
2016-07-08,11
2016-07-09,11
2016-07-10,11
2016-07-11,11
2016-07-12,12
2016-07-13,12
2016-07-14,12
2016-07-15,12
2016-07-16,13
2016-07-17,13
2016-07-18,13
2016-07-23,13
2016-07-24,13
2016-07-25,13
2016-07-26,13
2016-07-27,13
2016-07-28,13
